-- NEO GP (NSGA2)--
SEED=-1
MAX_LEN=50
POPSIZE=500
TOURNAMENT_SIZE=2
INITIAL_DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
----------------------------------
gen,fevals,|bestfront|,bestloss,obj,nll,dl,func_compl,param_compl,FBF,MSE_train,MSE_test,R2_train,R2_test,size,expression
1,25417,9,-923.61285,-842.6897,-923.61285,-856.1573,37.352818,30.10273,-842.6897,0.010919847,0.008542499,0.92282844,0.9463065,17,"(6.412563 + ((-0.007367231 * X5) + exp((abs((-3.09073 - (-1.0690616 * X3))) ^ exp((0.24467559 * X2)))))) NeoGP.GaussianLikelihood{Float32} Float32[0.10449804]"
2,49108,13,-1180.014,-1082.6613,-1180.014,-1105.9921,46.0517,27.97019,-1082.6613,0.006851025,0.0052655092,0.95158315,0.96690387,20,"(5.824688 + ((-0.009077132 * X5) + exp(((abs(log(abs((4.191509 * X4)))) ^ log(abs((0.3251047 * X2)))) * (0.3519085 * X3))))) NeoGP.GaussianLikelihood{Float32} Float32[0.08277089]"
3,73334,15,-1694.0857,-1580.4551,-1694.0857,-1616.3223,41.58883,36.17453,-1580.4551,0.0026904875,0.002820641,0.98098606,0.982271,20,"(((((abs(-745.93866) ^ -1320.4132) + (-2.880756 * X3)) - -8.889693) * sin((-0.31737038 * X4))) + ((3.1779983 * X3) + -2.5256622)) NeoGP.GaussianLikelihood{Float32} Float32[0.0518699]"
4,97377,12,-1835.8151,-1731.4697,-1835.8151,-1774.0935,33.271065,28.450392,-1731.4697,0.0020793031,0.0033876763,0.98530537,0.9787069,16,"(sqrt(abs(45.945152)) + ((0.18853277 * X3) / ((2.8662524 - (0.7230029 * X3)) + (-0.13672929 * X4)))) NeoGP.GaussianLikelihood{Float32} Float32[0.045599382]"
5,124693,13,-1960.6091,-1832.1924,-1960.6091,-1894.4325,48.33894,17.837603,-1832.1924,0.0016572076,0.0035138624,0.98828834,0.9779138,22,"(((0.10950978 * X2) + (sqrt(abs(21.448503)) + ((-147.08505 * X3) / ((-1887.6011 - (-472.53403 * X3)) + (119.443474 * X4))))) - -1.9509292) NeoGP.GaussianLikelihood{Float32} Float32[0.040708814]"
6,152548,15,-1960.6091,-1832.1924,-1960.6091,-1894.4325,48.33894,17.837603,-1832.1924,0.0016572076,0.0035138624,0.98828834,0.9779138,22,"(((0.10950978 * X2) + (sqrt(abs(21.448503)) + ((-147.08505 * X3) / ((-1887.6011 - (-472.53403 * X3)) + (119.443474 * X4))))) - -1.9509292) NeoGP.GaussianLikelihood{Float32} Float32[0.040708814]"
7,181516,19,-1960.6091,-1832.1924,-1960.6091,-1894.4325,48.33894,17.837603,-1832.1924,0.0016572076,0.0035138624,0.98828834,0.9779138,22,"(((0.10950978 * X2) + (sqrt(abs(21.448503)) + ((-147.08505 * X3) / ((-1887.6011 - (-472.53403 * X3)) + (119.443474 * X4))))) - -1.9509292) NeoGP.GaussianLikelihood{Float32} Float32[0.040708814]"
8,212747,21,-1982.8418,-1851.1344,-1982.8418,-1916.7894,48.33894,17.713371,-1851.1344,0.0015915544,0.003542967,0.98875237,0.9777309,22,"(((0.11907357 * X2) + (sqrt(abs(20.680258)) + ((-437.3957 - 78.541016) / ((-1871.7017 - (-470.36636 * X3)) + (96.1862 * X4))))) - -1.8708603) NeoGP.GaussianLikelihood{Float32} Float32[0.03989429]"
9,244993,22,-2036.7435,-1852.546,-2036.7435,-1914.2722,88.72212,33.749146,-1852.546,0.0014429765,0.0038228016,0.98980236,0.97597194,37,"((((abs((-0.29121977 * X3)) ^ 42.671783) - 7.3889337) * sin((-0.0049415575 * X4))) + ((((0.16356027 * X2) + (sqrt(abs(30.439037)) + ((-128.53134 * X3) / ((-1877.5632 - (-478.97644 * X3)) + (158.93517 * X4))))) - -2.850775) + -1.6258937)) NeoGP.GaussianLikelihood{Float32} Float32[0.037986528]"
10,279964,23,-2068.4272,-1913.0829,-2068.4272,-1959.9429,66.77497,41.709305,-1913.0829,0.0013622004,0.019637719,0.9903732,0.876568,29,"((((-5.6341267 + ((abs((-0.30903873 * X3)) ^ ((-6.5631027 * X3) + (7.917629 * X2))) - log(abs(0.08110299)))) - -1.4114485) * sin((-0.4104667 * X4))) + ((2.7287743 * X3) + -0.81184876)) NeoGP.GaussianLikelihood{Float32} Float32[0.036907993]"
