NeoGP.optimize!(rarindiv, buffers) = 65
NeoGP.extractparam(Float32, rarindiv) = Float32[0.83929104, -0.020135105, 0.38504496]
NeoGP.description_length_terms(rarindiv) = (-1274.7557f0, 14.4849415f0, 11.983779f0)
 RARMNRLikelihood{Float32} Float32[0.1, -0.5004616, 0.7451956]
-- NEO GP --
SEED=-1
MAX_LEN=40
POPSIZE=300
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,nll,func_compl,param_compl,avg_len,avg_fitness,size,expression
1,56935,-869.0995,-869.0995,-900.6658,11.266066,20.300228,6.673333,Inf,7,"(((abs(X1) ^ -0.089716) - X1) + -1.5386639) RARMNRLikelihood{Float32} Float32[0.08625393, -0.49847913, 0.7427949]"
2,93348,-869.0995,-869.0995,-900.6658,11.266066,20.300228,5.94,Inf,7,"(((abs(X1) ^ -0.089716) - X1) + -1.5386639) RARMNRLikelihood{Float32} Float32[0.08625393, -0.49847913, 0.7427949]"
3,128300,-898.8967,-898.8967,-943.63086,23.292873,21.441265,5.0866666,Inf,13,"(-0.05838065 - sqrt(abs((((X1 - -1.464869) * X1) + (sqrt(abs(-0.03536655)) * -0.1832507))))) RARMNRLikelihood{Float32} Float32[0.07983213, -0.50086594, 0.7414064]"
4,155763,-952.27966,-952.27966,-989.64453,21.501114,15.863771,4.9666667,Inf,12,"(0.04785374 - sqrt(abs((((X1 - -1.7702166) * X1) + (X1 * 0.12209667))))) RARMNRLikelihood{Float32} Float32[0.081297286, -0.5018507, 0.7408012]"
5,188366,-952.27966,-952.27966,-989.64453,21.501114,15.863771,5.4766665,Inf,12,"(0.04785374 - sqrt(abs((((X1 - -1.7702166) * X1) + (X1 * 0.12209667))))) RARMNRLikelihood{Float32} Float32[0.081297286, -0.5018507, 0.7408012]"
6,222841,-965.3145,-965.3145,-999.17847,17.513191,16.35079,5.7766666,Inf,9,"((sqrt(abs(X1)) * log(abs(2.6943705))) - (X1 / -1.3668721)) RARMNRLikelihood{Float32} Float32[0.080794744, -0.50246483, 0.7400563]"
7,264715,-972.9642,-972.9642,-998.9363,12.875504,13.096648,6.69,Inf,8,"(sqrt(abs(X1)) + ((X1 + X1) * 0.3605299)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
8,306515,-972.9642,-972.9642,-998.9363,12.875504,13.096648,7.9166665,Inf,8,"(sqrt(abs(X1)) + ((X1 + X1) * 0.3605299)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
9,358593,-972.9642,-972.9642,-998.9363,12.875504,13.096648,8.56,Inf,8,"(sqrt(abs(X1)) + ((X1 + X1) * 0.3605299)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
10,415161,-976.24713,-976.24713,-998.9363,9.656628,13.032526,9.183333,Inf,6,"(sqrt(abs(X1)) + (X1 * 0.72105986)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
11,475887,-976.24713,-976.24713,-998.9363,9.656628,13.032526,9.843333,Inf,6,"(sqrt(abs(X1)) + (X1 * 0.72105986)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
12,529383,-976.24713,-976.24713,-998.9363,9.656628,13.032526,9.703333,Inf,6,"(sqrt(abs(X1)) + (X1 * 0.72105986)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
13,586683,-976.24713,-976.24713,-998.9363,9.656628,13.032526,10.693334,Inf,6,"(sqrt(abs(X1)) + (X1 * 0.72105986)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
