gen,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
42,-998.9363,-998.9426,-998.93677,-998.9363,-998.9363,-976.24713,-976.4611,-976.2486,-976.1679,-975.3525,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,10.850652,13.032093,13.033813,13.111993,6,6,6,8,8,19.65,16.606667,17.2,21.966667,22.16
43,-998.9363,-998.9426,-998.93677,-998.9363,-998.9363,-976.24713,-976.4611,-976.2486,-976.1679,-975.3525,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,10.850652,13.032093,13.033813,13.111993,6,6,6,8,8,19.59,16.973333,17.37,21.91,22.43
44,-998.9363,-998.9426,-998.93677,-998.9363,-998.9363,-976.24713,-976.4611,-976.2486,-976.1679,-975.3525,9.656628,9.656628,9.656628,11.266066,12.875504,13.032526,10.850652,12.993043,13.033802,13.111993,6,6,6,7,8,19.496666,16.626667,17.163334,21.45,22.453333
45,-998.9363,-998.9426,-998.93677,-998.9363,-998.9363,-976.24713,-976.4611,-976.2486,-976.16797,-975.3525,9.656628,9.656628,9.656628,11.266066,12.875504,13.032526,10.850652,12.993043,13.032536,13.111993,6,6,6,7,8,19.286667,17.143333,17.343334,21.68,22.636667
46,-998.9363,-998.9426,-998.93677,-998.9363,-998.9363,-976.24713,-976.4611,-976.2486,-976.16797,-975.3525,9.656628,9.656628,9.656628,11.266066,12.875504,13.032526,10.850652,12.993043,13.032536,13.111993,6,6,6,7,8,19.373333,16.516666,17.333334,21.456667,22.56
47,-998.9363,-998.9419,-998.93677,-998.9363,-998.9363,-976.24713,-976.4611,-976.2486,-976.16797,-975.3525,9.656628,9.656628,9.656628,11.266066,12.875504,13.032526,10.850652,12.993043,13.032531,13.111963,6,6,6,7,8,19.326666,16.313334,17.403334,20.97,22.313334
48,-998.9363,-998.9419,-998.93677,-998.9363,-998.9363,-976.24713,-976.4611,-976.2486,-976.16797,-975.3525,9.656628,9.656628,9.656628,11.266066,12.875504,13.032526,10.850652,12.993043,13.032531,13.111963,6,6,6,7,8,19.126667,16.273333,17.153334,21.07,22.24
49,-998.9363,-998.9419,-998.93677,-998.9363,-998.9363,-976.24713,-976.4611,-976.25024,-976.16797,-975.3525,9.656628,9.656628,9.656628,11.266066,12.875504,13.032526,10.850652,12.993043,13.032536,13.111963,6,6,6,7,8,19.22,16.663334,17.25,21.54,22.326666
50,-998.9363,-998.94165,-998.93677,-998.9363,-998.9363,-976.24713,-976.4611,-976.25024,-976.24713,-975.3525,9.656628,9.656628,9.656628,11.266066,12.875504,13.032526,10.850652,12.993043,13.032531,13.111963,6,6,6,7,8,19.196667,16.85,17.28,21.356667,22.383333
51,-998.9363,-998.9409,-998.93677,-998.9363,-998.9363,-976.24713,-976.4611,-976.25024,-976.24713,-976.16766,9.656628,9.656628,9.656628,11.266066,12.875504,13.032526,10.850652,13.032525,13.032536,13.111963,6,6,6,7,8,19.503334,16.63,17.396667,21.77,22.03
52,-998.9363,-998.9409,-998.93677,-998.9363,-998.9363,-976.24713,-976.4611,-976.25024,-976.24713,-976.16766,9.656628,9.656628,9.656628,11.266066,12.875504,13.032526,10.850652,13.032525,13.032536,13.111963,6,6,6,7,8,19.286667,16.56,17.376667,21.726667,22.26
53,-998.9363,-998.9409,-998.93677,-998.9363,-998.9363,-976.24713,-976.4611,-976.25024,-976.24713,-976.1679,9.656628,9.656628,9.656628,9.656628,12.875504,13.032526,10.850652,13.032525,13.032536,13.111963,6,6,6,6,8,19.32,16.516666,17.116667,21.35,22.246666
54,-998.9363,-998.9409,-998.93677,-998.9363,-998.9363,-976.24713,-976.4611,-976.25024,-976.24713,-976.2469,9.656628,9.656628,9.656628,9.656628,12.875504,13.032526,10.850652,13.032525,13.032536,13.03388,6,6,6,6,8,19.323334,16.973333,17.533333,21.65,22.13
55,-998.9363,-998.9409,-998.93677,-998.9363,-998.9363,-976.24713,-976.4611,-976.25024,-976.24713,-976.24713,9.656628,9.656628,9.656628,9.656628,12.875504,13.032526,10.850652,13.032526,13.032536,13.03388,6,6,6,6,8,19.35,16.696667,17.2,21.73,22.27
