Complexity,Loss,Equation
1,8164.348,"340.27826"
3,4758.9033,"x5 * 3.9490597"
5,3871.7368,"(x5 - x0) / 0.17635815"
7,3480.3408,"(x5 / (x0 + -4.101215)) * x5"
9,2818.1604,"(19830.135 / x3) + ((x5 + -118.1456) * 14.439884)"
11,2120.5251,"((x5 + (1247.4636 / x3)) + -113.409256) * (387.9706 / x0)"
13,2027.1283,"(((((1818.9032 / x3) + x3) + x5) + -161.97516) * 393.76694) / x0"
14,2024.2749,"((sin(x5) + (((1254.8645 / x3) + x5) + -114.00063)) * 393.5152) / x0"
15,1988.2393,"(((((x3 + x5) + -149.6196) + (1734.3599 / x3)) / x0) * 383.12308) + -120.615036"
16,1933.1843,"(((x5 + -107.39228) + (1108.0643 / x3)) / ((x0 + sin(x19)) + -11.812981)) * 203.71461"
18,1876.2241,"(((x5 + -107.1032) + (1108.0643 / x3)) / (sin(x0 + -16.962622) + (x0 + -11.812981))) * 203.71461"
19,1869.7219,"((x5 + ((1216.1613 / x3) + -112.84415)) / ((sin(sin(x19 + -1.3362582)) + x0) + -7.8602405)) * 280.87802"
21,1811.06,"(((x5 + -107.1032) + (1108.0643 / x3)) / (sin((x0 + sin(x5)) + -16.962622) + (x0 + -11.812981))) * 203.71461"
22,1798.9818,"(((1194.2826 / x3) + (x5 + -111.08853)) / ((sin(sin(x19)) + (sin(x19 + -1.3362582) + x0)) + -14.549995)) * 174.67403"
23,1576.7274,"(((x5 + -108.39277) + (1124.2485 / x3)) / ((sin(x19 + -1.3362582) + (sin(x0 + 1.9850682) + x0)) + -14.549995)) * 174.67403"
43,1571.8932,"((((x5 + -177.70612) + (2625.8313 / x3)) / (((x0 + -6.6175437) - powabs((x4 / x3) / 92.64906, x5)) - (((x4 / -403.09854) + 611.3077) / x4))) * 156.03838) - ((x4 + (3940.3345 / x3)) + (((18168.805 / x3) + -1077.2717) - x3))"
