id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
0,8.289522321428572e-2,8.289522321428572e-2,1,2.2180629697398486e-4,2.384846654257786e-4,1.5228814654001823e-4,3.3306690738754696e-16,-2.9517155805767192e-3,-1.0161909130546043e-3,2.2180629697398486e-4,2.384846654257786e-4,1.5228814654001823e-4,2.2180629697398486e-4,2.384846654257786e-4,1.5228814654001823e-4
1,(Abs(-0.749380149288183) ^ (x0 + 7.685255733416661)),-0.749380149288183;7.685255733416661,6,1.09835487794878e-4,1.1376627393076155e-4,1.7156526206493083e-4,0.5048134823342716,0.5215538097162138,-0.12772798820627407,1.09835487794878e-4,1.1376627393076155e-4,1.7156526206493083e-4,6.931581641087248,6.931585571873383,6.931643370861518
2,(Abs(-0.6037334016643315) ^ (Sin(x0) + 4.21102327359171)),-0.6037334016643315;4.21102327359171,7,1.1026783434607372e-4,1.0687175932532949e-4,1.543875122663742e-4,0.5028642745926788,0.5505488196857982,-1.4815683063141405e-2,1.1026783434607372e-4,1.0687175932532949e-4,1.543875122663742e-4,9.656737742438947,9.656734346363926,9.656781862116867
3,(Abs(0.10784778396152221) ^ (Abs((Abs(x1) ^ 4.241227811939677e-2)) ^ Sin(x0))),0.10784778396152221;4.241227811939677e-2,11,8.882425913152413e-5,8.649394551981373e-5,9.968322985266942e-5,0.5995413099478322,0.6362480963228712,0.3447649780227099,8.882425913152413e-5,8.649394551981373e-5,9.968322985266942e-5,12.875592123731934,12.875589793418323,12.875602982702654
4,(Abs(0.11103759120814946) ^ (Abs((Abs(x1) ^ 5.3892597102438454e-2)) ^ Sin(Sin(x0)))),0.11103759120814946;5.3892597102438454e-2,12,8.79361357699069e-5,8.383371533942919e-5,9.64969976923368e-5,0.6035453593086192,0.6474357440422431,0.36570863025675104,8.79361357699069e-5,8.383371533942919e-5,9.64969976923368e-5,14.485029148042672,14.48502504562224,14.485037708904594
5,(Abs(-0.1121485183375639) ^ (Abs((Abs(x1) ^ 6.190729592115345e-2)) ^ Sin(Sin(Sin(x0))))),-0.1121485183375639;6.190729592115345e-2,13,8.746594939085847e-5,8.284119039662288e-5,9.306383268059335e-5,0.605665165578608,0.6516098262305753,0.38827541461201476,8.746594939085847e-5,8.284119039662288e-5,9.306383268059335e-5,16.094466590290395,16.0944619655314,16.094472188173683
6,(Abs(0.11527921970692467) ^ (Abs((Abs(x1) ^ 7.285728586966259e-2)) ^ Sin(Sin(Sin(Sin(x0)))))),0.11527921970692467;7.285728586966259e-2,14,8.766079654229169e-5,8.185552177301288e-5,9.301602089332283e-5,0.6047867092223572,0.6557550740404445,0.38858968971655616,8.766079654229169e-5,8.185552177301288e-5,9.301602089332283e-5,17.703904697571645,17.703898892296877,17.703910052795997
7,(Abs(0.2664339608129019) ^ ((Sin(Sin(Sqrt(Abs(x0)))) + (Abs(x1) ^ 3.9921026486073596e-2)) + 4.793984635807173e-2)),0.2664339608129019;3.9921026486073596e-2;4.793984635807173e-2,15,1.1766895338773916e-4,1.0216654299559845e-4,1.6778613384194128e-4,0.4694967861911503,0.5703366948586368,-0.10288712813477185,1.1766895338773916e-4,1.0216654299559845e-4,1.6778613384194128e-4,23.351039457617144,23.351023955206752,23.3510895747976
8,Sqrt(Abs(Exp(((Exp(Sin(x5)) / Sqrt(Abs(x1))) - (Sin(x0) + 4.478526684996122))))),4.478526684996122,15,8.285955033710732e-5,7.950276365146526e-5,1.2108045844880263e-4,0.6264328314050268,0.6656496422724917,0.20411731271168265,8.285955033710732e-5,7.950276365146526e-5,1.2108045844880263e-4,29.933689068472933,29.93368571168625,29.933727289381046
9,Sqrt(Abs((Sqrt(Abs(Exp((Sin(x5) - (Sin(x0) + (Abs(x1) ^ 0.22270635759298657)))))) * -2.815115605132138e-2))),0.22270635759298657;-2.815115605132138e-2,17,6.02168473377312e-5,6.672911140595368e-5,5.739626012238549e-5,0.7285160603677818,0.7193694754156112,0.6227245062355049,6.02168473377312e-5,6.672911140595368e-5,5.739626012238549e-5,33.570594036024524,33.57060054828859,33.57059121543731
10,Sqrt(Abs(Exp(((0.46103665309225544 * x5) - ((Sin(Sin(Sin(x0))) + (Abs(x1) ^ 0.138829628019938)) + 2.814979807957145))))),0.46103665309225544;0.138829628019938;2.814979807957145,18,6.006989973719208e-5,6.200303746198686e-5,6.42317228656559e-5,0.7291785645551916,0.7392450676747596,0.5777938334690687,6.006989973719208e-5,6.200303746198686e-5,6.42317228656559e-5,38.36638443467367,38.366386367811394,38.3663885964968
11,Sqrt(Abs(Exp((((x5 + x5) * 0.22482395365717806) - ((Sin(Sin(Sin(x0))) + (Abs(x1) ^ 0.13792055118303279)) + 2.8229981088873153))))),0.22482395365717806;0.13792055118303279;2.8229981088873153,20,5.99271418603305e-5,6.201745389203333e-5,6.438300772265971e-5,0.7298221796319913,0.7391844391088858,0.5767994120729097,5.99271418603305e-5,6.201745389203333e-5,6.438300772265971e-5,43.16217483751254,43.16217692782457,43.1621792933784
12,Sqrt(Abs(Exp((((x3 + x5) * 0.3791096768996213) - ((Sin(Sin(Sin(Sin(x0)))) + (Abs(x1) ^ 0.14170998124693018)) + 2.8651929028236145))))),0.3791096768996213;0.14170998124693018;2.8651929028236145,21,5.690758916436672e-5,6.111055115841359e-5,5.447636182084218e-5,0.7434356465946445,0.7429984354969752,0.641917500188559,5.690758916436672e-5,6.111055115841359e-5,5.447636182084218e-5,47.213283253561166,47.21328745652316,47.21328082233382
13,Sqrt(Abs(Exp((Sin((0.5029297649062685 * (x5 + (x3 * Sin(x0))))) - ((Sin(Sin(x0)) + (Abs(x1) ^ 0.1296339367092982)) + 2.84781629474842))))),0.5029297649062685;0.1296339367092982;2.84781629474842,23,5.900246634600081e-5,5.962938527297902e-5,6.872399139275242e-5,0.7339910221172798,0.7492275062978329,0.5482653794710348,5.900246634600081e-5,5.962938527297902e-5,6.872399139275242e-5,52.18309864801435,52.18309927493328,52.1831083695394
