-- NEO GP (NSGA2)--
SEED=-1
MAX_LEN=50
POPSIZE=500
TOURNAMENT_SIZE=2
INITIAL_DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
----------------------------------
gen,fevals,|bestfront|,bestloss,obj,nll,dl,func_compl,param_compl,FBF,MSE_train,MSE_test,R2_train,R2_test,size,expression
16,508666,21,-681.238,-521.61584,-681.238,-524.8637,83.49454,72.87971,-521.61584,0.0001566204,0.00028393362,0.99545735,0.971351,38,"(0.40403754 - ((((-36.78004 + (abs((sqrt(abs((-0.12180029 - -0.09689609))) / (abs((-3.964879e-6 * X1)) ^ (-0.16896318 * X2)))) ^ -0.6682003)) / (abs((-6.2154845e-7 * X1)) ^ (-0.15218127 * X2))) - (abs((-1803.61 * X1)) ^ (0.0535602 * (-0.5476662 * X2)))) * 3.585554)) NeoGP.GaussianLikelihood{Float32} Float32[0.012514807]"
17,555460,24,-687.0515,-527.046,-687.0515,-545.751,83.49454,57.80606,-527.046,0.0001488997,0.00022748599,0.9956813,0.9770466,38,"(0.3513234 - ((((-47.181107 + (abs((sqrt(abs((-0.119385764 - -0.09931081))) / (abs((-2.5070271e-6 * X1)) ^ (-0.16806431 * X2)))) ^ -0.66712445)) / (abs((-2.7341468e-7 * X1)) ^ (-0.14742935 * X2))) - (abs((-2056.9434 * X1)) ^ (0.05311353 * (-0.5431021 * X2)))) * 3.887674)) NeoGP.GaussianLikelihood{Float32} Float32[0.012202448]"
18,601873,24,-690.1071,-542.8434,-690.1071,-543.6448,72.78046,73.68188,-542.8434,0.00014499543,0.00020762636,0.99579453,0.97905046,35,"(0.32959446 - ((((-39.120934 + (abs((-0.09963252 / (abs((-2.210838e-6 * X1)) ^ (-0.14800733 * X2)))) ^ -0.6451944)) / (abs((-1.5065024e-7 * X1)) ^ (-0.13226883 * X2))) - (abs((-6341.9443 * X1)) ^ (0.051675346 * (-0.52826375 * X2)))) * 4.381446)) NeoGP.GaussianLikelihood{Float32} Float32[0.012041402]"
19,646175,25,-690.1091,-542.8452,-690.1091,-555.0472,72.78046,62.281433,-542.8452,0.00014499298,0.0002074397,0.9957946,0.9790693,35,"(0.32959718 - ((((-39.12207 + (abs((-0.099633455 / (abs((-2.2108693e-6 * X1)) ^ (-0.14800704 * X2)))) ^ -0.6451936)) / (abs((-1.5064852e-7 * X1)) ^ (-0.1322689 * X2))) - (abs((-6341.94 * X1)) ^ (0.051675227 * (-0.5282625 * X2)))) * 4.3814507)) NeoGP.GaussianLikelihood{Float32} Float32[0.012041305]"
20,692494,25,-690.1091,-542.8452,-690.1091,-555.0472,72.78046,62.281433,-542.8452,0.00014499298,0.0002074397,0.9957946,0.9790693,35,"(0.32959718 - ((((-39.12207 + (abs((-0.099633455 / (abs((-2.2108693e-6 * X1)) ^ (-0.14800704 * X2)))) ^ -0.6451936)) / (abs((-1.5064852e-7 * X1)) ^ (-0.1322689 * X2))) - (abs((-6341.94 * X1)) ^ (0.051675227 * (-0.5282625 * X2)))) * 4.3814507)) NeoGP.GaussianLikelihood{Float32} Float32[0.012041305]"
21,736462,25,-690.1091,-542.8452,-690.1091,-555.0472,72.78046,62.281433,-542.8452,0.00014499298,0.0002074397,0.9957946,0.9790693,35,"(0.32959718 - ((((-39.12207 + (abs((-0.099633455 / (abs((-2.2108693e-6 * X1)) ^ (-0.14800704 * X2)))) ^ -0.6451936)) / (abs((-1.5064852e-7 * X1)) ^ (-0.1322689 * X2))) - (abs((-6341.94 * X1)) ^ (0.051675227 * (-0.5282625 * X2)))) * 4.3814507)) NeoGP.GaussianLikelihood{Float32} Float32[0.012041305]"
22,781078,24,-759.9655,-561.3186,-759.9655,-602.3165,115.098976,42.549957,-561.3186,7.898339e-5,7.237306e-5,0.99770916,0.99269754,48,"((-1.0672268 + (abs(((0.04539444 * X1) / (abs((-0.6761948 + (abs((1988.3256 / (abs((1410.1022 * X1)) ^ sqrt(abs(((-0.41235527 * log(abs(((-64.75464 * X1) + (-65.30998 * X1))))) - (-0.8691072 * X2))))))) ^ exp((-0.79192764 * X2))))) ^ (-1.4932077 * X2)))) ^ -0.022314858)) + (abs((-0.4940946 * X1)) ^ (-0.05282814 * X2))) NeoGP.GaussianLikelihood{Float32} Float32[0.00888726]"
23,824315,25,-759.9655,-561.3186,-759.9655,-602.3165,115.098976,42.549957,-561.3186,7.898339e-5,7.237306e-5,0.99770916,0.99269754,48,"((-1.0672268 + (abs(((0.04539444 * X1) / (abs((-0.6761948 + (abs((1988.3256 / (abs((1410.1022 * X1)) ^ sqrt(abs(((-0.41235527 * log(abs(((-64.75464 * X1) + (-65.30998 * X1))))) - (-0.8691072 * X2))))))) ^ exp((-0.79192764 * X2))))) ^ (-1.4932077 * X2)))) ^ -0.022314858)) + (abs((-0.4940946 * X1)) ^ (-0.05282814 * X2))) NeoGP.GaussianLikelihood{Float32} Float32[0.00888726]"
24,870271,24,-759.9655,-561.3186,-759.9655,-602.3165,115.098976,42.549957,-561.3186,7.898339e-5,7.237306e-5,0.99770916,0.99269754,48,"((-1.0672268 + (abs(((0.04539444 * X1) / (abs((-0.6761948 + (abs((1988.3256 / (abs((1410.1022 * X1)) ^ sqrt(abs(((-0.41235527 * log(abs(((-64.75464 * X1) + (-65.30998 * X1))))) - (-0.8691072 * X2))))))) ^ exp((-0.79192764 * X2))))) ^ (-1.4932077 * X2)))) ^ -0.022314858)) + (abs((-0.4940946 * X1)) ^ (-0.05282814 * X2))) NeoGP.GaussianLikelihood{Float32} Float32[0.00888726]"
25,916481,24,-759.9655,-561.3186,-759.9655,-602.3165,115.098976,42.549957,-561.3186,7.898339e-5,7.237306e-5,0.99770916,0.99269754,48,"((-1.0672268 + (abs(((0.04539444 * X1) / (abs((-0.6761948 + (abs((1988.3256 / (abs((1410.1022 * X1)) ^ sqrt(abs(((-0.41235527 * log(abs(((-64.75464 * X1) + (-65.30998 * X1))))) - (-0.8691072 * X2))))))) ^ exp((-0.79192764 * X2))))) ^ (-1.4932077 * X2)))) ^ -0.022314858)) + (abs((-0.4940946 * X1)) ^ (-0.05282814 * X2))) NeoGP.GaussianLikelihood{Float32} Float32[0.00888726]"
26,963245,28,-759.9655,-561.3186,-759.9655,-602.3165,115.098976,42.549957,-561.3186,7.898339e-5,7.237306e-5,0.99770916,0.99269754,48,"((-1.0672268 + (abs(((0.04539444 * X1) / (abs((-0.6761948 + (abs((1988.3256 / (abs((1410.1022 * X1)) ^ sqrt(abs(((-0.41235527 * log(abs(((-64.75464 * X1) + (-65.30998 * X1))))) - (-0.8691072 * X2))))))) ^ exp((-0.79192764 * X2))))) ^ (-1.4932077 * X2)))) ^ -0.022314858)) + (abs((-0.4940946 * X1)) ^ (-0.05282814 * X2))) NeoGP.GaussianLikelihood{Float32} Float32[0.00888726]"
27,1009078,29,-759.9655,-561.3186,-759.9655,-602.3165,115.098976,42.549957,-561.3186,7.898339e-5,7.237306e-5,0.99770916,0.99269754,48,"((-1.0672268 + (abs(((0.04539444 * X1) / (abs((-0.6761948 + (abs((1988.3256 / (abs((1410.1022 * X1)) ^ sqrt(abs(((-0.41235527 * log(abs(((-64.75464 * X1) + (-65.30998 * X1))))) - (-0.8691072 * X2))))))) ^ exp((-0.79192764 * X2))))) ^ (-1.4932077 * X2)))) ^ -0.022314858)) + (abs((-0.4940946 * X1)) ^ (-0.05282814 * X2))) NeoGP.GaussianLikelihood{Float32} Float32[0.00888726]"
28,1055389,28,-759.9655,-561.3186,-759.9655,-602.3165,115.098976,42.549957,-561.3186,7.898339e-5,7.237306e-5,0.99770916,0.99269754,48,"((-1.0672268 + (abs(((0.04539444 * X1) / (abs((-0.6761948 + (abs((1988.3256 / (abs((1410.1022 * X1)) ^ sqrt(abs(((-0.41235527 * log(abs(((-64.75464 * X1) + (-65.30998 * X1))))) - (-0.8691072 * X2))))))) ^ exp((-0.79192764 * X2))))) ^ (-1.4932077 * X2)))) ^ -0.022314858)) + (abs((-0.4940946 * X1)) ^ (-0.05282814 * X2))) NeoGP.GaussianLikelihood{Float32} Float32[0.00888726]"
29,1100309,29,-759.9655,-561.3186,-759.9655,-602.3165,115.098976,42.549957,-561.3186,7.898339e-5,7.237306e-5,0.99770916,0.99269754,48,"((-1.0672268 + (abs(((0.04539444 * X1) / (abs((-0.6761948 + (abs((1988.3256 / (abs((1410.1022 * X1)) ^ sqrt(abs(((-0.41235527 * log(abs(((-64.75464 * X1) + (-65.30998 * X1))))) - (-0.8691072 * X2))))))) ^ exp((-0.79192764 * X2))))) ^ (-1.4932077 * X2)))) ^ -0.022314858)) + (abs((-0.4940946 * X1)) ^ (-0.05282814 * X2))) NeoGP.GaussianLikelihood{Float32} Float32[0.00888726]"
