Complexity,Loss,Equation
1,0.14150095,"7.80694"
3,0.039443035,"x2 + 4.4206324"
4,0.03478823,"sqrtabs(x2 / 0.055463247)"
5,0.03161933,"powabs(x2, 1.1470134) + 3.7537148"
6,0.026011543,"powabs(0.2889211, sin(x2)) + 6.4107084"
7,0.014988289,"(powabs(-2.1294456, x3) + 4.1838593) + x2"
8,0.0056551187,"powabs(x3 / 6.14846, sin(x2)) + 6.359675"
9,0.005002016,"powabs(x3 / 6.361039, sin(sin(x2))) + 6.361039"
10,0.0035880683,"powabs(x3 / 3.0297453, sin(x2)) + (x2 + 3.2279189)"
12,0.0031256897,"powabs(powabs(x3 + 3.3924007, -1.322006), sin(x2)) + (x2 + 3.212683)"
14,0.0025611427,"(powabs(powabs(x3 + 3.455204, sin(x2 + 0.0644323)), -1.1298084) + x2) + 3.2014232"
15,0.0025409167,"sin(powabs(sin(x1), -3.0667226)) + (powabs(x3 / 6.6454916, sin(sin(x2))) + 5.450069)"
16,0.0020676735,"sin(powabs(sin(x1), -3.0667226)) + (powabs(x3 / 6.6454916, sin(sin(sin(x2)))) + 5.450069)"
18,0.0020668467,"sin(powabs(sin(x1 - -3.140675), -3.0667226)) + (powabs(x3 / 6.6454916, sin(sin(sin(x2)))) + 5.450069)"
20,0.0020666092,"sin(powabs(sin((x1 - -3.140675) - -3.140675), -3.0667226)) + (powabs(x3 / 6.6454916, sin(sin(sin(x2)))) + 5.450069)"
28,0.0015909785,"(x2 + (x2 + 0.80168533)) + powabs(sin(powabs(x3 + (x2 + 0.7272218), powabs(x3 + 0.42986876, (x3 + x3) + x2) + -0.21633375) + 0.6462033), 12.151703)"
30,0.0015781559,"(x2 + (x2 + 0.8035878)) + powabs(sin(powabs(x3 + (x2 + 0.72909844), powabs(x3 + 0.43165016, (x3 + x2) + x3) + -0.21752763) + 0.65194106), x2 + 8.643059)"
32,0.001570226,"((x2 + x2) + 0.80561894) + powabs(sin(powabs((x2 + x3) + 0.7289818, powabs(x3 + 0.43342194, (x3 + x3) + x2) + -0.21933022) + 0.657711), (x2 + 5.203173) + x2)"
34,0.0015664998,"powabs(sin(powabs((x3 + x2) + 0.7286705, powabs(x3 + 0.43515262, x3 + (x3 + x2)) + -0.22149326) + 0.66353035), (x2 + x2) + (1.7875408 + x2)) + (x2 + (x2 + 0.8074801))"
35,0.001566324,"((x2 + x2) + 0.80809754) + powabs(sin(powabs((x3 + x2) + 0.7285236, powabs(x3 + 0.43565112, (x3 + x3) + x2) + -0.22217654) + 0.66479635), (sqrtabs(x2) + (x2 + x2)) + x2)"
37,0.0015661404,"((x2 + x2) + 0.80809754) + powabs(sin(powabs((x3 + x2) + 0.7285236, powabs(x3 + 0.43565112, (x3 + x3) + x2) + -0.22217654) + 0.6651494), (x2 + (x2 + sqrtabs(-0.22217654 + x2))) + x2)"
38,0.0015554416,"((x2 + x2) + 0.8086992) + powabs(sin(powabs((x2 + x3) + 0.7313418, powabs(x3 + 0.42283052, x3 + (x3 + x2)) + -0.17290021) + 0.6177204), (powabs(0.6079383, x3 + -1.7162803) + 1.4928409) + (x2 + 0.54140615))"
39,0.0013509042,"(x2 + (x2 + 0.797809)) + powabs(sin(powabs((x3 + x2) + 0.7272212, powabs(x3 + 0.42725548, (x3 + x3) + x2) + -0.21928789) + 0.63319194), sin(powabs(x3 + (-0.21928789 + x1), x3)) + (x2 + 9.162283))"
49,0.0013179792,"(x2 + (x2 + 0.797809)) + powabs(sin(powabs((x3 + x2) + 0.7272212, powabs(x3 + 0.42725548, (x3 + x3) + x2) + -0.21928789) + 0.63319194), sin(powabs(x3 + (-0.21928789 + x1), powabs(x3 + x3, x3 + (x3 + x3)) + x3)) + (x2 + 9.162283))"
50,0.0013145854,"(x2 + (x2 + 0.797809)) + powabs(sin(powabs(x3 + (x2 + 0.7272212), powabs(x3 + 0.42725548, (x3 + x3) + x2) + -0.21928789) + 0.63319194), sin(powabs(x3 + (9.162283 + x3), (log(0.797809) + (0.63319194 + (0.63319194 + 0.7272212))) + (0.7272212 + 0.797809))) + (x2 + 9.162283))"
