Complexity,Loss,Equation
1,0.14150095,"7.80694"
3,0.039443035,"x2 + 4.4206324"
5,0.031960253,"3.22239 - (x2 * -1.3538465)"
8,0.027695367,"(5.2670035 - sin(x2 - -4.97646)) + x2"
9,0.013216969,"(5.2670035 - sin(x2 - sqrtabs(x3))) + x2"
11,0.0077039874,"(sqrtabs(x3 + x2) + (sin(x2) + x2)) + x2"
12,0.007465068,"(sqrtabs(x3 + x2) + sin(sin(x2))) + (x2 + x2)"
13,0.0070539257,"(sqrtabs(x3 + x2) + (sin(x2) + x2)) + (x2 - -0.025128383)"
15,0.0067030555,"((sqrtabs((x3 + -0.025128383) + x2) + (sin(x2) + x2)) + x2) - -0.025128383"
16,0.0066299476,"((sqrtabs((x3 + -0.025128383) + x2) + (sin(sin(x2)) + x2)) + x2) - -0.025128383"
18,0.0051979767,"x2 + (sqrtabs(x3 + x2) + (sin(x2) + (x2 - (sin(x4 * x1) / x4))))"
20,0.004399036,"x2 + (sqrtabs(x3 + x2) + (sin(x2) + (x2 - (sin(x4 * x1) / (x4 * x1)))))"
22,0.0042524743,"x2 + (sqrtabs(x3 + x2) + (sin(x2) + (x2 - (sin(x4 * x1) / ((x4 * x1) * x1)))))"
23,0.0033947001,"(x2 + x2) + (sin(x2) + (1.2961602 - (sin(x2 + (sqrtabs(x1) + x3)) / (sin(x3 + x3) + 2.5923204))))"
24,0.0029895455,"(x2 + x2) + (sin(sin(x2)) + (1.2961602 - (sin(x2 + (sqrtabs(x1) + x3)) / (sin(x3 + x3) + 2.5923204))))"
25,0.002780288,"(x2 + x2) + ((sin(sin(sin(x2))) + 1.2961602) - (sin((x2 + sqrtabs(x1)) + x3) / (sin(x3 + x3) + 2.5923204)))"
26,0.0026475182,"(x2 + x2) + (sin(sin(sin(x2))) + (1.2961602 - (sin(sin((x2 + sqrtabs(x1)) + x3)) / (sin(x3 + x3) + 2.5923204))))"
27,0.0024952178,"((x2 + (x2 + sin(sin(sin(sin(x2)))))) + 1.2883812) - (sin(sin((x2 + sqrtabs(x1)) + x3)) / (sin(x3 + x3) + 2.5923204))"
28,0.0024274979,"((x2 + (x2 + sin(sin(sin(sin(sin(x2))))))) + 1.2883812) - (sin(sin((x2 + sqrtabs(x1)) + x3)) / (sin(x3 + x3) + 2.5923204))"
30,0.0024197716,"(x2 + x2) + ((sin(sin(sin(sin(sin(x2))))) + 1.282221) - (sin(sin(sqrtabs(x1) + (x2 + x3))) / ((1.2961602 + sin(x3 + x3)) + 1.282221)))"
31,0.0024030963,"(x2 + x2) + ((sin(sin(sin(sin(sin(sin(x2)))))) + 1.2816361) - (sin(sin(x3 + (x2 + sqrtabs(x1)))) / ((1.2961602 + sin(x3 + x3)) + 1.282221)))"
32,0.0023083903,"(x2 + (x2 + (sin(sin(sin(sin(x2)))) + 1.2770098))) - (sin(sin(sin(sin((x3 + x2) + sqrtabs(x1))))) / (sin(x2) + (sin(x3 + x3) + 2.6331682)))"
33,0.002205284,"(x2 + (x2 + (sin(sin(sin(sin(x2)))) + 1.2770098))) - (sin(sin(sin(sin(sin((x3 + x2) + sqrtabs(x1)))))) / (sin(x2) + (sin(x3 + x3) + 2.6331682)))"
34,0.0021042898,"(x2 + ((x2 + sin(sin(sin(sin(sin(x2)))))) + 1.2770098)) - (sin(sin(sin(sin(sin((x3 + x2) + sqrtabs(x1)))))) / (sin(x2) + (sin(x3 + x3) + 2.6331682)))"
35,0.0020932262,"(x2 + ((x2 + sin(sin(sin(sin(sin(x2)))))) + 1.2770098)) - (sin(sin(sin(sin(sin((x3 + x2) + sqrtabs(x1)))))) / (sin(sin(x2)) + (sin(x3 + x3) + 2.6331682)))"
36,0.0020865537,"(x2 + ((x2 + sin(sin(sin(sin(sin(x2)))))) + 1.2770098)) - (sin(sin(sin(sin(sin((x3 + x2) + sqrtabs(x1)))))) / (sin(sin(sin(x2))) + (sin(x3 + x3) + 2.6331682)))"
37,0.0020038912,"(((x2 + x2) + sin(sin(sin(sin(x2))))) + 1.2718558) - (sin(sin(x3 + (x2 + sqrtabs(x1)))) / (((x2 + sin(sin(x3 + x3))) + sin(sin(x3 + x3))) + sin(x2)))"
38,0.0019555981,"(x2 + (x2 + (sin(sin(sin(sin(x2)))) + 1.2770098))) - (sin(sin(x3 + (x2 + sqrtabs(x1)))) / (sin(sin(x3 + x3)) + (sin(0.57106847 + (x3 + x2)) + (sin(x2) + 2.6331682))))"
40,0.0018388664,"((x2 + (x2 + sin(sin(sin(sin(x2)))))) + 1.256518) - (sin(sin(sqrtabs(x1) + (x3 + x2))) / (sin(x3 + x3) + (((sin(x2) + sin(x3 + x3)) + (sin(x2) + x2)) + 0.57106847)))"
41,0.0017320033,"((x2 + (x2 + sin(sin(sin(sin(sin(x2))))))) + 1.256518) - (sin(sin(sqrtabs(x1) + (x3 + x2))) / (sin(x3 + x3) + (((sin(x2) + sin(x3 + x3)) + (sin(x2) + x2)) + 0.57106847)))"
42,0.0017291849,"(((x2 + x2) + sin(sin(sin(sin(sin(sin(x2))))))) + 1.256518) - (sin(sin(x3 + (x2 + sqrtabs(x1)))) / ((sin(x2) + ((sin(x3 + x3) + sin(x3 + x3)) + (x2 + sin(x2)))) + 0.57106847))"
43,0.0016805102,"(x2 + (x2 + (sin(sin(sin(sin(x2)))) + 1.2770098))) - (sin(sin(sin(sin(sin((x3 + x2) + sqrtabs(x1)))))) / (sin(sin(x3 + x3)) + (sin(sqrtabs(sin(x2)) + (x3 + x2)) + (sin(x2) + 2.6331682))))"
44,0.0016371079,"(x2 + ((x2 + sin(sin(sin(sin(sin(x2)))))) + 1.2770098)) - (sin(sin(sin(sin(sqrtabs(x1) + (x3 + x2))))) / ((sin(sin(sin(x3 + x3))) + sin(sqrtabs(sin(x2)) + (x3 + x2))) + (sin(x2) + 2.6331682)))"
45,0.0016309815,"(x2 + (x2 + (sin(sin(sin(sin(sin(x2))))) + 1.2770098))) - (sin(sin(sin(sin(sin((x3 + x2) + sqrtabs(x1)))))) / (sin(sin(sqrtabs(sin(x2)) + (x3 + x2))) + (sin(x2) + (sin(sin(x3 + x3)) + 2.6331682))))"
46,0.0016208299,"(x2 + (x2 + (sin(sin(sin(sin(sin(x2))))) + 1.2770098))) - (sin(sin(sin(sin(sin((x3 + x2) + sqrtabs(x1)))))) / (sin(sin(sin(sqrtabs(sin(x2)) + (x3 + x2)))) + (sin(x2) + (sin(sin(x3 + x3)) + 2.6331682))))"
47,0.0016155074,"(x2 + (x2 + (sin(sin(sin(sin(sin(x2))))) + 1.2770098))) - (sin(sin(sin(sin(sin((x3 + x2) + sqrtabs(x1)))))) / (sin(sin(sin(sqrtabs(sin(x2)) + (x3 + x2)))) + (sin(sin(x2)) + (sin(sin(x3 + x3)) + 2.6331682))))"
48,0.0015711655,"(x2 + ((x2 + sin(sin(sin(sin(sin(x2)))))) + 1.2770098)) - (sin(sin(sin(sin(sin((x3 + x2) + sqrtabs(x1)))))) / (sin(x2) + (sin(sin((x3 + x2) + (x3 + x2))) + (sin(sqrtabs(sin(x2)) + (x3 + x2)) + 2.6331682))))"
49,0.001566788,"(x2 + ((x2 + sin(sin(sin(sin(sin(x2)))))) + 1.2770098)) - (sin(sin(sin(sin(sin((x3 + x2) + sqrtabs(x1)))))) / (sin(sin(x2)) + (sin(sin((x3 + x2) + (x3 + x2))) + (sin(sqrtabs(sin(x2)) + (x3 + x2)) + 2.6331682))))"
50,0.0015661207,"(x2 + ((x2 + sin(sin(sin(sin(sin(x2)))))) + 1.2770098)) - (sin(sin(sin(sin(sin((x3 + x2) + sqrtabs(x1)))))) / (sin(sin(x2)) + (sin(sqrtabs(sin(sin(x2))) + (x3 + x2)) + (sin(sin((x3 + x2) + (x3 + x2))) + 2.6331682))))"
