Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,2.972192,1,0.11348828713685515,0.1423563422837183,0.11348828713685515,0.1423563422837183,-8.814779128840655e-09,-0.016610052701921285
1,x19 * 0.029628115,3,0.1115112910713544,0.16359935376634704,0.1115112910713544,0.16359935376634704,0.017420256595901407,-0.16831287588813293
2,sqrtabs(x43 * -0.02795593),4,0.10543846471273863,0.13603504973598513,0.10543846471273863,0.13603504973598513,0.07093085725218928,0.028532225099004216
3,-11.217827 - (x30 * -0.04123646),5,0.07993854127899845,0.15865966628138373,0.07993854127899845,0.15865966628138373,0.2956229757239933,-0.13303706116952219
4,-4.1225944 - (x30 * (x30 * -5.990495e-5)),7,0.0797999561071553,0.1580694991771764,0.0797999561071553,0.1580694991771764,0.296844116482754,-0.12882249790324063
5,-11.272451 - ((x30 + sin(x14)) * -0.04136612),8,0.0760759104651701,0.1544970476719011,0.0760759104651701,0.1544970476719011,0.32965847793594094,-0.10331053226271614
6,-11.384827 - ((x30 + sin(powabs(x31, 0.84028745))) * -0.041726023),10,0.07150722126736694,0.15215724795499294,0.07150722126736694,0.15215724795499294,0.36991540094832,-0.0866013089477673
7,-11.153744 - ((x30 + (sin(powabs(x49, 0.7065369)) * 1.8240305)) * -0.041051112),12,0.0686800920126287,0.15079615007718378,0.0686800920126287,0.15079615007718378,0.3948265997247148,-0.07688129392705045
8,-11.384827 - ((x30 + (sin(powabs(x31, 0.84028745)) + sin(powabs(x31, 0.84028745)))) * -0.04176708),15,0.06492015169085717,0.14543708357755028,0.06492015169085717,0.14543708357755028,0.42795724650573863,-0.0386105657724356
9,-11.384827 - (((x30 + sin(x14)) + (sin(powabs(x31, 0.84028697)) + sin(powabs(x31, 0.70608217)))) * -0.041726023),18,0.06302389671351327,0.14670911819756294,0.06302389671351327,0.14670911819756294,0.4446660632647077,-0.047694552908831955
10,-11.384827 - (((x30 + sin(powabs(x31, 0.84028745))) + (sin(powabs(x31, 0.84028745)) / sin(sin(0.84028745)))) * -0.04176708),19,0.06250371524768195,0.1436764594288962,0.06250371524768195,0.1436764594288962,0.4492496329311467,-0.02603741181358865
11,-11.384827 - ((x30 + (sin(powabs(x31, 0.84028745)) + (sin(powabs(x31, 0.84028745)) + sin(powabs(x31, 0.84028745))))) * -0.04176708),20,0.06037603763715524,0.14226682228308365,0.06037603763715524,0.14226682228308365,0.4679976260761658,-0.015970763077707284
12,exp(powabs(-1.4553782, powabs(x36 * sin(x5), sin(0.3333579 * x36) * powabs(0.15438199, sin(x30 * 0.15438199) * -0.48173892)))),21,0.05963065663002824,14.285578928249473,0.05963065663002824,14.285578928249473,0.4745655374659863,-101.01767560296594
13,-11.384827 - ((((x30 + sin(powabs(x31, 0.84028697))) + sin(x14)) + (sin(powabs(x31, 0.70608217)) + sin(powabs(x49, 0.70608217)))) * -0.041726023),23,0.057766772966287204,0.1442940746415379,0.057766772966287204,0.1442940746415379,0.4909891149751182,-0.030447990392671764
14,-11.384827 - ((((x30 + sin(powabs(x31, 0.84028697))) + sin(powabs(x31, 0.8402865))) + (sin(powabs(x31, 0.70608217)) + sin(powabs(x49, 0.7060827)))) * -0.041726023),25,0.05676371086969444,0.1466016300179588,0.05676371086969444,0.1466016300179588,0.49982757866807126,-0.04692694703908851
15,-11.384827 - (((sin(sin(powabs(x31, 0.84028697))) + ((x30 + sin(powabs(x31, 0.84028697))) + sin(powabs(x49, 0.7060827)))) + sin(powabs(x31, 0.84028697))) * -0.04176708),26,0.056570134035300146,0.14126284998108285,0.056570134035300146,0.14126284998108285,0.5015332774761536,-0.00880109070150814
16,-11.384827 - ((((x30 + (sin(powabs(x31, 0.84028697)) + 0.70608217)) + sin(powabs(x31, 0.70608217))) + (sin(powabs(x31, 0.84028697)) + sin(powabs(x49, 0.70608217)))) * -0.041726023),27,0.055909492353781585,0.14217846851434185,0.055909492353781585,0.14217846851434185,0.5073545098165915,-0.01533980187108952
17,-11.384828 - ((x30 + (sin(x30) + (sin(powabs(x31, 0.84030676)) + (sin(powabs(x31, 0.7058146)) + (sin(powabs(x31, 0.84030676)) + sin(powabs(x31, 0.84030676))))))) * -0.04184817),28,0.05579886480367286,0.13739816038392602,0.05579886480367286,0.13739816038392602,0.5083293024923368,0.018797836272970048
18,-11.384827 - ((((x30 + sin(sin(x14))) + sin(powabs(x31, 0.84028697))) + (sin(powabs(x31, 0.84028697)) + (sin(powabs(x31, 0.84028697)) + sin(powabs(x31, 0.70608217))))) * -0.041726023),29,0.05480602725113069,0.1413006843055909,0.05480602725113069,0.1413006843055909,0.5170776727985742,-0.009071277150633383
19,-11.384827 - (((((sin(powabs(x31, 0.8402865)) + (x30 + sin(powabs(x49, 0.7060827)))) + sin(powabs(x31, 0.7060827))) + sin(powabs(x31, 0.8402865))) + sin(powabs(x49, 0.7060827))) * -0.04176708),30,0.05312906066192527,0.1445077918039946,0.05312906066192527,0.1445077918039946,0.5318542338543004,-0.03197420982415555
