NeoGP.optimize!(rarindiv, buffers) = 65
NeoGP.extractparam(Float32, rarindiv) = Float32[0.83929104, -0.020135105, 0.38504496]
NeoGP.description_length_terms(rarindiv) = (-1274.7557f0, 14.4849415f0, 11.983779f0)
-- NEO GP --
SEED=-1
MAX_LEN=40
POPSIZE=300
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,func_compl,param_compl,nll_train,avg_len,avg_fitness,size,expression
1,28468,-1108.3834,-1108.3834,-1130.4102,12.875504,9.151228,6.7233334,Inf,8),"((abs(X1) ^ 0.6592534) * sqrt(abs((-1.4203695 * 2.2744372)))) RARLikelihood{Float32}"
2,58401,-1142.7109,-1142.7109,-1182.7145,27.242743,12.760798,6.14,Inf,14),"((abs(0.86833394) ^ log(abs(X1))) * (abs((0.0422316 + (-0.056283753 - (X1 + X1)))) ^ 0.83672214)) RARLikelihood{Float32}"
3,91919,-1142.7109,-1142.7109,-1182.7145,27.242743,12.760798,6.3933334,Inf,14),"((abs(0.86833394) ^ log(abs(X1))) * (abs((0.0422316 + (-0.056283753 - (X1 + X1)))) ^ 0.83672214)) RARLikelihood{Float32}"
4,125097,-1142.7109,-1142.7109,-1182.7145,27.242743,12.760798,6.7566667,Inf,14),"((abs(0.86833394) ^ log(abs(X1))) * (abs((0.0422316 + (-0.056283753 - (X1 + X1)))) ^ 0.83672214)) RARLikelihood{Float32}"
5,162970,-1225.5592,-1225.5592,-1238.9008,9.656628,3.6849062,7.4166665,Inf,6),"(sqrt(abs(X1)) + (X1 / 1.4140788)) RARLikelihood{Float32}"
6,198557,-1225.5592,-1225.5592,-1238.9008,9.656628,3.6849062,8.293333,Inf,6),"(sqrt(abs(X1)) + (X1 / 1.4140788)) RARLikelihood{Float32}"
7,236985,-1247.34,-1247.34,-1273.4207,17.917595,8.163104,9.45,Inf,10),"((sqrt(abs((0.020074546 - X1))) + 0.05092456) + (X1 / 1.5106164)) RARLikelihood{Float32}"
8,275494,-1247.34,-1247.34,-1273.4207,17.917595,8.163104,10.406667,Inf,10),"((sqrt(abs((0.020074546 - X1))) + 0.05092456) + (X1 / 1.5106164)) RARLikelihood{Float32}"
9,319659,-1247.34,-1247.34,-1273.4207,17.917595,8.163104,11.36,Inf,10),"((sqrt(abs((0.020074546 - X1))) + 0.05092456) + (X1 / 1.5106164)) RARLikelihood{Float32}"
10,366352,-1247.34,-1247.34,-1273.4207,17.917595,8.163104,12.316667,Inf,10),"((sqrt(abs((0.020074546 - X1))) + 0.05092456) + (X1 / 1.5106164)) RARLikelihood{Float32}"
11,414512,-1247.34,-1247.34,-1273.4207,17.917595,8.163104,12.5633335,Inf,10),"((sqrt(abs((0.020074546 - X1))) + 0.05092456) + (X1 / 1.5106164)) RARLikelihood{Float32}"
12,468145,-1247.34,-1247.34,-1273.4207,17.917595,8.163104,13.65,Inf,10),"((sqrt(abs((0.020074546 - X1))) + 0.05092456) + (X1 / 1.5106164)) RARLikelihood{Float32}"
13,518548,-1247.34,-1247.34,-1273.4207,17.917595,8.163104,16.123333,Inf,10),"((sqrt(abs((0.020074546 - X1))) + 0.05092456) + (X1 / 1.5106164)) RARLikelihood{Float32}"
14,569903,-1247.34,-1247.34,-1273.4207,17.917595,8.163104,16.793333,Inf,10),"((sqrt(abs((0.020074546 - X1))) + 0.05092456) + (X1 / 1.5106164)) RARLikelihood{Float32}"
15,632799,-1247.34,-1247.34,-1273.4207,17.917595,8.163104,17.866667,Inf,10),"((sqrt(abs((0.020074546 - X1))) + 0.05092456) + (X1 / 1.5106164)) RARLikelihood{Float32}"
16,684530,-1247.34,-1247.34,-1273.4207,17.917595,8.163104,17.813334,Inf,10),"((sqrt(abs((0.020074546 - X1))) + 0.05092456) + (X1 / 1.5106164)) RARLikelihood{Float32}"
17,741994,-1247.34,-1247.34,-1273.4207,17.917595,8.163104,18.133333,Inf,10),"((sqrt(abs((0.020074546 - X1))) + 0.05092456) + (X1 / 1.5106164)) RARLikelihood{Float32}"
18,799157,-1247.34,-1247.34,-1273.4207,17.917595,8.163104,20.116667,Inf,10),"((sqrt(abs((0.020074546 - X1))) + 0.05092456) + (X1 / 1.5106164)) RARLikelihood{Float32}"
19,849510,-1247.34,-1247.34,-1273.4207,17.917595,8.163104,19.72,Inf,10),"((sqrt(abs((0.020074546 - X1))) + 0.05092456) + (X1 / 1.5106164)) RARLikelihood{Float32}"
20,911964,-1247.34,-1247.34,-1273.4207,17.917595,8.163104,18.766666,Inf,10),"((sqrt(abs((0.020074546 - X1))) + 0.05092456) + (X1 / 1.5106164)) RARLikelihood{Float32}"
