NeoGP.optimize!(rarindiv, buffers) = 65
NeoGP.extractparam(Float32, rarindiv) = Float32[0.83929104, -0.020135105, 0.38504496]
NeoGP.description_length_terms(rarindiv) = (-1274.7557f0, 14.4849415f0, 11.983779f0)
 RARLikelihood{Float32}
-- NEO GP --
SEED=-1
MAX_LEN=40
POPSIZE=300
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,nll,func_compl,param_compl,avg_len,avg_fitness,size,expression
1,31165,-1219.7501,-1219.7501,-1249.894,23.292873,6.8510666,6.5,Inf,13,"((-3.0020406 / (((abs(X1) ^ -0.58226794) / (0.4733943 + X1)) + 3.668058)) - X1) RARLikelihood{Float32}"
2,55400,-1219.7498,-1219.7498,-1249.8942,23.292873,6.8515344,6.306667,Inf,13,"((-3.0020406 / (((abs(X1) ^ -0.5822679) / (0.4733943 + X1)) + 3.668058)) - X1) RARLikelihood{Float32}"
3,81301,-1219.7498,-1219.7498,-1249.8942,23.292873,6.8515344,6.4133334,Inf,13,"((-3.0020406 / (((abs(X1) ^ -0.5822679) / (0.4733943 + X1)) + 3.668058)) - X1) RARLikelihood{Float32}"
4,110676,-1219.7498,-1219.7498,-1249.8942,23.292873,6.8515344,7.5733333,Inf,13,"((-3.0020406 / (((abs(X1) ^ -0.5822679) / (0.4733943 + X1)) + 3.668058)) - X1) RARLikelihood{Float32}"
5,147030,-1219.7498,-1219.7498,-1249.8942,23.292873,6.8515344,8.69,Inf,13,"((-3.0020406 / (((abs(X1) ^ -0.5822679) / (0.4733943 + X1)) + 3.668058)) - X1) RARLikelihood{Float32}"
6,197507,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,10.3,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
7,250512,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,11.92,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
8,307240,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,13.11,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
9,352713,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,14.156667,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
10,397267,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,14.823334,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
11,448110,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,14.723333,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
12,501029,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,16.303333,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
13,564827,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,16.743334,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
14,623913,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,18.183332,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
15,675645,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,18.65,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
16,728173,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,18.976667,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
17,794425,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,20.14,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
18,859464,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,21.066668,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
19,922742,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,20.46,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
20,972743,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,20.316668,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
21,1030408,-1225.5591,-1225.5591,-1238.9006,9.656628,3.684906,20.263334,Inf,6,"((X1 * 0.7071741) + sqrt(abs(X1))) RARLikelihood{Float32}"
22,1097762,-1231.8433,-1231.8433,-1283.9442,35.83519,16.265741,21.666666,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.827479)) * ((X1 * 0.007520985) + ((X1 * ((abs(X1) ^ sqrt(abs(4.183189))) + X1)) + -0.00061232067)))))) ^ 0.5604976) RARLikelihood{Float32}"
23,1151952,-1231.8433,-1231.8433,-1283.9442,35.83519,16.265741,20.886667,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.827479)) * ((X1 * 0.007520985) + ((X1 * ((abs(X1) ^ sqrt(abs(4.183189))) + X1)) + -0.00061232067)))))) ^ 0.5604976) RARLikelihood{Float32}"
24,1217478,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,20.31,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
25,1278317,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,20.446667,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
26,1338251,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,20.66,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
27,1397768,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,21.386667,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
28,1459035,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,22.36,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
29,1522131,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,22.973333,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
30,1581588,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,23.093334,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
31,1639897,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,23.26,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
32,1700989,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,24.52,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
33,1764477,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,23.856667,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
34,1829071,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,24.03,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
35,1888441,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,23.216667,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
36,1948056,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,22.113333,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
37,2008487,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,21.283333,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
38,2068586,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,22.066668,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
39,2129197,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,20.393333,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
40,2177420,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,19.55,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
41,2233156,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,20.123333,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
42,2289599,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,21.536667,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
43,2357337,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,21.806667,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
44,2412519,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,20.963333,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
45,2463101,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,21.28,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
46,2519352,-1234.5024,-1234.5024,-1285.9592,35.83519,15.621559,22.006666,Inf,20,"(abs(sqrt(abs((sqrt(abs(10.590068)) * ((X1 * 0.010082059) + ((X1 * ((abs(X1) ^ sqrt(abs(-4.089968))) + X1)) + -0.00061606354)))))) ^ 0.56414527) RARLikelihood{Float32}"
47,2576321,-1318.2133,-1318.2133,-1393.4531,54.485485,20.754395,21.573334,Inf,28,"(abs(sqrt(abs((sqrt(abs((((1.5216362 + (abs(X1) ^ 0.106337816)) + ((-51210.34 + 51210.16) + (abs((abs(1/(X1)) ^ 0.9465929)) ^ 0.6456166))) + X1))) * ((abs(-8.301779) ^ -13.687854) + X1))))) ^ 1.3801928) RARLikelihood{Float32}"
48,2630624,-1317.3779,-1317.3779,-1393.4534,54.485485,21.589954,22.183332,Inf,28,"(abs(sqrt(abs((sqrt(abs((((1.5216275 + (abs(X1) ^ 0.106335685)) + ((-51210.34 + 51210.16) + (abs((abs(1/(X1)) ^ 0.94659436)) ^ 0.64561766))) + X1))) * ((abs(-8.301779) ^ -13.687854) + X1))))) ^ 1.3801938) RARLikelihood{Float32}"
49,2689249,-1317.3779,-1317.3779,-1393.4534,54.485485,21.589954,22.093334,Inf,28,"(abs(sqrt(abs((sqrt(abs((((1.5216275 + (abs(X1) ^ 0.106335685)) + ((-51210.34 + 51210.16) + (abs((abs(1/(X1)) ^ 0.94659436)) ^ 0.64561766))) + X1))) * ((abs(-8.301779) ^ -13.687854) + X1))))) ^ 1.3801938) RARLikelihood{Float32}"
