NeoGP.optimize!(rarindiv, buffers) = 65
NeoGP.extractparam(Float32, rarindiv) = Float32[0.83929104, -0.020135105, 0.38504496]
NeoGP.description_length_terms(rarindiv) = (-1274.7557f0, 14.4849415f0, 11.983779f0)
 RARLikelihood{Float32}
-- NEO GP --
SEED=-1
MAX_LEN=40
POPSIZE=300
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,nll,func_compl,param_compl,avg_len,avg_fitness,size,expression
1,23610,-1203.2562,-1203.2562,-1252.4098,37.352818,11.800783,6.55,Inf,17,"((abs((X1 / exp((X1 * 0.01104581)))) ^ 0.6073765) * (sqrt(abs((-6.346548 - (7.52483 + X1)))) - 2.14837)) RARLikelihood{Float32}"
2,48451,-1203.255,-1203.255,-1252.4099,37.352818,11.80213,6.0533333,Inf,17,"((abs((X1 / exp((X1 * 0.011045908)))) ^ 0.60737664) * (sqrt(abs((-6.346548 - (7.52483 + X1)))) - 2.14837)) RARLikelihood{Float32}"
3,77578,-1203.255,-1203.255,-1252.4099,37.352818,11.80213,6.673333,Inf,17,"((abs((X1 / exp((X1 * 0.011045908)))) ^ 0.60737664) * (sqrt(abs((-6.346548 - (7.52483 + X1)))) - 2.14837)) RARLikelihood{Float32}"
4,109022,-1205.386,-1205.386,-1225.0383,12.875504,6.77681,7.536667,Inf,8,"(abs(sqrt(abs((sqrt(abs(sqrt(abs(X1)))) + 0.18713094)))) ^ 6.617362) RARLikelihood{Float32}"
5,143204,-1212.8577,-1212.8577,-1240.7578,19.709354,8.19084,9.163333,Inf,11,"(((-2.8484914 * X1) * -0.25080782) + sqrt(abs(sqrt(abs((abs(X1) ^ 2.0193286)))))) RARLikelihood{Float32}"
6,184827,-1216.5785,-1216.5785,-1250.029,23.350922,10.099568,10.486667,Inf,12,"((abs(X1) ^ 0.612041) * (sqrt(abs((-12.160079 - (13.33836 + X1)))) - 3.451021)) RARLikelihood{Float32}"
7,220708,-1216.5785,-1216.5785,-1250.029,23.350922,10.099568,10.636666,Inf,12,"((abs(X1) ^ 0.612041) * (sqrt(abs((-12.160079 - (13.33836 + X1)))) - 3.451021)) RARLikelihood{Float32}"
8,266040,-1216.5785,-1216.5785,-1250.029,23.350922,10.099568,11.673333,Inf,12,"((abs(X1) ^ 0.612041) * (sqrt(abs((-12.160079 - (13.33836 + X1)))) - 3.451021)) RARLikelihood{Float32}"
9,310555,-1216.5785,-1216.5785,-1250.029,23.350922,10.099568,13.06,Inf,12,"((abs(X1) ^ 0.612041) * (sqrt(abs((-12.160079 - (13.33836 + X1)))) - 3.451021)) RARLikelihood{Float32}"
10,356516,-1216.5785,-1216.5785,-1250.029,23.350922,10.099568,13.93,Inf,12,"((abs(X1) ^ 0.612041) * (sqrt(abs((-12.160079 - (13.33836 + X1)))) - 3.451021)) RARLikelihood{Float32}"
11,413439,-1216.5785,-1216.5785,-1250.029,23.350922,10.099568,14.993333,Inf,12,"((abs(X1) ^ 0.612041) * (sqrt(abs((-12.160079 - (13.33836 + X1)))) - 3.451021)) RARLikelihood{Float32}"
12,467725,-1216.5826,-1216.5826,-1250.0292,23.350922,10.095528,16.763334,Inf,12,"((abs(X1) ^ 0.61204094) * (sqrt(abs((-12.160124 - (13.3384075 + X1)))) - 3.4510303)) RARLikelihood{Float32}"
13,522661,-1220.1628,-1220.1628,-1239.4441,12.875504,6.405705,17.893333,Inf,8,"((X1 * 0.71951544) + sqrt(abs((-0.98136365 * X1)))) RARLikelihood{Float32}"
14,575278,-1220.1628,-1220.1628,-1239.4441,12.875504,6.405705,17.706667,Inf,8,"((X1 * 0.71951544) + sqrt(abs((-0.98136365 * X1)))) RARLikelihood{Float32}"
15,635158,-1220.1628,-1220.1628,-1239.4441,12.875504,6.405705,18.983334,Inf,8,"((X1 * 0.71951544) + sqrt(abs((-0.98136365 * X1)))) RARLikelihood{Float32}"
16,698926,-1221.0258,-1221.0258,-1240.7582,11.266066,8.46626,19.596666,Inf,7,"(((abs(X1) ^ -0.49516788) + 0.71442384) * X1) RARLikelihood{Float32}"
17,759109,-1455.1637,-1455.1637,-1539.8029,66.54213,18.097076,19.853333,Inf,32,"((abs(X1) ^ 0.72798383) * (sqrt(abs(((-14.620048 * 15.466546) - (sqrt(abs((X1 * (15.291705 * (abs(1/((((0.31032816 * 0.72767615) * X1) + ((-6.789097 + X1) * 0.0003612293)))) ^ 1.4734048))))) + X1)))) - 13.732298)) RARLikelihood{Float32}"
