gen,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,9.626032,4.609251,6.537073,14.544114,15.530868,-1173.7698,-1215.852,-1213.5815,-1110.8418,-1107.8403,-1207.0879,-1249.3752,-1247.9442,-1130.41,-1130.4099,17.917595,6.931472,9.656628,33.271065,37.429947,17),10),10),8),9),6.5633335,6.08,6.16,6.94,7.076667
2,9.890065,3.684906,4.609251,13.919123,16.992434,-1197.4321,-1224.6428,-1220.2905,-1142.7109,-1115.3591,-1236.5236,-1249.5806,-1248.9259,-1171.9952,-1130.4102,20.794415,9.656628,9.704061,33.271065,36.972294,15),10),10),9),9),6.056667,5.2433333,5.43,6.7233334,7.08
3,9.58359,3.684906,3.6849062,14.314047,16.801987,-1209.5271,-1225.5591,-1224.5667,-1164.0146,-1149.1073,-1240.7578,-1251.9551,-1250.249,-1199.0527,-1177.1417,19.709354,9.656628,11.266066,35.155594,37.352818,15),10),10),9),9),6.3166666,5.2766666,5.58,7.26,7.8233333
4,7.972108,2.9917598,3.684906,12.760798,14.314047,-1214.5963,-1225.5592,-1225.5591,-1191.7847,-1183.7607,-1240.7578,-1261.6459,-1251.6322,-1225.2506,-1217.7104,17.917595,9.656628,9.656628,31.134562,33.271065,16),10),10),9),9),7.096667,5.71,5.983333,8.386666,8.69
5,8.051609,2.8032074,3.61889,13.354062,15.429901,-1221.0256,-1232.1975,-1225.5592,-1209.1837,-1201.1392,-1241.3296,-1269.7446,-1261.6459,-1238.9005,-1232.1556,15.567281,9.656628,9.656628,31.134562,34.04343,6),10),10),9),9),8.043333,6.28,6.576667,9.293333,9.956667
6,7.796198,2.8032074,2.9917588,13.354062,15.429901,-1222.5225,-1233.557,-1226.5314,-1214.7926,-1213.5221,-1242.443,-1280.1771,-1264.7942,-1238.9006,-1238.9006,15.567281,9.656628,9.656628,27.242743,36.972294,6),10),10),9),9),8.97,7.0533333,7.55,10.4366665,10.926666
7,7.7178783,2.8032074,2.9917588,13.984667,15.429901,-1223.2219,-1239.0956,-1232.1975,-1215.8431,-1215.3462,-1242.443,-1280.1771,-1267.8116,-1238.9006,-1238.9006,16.09438,9.656628,9.656628,25.296831,31.191624,6),10),10),9),9),10.163333,7.983333,8.51,11.666667,12.776667
8,7.8946877,2.8032074,2.8032079,13.99175,18.760525,-1224.5667,-1242.8573,-1234.0118,-1216.1012,-1215.5271,-1245.5656,-1290.6636,-1280.1771,-1238.9006,-1238.9005,14.4849415,9.656628,9.656628,32.25167,37.352818,6),10),10),8),9),11.236667,8.933333,9.406667,13.456667,13.616667
9,6.405705,2.8032074,3.684906,15.031509,18.760525,-1225.5591,-1304.1199,-1239.0956,-1218.7561,-1217.9319,-1243.5277,-1354.307,-1289.4995,-1238.9006,-1238.9005,14.334076,9.656628,9.656628,36.972294,44.75593,6),10),11),8),9),12.373333,9.916667,10.616667,14.746667,15.03
10,6.1625757,2.8032074,3.684906,14.478621,18.003284,-1225.5591,-1304.1199,-1242.5432,-1220.0001,-1218.5269,-1242.443,-1354.307,-1289.5684,-1238.9006,-1238.9006,14.334076,9.656628,9.656628,36.972294,44.75593,6),10),10),8),9),13.643333,11.06,11.196667,16.09,16.703333
11,6.2604904,2.8032074,3.684906,18.003284,19.350569,-1225.5591,-1373.1482,-1247.34,-1221.0258,-1218.7561,-1242.443,-1512.5602,-1309.8418,-1238.9006,-1238.9006,14.334076,9.656628,9.656628,39.55004,47.827156,6),10),11),8),9),14.863334,11.286667,12.426666,16.97,17.37
12,6.5457926,2.8032079,3.684906,18.003284,20.809563,-1225.5591,-1379.4652,-1270.6188,-1221.563,-1221.0258,-1245.5656,-1512.5603,-1320.9841,-1238.9006,-1238.9006,14.334076,9.656628,9.656628,43.668274,47.827156,6),10),11),8),9),15.746667,12.223333,12.876667,18.143333,18.47
13,6.5457926,2.8032079,3.684906,18.003284,19.350569,-1225.5591,-1460.4167,-1347.7458,-1221.563,-1221.0258,-1242.443,-1521.159,-1415.3595,-1238.9006,-1238.9006,14.334076,9.656628,9.656628,43.668274,50.536167,6),10),12),8),9),16.766666,13.043333,13.8133335,18.666666,19.51
14,7.959041,3.684906,3.684906,18.760525,20.32098,-1225.5592,-1460.4167,-1398.477,-1221.5631,-1221.1288,-1245.8037,-1545.7307,-1444.1322,-1238.9006,-1238.9006,14.4849415,9.656628,9.656628,43.944492,50.536167,6),11),13),8),9),17.656666,14.113334,14.783334,19.283333,19.99
15,8.34964,3.684906,3.684906,18.003284,19.509401,-1225.5592,-1469.5155,-1398.8728,-1222.3466,-1221.1288,-1249.7166,-1545.8842,-1444.019,-1238.9006,-1238.9006,16.09438,9.656628,9.656628,43.944492,47.827156,6),10),12),9),9),18.08,15.66,15.996667,19.866667,20.57
16,9.628926,2.8032079,3.684906,20.734043,23.674921,-1226.9802,-1471.2693,-1415.5414,-1222.4457,-1221.7632,-1264.7942,-1548.1482,-1521.159,-1238.9006,-1238.9006,19.4591,9.656628,9.656628,56.14492,81.09822,34),10),12),8),9),18.693333,15.76,16.56,20.896667,21.363333
17,9.628926,2.8032074,3.684906,20.734043,26.565462,-1228.4396,-1474.104,-1415.5414,-1223.2219,-1222.3466,-1266.3099,-1552.0062,-1538.7009,-1238.9006,-1238.9006,21.501114,9.656628,9.656628,67.14107,81.09822,31),11),12),8),9),19.323334,16.666666,17.293333,21.583334,21.946667
18,11.49951,2.8032079,3.684906,21.925919,25.530327,-1230.1055,-1477.8586,-1448.431,-1224.5665,-1222.3466,-1268.8846,-1558.246,-1545.8842,-1238.9006,-1238.9006,25.296831,9.656628,9.656628,70.70101,87.888985,29),11),12),8),9),19.876667,17.016666,17.603333,21.866667,22.373333
19,11.886366,3.684906,3.684906,23.2032,24.554682,-1232.5529,-1477.8586,-1469.5155,-1224.6101,-1222.4457,-1269.443,-1562.6588,-1552.0062,-1238.9006,-1238.9006,25.296831,9.656628,9.656628,71.380135,86.32423,28),11),13),8),9),20.46,17.49,18.07,22.143333,22.633333
20,12.163449,3.684906,3.684906,22.85516,25.109379,-1235.8365,-1483.4482,-1473.4307,-1225.5591,-1224.6101,-1276.2788,-1566.2366,-1557.731,-1238.9006,-1238.9006,29.11218,9.656628,9.656628,76.73265,83.49454,28),11),13),8),9),20.653334,17.506666,18.446667,22.43,23.056667
21,12.957638,3.684906,3.684906,23.95314,26.762186,-1239.913,-1492.8872,-1477.8038,-1225.5216,-1224.6101,-1285.8776,-1564.4484,-1558.8717,-1238.9006,-1238.9006,32.25167,9.656628,9.656628,76.93934,86.32423,27),10),12),6),8),20.78,18.103333,18.78,22.603333,23.55
22,13.240782,3.684906,3.684906,23.2032,25.381792,-1240.1704,-1492.8872,-1481.786,-1225.5591,-1224.6101,-1285.8936,-1564.5094,-1560.6005,-1238.9006,-1238.9006,32.25167,9.656628,9.656628,76.93934,86.32423,28),11),12),6),8),21.146667,18.023333,18.826666,23.08,23.626667
