-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=50
TSIZE=3
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,size,Expression
1,68160,-2802.5457,-2772.7454,0.00022645306,0.00015127234,0.0037189722,0.005661249,-2802.5457,-2964.149,7.108,10,"((0.0035718153 * exp(pdiv((-325865.7 - 325865.06), X9))) + 0.079298474) [likelihood params: Float32[0.015048358]]"
2,108134,-3131.3042,-3112.3596,0.000118023745,0.00013788736,0.48075414,0.09364301,-3131.3042,-3040.3574,7.348,5,"(pdiv(0.010446015, X1) - -0.06767978) [likelihood params: Float32[0.010863874]]"
3,157470,-3131.3042,-3112.3596,0.000118023745,0.00013788736,0.48075414,0.09364301,-3131.3042,-3040.3574,7.53,5,"(pdiv(0.010446015, X1) - -0.06767978) [likelihood params: Float32[0.010863874]]"
4,211610,-3171.629,-3052.2422,0.00010895725,0.00014753005,0.5206422,0.030259967,-3171.629,-2987.0942,8.228,38,"(pdiv((abs((X14 - X10)) ^ ((X8 + 0.4944187) + (pdiv(0.07868791, (0.67218614 * (abs(pdiv(X15, X16)) ^ (-0.7086262 + X12)))) * X13))), 0.89966625) - ((X5 - X12) * pdiv(log(abs((X12 + X7)), (abs(pdiv(X1, -5.103002e-6)) ^ -0.20796551)))) [likelihood params: Float32[0.010438261]]"
5,262765,-3171.629,-3052.2422,0.00010895725,0.00014753005,0.5206422,0.030259967,-3171.629,-2987.0942,10.078,38,"(pdiv((abs((X14 - X10)) ^ ((X8 + 0.4944187) + (pdiv(0.07868791, (0.67218614 * (abs(pdiv(X15, X16)) ^ (-0.7086262 + X12)))) * X13))), 0.89966625) - ((X5 - X12) * pdiv(log(abs((X12 + X7)), (abs(pdiv(X1, -5.103002e-6)) ^ -0.20796551)))) [likelihood params: Float32[0.010438261]]"
6,312132,-3171.629,-3052.2422,0.00010895725,0.00014753005,0.5206422,0.030259967,-3171.629,-2987.0942,11.27,38,"(pdiv((abs((X14 - X10)) ^ ((X8 + 0.4944187) + (pdiv(0.07868791, (0.67218614 * (abs(pdiv(X15, X16)) ^ (-0.7086262 + X12)))) * X13))), 0.89966625) - ((X5 - X12) * pdiv(log(abs((X12 + X7)), (abs(pdiv(X1, -5.103002e-6)) ^ -0.20796551)))) [likelihood params: Float32[0.010438261]]"
7,352552,-3171.629,-3052.2422,0.00010895725,0.00014753005,0.5206422,0.030259967,-3171.629,-2987.0942,13.758,38,"(pdiv((abs((X14 - X10)) ^ ((X8 + 0.4944187) + (pdiv(0.07868791, (0.67218614 * (abs(pdiv(X15, X16)) ^ (-0.7086262 + X12)))) * X13))), 0.89966625) - ((X5 - X12) * pdiv(log(abs((X12 + X7)), (abs(pdiv(X1, -5.103002e-6)) ^ -0.20796551)))) [likelihood params: Float32[0.010438261]]"
8,396634,-3171.6292,-3035.976,0.00010895724,0.00014753002,0.5206423,0.030260146,-3171.6292,-2987.0947,16.782,42,"(pdiv(0.23221911, X2) - (pdiv((abs((X14 - X10)) ^ ((X8 + 0.4944187) + ((0.08261541 + (0.67218614 * (abs(pdiv(X15, X16)) ^ (-0.7086262 + X3)))) * X13))), 0.89966625) - ((X5 - X12) * pdiv(log(abs((X12 + X7)), (abs(pdiv(X1, -5.103001e-6)) ^ -0.20796551))))) [likelihood params: Float32[0.010438258]]"
9,436100,-3179.9353,-3128.3628,0.00010717798,0.00013923696,0.52847016,0.08477187,-3179.9353,-3023.026,19.534,18,"pdiv((0.43233782 + pdiv((X11 + (X4 - 0.119308285)), X14)), (log(abs(pdiv(X1, 0.004367336)) + pdiv(-1.0736028, X14))) [likelihood params: Float32[-0.010352678]]"
10,469997,-3179.9353,-3128.3628,0.00010717798,0.00013923696,0.52847016,0.08477187,-3179.9353,-3023.026,23.636,18,"pdiv((0.43233782 + pdiv((X11 + (X4 - 0.119308285)), X14)), (log(abs(pdiv(X1, 0.004367336)) + pdiv(-1.0736028, X14))) [likelihood params: Float32[-0.010352678]]"
11,497914,-3185.7263,-3125.3684,0.0001059548,0.00013632627,0.5338515,0.10390431,-3185.7263,-3035.0854,28.47,20,"pdiv((0.42476922 + pdiv((X11 + (X4 - -0.01963164)), (X5 - X12))), (log(abs(pdiv(X1, 0.0047605783)) + pdiv(0.39112738, X14))) [likelihood params: Float32[-0.010293434]]"
12,521120,-3185.7263,-3125.3684,0.0001059548,0.00013632627,0.5338515,0.10390431,-3185.7263,-3035.0854,31.044,20,"pdiv((0.42476922 + pdiv((X11 + (X4 - -0.01963164)), (X5 - X12))), (log(abs(pdiv(X1, 0.0047605783)) + pdiv(0.39112738, X14))) [likelihood params: Float32[-0.010293434]]"
