Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,(3303.794434 + ((-13435.312500) * (0.085921 * X1))),9,244880.08227885372,244332.55372402066,244880.08227885372,244332.55372402066,0.5437712729234309,0.5319918658197403
0,(3340.756592 + ((-0.654125) * ((162.520935 * X5) - ((-1743.538086) * X1)))),13,242225.39212072134,240583.6064448744,242225.39212072134,240583.6064448744,0.5487171464316252,0.5391728075097093
0,(3370.968750 + ((-117.762131) * sqrt(abs(((2.718282 * X5) + ((-108.786537) * X1)))))),14,239583.01096916985,238396.36377311245,239583.01096916985,238396.36377311245,0.5536400873993217,0.54336237351804
0,(0.000945 + (1.000000 * (((-1126.546875) * X1) + ((213.367004 * X8) + 3117.256104)))),15,238686.34175071758,237971.6752993882,238686.34175071758,237971.6752993882,0.5553106448915288,0.5441758453913788
0,(3024.845947 + ((-889.042297) * sin((((-0.490806) * X1) - (((-206.976807) * X8) + (1097.248169 * X1)))))),17,235845.57690674852,240788.47422407172,235845.57690674852,240788.47422407172,0.5606031885587267,0.5387803923950043
0,(8715.426758 + (6606.775879 * sin((((-0.490806) * X1) - ((0.055742 * X5) + exp(((-0.043943) * X4))))))),18,232789.25623340614,232386.9672504129,232789.25623340614,232386.9672504129,0.5662973278180764,0.5548731051470093
0,(379.321411 + (0.885495 * (((-2919.581787) - (263.323151 * X8)) / (((-0.604778) * X1) - exp(((-0.034509) * X4)))))),22,232418.17764430385,233811.43346758408,232418.17764430385,233811.43346758408,0.5669886731932332,0.5521446034948958
0,(8599.710938 + ((-6498.828613) * sin(((0.482608 * X1) - sin((((-0.235834) * X5) + (4.727506 + (0.227791 * X4)))))))),21,228665.91031343798,233180.7426554086,228665.91031343798,233180.7426554086,0.5739794097696058,0.5533526636807042
0,(32.185257 + (0.964305 * ((((-262.006622) * X8) + (-3025.860107)) / (((-0.494240) * X1) - ((0.055742 * X5) + exp(((-0.043943) * X4))))))),24,226640.95762022072,226474.74884508122,226640.95762022072,226474.74884508122,0.5777520383191372,0.5661976964164592
0,(13.946424 + (0.995346 * ((((-3026.026855) - (261.954742 * X8)) - exp((2.723411 * X4))) / (((-0.517525) * X1) - exp((0.064755 * X5)))))),27,224810.43963925669,226785.4988830526,224810.43963925669,226785.4988830526,0.5811624213955158,0.5656024685466942
0,(11.513182 + (0.996196 * ((2935.132080 - ((-240.694382) * X8)) / ((0.482635 * X1) - sin((((-0.235794) * X5) + (4.727242 + (0.227999 * X4)))))))),28,222824.2465212279,226879.16564743087,222824.2465212279,226879.16564743087,0.5848628381445375,0.5654230540275758
0,(0.160875 + (0.999945 * ((((((-356.774475) * X8) + (14118.864258 * X1)) - exp((2.858175 * X4))) / (((-16.538649) * X1) - exp((0.642772 * X5)))) - (-2913.516357)))),30,221103.93661132728,228418.20955042896,221103.93661132728,228418.20955042896,0.5880678958734771,0.5624750839168176
0,((-0.262467) + (1.000080 * ((((-862.521179) - (280.269165 * X8)) / (((-8.504411) * X1) - sin(((0.379200 * X5) + (1.496162 + (5.950574 * X4)))))) - (-2036.436035)))),32,220663.743461038,228611.50139287152,220663.743461038,228611.50139287152,0.5888880065119388,0.5621048419938521
0,((-9.943248) + (1.003253 * (((((-245.654037) * X8) + (-696.799744)) / (((-35.798752) * X1) - sin(((0.283566 * X5) + sin((1.919970 + (5.713785 * X4))))))) - (-2130.013428)))),32,220431.2713825019,229206.73830633136,220431.2713825019,229206.73830633136,0.5893211182598784,0.5609646921733815
0,(0.335166 + (0.999814 * (((((277.874847 * X8) + 760.835754) - (148.802567 * X7)) / ((406.591858 * X1) - sin((((-0.380934) * X5) + (4.803437 + (0.339362 * X4)))))) - (-2147.706787)))),35,219702.53088974024,228793.4760765523,219702.53088974024,228793.4760765523,0.5906788127864722,0.5617562775848963
0,(0.021037 + (0.999992 * (((((247.403854 * X8) + 684.807007) - (134.203842 * X7)) / (((-760.989441) * X1) - sin((((-0.282240) * X5) + sin((5.021137 + ((-0.550848) * X4))))))) - (-2151.866455)))),36,219417.5839778666,228834.5394707822,219417.5839778666,228834.5394707822,0.5912096888204832,0.5616776224805161
0,(0.353858 + (0.999849 * (((((139.718002 * X7) - ((-140732.046875) * X1)) - (110.253716 - ((-253.105881) * X8))) / (((-188.985214) * X1) - ((0.459362 * X5) + sin((1.964251 + ((-0.716199) * X4)))))) - (-2888.749023)))),40,219265.0798645581,229761.1482436684,219265.0798645581,229761.1482436684,0.5914938146539981,0.5599027446089273
0,((-0.142713) + (1.000034 * ((((((-243.859772) * X8) + (-696.498657)) - ((-127.290276) * X7)) / (((-35.213638) * X1) - (((-0.130855) * X5) + sin(((0.608757 * X5) + sin((1.251754 + (6.846651 * X4)))))))) - (-2125.695801)))),39,218954.24192951666,228379.6233594668,218954.24192951666,228379.6233594668,0.5920729274757162,0.5625489940485706
0,(0.199836 + (0.999934 * (((9426.303711 * X1) + (((-19.854868) * X9) + ((248.776184 * X8) + 2457.159180))) / sqrt(abs((((-31.522882) * X1) - (((-1.475789) * X5) + sin(((1.510289 * X5) + sin((2.304899 + (4.815064 * X4)))))))))))),39,218835.43797886794,229424.278757571,218835.43797886794,229424.278757571,0.59229426754826,0.5605480031192968
