id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
26,(((x0 * -1218.5346955153052) + x2) + (x2 - (-2899.993021722501 + (x7 * ((x0 * (Exp(x0) * (x2 + (x2 + -356.9051640131148)))) + (-132.6642045996212 / Exp(((Exp(x0) - (x3 - x4)) + x4)))))))),-1218.5346955153052;-2899.993021722501;-356.9051640131148;-132.6642045996212,34,220508.67694634292,205289.70154596763,224932.409872646,0.5733862045882587,0.6018275847636915,0.5720845679123914,220508.67694634292,205289.70154596763,224932.409872646,220590.20538561806,205371.22998524277,225013.93831192114
27,((x0 * -1219.7210664290355) + ((x2 + x2) - (-2902.1004052981357 + (x7 * ((x0 * (Exp(x0) * (x2 + ((x2 + x2) + -475.29771667938456)))) + (-48.1346737519482 / Exp(((x0 - (x3 - x4)) + x4)))))))),-1219.7210664290355;-2902.1004052981357;-475.29771667938456;-48.1346737519482,35,224841.9629072446,205072.52203270307,230990.8253494831,0.5650026815632918,0.6022488182239438,0.5605589301530092,224841.9629072446,205072.52203270307,230990.8253494831,224925.88924179255,205156.44836725103,231074.75168403104
28,((x0 * -1217.6481715286002) + ((x2 + x2) - (-2899.7506657389395 + (x7 * ((x0 * (x2 + (Exp(x0) * (x2 + (x2 + -402.7190940485858))))) + (-132.85965391358334 / Exp(((Exp(x0) - (x3 - x4)) + x4)))))))),-1217.6481715286002;-2899.7506657389395;-402.7190940485858;-132.85965391358334,36,221615.76195448538,204848.6797758216,226666.6536005153,0.5712443490218131,0.6026829744986291,0.568785311684369,221615.76195448538,204848.6797758216,226666.6536005153,221702.08618430613,204935.00400564235,226752.97783033605
29,((x0 * -1221.3762328434339) + ((x2 + (x2 + x2)) - (-2773.2136124345034 + (x7 * ((x0 * (Exp(x0) * (x2 + ((x2 + x2) + -477.62458489845983)))) + (-46.855022667497245 / Exp(((x0 - (x3 - x4)) + x4)))))))),-1221.3762328434339;-2773.2136124345034;-477.62458489845983;-46.855022667497245,37,224196.66878560607,204627.85381592158,229597.20192490937,0.5662511193944075,0.6031112804737371,0.5632101842352089,224196.66878560607,204627.85381592158,229597.20192490937,224285.3909106996,204716.57594101512,229685.9240500029
30,((x0 * -1208.8457628850279) + ((x2 + x2) - (-2890.41091909646 + (x7 * ((x0 * (Exp(x0) * (x2 + ((x2 + x2) + -474.0991177636621)))) + (-94.42412012642578 / Exp(((x0 - (x3 - x4)) + Sqrt(Abs(Sin((x8 + x7)))))))))))),-1208.8457628850279;-2890.41091909646;-474.0991177636621;-94.42412012642578,40,225805.78177941727,203358.22104460504,230631.549386318,0.5631380001691574,0.6055738138751268,0.5612424231592128,225805.78177941727,203358.22104460504,230631.549386318,225908.70501527228,203461.14428046005,230734.472622173
31,((x0 * -1236.8513627252617) + ((x2 + x2) - (-2918.524727991273 + (x7 * ((x0 * (Exp(x0) * (x2 + (x2 + -352.6154481042892)))) + (-88.08703059612137 / Exp(((Sqrt(Abs(x0)) - ((x3 - x4) - Sqrt(Abs(Sin((x8 + x7)))))) + x4)))))))),-1236.8513627252617;-2918.524727991273;-352.6154481042892;-88.08703059612137,42,221875.69750182724,203044.76679179232,224836.13589273518,0.5707414568365731,0.6061817783076757,0.5722677212504793,221875.69750182724,203044.76679179232,224836.13589273518,221981.25979501184,203150.32908497693,224941.69818591978
32,((x0 * -1237.3617799682627) + ((x2 + x2) - (-2918.2863607256013 + (x7 * ((x0 * (x2 + (-1084.441620423823 + (Exp(x0) * (x2 + x2))))) + (-88.31974975979668 / Exp((x0 - (((x3 - x4) - Sqrt(Abs(Sin((x8 + x7))))) - x4))))))))),-1237.3617799682627;-2918.2863607256013;-1084.441620423823;-88.31974975979668,42,222972.16015745816,202590.73920774888,226582.90420764557,0.5686201521263745,0.6070623936447388,0.568944638024478,222972.16015745816,202590.73920774888,226582.90420764557,223080.36150797238,202698.9405582631,226691.1055581598
33,((x0 * -1234.408512741348) + ((x2 + x2) - (-2916.0516131986083 + (x7 * ((x0 * (x2 + (-1098.0893462086563 + (Exp(x0) * (x2 + x2))))) + (-244.06028176435464 / Exp(((Exp(x0) - ((x3 - x4) - Sqrt(Abs(Sin((x8 + x7)))))) + x4)))))))),-1234.408512741348;-2916.0516131986083;-1098.0893462086563;-244.06028176435464,43,222642.8188384727,202343.678262862,226353.27271629847,0.5692573222913947,0.6075415840395583,0.5693814930730517,222642.8188384727,202343.678262862,226353.27271629847,222753.65924631656,202454.51867070585,226464.1131241423
34,((x0 * -1234.1964671218946) + ((x2 + x2) - (-2910.592228418277 + (x7 * ((x0 * (x2 + (-1104.2021200902334 + (Exp(x0) * (x2 + x2))))) + (-93.92689058577517 / Exp((((x0 * 305.32628624409676) - ((x3 - x4) - Sqrt(Abs(Sin((x8 + x7)))))) + x4)))))))),-1234.1964671218946;-2910.592228418277;-1104.2021200902334;-93.92689058577517;305.32628624409676,44,222468.01236429243,201704.14218476648,225901.53541497854,0.5695955169350039,0.6087820048835091,0.5702408861796026,222468.01236429243,201704.14218476648,225901.53541497854,222581.4918294659,201817.62164993995,226015.014880152
35,((x0 * -1233.7245222828765) + (((x2 + x8) + x2) - (-2913.6124205356527 + (x7 * ((x0 * (x2 + (-1113.2408156412089 + (Exp(x0) * (x2 + x2))))) + (-90.61765772898646 / Exp((((x0 * 171.34011149670337) - ((x3 - x4) - Sqrt(Abs(Sin((x8 + x7)))))) + x4)))))))),-1233.7245222828765;-2913.6124205356527;-1113.2408156412089;-90.61765772898646;171.34011149670337,46,222466.86767576053,202061.4214787722,226278.92888540577,0.5695977315413673,0.6080890389999948,0.5695229261041455,222466.86767576053,202061.4214787722,226278.92888540577,222585.62525559322,202180.17905860487,226397.68646523845
36,((x0 * -1234.182883491196) + ((x2 + (x2 + x2)) - (-2786.2674595861654 + (x7 * ((x0 * (x2 + (x2 + (Exp(x0) * (x2 + (x2 + -451.78106003160764)))))) + (-238.5634683622243 / Exp((Exp(x0) - (((x3 - x4) - Sqrt(Abs(Sin((x8 + x7))))) - x4))))))))),-1234.182883491196;-2786.2674595861654;-451.78106003160764;-238.5634683622243,47,223744.34112837812,202006.51660965808,227474.83512202857,0.5671262288063907,0.6081955304809545,0.5672478127299969,223744.34112837812,202006.51660965808,227474.83512202857,223865.73776554043,202127.9132468204,227596.23175919088
37,((x0 * -1232.6507616078316) + ((x2 + (x2 + x2)) - (-2784.7328440151005 + (x7 * ((x0 * (x2 + (x2 + (Exp(x7) * (x2 + (x2 + -456.86580196454565)))))) + (-88.73662430666181 / Exp((((x0 * 24.83757470717616) - ((x3 - x4) - Sqrt(Abs(Sin((x8 + x7)))))) + x4)))))))),-1232.6507616078316;-2784.7328440151005;-456.86580196454565;-88.73662430666181;24.83757470717616,48,223514.1319923762,201865.1911350097,227390.69052637392,0.5675716098889327,0.6084696402154,0.5674078909109393,223514.1319923762,201865.1911350097,227390.69052637392,223638.1676868681,201989.2268295016,227514.72622086582
38,(((x0 * -79.64230336445758) * 13.25218467677353) + ((x2 + (x2 + 1401.9988445335173)) - (-1401.8145357118808 + (x7 * ((x0 * (x2 + (x2 + (Exp(x0) * (x3 + (x2 + -290.24323870430595)))))) + (-435.1059596114455 / Exp((Exp(x0) - (((x3 - x4) - Sqrt(Abs(Sin((x8 + x7))))) - x4))))))))),-79.64230336445758;13.25218467677353;1401.9988445335173;-1401.8145357118808;-290.24323870430595;-435.1059596114455,49,229392.4252248434,203151.00896539955,226847.40889132125,0.5561989917172849,0.6059757148639346,0.5684414395922541,229392.4252248434,203151.00896539955,226847.40889132125,229519.09997666493,203277.68371722108,226974.08364314277
