gen,fevals_median,fevals_p5,fevals_p10,fevals_p90,fevals_p95,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
11,32902,29009,30097,36271,37422,0.0008407709,0.00051633397,0.0005625626,0.0010885228,0.0011086274,0.0015083131,0.00084173604,0.0009731917,0.027274765,0.067028984,-487.9811096191406,-544.0511474609375,-534.1900634765625,-458.281494140625,-456.1768798828125,-361.2529296875,-439.4769287109375,-415.2442626953125,-256.3143310546875,3.4028234663852886e38,92.1034,45.747715,57.15285,154.06421,176.42838,33.700287,14.541269,17.356686,88.43846,3.4028235e38,40,22,26,62,71,25.872807,22.563107,22.955666,31.117424,32.312283
12,36524,32068,33060,40183,41151,0.0008161654,0.0004405595,0.00051565905,0.0010683255,0.0010885228,0.0015716956,0.00081501243,0.0009681579,0.033843286,0.06888611,-491.39691162109375,-562.3026123046875,-544.2015380859375,-460.4353942871094,-458.281494140625,-351.35516357421875,-440.9194641113281,-416.5920715332031,-248.6297607421875,3.4028234663852886e38,100.7116,56.14492,62.169796,168.97365,193.82272,34.379627,17.134426,18.484215,90.003334,3.4028235e38,43,24,27,68,78,27.435484,23.987125,24.48276,32.369637,33.777397
13,40187,34914,36177,44335,45319,0.00077170006,0.0003577579,0.00043776914,0.0010148508,0.0010527269,0.0016198201,0.000662216,0.0008875884,0.027274765,0.067028984,-497.8393249511719,-586.2443237304688,-563.0333251953125,-466.3406677246094,-462.1268310546875,-360.97662353515625,-436.85400390625,-416.5920715332031,-228.37095642089844,3.4028234663852886e38,98.313705,62.169796,69.07755,187.03583,206.24725,34.750893,18.484215,21.132624,93.84412,3.4028235e38,44,28,30,77,88,28.974821,25.26894,26.166008,34.320873,35.505405
14,43816,37862,39500,48012,49429,0.0007145392,0.0003559988,0.00042899602,0.0009898718,0.0010527269,0.0015372204,0.000662216,0.00084173604,0.029160263,0.09993628,-506.6894836425781,-586.8111572265625,-565.361328125,-469.2066345214844,-462.1268310546875,-359.7034912109375,-436.85400390625,-425.18121337890625,-254.6953125,3.4028234663852886e38,110.303185,62.169796,71.380135,186.368,206.24725,36.671173,19.134369,22.01103,85.77115,3.4028235e38,46,28,31,75,86,30.617188,26.507692,27.297398,35.43675,37.694286
15,47412,41214,43031,52121,53428,0.00070347695,0.0003236417,0.0003946513,0.000956281,0.0010155237,0.0014494419,0.00063315,0.00075962796,0.038729653,0.11236157,-508.48382568359375,-597.76953125,-574.9575805664062,-473.1768798828125,-466.2645263671875,-350.7843017578125,-436.7006530761719,-425.6463317871094,3.4028234663852886e38,3.4028234663852886e38,119.89476,59.32506,70.31119,199.02531,226.12651,40.351032,20.707779,22.01103,3.4028235e38,3.4028235e38,48,27,30,82,91,32.1125,28.264809,28.754646,36.909813,39.216496
16,51199,44356,46721,56165,57560,0.000656939,0.0002843357,0.00038503172,0.0009296663,0.0009897944,0.0014804136,0.000671282,0.0007656903,0.035593037,0.06888766,-516.3548583984375,-612.6599731445312,-577.79541015625,-476.42291259765625,-469.2156982421875,-345.93768310546875,-445.65533447265625,-432.3847961425781,3.4028234663852886e38,3.4028234663852886e38,124.69055,59.32506,70.31119,206.24725,228.6114,43.89399,20.707779,22.353548,3.4028235e38,3.4028235e38,51,27,30,86,91,33.824562,29.417683,30.006042,38.462395,40.513317
17,54972,47682,50188,60301,61363,0.0006287478,0.00025414926,0.0003568795,0.00091450184,0.00096629374,0.0013972303,0.000671282,0.00074418663,0.035593037,0.08150042,-521.39892578125,-625.56689453125,-586.5270385742188,-478.314208984375,-471.9790344238281,-345.93768310546875,-449.8454284667969,-435.983154296875,-54.71061706542969,3.4028234663852886e38,126.67475,59.32506,70.31119,208.73216,233.41039,45.632423,20.707779,22.762913,197.14867,3.4028235e38,54,27,30,86,92,35.26282,30.721363,31.707792,39.963634,41.52436
18,58626,50658,53658,64475,65577,0.0005936594,0.00021724637,0.0003236417,0.00091450184,0.00096629374,0.0013968443,0.000671282,0.00081244257,0.02570367,0.06888766,-528.002685546875,-643.6091918945312,-597.76953125,-478.314208984375,-471.9790344238281,-342.95074462890625,-450.0548095703125,-432.87860107421875,3.4028234663852886e38,3.4028234663852886e38,141.47581,67.14107,71.99867,223.6416,238.54028,47.748688,20.707779,23.27251,3.4028235e38,3.4028235e38,59,28,31,90,95,36.7027,32.020527,32.916912,41.069473,42.73846
19,62130,53567,57184,68743,69887,0.0005825893,0.000211584,0.00028327756,0.0008935153,0.00094207755,0.0013968443,0.00054508896,0.00069042156,0.02570367,0.055482768,-530.1673583984375,-646.6463012695312,-613.0887451171875,-480.9840393066406,-474.8977966308594,-331.56390380859375,-450.0548095703125,-431.3060302734375,3.4028234663852886e38,3.4028234663852886e38,145.06287,71.93686,74.334755,223.6416,236.06613,57.77402,20.707779,26.169027,3.4028235e38,3.4028235e38,61,30,33,91,95,37.98361,33.593494,34.40634,42.147,43.935284
20,65815,56788,60452,72791,74139,0.0005668431,0.00018470723,0.00028327756,0.0008379852,0.00093957974,0.0013968443,0.0004771356,0.000671282,0.029635595,0.08150042,-533.318359375,-662.26904296875,-613.0887451171875,-488.36279296875,-475.20306396484375,-326.971923828125,-449.8454284667969,-431.3060302734375,3.4028234663852886e38,3.4028234663852886e38,149.0944,71.93686,79.13055,221.1567,236.06613,54.315353,21.639338,26.169027,3.4028235e38,3.4028235e38,62,30,35,91,95,39.30608,34.62176,35.648647,43.460037,45.33399
