gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,0.6916533,0.608454,0.6084613,0.88730544,0.9295253,0.7207873,0.6024088,0.6150344,0.9835591,1.0055097,411.12292,389.7837,389.78568,452.59882,460.3385,426.52164,397.8927,406.93042,468.33432,471.69934,3.295837,1.3862944,1.3862944,17.917595,17.917595,4.464282,2.7013385,2.7013388,5.2155924,5.241294,3,2,2,10,10,6.056,5.544,5.746,6.296,6.302
2,0.6838898,0.608454,0.6084613,0.8625868,0.9295253,0.7129037,0.6024088,0.6150341,0.8908262,1.0055097,410.4724,389.7837,389.78568,447.89456,460.3385,414.56155,397.89255,401.52597,458.90445,464.42612,3.295837,1.3862944,1.3862944,6.931472,6.931472,4.064049,2.7013385,2.7013388,4.8112335,5.1187572,3,2,2,5,5,5.126,4.792,4.852,5.536,5.576
3,0.6638268,0.608454,0.60846114,0.8617947,0.8625868,0.71290183,0.6024088,0.6150341,0.84302974,0.8504569,404.28583,389.7837,389.78564,447.74164,447.89456,413.89505,397.89252,397.89252,455.65213,458.55847,3.295837,1.3862944,1.3862944,12.542316,16.09438,4.7090387,2.7013388,2.7013388,5.1187572,5.216797,3,2,2,7,10,4.254,3.876,4.03,4.68,4.782
4,0.6574782,0.6084539,0.60846114,0.8625867,0.863794,0.7129017,0.6024088,0.6150341,0.8404824,0.8430537,403.89508,389.78366,389.78564,447.89453,448.12744,411.8999,397.89252,397.89252,455.25327,455.65213,3.295837,1.3862944,2.0794415,11.266066,12.542316,4.7090387,2.7013385,2.7013388,4.8110313,4.8110313,3,2,3,7,7,3.152,2.894,2.976,3.616,3.68
5,0.6574782,0.60846114,0.6084612,0.83742243,0.8625867,0.6416986,0.60240877,0.6024088,0.8404824,0.8430537,403.89508,389.78564,389.78564,444.29523,447.89453,411.89987,397.89246,397.89252,451.77856,455.25327,3.295837,0.0,1.3862944,3.295837,3.295837,4.709047,2.7013388,2.7013388,4.8110313,4.8112335,3,1,2,3,3,2.224,1.966,2.058,2.67,2.92
6,0.6574781,0.60846114,0.6084612,0.83742243,0.8625867,0.6416986,0.60240877,0.6024088,0.8403763,0.8430537,403.89502,389.78564,389.78564,444.29523,447.89453,411.89987,397.89246,397.89252,451.77856,455.25327,3.295837,1.3862944,2.0794415,3.295837,3.295837,4.7090545,2.7013388,2.7013388,4.8110313,4.8110313,3,2,3,3,3,1.628,1.412,1.43,2.196,2.284
7,0.6574781,0.60846096,0.60846114,0.83742243,0.8625867,0.6416986,0.60240877,0.6024088,0.8403763,0.8430537,403.89502,389.78558,389.78564,444.29523,447.89453,411.89987,397.89178,397.89246,451.77856,455.25327,3.295837,2.0794415,2.0794415,3.295837,3.295837,4.7571955,2.7013388,2.702838,4.8110313,4.8110313,3,3,3,3,3,1.416,1.12,1.224,2.048,2.098
8,0.6574781,0.60846096,0.60846114,0.83742243,0.8625864,0.6416986,0.60240877,0.6024088,0.840293,0.84305614,403.89502,389.78558,389.78564,444.29523,447.89447,411.89987,397.89178,397.89246,451.77856,455.2531,3.295837,2.0794415,2.0794415,3.295837,3.295837,4.7571955,2.7013388,2.702838,4.8110313,4.8110313,3,3,3,3,3,1.392,1.04,1.142,2.172,2.236
9,0.65747803,0.5445372,0.608461,0.8374226,0.8625864,0.6416986,0.50562274,0.6024088,0.840293,0.84305614,403.89502,372.41968,389.78558,444.29523,447.89447,411.8997,389.9405,397.89178,451.77853,455.2531,3.295837,2.0794415,2.0794415,3.295837,10.750557,4.7571955,2.7013388,2.702838,4.8110485,4.8112335,3,3,3,3,6,1.494,1.046,1.21,2.42,2.502
10,0.65747803,0.529652,0.60846096,0.8374226,0.8625864,0.6416986,0.50562274,0.602404,0.840293,0.84305614,403.89502,366.68994,389.78558,444.29523,447.89447,411.89917,379.7641,397.89172,451.77853,455.2531,3.295837,2.0794415,2.0794415,8.04719,10.750557,4.757196,2.702838,2.702838,4.8110666,5.026992,3,3,3,5,6,1.604,1.056,1.244,2.418,2.59
11,0.6574781,0.529652,0.60846096,0.83742243,0.8625864,0.6416986,0.47819406,0.602404,0.840293,0.84305614,403.89505,366.68994,389.78558,444.313,447.89447,411.89914,379.7641,397.89172,451.77798,455.2531,3.295837,2.0794415,2.0794415,8.04719,11.266066,4.757196,2.702838,2.702838,5.026992,5.761129,3,3,3,5,7,1.668,1.064,1.25,2.694,2.766
12,0.65747803,0.529652,0.5589931,0.83742243,0.8625864,0.6416986,0.47819406,0.52532727,0.840293,0.84305614,403.89502,366.68994,376.79526,444.313,447.89447,410.94397,379.7641,392.98047,451.77798,455.2531,3.295837,2.0794415,2.0794415,11.266066,11.266066,4.757196,2.702838,2.702838,5.026992,6.254763,3,3,3,7,7,1.74,1.048,1.326,2.696,2.834
13,0.65747803,0.529652,0.5589931,0.83742243,0.8625864,0.6416986,0.47819406,0.52532727,0.840293,0.84305614,403.89502,366.68994,376.79526,444.313,447.89447,410.94397,379.7641,392.98047,451.77798,455.2531,3.295837,2.0794415,2.0794415,11.266066,11.266066,4.757196,2.702838,2.702838,5.026992,6.254763,3,3,3,7,7,1.85,1.04,1.44,2.858,2.886
14,0.65747803,0.52965164,0.5589931,0.83742243,0.8625864,0.6416986,0.47819406,0.5253287,0.840293,0.84305614,403.89502,366.68982,376.79526,444.313,447.89447,410.94397,379.76358,392.98047,451.77798,455.2531,3.295837,2.0794415,2.0794415,11.266066,11.266066,4.757196,2.702838,2.702838,5.026584,6.254763,3,3,3,7,7,2.086,1.028,1.544,3.102,3.108
15,0.65747803,0.52965164,0.5589931,0.8374224,0.8625864,0.6416986,0.47819406,0.5253287,0.840293,0.84305614,403.89502,366.68982,376.79526,444.2952,447.89447,410.94397,379.76358,392.98047,451.7776,455.2531,3.295837,2.0794415,2.0794415,11.266066,11.266066,4.757196,2.702838,2.702838,5.026584,6.254763,3,3,3,7,7,2.142,1.02,1.652,3.204,3.264
