gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
48,0.042189743,0.034244336,0.03578436,0.052079808,0.054438826,0.09976388,0.0423403,0.048509873,0.15909277,0.16400568,-116.49771,-190.6749,-175.03653,-41.629333,-25.880615,118.15222,-30.770248,-9.076794,516.22046,601.6599,61,21,28,95,97
49,0.041884266,0.034244336,0.035624158,0.0517635,0.0536353,0.10038339,0.04102038,0.046904646,0.15794969,0.16400568,-119.081116,-190.6749,-176.63165,-43.795074,-31.166931,123.5485,-30.183382,-6.494339,492.57376,648.14386,64,21,29,94,98
50,0.041884266,0.03395103,0.035527248,0.051680837,0.0536353,0.10013179,0.04102038,0.049081884,0.15628767,0.1635828,-119.081116,-193.73291,-177.60004,-44.36328,-31.166931,117.81715,-31.693096,-6.494339,522.8429,777.7716,65,21,31,97,99
51,0.041547388,0.03395103,0.03550436,0.051252015,0.052866496,0.09976388,0.041003946,0.048588738,0.15510674,0.1635828,-121.951996,-193.73291,-177.82916,-47.325348,-36.29953,111.87201,-20.334366,-1.7682838,541.14355,632.71423,65,26,32,96,98
52,0.040643428,0.03395103,0.03522768,0.051252015,0.052866496,0.10135281,0.040881682,0.04664732,0.15660803,0.18150651,-129.7721,-193.73291,-180.61035,-47.325348,-36.29953,110.388245,-12.411743,-1.3725052,490.13306,601.6599,67,23,31,95,97
53,0.040312525,0.033913545,0.035012282,0.05113425,0.052866496,0.098931864,0.041003946,0.04664732,0.15666734,0.17797203,-132.67828,-194.12567,-182.79068,-48.143097,-36.29953,122.19701,-12.411743,-2.512518,463.58694,598.3417,75,21,32,95,98
54,0.03969058,0.03362314,0.034932937,0.05113425,0.052866496,0.098931864,0.041003946,0.046127923,0.15666725,0.18065298,-138.20572,-197.18295,-183.59729,-48.143097,-36.29953,114.292534,-12.411743,1.0816994,463.58694,601.6599,72,21,32,96,98
55,0.03944941,0.03362314,0.034453366,0.051021073,0.052866496,0.09845902,0.044981975,0.04810982,0.155107,0.1716376,-140.3724,-197.18295,-188.51147,-48.930817,-36.29953,112.63751,-24.189034,-9.238451,452.6031,515.07477,67,21,31,97,100
56,0.0392583,0.03272731,0.03421154,0.050945975,0.052866496,0.09605852,0.04468166,0.048115745,0.155107,0.19759807,-142.09875,-206.78311,-191.01556,-49.454468,-36.29953,108.40578,-22.326117,-10.443001,454.21964,600.46265,72,25,31,97,100
57,0.038752306,0.032485113,0.03421154,0.050576556,0.052866496,0.09605852,0.04037627,0.046127923,0.155107,0.2224589,-146.71057,-209.42377,-191.01556,-52.041687,-36.29953,114.336136,-16.461342,-10.827076,439.8866,600.46265,75,25,31,97,98
58,0.038706105,0.032484733,0.03421154,0.05017925,0.052866496,0.09274837,0.037652727,0.046127923,0.15465172,0.19512992,-147.13467,-209.42786,-191.01556,-54.845276,-36.29953,106.54793,-14.401226,1.0816994,490.13306,600.46265,76,25,31,98,99
59,0.038512412,0.031694323,0.03421154,0.05017007,0.052866496,0.09248653,0.041171428,0.046127923,0.15302475,0.3447467,-148.91806,-218.18484,-191.01556,-54.91034,-36.29953,132.48607,-14.401226,3.3441315,479.27005,600.46265,76,25,31,98,99
60,0.03846899,0.031486444,0.033741403,0.049772844,0.052866496,0.09605852,0.04295036,0.046417188,0.15343302,0.7944907,-149.31915,-220.5242,-195.9347,-57.736298,-36.29953,134.94385,-16.792526,3.3441315,479.27005,647.21765,76,26,32,98,99
61,0.03824527,0.031486444,0.033491965,0.04891032,0.050576556,0.09605852,0.041171428,0.046127923,0.15343302,1.0299281,-151.39264,-220.5242,-198.57257,-63.950806,-52.041687,105.53187,-18.278437,3.3441315,465.8692,650.1251,77,30,34,98,99
62,0.038225647,0.03145178,0.033242967,0.048513427,0.050576556,0.091320544,0.03668571,0.04534646,0.1476064,0.8418495,-151.5751,-220.9158,-201.22537,-66.84738,-52.041687,114.27426,-16.792526,9.056133,462.10397,641.61444,76,30,35,98,99
63,0.03814813,0.031349953,0.032611102,0.048513427,0.050576556,0.09225615,0.038180437,0.045658424,0.15126772,0.8418495,-152.29669,-222.06851,-208.04767,-66.84738,-52.041687,99.7856,-26.168125,-12.724546,480.59006,631.2921,75,27,35,98,99
