Complexity,Loss,Equation
1,8164.348,"340.27826"
3,5318.6294,"x10 + -239.92729"
5,4089.5242,"x2 / (x0 / x5)"
7,3044.5842,"(x0 / (x5 / -1875.2222)) - -919.75385"
9,2741.417,"(x0 / (x5 / (-1713.7129 - x21))) - -903.7752"
11,2231.6501,"(((x3 / -0.73568934) - x0) / (x5 / 1468.2)) - -1378.8495"
15,1731.3746,"(((8020.8467 / x3) - (1139.2498 - (5900.2095 / x0))) / (x5 / x13)) - -1469.5376"
19,1667.3442,"((((20802.838 / x3) - (1669.3348 - (4985.9707 / x0))) / (x5 / x12)) - (27555.695 / x3)) + 2696.6548"
22,1615.7908,"((((20707.01 / x3) - (1665.7557 - (4989.785 / x0))) / ((x5 + sin(x5)) / x12)) - -2688.0876) + (-27330.12 / x3)"
23,1603.8623,"((((20707.01 / x3) - (1665.7557 - (4989.785 / x0))) / ((x5 + sin(sin(x5))) / x12)) - -2688.0876) + (-27330.12 / x3)"
24,1549.2563,"((((20707.01 / x3) - (1665.7557 - (4989.785 / x0))) / ((x5 + sin(20707.01 - x5)) / x12)) - -2688.0876) + (-27330.12 / x3)"
25,1537.9149,"((((20707.01 / x3) - (1665.7557 - (4989.785 / x0))) / ((x5 + sin(x5 - sin(x3))) / x12)) - -2688.0876) + (-27330.12 / x3)"
26,1449.259,"((((20707.01 / x3) - (1665.7557 - (4989.785 / x0))) / ((x5 + sin(20707.01 - x5)) / x12)) - -2688.0876) + ((x13 * -167.8102) / x3)"
38,1443.4598,"((((20707.01 / x3) - (1665.7557 - (4989.785 / x0))) / ((((x5 + sin(17991.8)) + sin(x5 - sin(x3))) + sin(-239.92729 - ((-2.1366167 * x9) - sin(x3)))) / x12)) - -2688.0876) + (-27330.12 / x3)"
39,1441.1072,"((((20707.01 / x3) - (1665.7557 - (4989.785 / x0))) / ((((x5 + sin(log(1.2783018))) + sin(x5 - sin(x3))) + sin(-239.92729 - ((-2.1366167 * x9) - sin(x3)))) / x12)) - -2688.0876) + (-27330.12 / x3)"
