gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
1,0.00011211218,9.671283e-5,0.00010810386,0.00022338456,0.00022338456,0.00014752989,8.987223e-5,0.000100454396,0.00016409229,0.00016409229,3931.5166,2688.481,3607.9648,12913.423,12913.423,3961.3994,2714.8032,3660.4395,12953.27,12953.27,14,7,9,20,20
2,0.00011211218,9.671283e-5,0.00010733908,0.00021980792,0.00021980792,0.00015122058,0.00010045439,0.0001055981,0.00016409229,0.00016409229,3931.5166,2688.481,3546.2324,12624.716,12624.716,3961.3994,2714.8032,3573.972,12648.338,12648.338,10,6,7,17,17
3,0.00011211218,9.5613934e-5,9.671283e-5,0.00019088492,0.00019088492,0.00015079764,0.00010045439,0.0001055981,0.00016416324,0.00016416324,3931.5166,2599.7783,2688.481,10290.053,10290.053,3961.3994,2672.2449,2714.8032,10319.166,10319.166,14,7,9,22,22
4,0.00010716354,8.439077e-5,9.518253e-5,0.0001348935,0.0001348935,0.0001372236,6.3979336e-5,0.00010559662,0.000163253,0.000163253,3532.0625,1693.8442,2564.955,5770.426,5770.426,3580.7866,1747.6879,2638.7632,5808.912,5808.912,12,7,9,22,22
5,9.915983e-5,8.439077e-5,9.288033e-5,0.0001315066,0.0001315066,0.00013722143,6.3979336e-5,7.75956e-5,0.000163253,0.000163253,2886.003,1693.8442,2379.1216,5497.034,5497.034,2936.2825,1747.6879,2416.9385,5584.0234,5584.0234,14,5,5,28,28
6,9.1709866e-5,8.439077e-5,8.9140034e-5,0.00011221159,0.00011221159,0.0001324528,6.3979336e-5,0.00010083351,0.00016094392,0.00016094392,2284.642,1693.8442,2077.2046,3939.541,3939.541,2338.0452,1747.6879,2162.045,4014.5974,4014.5974,20,5,9,28,28
7,9.145438e-5,8.439077e-5,8.5948486e-5,0.000111097725,0.000111097725,0.00012666611,6.3979336e-5,8.7215754e-5,0.00014809523,0.00014809523,2264.019,1693.8442,1819.5835,3849.63,3849.63,2316.21,1747.6879,1884.6802,3950.074,3950.074,19,15,16,35,35
8,8.896956e-5,6.828806e-5,8.1715334e-5,9.619672e-5,9.619672e-5,9.200901e-5,6.501969e-5,6.790635e-5,0.00014119578,0.00014119578,2063.4443,394.03418,1477.8828,2646.8208,2646.8208,2133.3,610.3943,1626.7025,2730.324,2730.324,32,10,12,43,43
9,8.2196704e-5,6.0786435e-5,6.6767585e-5,9.5050746e-5,9.5050746e-5,9.087249e-5,5.2739913e-5,6.492563e-5,0.00013808353,0.00013808353,1516.7393,-211.49756,271.30078,2554.3179,2554.3179,1630.9341,-155.80392,435.0821,2599.4094,2599.4094,30,12,13,44,44
10,7.878349e-5,6.0786435e-5,6.15687e-5,9.5050746e-5,9.5050746e-5,8.6192864e-5,6.4667474e-5,6.492563e-5,0.00013280271,0.00013280271,1241.2246,-211.49756,-148.35303,2554.3179,2554.3179,1395.4907,-155.80392,176.2384,2599.4094,2599.4094,25,12,13,67,67
