gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
1,0.081877,0.060754206,0.06525807,0.09706204,0.09706204,0.15310259,0.12920024,0.14424638,0.16486762,0.16486762,1167.1964,645.7274,756.9165,1542.0769,1542.0769,1190.9893,689.9983,780.2251,1574.846,1574.846,11,5,5,15,15
2,0.081517294,0.060754206,0.06525807,0.082296334,0.082296334,0.15866025,0.14865689,0.15310204,0.16714433,0.16714433,1158.3162,645.7274,756.9165,1177.5487,1177.5487,1181.4951,674.5531,778.99194,1195.1382,1195.1382,6,5,5,10,10
3,0.07729395,0.05347061,0.060754206,0.082296334,0.082296334,0.15244079,0.14507979,0.14514856,0.16714433,0.16714433,1054.0522,465.9137,645.7274,1177.5487,1177.5487,1090.6257,536.69525,671.374,1195.1382,1195.1382,8,5,6,23,23
4,0.07533649,0.05347061,0.060754206,0.081517294,0.081517294,0.14943586,0.14507979,0.1451474,0.15920956,0.15920956,1005.72766,465.9137,645.7274,1158.3162,1158.3162,1035.1815,532.3694,671.374,1178.5952,1178.5952,11,5,7,22,22
5,0.07206641,0.05347061,0.060738254,0.08090323,0.08090323,0.1484751,0.07999103,0.09571069,0.15920956,0.15920956,924.99744,465.9137,645.3336,1143.1565,1143.1565,951.962,530.45514,671.01447,1175.3624,1175.3624,10,7,8,22,22
6,0.06282427,0.05347061,0.05548198,0.0741703,0.0741703,0.15036617,0.13701515,0.13902102,0.15920956,0.15920956,696.83215,465.9137,515.56934,976.93726,976.93726,790.80676,528.3583,558.77313,1024.7882,1024.7882,12,7,7,30,30
7,0.05548198,0.049939405,0.051681675,0.070436455,0.070436455,0.14410585,0.09949641,0.12681249,0.16293299,0.16293299,515.56934,378.73694,421.74927,884.75806,884.75806,558.77313,504.31317,505.53793,912.0028,912.0028,18,7,9,35,35
8,0.05548198,0.04621562,0.05145165,0.061171208,0.061171208,0.1581805,0.07651269,0.14070079,0.16140464,0.16140464,515.56934,286.80603,416.07056,656.0221,656.0221,558.77313,396.1673,466.45215,672.09894,672.09894,13,5,7,36,36
9,0.05347138,0.04621562,0.049236324,0.061171193,0.061171193,0.15093854,0.07651269,0.123561695,0.15928872,0.15928872,465.93262,286.80603,361.37964,656.0217,656.0217,515.9634,396.1673,429.5267,672.09863,672.09863,16,5,9,36,36
10,0.050391197,0.03945076,0.045116913,0.05353304,0.05353304,0.14383584,0.08346493,0.08987738,0.15987767,0.15987767,389.89062,119.79852,259.68176,467.45496,467.45496,447.2527,310.45007,369.5598,519.60846,519.60846,19,11,12,57,57
11,0.049983762,0.03945076,0.045010213,0.0514679,0.0514679,0.13431288,0.08346493,0.101145335,0.15466048,0.15466048,379.83215,119.79852,257.0476,416.47168,416.47168,439.6361,309.92828,310.45007,469.60977,469.60977,22,18,19,57,57
12,0.04912983,0.03744855,0.041127793,0.050493695,0.050493695,0.13431288,0.07424199,0.07713897,0.16402486,0.16402486,358.7506,70.36908,161.20032,392.42102,392.42102,418.40707,206.73528,216.89494,459.8082,459.8082,25,18,18,41,41
13,0.045987457,0.03744643,0.041127793,0.050581936,0.050581936,0.11274818,0.07740334,0.091589525,0.1449996,0.1449996,281.17334,70.31671,161.20032,394.5995,394.5995,389.47473,196.90314,216.89494,446.579,446.579,25,18,19,45,45
14,0.044695556,0.03744796,0.038313475,0.050581936,0.050581936,0.10766901,0.06600427,0.07716935,0.18090282,0.18090282,249.27942,70.35443,91.7218,394.5995,394.5995,360.8036,182.19142,190.43524,446.579,446.579,27,19,20,46,46
15,0.044378366,0.03404182,0.035795506,0.048453454,0.048453454,0.10091037,0.05712497,0.06750801,0.14802964,0.14802964,241.44885,-13.73468,29.55951,342.0526,342.0526,342.24326,103.47281,106.022736,437.74557,437.74557,33,18,22,46,46
16,0.042006824,0.03404182,0.035795506,0.048453454,0.048453454,0.11293175,0.06750801,0.06920258,0.1480298,0.1480298,182.90137,-13.73468,29.55951,342.0526,342.0526,292.9639,103.47281,106.022736,438.50977,438.50977,32,17,22,46,46
17,0.039594505,0.03404182,0.035262547,0.048453454,0.048453454,0.097937614,0.050641105,0.06750801,0.14657195,0.14657195,123.34729,-13.73468,16.4021,342.0526,342.0526,273.951,99.36676,106.022736,424.9712,424.9712,38,17,22,86,86
18,0.039594505,0.03404182,0.03526249,0.048453454,0.048453454,0.09452137,0.040867094,0.050641105,0.14657195,0.14657195,123.34729,-13.73468,16.400635,342.0526,342.0526,267.6925,99.36676,106.022736,424.9712,424.9712,38,17,22,86,86
19,0.03802237,0.03404182,0.035271067,0.048453454,0.048453454,0.08068456,0.040867094,0.050641105,0.13507466,0.13507466,84.53516,-13.73468,16.612366,342.0526,342.0526,267.6925,99.36676,106.022736,424.9712,424.9712,38,17,22,81,81
20,0.03680421,0.030525878,0.03404182,0.048453454,0.048453454,0.07149771,0.039274838,0.050641105,0.13507466,0.13507466,54.461853,-100.534485,-13.73468,342.0526,342.0526,249.83943,11.176519,106.022736,424.9712,424.9712,41,25,30,59,59
21,0.035653528,0.030525878,0.03404182,0.048453454,0.048453454,0.07136885,0.050641105,0.052921686,0.13507466,0.13507466,26.054443,-100.534485,-13.73468,342.0526,342.0526,249.83943,11.176519,106.022736,424.9712,424.9712,41,25,30,74,74
22,0.03615367,0.030525878,0.03404182,0.0456782,0.0456782,0.07136785,0.04717868,0.052921686,0.1403865,0.1403865,38.401672,-100.534485,-13.73468,273.53845,273.53845,238.21071,11.176519,106.022736,398.74927,398.74927,43,34,34,73,73
23,0.035406847,0.028759643,0.030525878,0.0456782,0.0456782,0.075183265,0.053444527,0.056784038,0.1403865,0.1403865,19.964417,-144.13837,-100.534485,273.53845,273.53845,209.71536,11.176519,87.37314,398.74927,398.74927,41,34,34,73,73
24,0.035406847,0.028759643,0.030525878,0.0456782,0.0456782,0.07559498,0.053444527,0.056530956,0.1403865,0.1403865,19.964417,-144.13837,-100.534485,273.53845,273.53845,153.7518,11.176519,87.37314,398.74927,398.74927,41,34,34,73,73
25,0.03404182,0.028759643,0.030525878,0.0456782,0.0456782,0.07148795,0.053444527,0.055301853,0.1403865,0.1403865,-13.73468,-144.13837,-100.534485,273.53845,273.53845,146.52625,11.176519,87.37314,398.74927,398.74927,39,27,29,78,78
26,0.03404182,0.028759643,0.030525878,0.0456782,0.0456782,0.07148795,0.053444527,0.055301853,0.1403865,0.1403865,-13.73468,-144.13837,-100.534485,273.53845,273.53845,137.5869,11.176519,87.37314,398.74927,398.74927,39,27,34,78,78
27,0.033253632,0.029012553,0.030373845,0.0456782,0.0456782,0.09537711,0.053463932,0.056784038,0.17223038,0.17223038,-33.193054,-137.89465,-104.28778,273.53845,273.53845,113.33717,11.176519,84.24274,398.74927,398.74927,41,27,34,69,69
28,0.03310091,0.02870227,0.029089857,0.0456782,0.0456782,0.10459643,0.056784038,0.07019171,0.27887848,0.27887848,-36.96338,-145.55475,-135.98627,273.53845,273.53845,104.287094,11.176519,57.08203,398.74927,398.74927,47,27,34,71,71
29,0.032587625,0.02870227,0.029089857,0.045593154,0.045593154,0.09212147,0.056784038,0.07019171,0.16939719,0.16939719,-49.63507,-145.55475,-135.98627,271.43896,271.43896,103.00246,11.176519,26.272636,383.40952,383.40952,43,27,34,71,71
30,0.032587625,0.02870227,0.029089857,0.045593154,0.045593154,0.08930485,0.056784038,0.07019171,0.16939719,0.16939719,-49.63507,-145.55475,-135.98627,271.43896,271.43896,101.024765,11.176519,26.272636,383.40952,383.40952,43,27,34,71,71
31,0.032587737,0.02870227,0.029089857,0.045593154,0.045593154,0.08930485,0.056784038,0.067106046,0.16939719,0.16939719,-49.632385,-145.55475,-135.98627,271.43896,271.43896,97.34929,11.176519,26.272636,376.81784,376.81784,41,27,34,71,71
