gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
1,135237.34,12754.483,15028.848,522312.44,522312.44,99932.46,20600.844,33454.254,500557.12,500557.12,37656.74,5538.4424,6134.842,139158.22,139158.22,37683.47,5633.4062,6174.799,3.4028235e38,3.4028235e38,13,6,7,27,27
2,105916.39,10668.492,12754.483,143012.25,143012.25,41604.02,13339.712,20600.844,99935.46,99935.46,29967.996,4991.4395,5538.4424,39695.527,39695.527,29991.16,5018.46,5633.4062,39702.945,39702.945,13,5,8,27,27
3,20208.232,3979.764,10355.772,140750.4,140750.4,37580.71,13339.712,14604.375,317063.38,317063.38,7493.0156,3237.4756,4909.4365,39102.41,39102.41,7562.6187,3303.458,4959.8604,39168.395,39168.395,14,8,8,23,23
4,14712.795,3979.764,6602.8013,69686.13,69686.13,33684.73,13339.712,17450.895,317063.38,317063.38,6051.9644,3237.4756,3925.3062,20467.451,20467.451,6174.6514,3303.458,3977.2495,20500.8,20500.8,14,8,10,30,30
5,14431.848,3979.764,6602.8013,69686.13,69686.13,33684.73,13339.712,17450.895,317063.38,317063.38,5978.292,3237.4756,3925.3062,20467.451,20467.451,6066.772,3303.458,3977.2495,20500.8,20500.8,14,8,10,30,30
6,10668.492,1559.8269,3979.764,15028.848,15028.848,20600.844,4376.4746,9605.113,72800.33,72800.33,4991.4395,2602.903,3237.4756,6134.842,6134.842,5018.46,2662.8623,3303.458,6174.799,6174.799,14,8,11,32,32
7,6602.8013,1559.8269,3979.764,15028.848,15028.848,20805.293,4376.4746,11112.533,76313.484,76313.484,3925.3062,2602.903,3237.4756,6134.842,6134.842,3977.2495,2662.8623,3303.458,6174.799,6174.799,17,8,11,30,30
8,5448.591,1559.8269,3979.764,15028.848,15028.848,20805.293,4376.4746,11112.533,76657.05,76657.05,3622.641,2602.903,3237.4756,6134.842,6134.842,3683.7056,2662.8623,3303.458,6174.799,6174.799,19,8,11,30,30
9,4756.4287,1559.8269,2960.5708,13472.063,13472.063,15414.259,4376.4746,7782.4805,43892.32,43892.32,3441.1377,2602.903,2970.2156,5726.6113,5726.6113,3550.308,2662.8623,3018.8374,5784.892,5784.892,19,8,11,34,34
10,4026.1597,1504.032,2960.5708,13472.063,13472.063,16540.57,3366.0623,7359.786,43892.32,43892.32,3249.6416,2588.272,2970.2156,5726.6113,5726.6113,3342.0151,2658.5876,3018.8374,5784.892,5784.892,25,16,17,34,34
11,3969.6187,1504.032,2960.5708,13472.063,13472.063,15414.259,3366.0623,5688.8696,36486.18,36486.18,3234.815,2588.272,2970.2156,5726.6113,5726.6113,3303.458,2658.5876,3018.8374,5784.892,5784.892,19,15,16,40,40
