Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.5276424,1,0.034477714778977396,0.009968995998972123,0.034477714778977396,0.009968995998972123,-7.22586213086629e-10,-0.005874606128033255
1,powabs(x0, -0.15539022),3,0.007091015514879343,0.002651898083874528,0.007091015514879343,0.002651898083874528,0.7943304663472962,0.7324227092794486
2,powabs(0.93533856, sqrtabs(x0)),4,0.003689948240691013,0.0032352781006968504,0.003689948240691013,0.0032352781006968504,0.8929758463688189,0.6735594953003656
3,powabs(x0 / 5.6346292, -0.2669448),5,0.001230717192426582,0.0014638224739874947,0.001230717192426582,0.0014638224739874947,0.9643039800866876,0.8522998851022358
4,powabs((x0 + -22.58609) / 2.358369, -0.22539254),7,0.0012198875366160758,0.009049054260180892,0.0012198875366160758,0.009049054260180892,0.9646180860501413,0.08694778383608937
5,powabs(x0 / (log(x1) + 4.0913706), -0.26808697),8,0.0012126309911866507,0.0014341054708278005,0.0012126309911866507,0.0014341054708278005,0.9648285566535786,0.8552983393950898
6,powabs((x0 + (6.4799867 / x1)) / 6.4799867, -0.27826056),9,0.0012075336484218592,0.0014602871372296883,0.0012075336484218592,0.0014602871372296883,0.9649764012192974,0.8526566016130213
7,powabs((sin(x1 + x1) + x0) / 5.5731516, -0.26609865),10,0.0011606219047705915,0.0013708315265846828,0.0011606219047705915,0.0013708315265846828,0.966337040808838,0.8616826988381345
8,powabs(x0 / ((x0 / powabs(x1, x1)) + 5.676257), -0.2708921),11,0.001119454959338168,0.0013614466395016835,0.001119454959338168,0.0013614466395016835,0.9675310568776544,0.8626296366841465
9,powabs(x0 / (powabs(exp(powabs(-0.3008552, x1)), x0) + x1), -0.2873785),12,0.0006355640749763435,0.001050749237820115,0.0006355640749763435,0.001050749237820115,0.9815659454372212,0.8939790952027049
10,powabs((x0 / (x1 + 1.172433)) / exp(x0 / powabs(x1, x1)), -0.2879413),14,0.0005472524920895445,0.0005973864682729868,0.0005472524920895445,0.0005973864682729868,0.9841273560039233,0.9397235309812277
11,powabs((x0 / (x1 + 1.2181255)) / powabs(x1, x0 / powabs(x1, x1)), -0.29488453),15,0.0004607696668114464,0.0005822162132564395,0.0004607696668114464,0.0005822162132564395,0.9866357248414461,0.941254214140415
12,sin(powabs(0.47975498 / (x1 / (x0 / powabs(x1, x0 / powabs(x1, x1)))), -0.3430624)),16,0.0003610758356676738,0.0004627367421974957,0.0003610758356676738,0.0004627367421974957,0.9895272688969298,0.9533097276449035
13,sin(powabs(0.47960982 / (x1 / ((x0 + 0.10232571) / powabs(x1, x0 / powabs(x1, x1)))), -0.3423829)),18,0.00036019776206251084,0.00045778272406255384,0.00036019776206251084,0.00045778272406255384,0.9895527367567176,0.9538095895207384
14,sin(powabs(0.50349283 / (x1 / ((x0 + sin(x1)) / powabs(x1, x0 / powabs(x1, x1)))), -0.33624873)),19,0.00034925413310322854,0.0004534321683507433,0.00034925413310322854,0.0004534321683507433,0.9898701484250183,0.9542485618619356
15,sin(powabs(0.47975498 / (x1 / (((x0 + 1.0509846) + sin(x1)) / powabs(x1, x0 / powabs(x1, x1)))), -0.3430624)),21,0.00034238212026518124,0.0004443623576466072,0.00034238212026518124,0.0004443623576466072,0.9900694659519212,0.9551637084093532
16,sin(powabs(0.50349283 / (x1 / (((x0 + sin(x1 / -0.3358751)) + -0.26708028) / powabs(x1, x0 / powabs(x1, x1)))), -0.33624873)),23,0.00031093314610738303,0.00040273359128622523,0.00031093314610738303,0.00040273359128622523,0.9909816196251601,0.9593640630860591
17,sin(powabs((x1 / (x1 + x1)) / (x1 / (((x0 + sin(x1 / -0.33624873)) + -0.26708028) / powabs(x1, x0 / powabs(x1, x1)))), -0.33624873)),27,0.0003098421878463738,0.00039989588100783786,0.0003098421878463738,0.00039989588100783786,0.9910132620431332,0.9596503888814424
18,sin(powabs((x1 / ((x1 + sin(x0 / x1)) + (x1 / -0.3358751))) / (x1 / ((x0 + -0.3358751) / powabs(x1, x0 / powabs(x1, x1)))), -0.3358751)),29,0.00030740385124978045,0.0003413955586363555,0.00030740385124978045,0.0003413955586363555,0.9910839841491077,0.9655530884842756
19,sin(powabs((x1 / ((x1 + sin(x0 / x1)) + (x1 / -0.3358751))) / (x1 / ((x0 + sin(x1)) / powabs(x1, x0 / powabs(x1, x1)))), -0.3358751)),30,0.00029792292112722305,0.00033234186826345175,0.00029792292112722305,0.00033234186826345175,0.9913589713456255,0.9664666084855664
20,sin(powabs((x1 / ((x1 + sin((x0 + -0.3358751) / x1)) + (x1 / -0.3358751))) / (x1 / ((x0 + sin(x1)) / powabs(x1, x0 / powabs(x1, x1)))), -0.3358751)),32,0.00029428218103088797,0.0003280425058828075,0.00029428218103088797,0.0003280425058828075,0.9914645682543041,0.9669004154047063
21,powabs((x0 / (x1 + 3.0393531)) / (((((powabs(x1, x1) / -1.9446794) + (x0 + x0)) / (powabs(x1, x1) / x0)) / powabs(-3.423951, x1)) + ((x0 + (x1 / -1.9446794)) / x0)), -0.29857445),35,0.0002307280277908329,0.0002624777923477046,0.0002307280277908329,0.0002624777923477046,0.9933079083275484,0.9735159141379608
22,powabs(((x0 + x1) / (x1 + 3.6653636)) / ((x0 / x0) + ((((x0 + x0) + (powabs(x1, x1) / -1.7570821)) / ((powabs(x1, x1) / x0) + x1)) / powabs(x1 / -1.7086968, x1))), -0.2943872),37,0.0001449332225761311,0.00012599776314101426,0.0001449332225761311,0.00012599776314101426,0.9957963216642992,0.9872867889218183
23,powabs(((x0 + x1) / (x1 + 3.6653636)) / ((x0 / x0) + (((x0 + (x0 + (powabs(x1, x1) / -1.7086968))) / ((powabs(x1, x1) / (x0 + -1.7086968)) + x1)) / powabs(x1 / -1.7086968, x1))), -0.2943872),39,0.0001320477807929701,0.00011722369098705704,0.0001320477807929701,0.00011722369098705704,0.9961700541426574,0.9881720953632003
24,powabs(((x0 + x1) / (x1 + 3.6653636)) / ((((x0 + (x0 + (powabs(x1, x1) / -1.7086968))) / ((powabs(x1, x1) / x0) + 3.6653636)) / powabs(x1 / -1.6712365, x1)) + ((x0 + (x1 / x0)) / x0)), -0.2943872),41,0.00012687940220260747,0.00011160210477055014,0.00012687940220260747,0.00011160210477055014,0.9963199590486881,0.9887393150533202
25,powabs(((x0 + x1) / (x1 + 3.6653636)) / (((x0 + (3.6653636 / x0)) / x0) + ((((x0 + x0) + (powabs(x1, x1) / -1.7086968)) / ((powabs(x1, x1) / (x0 + -1.7086968)) + x1)) / powabs(x1 / -1.7086968, x1))), -0.2943872),43,0.00012342346933104717,0.00011831969742792963,0.00012342346933104717,0.00011831969742792963,0.9964201957638014,0.988061507993405
26,powabs(((x0 + x1) / (x1 + 3.6653636)) / (((x0 + sin(powabs(x1 / x0, -1.6299975))) / x0) + ((((x0 + x0) + (powabs(x1, x1) / -1.7570821)) / ((powabs(x1, x1) / x0) + x1)) / powabs(x1 / -1.7086968, x1))), -0.2943872),44,0.00010291949120709005,0.00013072639612528165,0.00010291949120709005,0.00013072639612528165,0.9970148981177774,0.9868096684734738
27,powabs(((x0 + x1) / (3.6653636 + x1)) / (((x0 + sin(powabs(x1 / x0, -1.7086968))) / x0) + (((((x0 / (x0 / x0)) + x0) + (powabs(x1, x1) / -1.7086968)) / ((powabs(x1, x1) / x0) + x1)) / powabs(x1 / -1.7086968, x1))), -0.2943872),48,8.569973852496278e-05,0.00012684184468187852,8.569973852496278e-05,0.00012684184468187852,0.9975143440005733,0.9872016208479677
28,powabs(((x0 + x1) / (x1 + 2.3860447)) / (((x0 + powabs(-1.2390823 / x1, sin(x1 / 0.90989155))) / x0) + (((((x0 + x0) / (x1 / x1)) + (powabs(x1, x1) / -1.6299975)) / ((powabs(x1, x1) / x0) + x1)) / powabs(x1 / -1.7464188, x1))), -0.27912506),50,7.573341973778759e-05,8.971223237745911e-05,7.573341973778759e-05,8.971223237745911e-05,0.9978034095276324,0.9909480095671773
