Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.5276464,1,0.034477714755046955,0.00996893497235394,0.034477714755046955,0.00996893497235394,-2.8501867532781944e-11,-0.005868448524445569
1,powabs(x0, -0.15538257),3,0.0070910154340546264,0.002651668776113492,0.0070910154340546264,0.002651668776113492,0.794330468691556,0.7324458464994694
2,powabs(x0 * -0.17750582, -0.26692098),5,0.0012307173510987491,0.0014636622032851558,0.0012307173510987491,0.0014636622032851558,0.9643039754845216,0.8523160564628829
3,powabs((x0 - 22.595129) * 0.42340538, -0.22552414),7,0.0012198967525177526,0.009088366937322685,0.0012198967525177526,0.009088366937322685,0.964617818749894,0.08298112323757789
4,powabs(sin(x0 - -0.293958), -1.0507056) * 0.29519877,8,0.0011532416892081582,0.0038908847462758066,0.0011532416892081582,0.0038908847462758066,0.9665510983708046,0.6074085933976415
5,powabs((-0.030655121 - sin(0.96897095 - x0)) * 0.7187726, 0.71641594),10,0.0010951484175031102,0.02027152390847655,0.0010951484175031102,0.02027152390847655,0.9682360497116761,-1.0454026793827866
6,powabs((-0.043074034 - sin(sin(0.96438783 - x0))) * 0.9328172, 0.8833755),11,0.0010904895732784777,0.0318822452093868,0.0010904895732784777,0.0318822452093868,0.9683711759593948,-2.2169278476765295
7,powabs(((-0.15538257 / x1) - sin(0.96897095 - x0)) * 0.7187726, 0.71641594),12,0.001005010612448767,0.020542219171221825,0.001005010612448767,0.020542219171221825,0.970850428469007,-1.0727159104065227
8,powabs((0.055729374 / (2.9498558 - x1)) - (sin(0.9726168 - x0) * 0.7376525), 0.7331561),14,0.000873714111587175,0.025269149559215,0.000873714111587175,0.025269149559215,0.9746585840210253,-1.5496645662899748
9,powabs(((3.3824852 / x1) / (0.96896976 - powabs(1.986264, x1))) - (sin(0.9708134 - x0) * 0.7310323), 0.7229069),18,0.0007936023753696629,0.02420927008646483,0.0007936023753696629,0.02420927008646483,0.976982164246367,-1.4427224181232297
10,powabs(((sin(x1 / 1.8821937) / x1) / (0.7187726 - x1)) - (sin(0.96896976 - x0) * 0.7187726), 0.71641594),19,0.0007836278488919572,0.02237851485517566,0.0007836278488919572,0.02237851485517566,0.9772714678312726,-1.2579986809104051
11,powabs(((sin(sin(x1) - x1) / x1) / (0.46047798 - x1)) - (sin(0.96896976 - x0) * 0.7187726), 0.71641594),20,0.0006751183945945076,0.02177484015037614,0.0006751183945945076,0.02177484015037614,0.9804187023586033,-1.197087726990644
12,powabs(((sin(sin(powabs(1.3716706, x1)) - x1) / x1) / (0.71641594 - x1)) - (sin(0.96896976 - x0) * 0.7187726), 0.71641594),22,0.0005597366506725499,0.02250927029107406,0.0005597366506725499,0.02250927029107406,0.9837652624408186,-1.2711919425585152
