gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
1,63.342052,24.355438,57.357018,104.78882,104.78882,49.36804,16.548641,46.225147,76.18144,76.18144,64681.746,28294.238,59095.71,103365.39,103365.39,64712.547,28371.963,59170.81,103408.875,103408.875,9,5,6,24,24
2,63.34201,24.35529,57.357018,95.56815,95.56815,49.36787,16.552502,46.225147,76.18144,76.18144,64681.703,28294.098,59095.71,94759.44,94759.44,64702.89,28371.75,59170.81,94782.33,94782.33,7,5,5,24,24
3,57.727314,19.579947,24.35529,64.94831,64.94831,46.304813,15.487481,16.552502,184.08035,184.08035,59441.324,23837.113,28294.098,66180.914,66180.914,59481.645,23890.027,28371.75,66263.08,66263.08,20,5,7,36,36
4,52.372456,19.579947,24.35529,64.94831,64.94831,43.000874,15.487481,16.552502,50.901268,50.901268,54443.453,23837.113,28294.098,66180.914,66180.914,54633.426,23890.027,28371.75,66263.08,66263.08,20,5,11,38,38
5,48.630924,19.579933,23.822412,61.445293,61.445293,41.51495,15.486895,16.552502,48.827084,48.827084,50951.355,23837.098,27796.746,62911.438,62911.438,51008.566,23907.396,27866.436,62944.62,62944.62,17,9,9,22,22
6,40.05512,19.579933,20.12639,59.720097,59.720097,34.05224,15.486895,16.41328,47.173847,47.173847,42947.273,23837.098,24347.125,61301.254,61301.254,43023.902,23907.396,24444.068,61352.97,61352.97,18,9,12,34,34
7,35.703064,7.5274734,16.798748,57.357048,57.357048,25.48153,5.815484,15.202226,46.30474,46.30474,38885.355,12588.137,21241.328,59095.74,59095.74,38937.695,12702.74,21339.477,59152.445,59152.445,19,9,12,34,34
8,32.031094,7.5274734,13.458993,56.6558,56.6558,23.299479,5.815484,9.535482,47.54091,47.54091,35458.184,12588.137,18124.223,58441.242,58441.242,35514.082,12702.74,18365.63,58525.848,58525.848,22,14,14,50,50
9,30.017038,7.5091887,12.883288,43.762962,43.762962,23.299479,5.798136,8.859889,40.23111,40.23111,33578.4,12571.071,17586.898,46407.926,46407.926,33672.11,12704.631,17754.816,46516.7,46516.7,22,11,14,48,48
10,26.263762,5.2327757,7.1656017,41.621525,41.621525,19.46408,4.7739162,5.5072956,37.435402,37.435402,30075.34,10446.419,12250.391,44409.254,44409.254,30149.406,11126.52,12383.678,44516.297,44516.297,27,14,20,100,100
