-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=3
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
21,1555923,30526.73,30713.621,2748.2852,2211.575,0.66337967,0.67984736,30526.73,15913.001,27.864,Inf,54,"(((X12 - ((pdiv(pdiv(X11, ((X12 - ((pdiv(X6, (606917.44 + -4.741148e9)) * -7.883752e7) * X18)) * X1)), (exp(-359614.38) + -12095.595)) * (2.5494504e7 + pdiv(X11, (-188551.4 * X1)))) * ((X24 * exp(-47.876022)) - log(abs(pdiv(X4, X13)))))) + X2) + (exp((((X20 - log(abs(3.4531357))) * -0.71893626) * X6)) + -533.41644)) [likelihood params: Float32[]]"
22,1660694,28666.34,29011.379,2481.3286,1863.5125,0.6960775,0.73023367,28666.34,14472.021,30.594,Inf,80,"((((((((X12 - ((pdiv(pdiv(X11, (0.18314667 * X1)), (exp(-359614.38) + -8.626598e6)) * (2.3781186e7 + pdiv(X11, (1659.975 * X1)))) * ((X24 * exp(-39.69782)) - log(abs(pdiv(X4, X13)))))) + X2) + -676.0414) + X18) + X23) + log(abs((((pdiv(((18790.264 * (-21622.502 * X1)) - (-63945.637 * X6)), (27867.05 - X21)) + (-21150.22 + X17)) - -398022.66) - X11)))) - X15) + ((X6 * (pdiv(pdiv(X24, 0.5942799), 33.873104) - 4.0285826)) - log(abs(pdiv(X22, pdiv(514927.44, X17)))))) [likelihood params: Float32[]]"
23,1788501,28666.34,29011.379,2481.3286,1863.5125,0.6960775,0.73023367,28666.34,14472.021,33.106,Inf,80,"((((((((X12 - ((pdiv(pdiv(X11, (0.18314667 * X1)), (exp(-359614.38) + -8.626598e6)) * (2.3781186e7 + pdiv(X11, (1659.975 * X1)))) * ((X24 * exp(-39.69782)) - log(abs(pdiv(X4, X13)))))) + X2) + -676.0414) + X18) + X23) + log(abs((((pdiv(((18790.264 * (-21622.502 * X1)) - (-63945.637 * X6)), (27867.05 - X21)) + (-21150.22 + X17)) - -398022.66) - X11)))) - X15) + ((X6 * (pdiv(pdiv(X24, 0.5942799), 33.873104) - 4.0285826)) - log(abs(pdiv(X22, pdiv(514927.44, X17)))))) [likelihood params: Float32[]]"
24,1915514,28666.34,29011.379,2481.3286,1863.5125,0.6960775,0.73023367,28666.34,14472.021,36.904,Inf,80,"((((((((X12 - ((pdiv(pdiv(X11, (0.18314667 * X1)), (exp(-359614.38) + -8.626598e6)) * (2.3781186e7 + pdiv(X11, (1659.975 * X1)))) * ((X24 * exp(-39.69782)) - log(abs(pdiv(X4, X13)))))) + X2) + -676.0414) + X18) + X23) + log(abs((((pdiv(((18790.264 * (-21622.502 * X1)) - (-63945.637 * X6)), (27867.05 - X21)) + (-21150.22 + X17)) - -398022.66) - X11)))) - X15) + ((X6 * (pdiv(pdiv(X24, 0.5942799), 33.873104) - 4.0285826)) - log(abs(pdiv(X22, pdiv(514927.44, X17)))))) [likelihood params: Float32[]]"
25,2036573,28048.62,28186.447,2392.6887,1865.0398,0.70693445,0.73001254,28048.62,14478.346,42.438,Inf,42,"(((-927.2064 - X15) + ((X12 - ((pdiv(pdiv(X11, (0.45567846 * X1)), (exp(-359614.38) + -86877.23)) * (1.4929896e6 + pdiv(X11, (6.135597e7 * X1)))) * (-1.2857511 - log(abs(pdiv(X4, X13)))))) - (-8.449844 * X6))) - pdiv(pdiv(X24, -4.3927944e7), log(abs(X10)))) [likelihood params: Float32[]]"
26,2158876,28048.611,28220.707,2392.6877,1865.0836,0.7069346,0.7300062,28048.611,14478.526,45.044,Inf,45,"(((-927.23236 - X15) + ((X12 - ((pdiv(pdiv(X11, (9.614337 * X1)), (exp(-359614.38) + (-2.8827746 * log(abs(5.9711094e9))))) * (23529.795 + pdiv(X11, (1.2518408e6 * X1)))) * (-1.2857789 - log(abs(pdiv(X4, X13)))))) - (-8.450257 * X6))) - pdiv(pdiv(X24, -1.1839724e8), log(abs(X10)))) [likelihood params: Float32[]]"
27,2270068,28048.611,28220.707,2392.6877,1865.0836,0.7069346,0.7300062,28048.611,14478.526,48.92,Inf,45,"(((-927.23236 - X15) + ((X12 - ((pdiv(pdiv(X11, (9.614337 * X1)), (exp(-359614.38) + (-2.8827746 * log(abs(5.9711094e9))))) * (23529.795 + pdiv(X11, (1.2518408e6 * X1)))) * (-1.2857789 - log(abs(pdiv(X4, X13)))))) - (-8.450257 * X6))) - pdiv(pdiv(X24, -1.1839724e8), log(abs(X10)))) [likelihood params: Float32[]]"
28,2379128,27189.127,27367.102,2269.3562,1718.7445,0.7220407,0.7511906,27189.127,13872.682,53.532,Inf,46,"((-1419.5214 + ((X12 - ((pdiv(pdiv((11925.594 + pdiv(X11, (-2.8750554e7 * 1.0240129e8))), (-3.4317625 * X1)), (exp(-359614.38) + 654999.4)) * (3.0535378e6 + pdiv(-3790.6052, (-188260.5 * X1)))) * (-1.1839186 - log(abs(pdiv(X4, X13)))))) - (-13.195162 * X6))) - pdiv(pdiv(X24, 2.3111675e6), log(abs(X10)))) [likelihood params: Float32[]]"
29,2484845,23902.637,24096.87,1797.7615,1537.9482,0.7798034,0.7773631,23902.637,13124.186,57.34,Inf,53,"(((X12 - ((((pdiv(1063.0216, ((log(abs(-8.705532e-13)) - X6) * X1)) - X17) + ((0.35629508 * (-2.1290636 * X1)) - (-0.10890225 * X6))) - (X17 * -1.0115806)) * (((log(abs((X18 + X1))) + -165.06688) + X18) + X23))) + X2) + (exp(((pdiv((2.5089948e6 + X18), log(abs(X8))) * -0.71893626) * X6)) + 530.255)) [likelihood params: Float32[]]"
30,2593100,23902.637,24096.87,1797.7615,1537.9482,0.7798034,0.7773631,23902.637,13124.186,60.12,Inf,53,"(((X12 - ((((pdiv(1063.0216, ((log(abs(-8.705532e-13)) - X6) * X1)) - X17) + ((0.35629508 * (-2.1290636 * X1)) - (-0.10890225 * X6))) - (X17 * -1.0115806)) * (((log(abs((X18 + X1))) + -165.06688) + X18) + X23))) + X2) + (exp(((pdiv((2.5089948e6 + X18), log(abs(X8))) * -0.71893626) * X6)) + 530.255)) [likelihood params: Float32[]]"
