gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
1,5122.7534,4319.937,4443.227,6006.19,6006.19,4120.4897,3414.2048,3469.6973,4917.969,4917.969,47074.133,41479.4,42338.594,53230.71,53230.71,47093.35,41514.0,42368.95,53242.22,53242.22,11,4,5,19,19
2,4758.912,4250.415,4443.227,5432.1226,5432.1226,3793.2046,3321.6914,3469.6973,4429.9165,4429.9165,44538.57,40994.906,42338.594,49230.094,49230.094,44553.906,41048.43,42358.266,49267.543,49267.543,12,4,5,19,19
3,4655.317,3964.1597,4443.227,5432.1226,5432.1226,3848.9614,3122.5615,3469.6973,4429.901,4429.901,43816.625,39000.023,42338.594,49230.094,49230.094,43877.664,39041.844,42358.266,49267.543,49267.543,13,3,7,21,21
4,4549.7046,3964.1597,4138.355,4828.0615,4828.0615,3592.029,3122.5615,3148.789,4008.1968,4008.1968,43080.62,39000.023,40213.973,45020.46,45020.46,43127.316,39041.844,40321.574,45035.12,45035.12,15,5,10,24,24
5,4513.445,3964.1597,4138.355,4828.0615,4828.0615,3492.6912,3122.5615,3148.789,4008.1968,4008.1968,42827.93,39000.023,40213.973,45020.46,45020.46,42883.7,39041.844,40321.574,45035.12,45035.12,15,5,10,24,24
6,4477.651,3964.1597,4025.8206,4823.6235,4823.6235,3481.3694,3122.5615,3148.789,4005.2053,4005.2053,42578.49,39000.023,39429.734,44989.53,44989.53,42631.145,39041.844,39528.18,45025.363,45025.363,15,10,12,29,29
7,4477.6396,3854.467,4025.8206,4823.6235,4823.6235,3473.497,2942.3794,3148.789,4005.2053,4005.2053,42578.41,38235.59,39429.734,44989.53,44989.53,42629.4,38275.402,39528.18,45025.363,45025.363,15,11,12,29,29
8,4380.868,3676.9324,3854.467,4609.1836,4609.1836,3473.497,2942.3794,3148.789,3758.4814,3758.4814,41904.016,36998.367,38235.59,43495.125,43495.125,41935.777,37090.414,38275.402,43580.42,43580.42,17,10,11,33,33
9,4202.675,3219.6611,3676.9324,4601.063,4601.063,3402.9976,2418.0,3133.4128,3745.6052,3745.6052,40662.21,33811.695,36998.367,43438.53,43438.53,40787.76,33873.297,37090.414,43531.254,43531.254,17,10,13,35,35
10,4138.355,3069.2903,3219.6611,4581.7075,4581.7075,3218.6746,2418.0,2449.0977,3583.248,3583.248,40213.973,32763.78,33811.695,43303.65,43303.65,40321.574,32817.664,33873.297,43394.785,43394.785,17,10,15,35,35
11,4138.355,3069.2903,3219.6611,4549.609,4549.609,3148.789,2418.0,2449.0977,3574.4868,3574.4868,40213.973,32763.78,33811.695,43079.957,43079.957,40321.574,32817.664,33873.297,43138.984,43138.984,17,10,15,33,33
12,4138.355,3069.2903,3219.6611,4542.4893,4542.4893,3148.789,2418.0,2449.0977,3546.1638,3546.1638,40213.973,32763.78,33811.695,43030.336,43030.336,40321.574,32817.664,33873.297,43115.094,43115.094,24,10,15,38,38
13,3783.9482,3069.2903,3219.6611,4542.4893,4542.4893,3133.4128,2418.0,2449.0977,3546.1638,3546.1638,37744.152,32763.78,33811.695,43030.336,43030.336,37900.562,32817.664,33873.297,43115.094,43115.094,17,10,15,38,38
14,3783.9482,3069.2903,3219.6611,4542.4893,4542.4893,3133.4128,2418.0,2449.0977,3546.1638,3546.1638,37744.152,32763.78,33811.695,43030.336,43030.336,37900.562,32817.664,33873.297,43115.094,43115.094,26,12,15,42,42
15,3582.97,1915.9423,3069.2903,4542.4893,4542.4893,2768.203,1654.6769,2418.0,3546.1638,3546.1638,36343.555,24726.227,32763.78,43030.336,43030.336,36450.8,24878.39,32817.664,43115.094,43115.094,33,13,15,40,40
16,3582.97,1915.9423,2889.4424,4542.481,4542.481,2768.203,1654.6769,2293.9194,3546.308,3546.308,36343.555,24726.227,31510.44,43030.28,43030.28,36450.8,24878.39,31683.941,43110.25,43110.25,33,13,14,55,55
