run,algorithm,dataset,r2_test,mse_test,hypervolume,size,size_mse
0,SymRegg,1028_SWD,0.3946881447295244,0.4197536313149039,16.23962139157461,37.0,37.0
1,SymRegg,1028_SWD,0.4160004900370645,0.3750169322645565,16.682433395237876,46.0,46.0
2,SymRegg,1028_SWD,0.3731818443551845,0.3987275479341857,18.603717408327313,23.0,23.0
3,SymRegg,1028_SWD,0.3809465473633445,0.3975269204084,15.40773453232199,48.0,48.0
4,SymRegg,1028_SWD,0.3738282080152906,0.4342189587466394,15.698687609752719,46.0,46.0
5,SymRegg,1028_SWD,0.3992696742430792,0.3857606728093765,16.689267783733218,34.0,34.0
6,SymRegg,1028_SWD,0.369001410830456,0.4013867785158241,18.864568054371414,34.0,34.0
7,SymRegg,1028_SWD,0.4070603595977717,0.3807578622382843,16.28126765071575,31.0,31.0
8,SymRegg,1028_SWD,0.3695696973937941,0.4048325967002957,16.258584568103128,49.0,49.0
9,SymRegg,1028_SWD,0.3587213373744239,0.4079260729583892,16.125984928280644,26.0,26.0
10,SymRegg,1028_SWD,0.4030756645776111,0.4139373039403358,19.92734164424956,34.0,34.0
11,SymRegg,1028_SWD,0.3346806935197409,0.4232186532523914,16.631877233864614,36.0,36.0
12,SymRegg,1028_SWD,0.3745468552993454,0.3978592459206477,18.824100596366037,48.0,48.0
13,SymRegg,1028_SWD,0.3736502093184572,0.4022122844603878,16.776714377971956,32.0,32.0
14,SymRegg,1028_SWD,0.3486395166174151,0.4182729713112237,16.940278123966657,22.0,22.0
15,SymRegg,1028_SWD,0.3885560459710968,0.3889478093344759,16.66925253595311,49.0,49.0
16,SymRegg,1028_SWD,0.3501597904455333,0.4133721893204276,17.916858538221355,26.0,26.0
17,SymRegg,1028_SWD,0.3992187890947896,0.4166118550421318,16.681972088790655,46.0,46.0
18,SymRegg,1028_SWD,0.4054514436842803,0.412289819427116,17.145255020937526,34.0,34.0
19,SymRegg,1028_SWD,0.3820425675758139,0.3968231079380671,18.314843384663067,47.0,47.0
20,SymRegg,1028_SWD,0.4446437721213618,0.3566235678969678,16.716400984903856,43.0,43.0
21,SymRegg,1028_SWD,0.3447300896636961,0.4543970549398074,14.894844335366235,20.0,20.0
22,SymRegg,1028_SWD,0.4134856000498823,0.3766318759620876,15.791059260802648,42.0,42.0
23,SymRegg,1028_SWD,0.3633875067815664,0.4049578591802775,18.11252762227378,33.0,33.0
24,SymRegg,1028_SWD,0.4006493659282755,0.4156198212408734,16.628080713366884,32.0,32.0
25,SymRegg,1028_SWD,0.3609209250259817,0.4065268853584867,16.162503430500024,40.0,40.0
26,SymRegg,1028_SWD,0.3668822791007423,0.4390356145899882,17.117242441269788,49.0,49.0
27,SymRegg,1028_SWD,0.3999570189102767,0.4160999294237954,15.419106623102962,44.0,44.0
28,SymRegg,1028_SWD,0.3868633818064875,0.3900245360146986,16.984816349487573,36.0,36.0
29,SymRegg,1028_SWD,0.4080843716095661,0.410464015012406,17.48030936862864,27.0,27.0
0,eggp,1028_SWD,0.3391575996365132,0.4582612993024605,14.958846917449877,15.0,15.0
1,eggp,1028_SWD,0.3984399298038223,0.3862934955410144,14.546426554743626,36.0,36.0
2,eggp,1028_SWD,0.3628229318730583,0.4053169929527558,17.073128347014446,29.0,29.0
3,eggp,1028_SWD,0.4111445162161706,0.3781352095480155,17.16680513261015,33.0,33.0
4,eggp,1028_SWD,0.3713966449484579,0.4359051266585799,18.195679814949912,27.0,27.0
