dataset,GPGOMEA,GPZGD,Operon,PySIPS,PySR,QLattice,RF,SymRegg,eggp,neogp,random,slim_gsgp
1028_SWD,-0.3867423226157777,-0.4119302785625076,-0.3945613724370299,-0.376412696273236,-0.3799932795936762,-0.4184076714842633,-0.3816660710246174,-0.4197536313149039,-0.4582612993024605,-0.4087765,-0.4532113083459842,-0.3913267033824649
1028_SWD,-0.3837627267568683,-0.4114924747653107,-0.3753055279258744,-0.3847304727036246,-0.3856852637821882,-0.4294248313790378,-0.381043796433799,-0.3750169322645565,-0.3862934955410144,-0.40139556,-0.4594656040381422,-0.3913267033824649
1028_SWD,-0.4109038073179669,-0.4050362581058877,-0.4011504952563482,-0.3999018798374081,-0.399302676644467,-0.4011679028745426,-0.3909179163363363,-0.4139373039403358,-0.4102353232094404,-0.43082345,-0.5121704550979631,-0.3830614197477419
1028_SWD,-0.434389336033561,-0.4318553163965155,-0.4153351557620026,-0.4420773182399412,-0.4308176511849358,-0.4279180799312955,-0.4019410995812819,-0.4232186532523914,-0.3955773346630877,-0.40380073,-0.449768645113076,-0.4252919087506389
1028_SWD,-0.4180040663746843,-0.418033224452177,-0.4044666082389622,-0.4244108257977081,-0.4223506133511292,-0.4238769159337231,-0.3970309033800467,-0.3978592459206477,-0.4264751089075143,-0.40322426,-0.4399079336834246,-0.4252919087506389
1028_SWD,-0.4062516132404818,-0.4232881307673953,-0.4101597710948118,-0.405417615984142,-0.4027704836846952,-0.4257705478527608,-0.4000509766522304,-0.4022122844603878,-0.3846014085354634,-0.38954127,-0.4501519069443162,-0.4252919087506389
1028_SWD,-0.4070017552157646,-0.411045325995289,-0.4027486782159098,-0.4241596878045111,-0.3955090729185356,-0.3975257711221157,-0.3865486557757757,-0.4182729713112237,-0.388142075362563,-0.39565262,-0.441528437169609,-0.3830614197477419
1028_SWD,-0.3996973226213904,-0.4109199928744672,-0.4182839112682759,-0.4106923598529134,-0.3895053214366463,-0.3981989292651727,-0.3881604766866866,-0.3889478093344759,-0.3950373459976138,-0.3976764,-0.4416943774082913,-0.3830614197477419
1028_SWD,-0.3851230679058791,-0.3755886123256914,-0.381478629764876,-0.3949616794810003,-0.3846558826521183,-0.4237404150548842,-0.380224805156354,-0.4133721893204276,-0.4002210012112657,-0.40439463,-0.4710676190978189,-0.3913267033824649
1028_SWD,-0.3671301794701606,-0.3990752451265814,-0.3785288753745341,-0.3980038044053531,-0.4029693581402812,-0.4078789807792694,-0.3833183188423152,-0.4166118550421318,-0.411523950700236,-0.4302351,-0.486624043168323,-0.3913267033824649
1028_SWD,-0.4262089673627801,-0.426495392552203,-0.4288825704614488,-0.4355686303644199,-0.4029719985179973,-0.422749014489656,-0.399077328635302,-0.412289819427116,-0.4121498178598681,-0.42997408,-0.4738202771035733,-0.4252919087506389
1028_SWD,-0.3902411642774416,-0.3733306060074779,-0.3832022878233503,-0.376638087712857,-0.3894137394972566,-0.4053429339550977,-0.3845851675951499,-0.3968231079380671,-0.4066573253664847,-0.38100705,-0.450437914775333,-0.3913267033824649
1028_SWD,-0.3900556179187373,-0.3837991717542888,-0.400709515167646,-0.3795354602920031,-0.3824669999772545,-0.4049284740764581,-0.382084912930805,-0.3987275479341857,-0.4053169929527558,-0.40202117,-0.444828623770403,-0.3913267033824649
1028_SWD,-0.3942439551617972,-0.3761454015179164,-0.3876267948613958,-0.387928759265747,-0.4081802997444614,-0.4057109161203485,-0.3791332836974351,-0.3566235678969678,-0.3895493966581965,-0.3779202,-0.4707610077755297,-0.3913267033824649
1028_SWD,-0.4155743030337678,-0.4277521894473282,-0.4003934483929273,-0.4082621643297768,-0.3946351425178296,-0.3990805361121482,-0.3862192219819819,-0.4543970549398074,-0.3999065792405551,-0.41656765,-0.4767889141669558,-0.3830614197477419
1028_SWD,-0.4197567689578288,-0.4099094377122897,-0.4120219273362868,-0.4174422124916021,-0.4351752221220956,-0.4262764675387466,-0.3989781603750689,-0.3766318759620876,-0.3825138303704818,-0.3794314,-0.4529748315309448,-0.4252919087506389
1028_SWD,-0.4188459990688501,-0.42650331950781,-0.4028069954654896,-0.4262910409909974,-0.4097982903924767,-0.4216501022206275,-0.3959181337370704,-0.4049578591802775,-0.4052865806688995,-0.39777192,-0.4463017203002536,-0.4252919087506389
1028_SWD,-0.3945528303300107,-0.3859183174152761,-0.3780073992939243,-0.3847583636018324,-0.3896132441124136,-0.4032237118793975,-0.386660814876166,-0.4156198212408734,-0.4112778394508134,-0.41136482,-0.4840458028167949,-0.3913267033824649
1028_SWD,-0.4212667099482383,-0.4274881224915965,-0.3977583646276821,-0.4013461311626904,-0.413244984985223,-0.4025286775067585,-0.3886169450583916,-0.4065268853584867,-0.3973302701758385,-0.39260846,-0.4495022811354857,-0.3830614197477419
1028_SWD,-0.41258724441571,-0.4241078412371822,-0.4320726424214354,-0.4161552100950701,-0.4088332973230875,-0.4189683098037827,-0.4019969217836204,-0.4390356145899882,-0.4546977746527917,-0.42524046,-0.4956729288578176,-0.4252919087506389
1028_SWD,-0.4257359871370363,-0.4240588605067646,-0.3883445463140115,-0.3935661580261834,-0.3881624078783129,-0.3987850643024483,-0.3914999474207541,-0.4160999294237954,-0.4235112819116984,-0.40910482,-0.5053263087852204,-0.3830614197477419
1028_SWD,-0.4125636349741095,-0.4193582669116427,-0.4234908951322935,-0.4346395962823596,-0.4248322132802879,-0.4260321209847023,-0.3992494699966634,-0.3900245360146986,-0.3884050536453564,-0.39562002,-0.4328298717767903,-0.4252919087506389
1028_SWD,-0.4033889044481283,-0.4363829840027207,-0.4043933139767058,-0.386831684277648,-0.3834535606172109,-0.3993951363355187,-0.3855960907307306,-0.410464015012406,-0.4046741161950091,-0.4242309,-0.5030874734230326,-0.3830614197477419
1028_SWD,-0.3983227962185259,-0.3924803314899207,-0.4089419704164725,-0.409572918198035,-0.3865224307954842,-0.3955637055096423,-0.3848381235980196,-0.3975269204084,-0.3781352095480155,-0.3828725,-0.4429427216012648,-0.3830614197477419
1028_SWD,-0.414686151194093,-0.4127178610423317,-0.4134934532270661,-0.4162265437411453,-0.4119477480701604,-0.4286565062906096,-0.4011761605405405,-0.4342189587466394,-0.4359051266585799,-0.42511052,-0.4925337421888004,-0.4252919087506389
1028_SWD,-0.4099202069716449,-0.4109751167420248,-0.3963771205795104,-0.4161208528552134,-0.4009367891030941,-0.4009730012405921,-0.3859603076498267,-0.3857606728093765,-0.3856888303959974,-0.38397554,-0.4463040041684644,-0.3830614197477419
1028_SWD,-0.3744996765140212,-0.3733306060074779,-0.3765752481553516,-0.3916177798734035,-0.4043412998101595,-0.4244717442526162,-0.3796347983532934,-0.4013867785158241,-0.3973820399510421,-0.40408233,-0.4346443142115841,-0.3913267033824649
1028_SWD,-0.3719745309919779,-0.3723077575124927,-0.3807299177761603,-0.376857421885797,-0.4181975550056716,-0.4052105425916459,-0.3820702829407851,-0.3807578622382843,-0.3839033781539868,-0.37720856,-0.4620139302307338,-0.3913267033824649
1028_SWD,-0.4025944872143144,-0.4082268936832694,-0.4282855557024422,-0.4060195700962677,-0.3929541439443754,-0.4048568571440902,-0.3891233167634301,-0.4048325967002957,-0.4003281392008797,-0.3773289,-0.4263128814631884,-0.3830614197477419
1028_SWD,-0.4172431462925789,-0.4146911931070923,-0.4126514688004977,-0.418495750356924,-0.4171807442122129,-0.4251003621214828,-0.4032135974243632,-0.4079260729583892,-0.4006803107712433,-0.39966083,-0.4308632259488398,-0.4252919087506389
1089_USCrime,-364.4345795103461,-90310.20447163311,-526.8901416768349,-697.1001446086899,-389.6111263024876,-489.6527035509235,-1156.602856,-337.1290752874887,-483.1989124336875,-591.36127,-435.6879211134579,-367.7504838612011
1089_USCrime,-363.6435706249285,-329.2347867429115,-307.60792555341686,-210.2067894929799,-212.72660336957784,-266.39925929807634,-1026.4276160000002,-449.3282858130822,-405.36013591134486,-32501.63,-506.9162628656512,-367.7504838612011
1089_USCrime,-754.4660190859304,-487.7461215754271,-446.2861359789677,-385.4646617245909,-691.3116722513768,-224.41747657309185,-948.52096975,-254.5231749326699,-387.5661528221166,-1008.3693,-385.19160080899206,-570.7934783849417
1089_USCrime,-766.757158883145,-469.88497705393536,-468.0891581507555,-343.28277661159905,-330.94823856862126,-628.6675737829494,-1022.9207285333332,-519.4041552365524,-424.074660879823,-919.3485,-612.0761057966639,-623.7574690826204
1089_USCrime,-759.2638012688024,-1205.0453910166293,-444.2970089345084,-394.80010310209246,-434.8911365092791,-425.7986088146535,-1066.8949808000002,-570.0747725709435,-1078.101132731818,-17380.094,-697.6614803470035,-623.7574690826204
1089_USCrime,-594.8280258811342,-2726.691042251244,-385.6838967185623,-345.430302180746,-234.5913321087629,-586.5643901789588,-1057.4547226666664,-218.6676870181793,-466.0534648299107,-2597.7676,-307.7321693433802,-623.7574690826204
1089_USCrime,-2470.887667016515,-485.51583675287895,-555.9226272273227,-249.17133037892395,-448.6082714761691,-322.61012311729945,-937.036149,-150.84174476453182,-515.8055033501005,-238.76195,-445.2851168889501,-570.7934783849417
1089_USCrime,-295.0379621445221,-681.3869034999186,-291.6889279447205,-197.4429394638676,-1163.3909341006108,-355.1175956587076,-942.1508239999996,-367.55807518258,-813.2597498946035,-476.2488,-597.3239250309404,-570.7934783849417
1089_USCrime,-286.752165729388,-1411.1924216423583,-463.3591267607408,-312.1696512482404,-646.3300454186873,-487.5546798321517,-1046.21169425,-660.2973580976757,-405.86761245413487,-276.6045,-696.2677693909458,-367.7504838612011
1089_USCrime,-591.9513177968347,-240.65082488851152,-696.0881455509407,-259.7004803026746,-443.9791655624007,-477.0192152066503,-1044.3218255000002,-767.5026407408642,-458.69009245318745,-324.9727,-368.0096451584068,-367.7504838612011
1089_USCrime,-570.9656392747295,-855.7002771220177,-1515.2841322586096,-365.9773084822472,-360.12966031873657,-434.4518476615358,-976.3399970666668,-317.4692404769422,-517.6770757250645,-2938.8494,-376.4718536500988,-623.7574690826204
1089_USCrime,-423.8662898744358,-656.587067680357,-263.40448789407674,-565.543142838874,-704.8417177816011,-497.9692323790129,-999.5482955,-329.11607739073554,-228.6298292358827,-264.20322,-224.69050662799944,-367.7504838612011
1089_USCrime,-700.3354508765159,-444.0675380313413,-321.72483924673,-185.42141038606647,-603.8547509852867,-350.74212189232423,-979.03662275,-748.4015820443904,-543.0206833458374,-518.7483,-795.4739442232298,-367.7504838612011
1089_USCrime,-309.3753092997448,-223.27375159072125,-997.8092844124805,-264.0814665426676,-213.8886338011324,-492.4863281412549,-1020.8798240000002,-448.0732216476145,-254.1410492616532,-165.74547,-347.662593937545,-367.7504838612011
1089_USCrime,-1075.7666096495725,-1379.0132982605269,-448.6251771782991,-369.84556870287975,-1199.9918414455587,-233.65814165155112,-968.6067790000002,-366.86915781223007,-325.41835547928963,-407.86667,-415.8254054123065,-570.7934783849417
1089_USCrime,-540.7517764539031,-632.2718231683351,-446.6976610161674,-314.7840501316131,-475.3986519537431,-334.75312814550693,-1037.0949128,-308.5824666252248,-432.892977583019,-3317.9907,-227.0435025123784,-623.7574690826204
1089_USCrime,-476.6581158669027,-1923.473283138952,-1946.042766838257,-365.3274286904464,-368.2567788750888,-365.4993988470907,-1080.570016,-712.9163048544468,-253.44723050766925,-2104.5447,-720.3951274358875,-623.7574690826204
1089_USCrime,-1900.6905812698424,-435.7007873560296,-445.9336415489706,-188.0498691217188,-737.2677178630189,-3294.564411112852,-1046.605247,-637.4053510531058,-272.12618658887294,-885.2546,-396.288927568838,-367.7504838612011
