gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
11,0.00010688145,8.830796e-5,9.141004e-5,0.00011867623,0.00012211592,0.00014322551,6.96049e-5,9.61641e-5,0.00016094436,0.00016273615,-589.6294,-1312.6482,-1191.8923,-130.48828,3.409668,-559.8733,-1230.1533,-1139.9719,-101.88421,18.216522,22.873857,6.931472,9.656628,52.753696,62.122665,11.642964,3.4951508,6.9558935,26.640385,34.62863,12,5,6,21,26,3.922,2.65,2.82,6.694,7.358
12,0.00010601025,8.712033e-5,8.979973e-5,0.000117683216,0.00012211592,0.00014313536,6.91839e-5,9.61641e-5,0.00016094385,0.00016158952,-623.54297,-1358.8796,-1254.5776,-169.14404,3.409668,-587.7273,-1298.4752,-1216.8632,-144.4582,18.216522,23.292873,6.931472,9.656628,50.65687,57.549488,11.898085,3.4951508,6.9558935,23.078838,28.744503,12,5,6,22,24,4.424,2.87,3.06,7.736,8.386
13,0.000103750936,8.519833e-5,8.783353e-5,0.00011660519,0.000121604986,0.00013706768,6.5955086e-5,8.673564e-5,0.00016081324,0.00016094549,-711.4922,-1433.6985,-1331.1167,-211.10889,-16.479492,-621.99506,-1374.4624,-1301.6609,-190.95422,11.615234,23.350922,9.656628,9.656628,59.867214,67.092476,12.115579,0.19259715,5.935005,26.69622,41.271935,12,6,6,27,28,4.884,2.98,3.23,9.014,10.954
14,0.00010023957,7.8951445e-5,8.4059924e-5,0.0001159946,0.00011867623,0.00013247733,6.595446e-5,8.319386e-5,0.00015874555,0.0001609443,-848.1809,-1676.8738,-1478.0137,-234.87744,-130.48828,-803.4984,-1554.7,-1388.7103,-201.35661,-101.88421,25.296831,9.656628,11.266066,61.52229,82.07838,14.417576,3.1782374,7.878582,38.615112,45.728592,13,6,7,28,32,5.366,3.256,3.596,10.476,13.338
15,9.8985234e-5,7.503947e-5,8.020448e-5,0.000112268615,0.00011867623,0.00012670344,6.598484e-5,8.3456376e-5,0.00015726947,0.0001599391,-897.0093,-1829.157,-1628.0962,-379.9209,-130.48828,-844.2751,-1773.3693,-1468.2808,-344.2239,-101.88421,31.134562,11.266066,14.4849415,64.47238,76.73265,15.207161,0.23815498,6.5906086,35.93023,50.291428,15,7,9,28,32,6.462,3.456,3.836,11.786,14.324
16,9.461873e-5,7.025179e-5,8.020448e-5,0.00011133458,0.00011867623,0.00012531086,6.645346e-5,7.619058e-5,0.00015654461,0.00015991057,-1066.9861,-2015.5295,-1628.0962,-416.28027,-130.48828,-1011.9136,-1957.2333,-1513.9081,-350.5408,-101.88421,32.25167,12.542316,16.09438,64.47238,75.985306,14.785119,5.8704777,8.200774,33.289696,47.565964,16,7,9,28,33,7.44,3.562,4.15,13.338,16.256
17,9.30695e-5,6.960939e-5,7.769276e-5,0.00011150475,0.000118676144,0.00012531086,6.5874985e-5,7.604199e-5,0.00015599423,0.00015782376,-1127.2937,-2040.5361,-1725.8711,-409.65625,-130.4917,-1066.6855,-1968.9907,-1666.516,-354.535,-101.88679,35.350506,12.542316,16.09438,71.380135,97.46808,14.94328,0.3661427,7.894389,32.11948,58.357063,18,7,9,32,39,8.464,3.926,4.548,15.292,18.904
18,9.119543e-5,6.7880195e-5,7.6619035e-5,0.00010796656,0.000118676144,0.00012477068,6.399356e-5,7.1838425e-5,0.00015569523,0.00015743682,-1200.2466,-2107.8496,-1767.6685,-547.3887,-130.4917,-1115.6802,-1995.958,-1706.7091,-475.72968,-106.92888,38.9182,14.334076,17.513191,83.49454,100.03303,16.298397,4.1005573,7.974054,39.617096,51.69697,19,8,10,38,41,9.63,4.214,4.954,17.61,20.754
19,9.071804e-5,6.7880195e-5,7.069796e-5,0.00010781884,0.00011658639,0.0001273248,6.3270956e-5,7.011012e-5,0.0001551796,0.0001592206,-1218.8303,-2107.8496,-1998.1611,-553.13916,-211.84082,-1171.1808,-2044.9644,-1873.1307,-528.4211,-184.48708,40.864113,16.09438,17.917595,85.69176,105.162926,15.647468,7.974054,9.254182,33.798615,48.355118,20,9,10,39,41,11.068,4.674,5.784,19.364,24.066
20,8.9228764e-5,6.350464e-5,6.8122245e-5,0.0001076809,0.00011334801,0.0001238605,6.3445426e-5,6.604347e-5,0.0001548194,0.00015614466,-1276.8037,-2278.179,-2098.4272,-558.5088,-337.90234,-1226.8595,-2200.797,-2006.1957,-531.29675,-297.4155,42.810024,16.125835,19.4591,81.29731,101.88117,15.647468,7.662278,8.592246,35.277115,50.082897,20,10,11,37,41,11.922,5.308,6.228,23.324,27.99
21,8.8817855e-5,6.0227252e-5,6.76062e-5,0.00010688138,0.0001128865,0.00011100725,6.3446445e-5,6.604347e-5,0.00015286602,0.00015517022,-1292.7996,-2405.7593,-2118.5156,-589.6323,-355.86816,-1249.3684,-2231.9517,-2003.9077,-556.3716,-298.69794,46.0517,17.703817,19.709354,85.19565,105.162926,16.041208,8.401096,9.801237,36.945908,59.076054,21,10,11,39,41,13.576,6.136,6.862,26.284,31.392
22,8.7389264e-5,6.0227252e-5,6.668831e-5,0.00010625038,0.000107800435,0.00011080831,6.121347e-5,6.465274e-5,0.00015083248,0.00015651071,-1348.4109,-2405.7593,-2154.2463,-614.1953,-553.85547,-1268.1844,-2235.1782,-2075.22,-572.08844,-537.7611,48.354286,17.917595,21.501114,93.517914,124.24533,16.919134,7.662278,9.031711,37.134323,53.815163,23,10,12,39,48,15.162,6.862,7.498,27.92,33.654
23,8.6480446e-5,5.7272162e-5,6.484056e-5,0.00010594532,0.00010699763,0.00010608078,6.0149177e-5,6.3446445e-5,0.00015277915,0.00015651071,-1383.7888,-2520.7935,-2226.1748,-626.0703,-585.10693,-1295.5475,-2382.0613,-2123.6243,-585.4009,-546.7716,50.65687,17.917595,21.405012,110.303185,151.0674,18.689888,8.118721,9.797323,45.60758,55.927704,24,10,12,48,61,17.426,7.074,8.058,31.458,36.756
24,8.527497e-5,5.7272162e-5,6.273303e-5,0.00010594532,0.00010699763,0.000100455,5.9052716e-5,6.177606e-5,0.00015277915,0.0001551708,-1430.7148,-2520.7935,-2308.2156,-626.0703,-585.10693,-1323.6433,-2382.0613,-2168.4053,-579.19495,-537.7611,54.930614,17.917595,24.953299,120.64643,151.0674,20.89535,8.788225,9.871297,57.09577,67.539154,25,10,13,52,61,19.116,7.414,9.304,33.448,38.778
25,8.38906e-5,5.713063e-5,6.036534e-5,0.00010450556,0.00010649202,0.000100455,5.4879718e-5,6.121347e-5,0.00015112231,0.00015461327,-1484.605,-2526.303,-2400.384,-682.11646,-604.78906,-1408.0533,-2418.1306,-2223.0667,-631.6616,-571.43463,56.14492,20.922693,25.296831,119.27552,131.88425,19.124792,8.401096,9.797323,56.89033,68.43039,26,12,15,48,57,21.562,8.126,10.226,35.296,42.97
26,8.3083054e-5,5.5999746e-5,5.9806018e-5,0.000103523664,0.00010649202,9.3703486e-5,5.4780903e-5,6.0724684e-5,0.00015112231,0.0001544924,-1516.0405,-2570.3254,-2422.157,-720.3396,-604.78906,-1423.2521,-2426.377,-2317.9536,-684.88214,-571.43463,58.22436,20.922693,25.296831,120.64643,154.35886,22.497372,9.374136,11.043492,62.605583,85.77226,27,12,14,54,62,23.384,8.572,10.366,38.852,45.18
27,8.301339e-5,5.587297e-5,5.7635574e-5,0.000101420876,0.00010649202,9.5931115e-5,5.3253065e-5,5.8639882e-5,0.00014954069,0.00015382287,-1518.7527,-2575.2605,-2506.6467,-802.19556,-604.78906,-1438.3932,-2437.541,-2317.9536,-716.86694,-571.43463,62.383247,23.350922,29.188652,129.48634,163.05688,22.497372,8.325161,9.797323,58.34324,66.74342,30,12,15,56,65,25.136,9.466,11.802,42.124,49.154
28,8.193e-5,5.5734297e-5,5.7272162e-5,0.00010096073,0.000104774816,9.591269e-5,5.3253065e-5,5.7541332e-5,0.00014944423,0.00015461326,-1560.9263,-2580.6587,-2520.7935,-820.10815,-671.6355,-1443.8826,-2437.541,-2380.718,-769.11456,-612.17316,64.462685,25.296831,30.57932,141.47581,158.87837,23.966885,9.374136,10.756481,62.605583,66.74342,30,14,17,59,65,27.052,10.71,13.37,44.74,49.966
29,8.1890335e-5,5.5367447e-5,5.7272162e-5,0.00010096073,0.00010492569,9.16093e-5,5.283788e-5,5.8517948e-5,0.00014843048,0.00015417548,-1562.4702,-2594.9392,-2520.7935,-820.10815,-665.76196,-1451.663,-2446.9238,-2383.295,-769.11456,-613.9885,70.31119,25.296831,30.459911,142.76027,166.72171,22.500313,8.427404,9.982331,66.74342,89.74058,32,14,17,61,69,29.592,11.932,14.94,46.832,53.078
30,8.187299e-5,5.5367447e-5,5.7272162e-5,0.00010073154,0.00010492569,9.163222e-5,5.280024e-5,5.849389e-5,0.00014835804,0.00015382287,-1563.1455,-2594.9392,-2520.7935,-829.0298,-665.76196,-1464.9476,-2453.8274,-2401.2524,-771.78235,-613.9885,66.54213,26.876392,33.798195,141.47581,181.90422,24.443966,8.279102,9.77527,66.74342,90.682846,32,15,17,59,69,32.642,13.834,16.93,48.604,53.984
