id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
0,x3,,1,0.195218755704664,0.2201708417557193,0.5105360688206286,0.6955968634357776,0.7201741853204044,0.7338466533841567,0.195218755704664,0.2201708417557193,0.5105360688206286,0.195218755704664,0.2201708417557193,0.5105360688206286
1,(x3 / 1.0208730316324952),1.0208730316324952,3,0.19455102253882817,0.21708291940400126,0.5242569707984688,0.696638054735941,0.7240987757922687,0.7266936544032498,0.19455102253882817,0.21708291940400126,0.5242569707984688,3.4903878885431574,3.5129197854083305,3.8200938368027977
2,Sqrt(Abs((x2 * x3))),,5,0.11651531285461762,5.943223730747476e-2,0.3060135245438589,0.8183185495538947,0.924464683469544,0.8404686198661648,0.11651531285461762,5.943223730747476e-2,0.3060135245438589,5.66169275733418,5.6046096817870374,5.851190969023421
3,(Sqrt(Abs((x2 * x3))) + -7.586326795221382e-2),-7.586326795221382e-2,7,0.1107600774302282,5.318138970158778e-2,0.32108598467844657,0.8272926448375468,0.9324091892442734,0.8326110247782772,0.1107600774302282,5.318138970158778e-2,0.32108598467844657,10.861316892798559,10.803738205069918,11.071642800046778
4,(-7.216209280786164e-3 + Sqrt(Abs(((x2 * 0.8808591061470389) * x3)))),-7.216209280786164e-3;0.8808591061470389,9,0.10846693842872225,5.0530638811210886e-2,0.33312387815645894,0.8308683192245518,0.9357781572760864,0.826335414040765,0.10846693842872225,5.0530638811210886e-2,0.33312387815645894,14.442542692253163,14.38460639263565,14.667199631980898
5,Sqrt(Abs(((-0.17506133803505836 * x3) * (Abs(4.65426486353973) ^ Sqrt(Abs(x2)))))),-0.17506133803505836;4.65426486353973,12,9.55679584868318e-2,3.6382789148477965e-2,0.4979415490537364,0.8509816015708989,0.9537593464574909,0.7404124452834857,9.55679584868318e-2,3.6382789148477965e-2,0.4979415490537364,16.221403181539326,16.162218012200974,16.62377677210623
6,(-0.36802742996398774 + Sqrt(Abs((((Abs(1.465591228847929) ^ x2) * x3) * -1.0723277612655782)))),-0.36802742996398774;1.465591228847929;-1.0723277612655782,12,9.217372408390978e-2,3.309801873954076e-2,1.1943697465188519,0.856274205730546,0.957934120684571,0.377349565394968,9.217372408390978e-2,3.309801873954076e-2,1.1943697465188519,19.55127521463704,19.49219950929267,20.653471237071983
7,Sqrt(Abs(((Sqrt(Abs(x2)) * x3) * (Abs(x2) ^ (x2 * 0.11230335520675849))))),0.11230335520675849,14,0.10157072527835513,3.289506745161542e-2,0.9847388921252096,0.8416215324893828,0.958192061332075,0.4866346029432339,0.10157072527835513,3.289506745161542e-2,0.9847388921252096,19.810924886786957,19.74224922896022,20.694093053633814
8,Sqrt(Abs(((Sqrt(Abs(x2)) * x3) * Sqrt(Abs((Abs(-1.078987610529877) ^ (x2 * x2))))))),-1.078987610529877,16,0.10330453011903395,3.0568446198822402e-2,4.306008275725549,0.8389180236498361,0.9611490772671643,-1.2448139967609761,0.10330453011903395,3.0568446198822402e-2,4.306008275725549,21.604418160855694,21.531682076935482,25.80712190646221
9,Sqrt(Abs(((Sqrt(Abs(x2)) * x3) * Sqrt(Abs((Abs(1.0316389193284594) ^ (Abs(Sqrt(Abs(x2))) ^ 5.271040501342875))))))),1.0316389193284594;5.271040501342875,19,0.10239658372296649,2.839471041983996e-2,78.10225817472916,0.8403337776320674,0.9639117836291938,-39.71637375098394,0.10239658372296649,2.839471041983996e-2,78.10225817472916,23.395269683687683,23.321267810384555,101.39513127469388
