gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
1,5194.4253,4112.046,4516.2646,6728.9663,6728.9663,4169.633,3114.6694,3470.6096,5457.317,5457.317,47573.61,40030.625,42847.582,58267.656,58267.656,47604.99,40088.523,42881.336,58304.105,58304.105,12,3,9,17,17
2,4883.1943,3854.7336,4443.224,5331.04,5331.04,3844.0618,2942.8857,3481.3694,4335.892,4335.892,45404.68,38237.445,42338.57,48525.664,48525.664,45422.41,38296.94,42350.25,48558.64,48558.64,9,3,3,17,17
3,4460.1045,3854.7336,4005.4343,5331.04,5331.04,3481.3801,2942.8857,3036.2424,4335.892,4335.892,42456.207,38237.445,39287.664,48525.664,48525.664,42511.63,38296.94,39364.047,48558.64,48558.64,12,3,4,22,22
4,4460.1025,3810.952,4005.433,4927.19,4927.19,3481.3801,2911.067,3036.2751,3927.971,3927.971,42456.195,37932.336,39287.656,45711.273,45711.273,42511.62,37970.75,39363.656,45762.953,45762.953,13,3,4,22,22
5,4460.1025,3810.952,4005.433,4927.19,4927.19,3481.3694,2911.067,3036.2751,3927.971,3927.971,42456.195,37932.336,39287.656,45711.273,45711.273,42511.62,37970.75,39363.656,45762.953,45762.953,11,4,9,22,22
6,4460.1025,3165.5393,4005.433,4858.484,4858.484,3481.3694,2257.1553,3036.2751,3984.4287,3984.4287,42456.195,33434.527,39287.656,45232.47,45232.47,42511.62,33540.09,39363.656,45270.05,45270.05,13,4,9,31,31
7,4450.935,3165.5393,3548.426,4858.484,4858.484,3481.3694,2257.1553,2595.362,3984.4287,3984.4287,42392.305,33434.527,36102.82,45232.47,45232.47,42418.816,33540.09,36180.69,45270.05,45270.05,13,3,4,31,31
8,4443.227,3165.5393,3548.4268,4858.484,4858.484,3481.3694,2257.1553,2595.3645,3984.4287,3984.4287,42338.594,33434.527,36102.83,45232.47,45232.47,42350.273,33540.09,36177.773,45270.05,45270.05,13,3,4,31,31
9,4365.0,2495.6895,3165.5393,4550.649,4550.649,3434.6646,2153.6035,2257.1553,3562.8606,3562.8606,41793.438,28766.42,33434.527,43087.203,43087.203,41832.066,28856.54,33540.09,43116.004,43116.004,14,4,9,31,31
10,3799.4773,2495.6895,3165.991,4430.0728,4430.0728,3068.666,2153.6035,2250.8252,3562.8606,3562.8606,37852.37,28766.42,33437.676,42246.92,42246.92,37926.0,28856.54,33538.49,42293.098,42293.098,21,12,13,28,28
11,3694.6643,2176.303,2913.3967,4424.601,4424.601,2709.9626,1623.4257,2133.1667,3557.3306,3557.3306,37121.94,26540.65,31677.375,42208.79,42208.79,37190.37,26627.473,31827.154,42266.7,42266.7,21,12,19,45,45
12,3582.1604,2176.3022,2913.3967,4424.601,4424.601,2656.7864,1623.4238,2133.1667,3557.3306,3557.3306,36337.914,26540.645,31677.375,42208.79,42208.79,36373.69,26622.213,31827.154,42266.7,42266.7,20,12,16,45,45
13,3275.9846,2176.3008,2913.3967,4424.601,4424.601,2621.8708,1623.4236,2133.1667,3557.3306,3557.3306,34204.21,26540.635,31677.375,42208.79,42208.79,34262.48,26621.553,31827.154,42266.7,42266.7,19,12,16,45,45
14,3169.745,2176.3008,2820.7627,4424.601,4424.601,2499.385,1623.4236,2133.1667,3557.3306,3557.3306,33463.836,26540.635,31031.818,42208.79,42208.79,33528.52,26621.553,31100.494,42266.7,42266.7,20,11,15,45,45
15,3140.64,2176.3008,2633.8154,4410.156,4410.156,2499.385,1623.4236,2119.376,3549.0835,3549.0835,33261.008,26540.635,29729.004,42108.125,42108.125,33375.78,26621.553,29839.064,42192.38,42192.38,20,11,15,45,45
16,2913.3967,2121.0317,2176.3008,3859.7446,3859.7446,2419.1719,1623.4236,1675.7969,2978.326,2978.326,31677.375,26155.47,26540.635,38272.367,38272.367,31827.154,26366.846,26621.553,38442.453,38442.453,32,11,19,57,57
17,2900.713,1864.0522,2077.9065,3581.0815,3581.0815,2419.1719,1527.4945,1623.4236,2828.3428,2828.3428,31588.982,24364.61,25854.936,36330.4,36330.4,31671.62,24585.225,26066.256,36363.418,36363.418,29,11,19,57,57
18,2861.283,1864.0522,2077.9065,3581.0815,3581.0815,2419.1719,1527.4945,1623.4236,2828.3428,2828.3428,31314.2,24364.61,25854.936,36330.4,36330.4,31422.957,24585.225,26066.256,36363.418,36363.418,30,11,19,51,51
19,2682.4456,1864.0522,1905.11,3581.0815,3581.0815,2419.1719,1527.4945,1623.4236,2828.3857,2828.3857,30067.9,24364.61,24650.736,36330.4,36330.4,30302.902,24585.225,24948.957,36363.418,36363.418,43,11,19,69,69
20,2682.4473,1775.2644,1905.11,3581.0815,3581.0815,2419.1719,1549.7144,1623.4268,2644.2163,2644.2163,30067.914,23745.855,24650.736,36330.4,36330.4,30292.39,23950.664,24948.957,36363.418,36363.418,47,11,19,69,69
21,2615.2769,1775.2644,1877.43,3581.0815,3581.0815,2193.7341,1545.0712,1549.7144,2644.2163,2644.2163,29599.81,23745.855,24457.838,36330.4,36330.4,29684.787,23950.664,24664.877,36363.418,36363.418,45,11,19,69,69
22,2527.1206,1726.0569,1865.3507,3581.0815,3581.0815,2008.1854,1378.211,1623.4257,2632.222,2632.222,28985.459,23402.936,24373.658,36330.4,36330.4,29062.51,23715.572,24621.848,36363.418,36363.418,49,11,19,69,69
23,2185.567,1520.8898,1559.9061,3581.0815,3581.0815,1741.0082,1187.8027,1323.8428,2632.222,2632.222,26605.21,21973.148,22245.049,36330.4,36330.4,26692.852,22417.959,22435.98,36363.418,36363.418,49,11,19,99,99
24,2176.3005,1520.8328,1559.9061,2904.3142,2904.3142,1707.9958,1187.8408,1323.8428,2446.5867,2446.5867,26540.633,21972.75,22245.049,31614.078,31614.078,26614.424,22417.959,22428.824,31715.168,31715.168,58,19,23,99,99
25,2040.2366,1243.4819,1559.9061,2904.3142,2904.3142,1668.5135,1036.1332,1323.8428,2446.5867,2446.5867,25592.418,20039.924,22245.049,31614.078,31614.078,25798.266,20339.213,22417.959,31701.188,31701.188,53,19,23,92,92
26,1961.3989,1157.368,1559.9061,2452.168,2452.168,1631.505,998.57715,1323.8428,2052.4697,2052.4697,25043.008,19439.805,22245.049,28463.121,28463.121,25125.604,20083.773,22417.959,29041.05,29041.05,51,19,23,99,99
27,1762.7931,1157.368,1559.9061,2452.168,2452.168,1547.7167,998.57715,1323.8428,2052.4697,2052.4697,23658.945,19439.805,22245.049,28463.121,28463.121,24563.568,20083.773,22417.959,29009.312,29009.312,67,19,29,99,99
28,1762.7931,1175.8287,1378.8744,2451.0706,2451.0706,1547.7167,988.6404,1162.3666,2041.4991,2041.4991,23658.945,19568.457,20983.459,28455.475,28455.475,24563.568,19935.463,21286.127,29009.312,29009.312,79,19,29,99,99
29,1762.7931,1047.1842,1378.2457,2292.6045,2292.6045,1547.7167,851.5068,1162.345,1913.1346,1913.1346,23658.945,18671.945,20979.078,27351.143,27351.143,24455.7,19093.686,21254.793,27573.271,27573.271,68,19,49,92,92
30,1721.1173,1047.1842,1259.0038,2292.6045,2292.6045,1547.7167,851.5068,1145.9927,1913.1346,1913.1346,23368.512,18671.945,20148.094,27351.143,27351.143,24271.867,19093.686,20520.531,27539.227,27539.227,79,19,49,96,96
31,1691.9353,1047.1842,1259.0038,2292.6045,2292.6045,1489.3365,851.5068,1145.9927,1913.1346,1913.1346,23165.145,18671.945,20148.094,27351.143,27351.143,23590.902,19093.686,20520.531,27522.59,27522.59,77,19,49,95,95
32,1590.3854,1047.1842,1199.4894,2188.4216,2188.4216,1472.0287,851.5068,1061.3766,1749.5446,1749.5446,22457.455,18671.945,19733.344,26625.105,26625.105,23110.102,19093.686,20083.38,26777.256,26777.256,79,19,49,97,97
33,1590.3854,929.3257,1199.897,2183.356,2183.356,1472.0287,731.0927,1061.8118,1778.4667,1778.4667,22457.455,17850.604,19736.186,26589.8,26589.8,23110.102,18170.06,20032.332,26771.91,26771.91,78,19,49,97,97
