id,view,Expression,Numpy,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,8.771722222222245e-2,"t[0]",8.771722222222245e-2,1,1.894115295855378e-4,1.973717945147292e-4,1.4256190099641968e-4,1.973717945147292e-4,-4.440892098500626e-16,-4.4644865026977065e-4,-7.562099461564609e-3,1.894115295855378e-4,1.973717945147292e-4,1.4256190099641968e-4
1,0,(8.467140844986228e-2 / (x0 ^ 0.1852591802556585)),"(t[0] / x[:, 0] ** t[1])",8.467140844986228e-2;0.1852591802556585,5,9.641705563446948e-5,9.067457218906843e-5,1.3138871648116457e-4,9.067457218906843e-5,0.49096522347163774,0.5403849169407726,7.14048416999774e-2,6.931568222655088,6.9315624801716424,6.931603194315934
2,0,((Sqrt(x0) ^ -3.192280697805521e-2) + -0.914631424626679),"(np.sqrt(x[:, 0]) ** t[0] + t[1])",-3.192280697805521e-2;-0.914631424626679,6,9.527494422139577e-5,9.064257094195537e-5,1.2857866786868686e-4,9.064257094195537e-5,0.49699501170877847,0.5405471262073264,9.126497585775795e-2,9.656722749548823,9.656718117175544,9.65675605327247
3,0,(((x0 * x1) ^ -1.009618046626721e-2) + -0.916026368786414),"((x[:, 0] * x[:, 1]) ** t[0] + t[1])",-1.009618046626721e-2;-0.916026368786414,7,6.584662160870743e-5,6.575031139339315e-5,7.085641046773725e-5,6.575031139339315e-5,0.652362125194859,0.6667220577646386,0.4992194043976961,12.542382131217995,12.542382034907778,12.542387141006852
4,0,(((Sqrt(x1) * x0) ^ -1.3659151024794303e-2) + -0.9158178463954735),"((np.sqrt(x[:, 1]) * x[:, 0]) ** t[0] + t[1])",-1.3659151024794303e-2;-0.9158178463954735,8,6.495510079582528e-5,6.24383832295941e-5,7.11977823458982e-5,6.24383832295941e-5,0.6570689179377978,0.6835096984597243,0.49680674460673524,15.5673461475433,15.567343630825736,15.567352390224851
5,0,(0.22922153282347443 / Exp(((Sqrt(x1) * x0) ^ 0.17004252732759922))),"(t[0] / np.exp((np.sqrt(x[:, 1]) * x[:, 0]) ** t[1]))",0.22922153282347443;0.17004252732759922,9,6.497019223855789e-5,6.22640256286825e-5,7.043494707222838e-5,6.22640256286825e-5,0.6569892425201206,0.6843934895964268,0.5021981142820136,18.715038845310758,18.71503613914415,18.715044310065593
6,0,((((Exp(x14) * x1) * x0) ^ -9.94628542767216e-3) + -0.9153682988692675),"(((np.exp(x[:, 14]) * x[:, 1]) * x[:, 0]) ** t[0] + t[1])",-9.94628542767216e-3;-0.9153682988692675,10,6.265821373723632e-5,6.129034510337867e-5,6.621478551338939e-5,6.129034510337867e-5,0.66919535534958,0.6893289223721948,0.5320242796920664,20.794478075012094,20.794476707143463,20.79448163158387
7,0,(((Sqrt((Exp(x14) * x1)) * x0) ^ -1.3698324605805097e-2) + -0.9154129891701026),"((np.sqrt((np.exp(x[:, 14]) * x[:, 1])) * x[:, 0]) ** t[0] + t[1])",-1.3698324605805097e-2;-0.9154129891701026,11,6.127414046475221e-5,5.7953928610842625e-5,6.638680132359554e-5,5.7953928610842625e-5,0.6765025835606222,0.7062406905373608,0.5308085508777022,24.16953162483888,24.169528304627026,24.169536737499737
8,0,(0.23010481240408395 / Exp(((Sqrt((Exp(x14) * x1)) * x0) ^ 0.16406242589699815))),"(t[0] / np.exp((np.sqrt((np.exp(x[:, 14]) * x[:, 1])) * x[:, 0]) ** t[1]))",0.23010481240408395;0.16406242589699815,12,6.110952609849187e-5,5.781225577770192e-5,6.61624415325104e-5,5.781225577770192e-5,0.6773716666973276,0.706958807749267,0.5323942229300562,26.36675603756073,26.366752740290412,26.366761090476164
9,0,(0.22401955773372592 / Exp(((((x14 + Sin(x0)) * x1) * x0) ^ 9.479646385676747e-2))),"(t[0] / np.exp((((x[:, 14] + np.sin(x[:, 0])) * x[:, 1]) * x[:, 0]) ** t[1]))",0.22401955773372592;9.479646385676747e-2,13,6.057564150046058e-5,5.7486796376628744e-5,6.270043294655638e-5,5.7486796376628744e-5,0.6801903155895017,0.7086085100422621,0.5568621110182308,29.9336667845641,29.933663695718973,29.933668909355543
10,0,(((((x14 + (Sqrt(x0) ^ x1)) * x1) * x0) ^ -8.71075132571862e-3) + -0.9153600013735906),"((((x[:, 14] + np.sqrt(x[:, 0]) ** x[:, 1]) * x[:, 1]) * x[:, 0]) ** t[0] + t[1])",-8.71075132571862e-3;-0.9153600013735906,14,5.871251061142354e-5,5.623354882962809e-5,6.1498816967508e-5,5.623354882962809e-5,0.6900267331144214,0.7149610238893351,0.5653545813776639,29.11224029602831,29.11223781706653,29.11224308233467
11,0,((((x0 * x0) * ((x14 + Sin(Exp(x4))) * x1)) ^ -6.921912417880605e-3) + -0.9170958592242543),"(((x[:, 0] * x[:, 0]) * ((x[:, 14] + np.sin(np.exp(x[:, 4]))) * x[:, 1])) ** t[0] + t[1])",-6.921912417880605e-3;-0.9170958592242543,15,5.824917726676599e-5,5.523155092153657e-5,6.297985116601786e-5,5.523155092153657e-5,0.6924729059829443,0.7200399930053116,0.5548873112585426,34.538834644087956,34.538831626461615,34.53883937476186
12,0,((((Sqrt(x0) * x0) * ((x14 + Sin(Exp(x4))) * x1)) ^ -8.324819581993268e-3) + -0.9174667270839464),"(((np.sqrt(x[:, 0]) * x[:, 0]) * ((x[:, 14] + np.sin(np.exp(x[:, 4]))) * x[:, 1])) ** t[0] + t[1])",-8.324819581993268e-3;-0.9174667270839464,16,5.6529828824132536e-5,5.4575151523630806e-5,5.843892129166507e-5,5.4575151523630806e-5,0.7015502226932611,0.7233671778654664,0.5869805199330365,38.366380894602756,38.366378939925454,38.366382803695224
13,0,(0.22482285525526055 / Exp((((Sqrt(x0) * x0) * ((x14 + Sin(Exp(x4))) * x1)) ^ 0.10217151747736095))),"(t[0] / np.exp(((np.sqrt(x[:, 0]) * x[:, 0]) * ((x[:, 14] + np.sin(np.exp(x[:, 4]))) * x[:, 1])) ** t[1]))",0.22482285525526055;0.10217151747736095,17,5.6303372041028735e-5,5.4326283205222966e-5,5.804294840628702e-5,5.4326283205222966e-5,0.7027458034670362,0.7246286520591061,0.5897790745884726,42.24346934976805,42.24346737267921,42.24347108934441
14,0,(((((Sqrt(x0) ^ x1) * x0) * ((x14 + Sin(Exp(x4))) * x1)) ^ -8.77890597546871e-3) + -0.9173322537849063),"(((np.sqrt(x[:, 0]) ** x[:, 1] * x[:, 0]) * ((x[:, 14] + np.sin(np.exp(x[:, 4]))) * x[:, 1])) ** t[0] + t[1])",-8.77890597546871e-3;-0.9173322537849063,18,5.4851459649934604e-5,5.270764524654445e-5,5.711323376243898e-5,5.270764524654445e-5,0.7104111889600477,0.7328332721842455,0.5963498710769343,43.16216976183033,43.16216761801592,43.16217202360444
15,0,(((((Sqrt(x0) ^ x1) * x0) * ((x14 + Sin((x14 + Exp(x4)))) * x1)) ^ -8.63315348692891e-3) + -0.9171005358038088),"(((np.sqrt(x[:, 0]) ** x[:, 1] * x[:, 0]) * ((x[:, 14] + np.sin((x[:, 14] + np.exp(x[:, 4])))) * x[:, 1])) ** t[0] + t[1])",-8.63315348692891e-3;-0.9171005358038088,20,5.480802434055242e-5,5.2704106241508736e-5,5.7208240576403917e-5,5.2704106241508736e-5,0.7106405060954789,0.7328512108417343,0.595678406511208,47.95796026399175,47.95795816007365,47.95796266420799
