Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,0.08786552,1,0.00019337354380796192,0.0001422770958384238,0.00019337354380796192,0.0001422770958384238,-2.933595588672233e-10,-0.005549227292196424
1,powabs(((0.085035995; powabs(x0; 0.07580315)),5,9.313487044475954e-05,0.00013013052065123475,9.313487044475954e-05,0.00013013052065123475,0.5183680836682952,0.0802971924828827
2,powabs(((0.08358788; powabs(x0 * x1; 0.04783863)),7,6.684658388549364e-05,7.137989917267124e-05,6.684658388549364e-05,7.137989917267124e-05,0.6543137050252921,0.49551962644228786
3,powabs(((0.08388185; powabs(x0 * sqrtabs(x1); 0.063725956)),8,6.429715686983277e-05,7.191421806755074e-05,6.429715686983277e-05,7.191421806755074e-05,0.6674976544229438,0.4917433056739481
4,powabs(((0.08905571; powabs((x1 + 0.443562) * x0; 0.061200377)),9,6.205622088930822e-05,6.961373365929929e-05,6.205622088930822e-05,6.961373365929929e-05,0.6790862923361395,0.5080020738578448
5,powabs(((0.08786577; powabs(x0 * (x1 / (x6 + 0.7817733)); 0.04783863)),11,5.611320017047382e-05,5.297684678671366e-05,5.611320017047382e-05,5.297684678671366e-05,0.7098196625973776,0.6255839561748313
6,powabs(((0.08893804; powabs(((0.5185426 + x1) / exp(x6)) * x0; 0.06368283)),12,4.0367650052839074e-05,4.590160544306955e-05,4.0367650052839074e-05,4.590160544306955e-05,0.7912452279161302,0.6755885154054098
7,powabs(((0.100454606; powabs(((((0.62501454 + 0.62501454) / exp(x0)) + x1) / (x6 + 0.5185426)) * x0; 0.07768376)),18,3.739338981807707e-05,3.816372617948792e-05,3.739338981807707e-05,3.816372617948792e-05,0.8066261335822551,0.7302762953922255
8,powabs(((0.098396294; powabs((((exp(0.08778124) + 2.4055982) / exp((x0 + 0.35476416) + x6)) + (x1 / (x6 + 0.7817733))) * x0; 0.08906035)),23,3.733374645753738e-05,3.7586962644197864e-05,3.733374645753738e-05,3.7586962644197864e-05,0.8069345695729426,0.734352595402593
9,powabs(((0.098396294; powabs((((exp(x6) + 2.4055982) / exp((x0 + 0.35476416) + x6)) + (x1 / (x6 + (x6 + 0.7817733)))) * x0; 0.09213149)),25,3.6595166263101544e-05,3.748910188677847e-05,3.6595166263101544e-05,3.748910188677847e-05,0.8107540175703687,0.7350442303310782
