gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,143.25774,137.9755,138.21947,154.53629,155.13698,143.25774,137.9755,138.21947,154.53629,155.13698,7.530522910288198,6.902623740366323,7.036931601694448,7.631261435678823,7.718190756967886,32.07098921888195,20.303990927866323,20.990392295053823,50.14475020521007,50.34499129407726,19.709354,6.931472,6.931472,36.972294,36.972294,5.8421803,3.0818837,3.4160585,9.080528,9.296513,16),10),11),9),9),7.636,7.374,7.478,8.032,8.06
2,142.78143,134.71869,136.39651,154.53609,154.53625,142.78143,134.71869,136.39651,154.53609,154.53625,7.503774253061636,6.857213584116323,6.902638999155386,7.571874228647573,7.571889487436636,38.3502250587257,20.304845420053823,25.768010703256948,48.36818465345226,49.78989180677257,24.14157,6.931472,14.4849415,35.83519,36.972294,5.8422036,2.8771791,3.71112,9.0587845,9.080528,16),10),11),9),9),7.67,7.414,7.438,7.982,8.056
3,142.0105,134.71869,138.19052,147.67235,154.53593,142.0105,134.71869,138.19052,147.67235,154.53593,7.277104941538198,6.857213584116323,6.902638999155386,7.530599204233511,7.571874228647573,38.35053023450695,20.304845420053823,27.840062705210073,46.26448592298351,46.47078475110851,25.296831,6.931472,16.125835,34.04343,34.04343,5.746315,2.501825,3.2299526,9.0587845,9.080528,16),10),11),9),9),7.842,7.314,7.352,8.444,8.458
4,138.30713,134.71869,137.3016,147.67235,151.63925,138.30713,134.71869,137.3016,147.67235,151.63925,6.980474082163198,6.840520468881948,6.902623740366323,7.530507651499136,7.530507651499136,39.91425093763195,29.49855574720226,32.45438155286632,47.80643233411632,48.4649711524757,27.242743,16.125835,17.703817,38.9182,38.9182,5.6796613,1.1009774,3.2827191,9.459801,10.276506,16),10),11),20),5),8.312,7.648,7.7,8.972,9.24
5,138.19177,135.6229,137.3016,142.78104,142.88243,138.19177,135.6229,137.3016,142.78104,142.88243,6.902654257944448,6.840520468881948,6.902623740366323,7.414586630991323,7.530507651499136,42.96976241224132,30.778737631967886,32.86310347669445,48.429067221811636,48.4649711524757,30.459911,19.4591,21.501114,36.972294,38.9182,4.6805577,2.524187,2.60823,9.080528,10.366041,17),11),13),20),20),8.686,7.682,8.104,9.616,9.686
6,138.1912,135.47334,136.73955,140.93562,143.59511,138.1912,135.47334,136.73955,140.93562,143.59511,6.902638999155386,6.002790061167104,6.857823935678823,7.110555258921011,7.235692588022573,41.58096846692882,30.778737631967886,31.452672568491323,47.80643233411632,48.429067221811636,28.668152,19.4591,20.794415,36.972294,38.9182,4.457752,2.5304961,2.9146266,10.366041,11.5365715,16),11),12),19),20),9.142,8.308,8.384,10.104,10.178
7,138.19112,135.47334,136.73605,138.30724,140.86737,138.19112,135.47334,136.73605,138.30724,140.86737,6.902638999155386,6.002790061167104,6.857823935678823,7.036916342905386,7.036916342905386,43.956044760874136,30.778737631967886,32.45438155286632,49.43842085950695,50.202626792124136,30.459911,19.4591,21.501114,38.9182,38.9182,4.459358,2.60823,2.9147658,10.366041,11.5365715,16),11),12),20),20),9.83,8.276,8.8,10.648,11.082
8,138.19112,135.47334,135.87894,140.86737,161.20583,138.19112,135.47334,135.87894,140.86737,161.20583,6.902623740366323,6.002790061167104,6.857213584116323,6.985951987436636,6.986409751108511,43.956044760874136,31.90889510267101,32.8629203712257,48.29221114271007,50.202626792124136,28.668152,17.703817,21.501114,36.972294,38.9182,5.774705,2.9163551,3.377309,10.366041,11.5365715,16),11),12),19),20),10.498,8.986,9.46,11.45,11.566
9,138.19072,135.47325,135.77924,169.37561,178.96808,138.19072,135.47325,135.77924,169.37561,178.96808,6.902623740366323,6.002790061167104,6.707654563120229,6.977956381967886,6.980474082163198,43.34317549817882,31.029943076303823,32.45438155286632,49.97040328138195,54.425832358530386,28.668152,17.703817,19.709354,36.972294,38.9182,5.774705,3.377309,4.194396,11.5365715,11.676227,16),11),12),20),20),10.8,9.718,9.814,11.914,11.924
10,138.19038,133.80066,135.47325,178.77698,178.96808,138.19038,133.80066,135.47325,178.77698,178.96808,6.902593222788198,6.002790061167104,6.697293845346792,6.902654257944448,6.977941123178823,45.42954024427257,31.029943076303823,32.8629203712257,55.25650557630382,55.5462699806007,30.57932,17.703817,21.501114,38.9182,38.9182,6.194146,3.9800348,4.194396,11.676227,14.795185,17),11),13),20),20),11.142,10.212,10.43,12.204,12.456
11,138.1892,133.90276,135.47325,169.37541,178.77698,138.1892,133.90276,135.47325,169.37541,178.77698,6.901174155405386,6.002790061167104,6.580739585092886,6.902638999155386,6.902654257944448,45.42954024427257,31.90889510267101,35.93092879407726,54.425832358530386,55.25650557630382,31.134562,20.794415,23.292873,38.9182,38.9182,5.774705,3.377309,3.9800348,11.676227,12.99769,17),12),13),20),20),11.516,10.788,10.866,12.504,12.688
12,137.2646,116.064896,118.7399,169.37541,178.77698,137.2646,116.064896,118.7399,169.37541,178.77698,6.864812461069448,6.002790061167104,6.457051840952261,6.902638999155386,6.902654257944448,46.37422713392101,32.8629203712257,40.93228682630382,55.2691703712257,56.82977828138195,32.25167,21.501114,26.876392,38.9182,38.9182,7.3024726,3.1782084,3.597223,13.037286,13.138546,18),12),15),20),20),11.884,10.906,11.17,12.69,12.708
13,136.47102,116.064896,118.74195,169.37541,193.44429,136.47102,116.064896,118.74195,169.37541,193.44429,6.824452963999136,6.002790061167104,6.457051840952261,6.902638999155386,6.902654257944448,46.207509604624136,33.10579451673351,40.03072127454601,52.01497420423351,55.25349959485851,32.25167,20.922693,26.876392,38.9182,38.9182,6.194146,3.1782084,3.6310744,13.037286,13.130447,19),13),15),20),20),12.13,10.99,11.498,13.07,13.088
14,137.61752,116.064896,118.74195,169.37541,193.44429,137.61752,116.064896,118.74195,169.37541,193.44429,6.803411093881948,5.923368064096792,6.078504172495229,6.902638999155386,6.902654257944448,46.207509604624136,39.31564864271007,41.68324813001476,54.21381148450695,55.25349959485851,34.04343,26.876392,28.668152,38.9182,38.9182,7.2359066,3.1782084,3.6487265,13.130447,13.757137,19),15),16),20),20),12.394,11.308,11.522,12.984,13.112
