-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=5
----------------------------------
gen,fevals,mse_train,mse_test,avg_len,best_expr
1,6546,0.0012774872956162883,0.0014962942646333142,7.508,pdiv(log(abs(X2), (abs((-0.71359843 + ((X1 * -1.3153129) * pdiv(0.27456576, -1.5189952)))) ^ -0.24697548))
2,12184,0.0012241875504992873,0.001468301517724671,7.65,pdiv(log(abs(X2), (abs((0.2823728 + ((X1 * -1.2927953) * pdiv(0.1821339, -1.5386587)))) ^ -0.27803075))
3,19455,0.0011900985931415657,0.0018634652628626816,9.786,((log(abs(exp(X1)) - (((abs(X1) ^ X1) * -0.15538529) - (X2 - (X1 + X1)))) * pdiv((X1 - (-147.41605 - X2)), (158.39594 + (-9.618143 * pdiv(X1, -2.4334536)))))
4,28084,0.001150814684199429,0.0017735768967087947,12.99,((log(abs(exp(X1)) - (((abs(X1) ^ X1) * -0.15538529) - (X2 - (X1 + X1)))) * pdiv((X1 - (-137.55666 - (X2 * 4.445231))), (166.62561 + (-13.708627 * pdiv(X1, -3.41221)))))
5,38489,0.0011468326296951348,0.001740698002985732,17.136,((log(abs(exp(X1)) - (((abs(X1) ^ X1) * -0.15538529) - (X2 - (-232.31485 - 233.4926)))) * pdiv((X1 - (-138.12115 - X2)), (166.3104 + (-9.178045 * pdiv((X1 - pdiv((-6.901654 - 8.079397), pdiv((-6.7231684 - 7.9009123), X2))), -2.371289)))))
6,49846,0.001138824801219884,0.001738008369815638,22.27,((log(abs(exp(X1)) - (((abs(X1) ^ X1) * -0.15538529) - (X2 - (-232.31485 - 233.4926)))) * pdiv((X1 - (-147.28633 - X2)), (184.40881 + (-9.192924 * pdiv((X1 - pdiv((-8.130209 - 9.307953), pdiv((-5.828199 - 7.005943), X2))), -2.3208249)))))
7,59327,0.0011387768532446787,0.001737908970254905,27.426,((log(abs(exp(X1)) - (((abs(X1) ^ X1) * -0.15538529) - (X2 - (-232.31485 - 233.4926)))) * pdiv((X1 - (-147.6447 - X2)), (185.19406 + (-9.193046 * pdiv((X1 - pdiv((-8.178275 - 9.356019), pdiv((-5.7667837 - 6.9445276), X2))), -2.3197546)))))
8,69086,0.0011387768532447517,0.001737908970254905,33.208,((log(abs(exp(X1)) - (((abs(X1) ^ X1) * -0.15538529) - (X2 - (-232.31485 - 233.4926)))) * pdiv((X1 - (-147.6447 - X2)), (185.19406 + (-9.193046 * pdiv((X1 - pdiv((-8.178275 - 9.356019), pdiv((-5.7667837 - 6.9445276), X2))), -2.3197546)))))
9,79863,0.0011320885595300176,0.0016256579209222336,35.048,((log(abs(exp(X1)) - (((abs(exp(X1)) ^ X1) * -0.15538529) - ((X1 * pdiv(-1.1802399, 0.6949095)) - (X2 - (X1 + X1))))) * pdiv((X1 - (-184.26393 - X2)), (242.04265 + (-12.240212 * pdiv((X1 - pdiv((51.901455 - -50.72371), pdiv((X1 - -39.540302), X2))), -3.024509)))))
10,91079,0.000977357764312153,0.0014825786902511288,36.196,((log(abs(X2) - (((abs(X1) ^ X1) * X1) - (X2 - (pdiv(X1, -0.15538529) + X1)))) * pdiv((X1 - (-100.03038 - (X2 * 12.849222))), (174.0407 + ((-106.202095 - (X2 * 37.202774)) * pdiv(X1, -72.42545)))))
11,103144,0.0009400305791132509,0.0014453727896914647,38.48,((log(abs(X2) - (((abs(X1) ^ X1) * X1) - (X2 - (pdiv(X1, -0.15538529) + X1)))) * pdiv((X1 - (-75.66585 - (X2 * 13.568896))), (146.88034 + ((-101.20567 - (X2 * 40.185917)) * pdiv(X1, -78.19958)))))
