12,116777,0.0009374687649707563,0.0014264061360340754,39.218,((log(abs(X2) - (((abs(X1) ^ X1) * X1) - (X2 - (pdiv(X1, -0.15538529) + X1)))) * pdiv((X1 - (-71.68241 - (X2 * 14.800846))), (149.53645 + ((-88.397766 - (X2 * 51.043774)) * pdiv(X1, -88.608665)))))
13,132167,0.0009374687646513812,0.0014264111062501023,40.348,((log(abs(X2) - (((abs(X1) ^ X1) * X1) - (X2 - (pdiv(X1, -0.15538529) + X1)))) * pdiv((X1 - (-71.68242 - (X2 * 14.800879))), (149.53645 + ((-88.397766 - (X2 * 51.04377)) * pdiv(X1, -88.608665)))))
14,150223,0.000937386181741886,0.0014304437291847195,41.634,((log(abs(exp(0.9976332)) - ((X1 * 0.9999906) - X1)) * pdiv((X1 - (-71.69332 - (X2 * 14.891361))), (149.51425 + ((-93.528114 - (X2 * 54.02924)) * pdiv(X1, -93.60946)))))
15,168875,0.0009316193697275281,0.001420358133638548,41.412,((log(abs(X2) - ((((abs(X1) ^ X1) * -0.23965982) * X1) - (X2 - (pdiv(X1, X2) + X1)))) * pdiv((X1 - (-104.46772 - (X2 * (X2 * pdiv((log(abs(exp(X1)) - -22.675837), pdiv((X1 - -200.36227), X2)))))), (117.33891 + ((-80.18998 - (X2 * 71.075325)) * pdiv(X1, -98.08693)))))
16,186108,0.0008875024768777283,0.001220131550204977,39.784,((log(abs(X2) - ((((abs(X1) ^ X1) * -0.23965982) * X1) - (X2 - (pdiv(X1, X2) + X1)))) * pdiv((X1 - (-81.24817 - (X2 * (X2 * pdiv((log(abs(exp(X1)) - -25.218103), pdiv((X1 - -186.28621), X2)))))), (94.623344 + ((-22.377508 - (X2 * 95.9474)) * pdiv(X1, -118.938065)))))
17,200845,0.0008613639665182068,0.0011595060975932697,39.308,((log(abs(X2) - ((((abs(X1) ^ X1) * -0.23965982) * X1) - (X2 - (pdiv(X1, X2) + X1)))) * pdiv((X1 - (-68.86588 - (X2 * (X2 * pdiv((log(abs(exp(X1)) - -11.564751), pdiv((X1 - -118.842514), X2)))))), (78.6569 + ((12.85178 - (X2 * 103.57452)) * pdiv(X1, -118.336266)))))
18,213910,0.000825835955519717,0.0011044990774472991,39.578,((log(abs(X2) - ((((abs(X1) ^ X1) * -0.23965982) * X1) - (X2 - (pdiv(X1, X2) + X1)))) * pdiv((X1 - (-37.784336 - (X2 * (X2 * pdiv((log(abs(exp(X1)) - -3.2925038), pdiv((X1 - -87.18599), X2)))))), (36.24754 + ((36.16288 - (X2 * 103.11033)) * pdiv(X1, -115.46117)))))
19,227289,0.0008146327253660103,0.0011002209338007592,40.658,((X1 - ((((abs(X1) ^ X1) * -0.23965982) * X1) - (X2 - (X2 + X1)))) * pdiv((X1 - (-30.47378 - (X2 * (X2 * pdiv((log(abs(exp(X1)) - -3.3324652), pdiv((X1 - -80.013855), X2)))))), (29.062447 + ((78.66986 - (X2 * 103.340645)) * pdiv(X1, -105.50485)))))
20,242046,0.000814110578799629,0.0010912296811564895,42.154,((X1 - ((((abs(X1) ^ X1) * -0.23965982) * X1) - (X2 - (X2 + X1)))) * pdiv((X1 - (-27.4634 - (X2 * (X2 * pdiv((log(abs(exp(X1)) - -2.570237), pdiv((X1 - -77.44806), X2)))))), (24.87266 + ((78.50662 - (X2 * 103.23187)) * pdiv(X1, -105.73699)))))
21,257312,0.0008141105787997792,0.0010912296811564895,43.192,((X1 - ((((abs(X1) ^ X1) * -0.23965982) * X1) - (X2 - (X2 + X1)))) * pdiv((X1 - (-27.4634 - (X2 * (X2 * pdiv((log(abs(exp(X1)) - -2.570237), pdiv((X1 - -77.44806), X2)))))), (24.87266 + ((78.50662 - (X2 * 103.23187)) * pdiv(X1, -105.73699)))))
22,273134,0.0008141105787997792,0.0010912296811564895,43.322,((X1 - ((((abs(X1) ^ X1) * -0.23965982) * X1) - (X2 - (X2 + X1)))) * pdiv((X1 - (-27.4634 - (X2 * (X2 * pdiv((log(abs(exp(X1)) - -2.570237), pdiv((X1 - -77.44806), X2)))))), (24.87266 + ((78.50662 - (X2 * 103.23187)) * pdiv(X1, -105.73699)))))
23,288563,0.0007389078080571947,0.0011328885065248824,43.38,((14.800792 - ((X2 * X1) - (log(abs(X2) - ((((abs(X1) ^ X1) * -0.23965982) * X2) - (X2 - (pdiv(X1, -248.04498) + X1)))))) * pdiv((X1 - (209.3259 - (X2 * 69.30441))), (-163.57391 + ((117.20196 - (X2 * 163.85968)) * pdiv((log(abs(exp(X1)) - -79.670364), -184.78136)))))
24,304844,0.0006996979684379124,0.0010264966712599931,44.56,((14.800792 - ((X2 * X1) - (log(abs(X2) - ((((abs(X1) ^ X1) * -0.23965982) * X2) - (X2 - (pdiv(X1, -248.04498) + X1)))))) * pdiv((X1 - (217.1618 - (X2 * 68.1753))), (-119.64512 + ((204.68343 - (X2 * 147.82819)) * pdiv((log(abs(exp(X1)) - -65.081726), -143.78038)))))
25,320748,0.0006653314681610323,0.001026207489456567,44.356,((14.800792 - ((X2 * X1) - (log(abs(X2) - ((((abs(X1) ^ X1) * -0.23965982) * X2) - (X2 - (pdiv(X1, -248.04498) + X1)))))) * pdiv((X1 - (258.72754 - (X2 * 79.32485))), (-129.7998 + ((226.7771 - (X2 * 139.12903)) * pdiv((log(abs(exp(X1)) - -69.7967), -121.87572)))))
26,337504,0.0006206328732350814,0.0008609563353168308,44.346,((X1 - (((abs(X1) ^ X1) * X1) - (log(abs(X2) - (24.8695 + ((75.792755 - (X2 * 99.65672)) * pdiv(X1, -102.074104)))))) * pdiv((X1 - (322.95673 - (X2 * 91.64002))), (-134.44623 + ((255.69357 - (X2 * 121.153046)) * pdiv((log(abs(exp(X1)) - -70.653206), -91.43515)))))
27,355882,0.0005999593520747323,0.0008498808834536265,43.97,((X1 - (((abs(X1) ^ X1) * X1) - (log(abs(X2) - (24.8695 + ((75.792755 - (X2 * 99.65672)) * pdiv(X1, -102.074104)))))) * pdiv((X1 - (360.20892 - (X2 * 100.12099))), (-155.46123 + ((257.5157 - (X2 * 119.97545)) * pdiv((log(abs(exp(X1)) - -76.43699), -88.30276)))))
28,376039,0.0005741690895970773,0.0007699757704918352,43.648,((14.800792 - (((abs(X1) ^ X1) * X1) - (log(abs(X1) - (24.8695 + ((75.792755 - pdiv(pdiv(X1, X2), -77.45968)) * pdiv(X1, -102.074104)))))) * pdiv((X1 - (412.51566 - (X2 * 111.46441))), (-159.76134 + ((264.66782 - (X2 * 110.70314)) * pdiv((log(abs(exp(X1)) - -78.34465), -73.75077)))))
29,398202,0.0005630942646548579,0.0007766213790183956,43.106,((14.800792 - (((abs(X1) ^ X1) * X1) - (log(abs(X1) - (24.8695 + ((75.792755 - pdiv(pdiv(X1, X2), -77.45968)) * pdiv(X1, -102.074104)))))) * pdiv((X1 - (453.2103 - (X2 * 119.94915))), (-171.78915 + ((267.70422 - (X2 * 107.065994)) * pdiv((log(abs(exp(X1)) - -81.74566), -68.17973)))))
30,420649,0.0005622078641578824,0.0007641671981274455,43.164,((14.800792 - (((abs(X1) ^ X1) * X1) - (log(abs(X1) - (24.8695 + ((75.792755 - pdiv(pdiv(X1, X2), -77.45968)) * pdiv(X1, -102.074104)))))) * pdiv((X1 - (455.46194 - (X2 * 120.835014))), (-168.64342 + ((268.20935 - (X2 * 106.51849)) * pdiv((log(abs(exp(X1)) - -81.202), -67.06072)))))
31,445588,0.0005613346046493634,0.0007723544404567683,42.72,((14.800792 - (((abs(X1) ^ X1) * X1) - (log(abs(X1) - (24.8695 + ((75.792755 - pdiv(pdiv(X1, X2), -77.45968)) * pdiv(X1, -102.074104)))))) * pdiv((X1 - (472.70218 - (X2 * 125.02568))), (-172.58662 + ((269.13516 - (X2 * 105.47612)) * pdiv((log(abs(exp(X1)) - -82.77111), -65.041534)))))
32,467865,0.0005519668858279827,0.0006846261568880196,42.26,((X1 - ((1.0000173 * X1) - (X2 * 0.0023699333))) + pdiv((X1 - (459.36444 - (X2 * 122.385185))), (-170.30363 + ((270.33533 - (X2 * 107.0313)) * pdiv((log(abs(exp(X1)) - -81.93117), -65.839836)))))
33,487096,0.0005429602657334593,0.0007497311968541315,42.684,((X1 - ((1.0000056 * X1) - (X2 * 0.0029890563))) + pdiv((X1 - (459.29056 - (X2 * 121.66259))), (-171.56146 + ((270.79062 - (X2 * 106.89217)) * pdiv((log(abs(exp(X1)) - -79.073875), -64.19268)))))
34,505086,0.0005296197303702178,0.0006567098630361565,42.266,((X1 - ((1.0000343 * X1) - (X2 * 0.005765691))) + pdiv((X1 - (458.98608 - (X2 * 121.24786))), (-172.07825 + ((271.60785 - (X2 * 105.8823)) * pdiv((log(abs(exp(X1)) - -79.100204), -62.414177)))))
35,523960,0.0005177139292498102,0.0007242312180066113,41.882,((X1 - ((1.0000305 * X1) - (X2 * 0.0062542357))) + pdiv((X1 - (458.96347 - (X2 * 120.07977))), (-173.05763 + ((272.40057 - (X2 * 104.94545)) * pdiv((log(abs(exp(X1)) - -76.80293), -60.55387)))))
36,539596,0.0005034638360523445,0.0006422570071026121,41.408,((X1 - ((1.0000482 * X1) - (X2 * 0.008938186))) + pdiv((X1 - (458.62997 - (X2 * 119.83259))), (-173.61 + ((273.23926 - (X2 * 104.12556)) * pdiv((log(abs(exp(X1)) - -75.976715), -58.18582)))))
37,554573,0.0004982530446140715,0.0007030403896281286,41.608,((X1 - ((1.000048 * X1) - (X2 * 0.009945408))) + pdiv((X1 - (458.5988 - (X2 * 119.307335))), (-173.99866 + ((273.77304 - (X2 * 103.634094)) * pdiv((log(abs(exp(X1)) - -73.96069), -56.55875)))))
38,570921,0.0004921740159254647,0.0006507452787031097,41.726,((X1 - ((1.0000645 * X1) - (X2 * 0.011726798))) + pdiv((X1 - (458.4951 - (X2 * 118.88689))), (-173.89001 + ((274.4535 - (X2 * 102.67171)) * pdiv((log(abs(exp(X1)) - -73.65541), -55.0204)))))
39,587347,0.0004902974693113847,0.0006267724562227687,42.676,((X1 - ((1.0000609 * X1) - (X2 * 0.012068671))) + pdiv((X1 - (458.41095 - (X2 * 119.28663))), (-173.87508 + ((274.37222 - (X2 * 103.05708)) * pdiv((log(abs(exp(X1)) - -73.150894), -54.70667)))))
40,602225,0.0004895923279394547,0.0006612679568444984,42.122,((X1 - ((1.000059 * X1) - (X2 * 0.011886591))) + pdiv((X1 - (458.47922 - (X2 * 119.020355))), (-173.7973 + ((274.4877 - (X2 * 102.82324)) * pdiv((log(abs(exp(X1)) - -72.857025), -54.567764)))))
41,618455,0.00048413692004450475,0.0006383388522497481,41.932,((X1 - ((1.0000683 * X1) - (X2 * 0.013813259))) + pdiv((X1 - (458.4122 - (X2 * 118.93373))), (-173.2025 + ((275.12125 - (X2 * 102.23627)) * pdiv((log(abs(exp(X1)) - -71.2395), -52.483643)))))
42,632801,0.0004823872188664755,0.0006404077824230455,42.382,((X1 - ((1.000075 * X1) - (X2 * 0.0145821655))) + pdiv((X1 - (458.51245 - (X2 * 118.602585))), (-172.41318 + ((275.5469 - (X2 * 101.55833)) * pdiv((log(abs(exp(X1)) - -70.663994), -51.572018)))))
43,648496,0.0004795718640478667,0.0006231591937773958,42.214,((X1 - ((1.0000777 * X1) - (X2 * 0.01542149))) + pdiv((X1 - (458.54782 - (X2 * 118.73872))), (-171.48126 + ((275.835 - (X2 * 101.35162)) * pdiv((log(abs(exp(X1)) - -69.619774), -50.460915)))))
44,664467,0.0004781082715234114,0.0006325409022772186,41.776,((X1 - ((1.0000714 * X1) - (X2 * 0.015287476))) + pdiv((X1 - (458.60535 - (X2 * 118.87544))), (-171.04787 + ((275.8168 - (X2 * 101.48374)) * pdiv((log(abs(exp(X1)) - -69.06018), -50.295525)))))
45,679324,0.0004764107030112109,0.0006095987183321852,42.14,((X1 - ((1.0000786 * X1) - (X2 * 0.015969584))) + pdiv((X1 - (458.73035 - (X2 * 118.829475))), (-169.84937 + ((276.13818 - (X2 * 101.010666)) * pdiv((log(abs(exp(X1)) - -68.60748), -49.487213)))))
46,695591,0.00047319376810367594,0.0006098551946811857,41.874,((X1 - ((1.0000712 * X1) - (X2 * 0.016285446))) + pdiv((X1 - (459.00534 - (X2 * 119.14049))), (-167.63031 + ((276.3983 - (X2 * 100.864)) * pdiv((log(abs(exp(X1)) - -66.950035), -48.337894)))))
47,710555,0.00047127571814225893,0.0006124412330992787,41.57,((X1 - ((1.0000749 * X1) - (X2 * 0.0163621))) + pdiv((X1 - (459.07336 - (X2 * 118.82249))), (-167.4822 + ((276.56223 - (X2 * 100.44827)) * pdiv((log(abs(exp(X1)) - -67.16496), -48.26788)))))
48,727751,0.00046145792895729143,0.0005412074641767916,41.248,((X1 - ((1.0000744 * X1) - (X2 * 0.018714143))) + pdiv((X1 - (460.33188 - (X2 * 119.51241))), (-158.72183 + ((277.94037 - (X2 * 98.834694)) * pdiv((log(abs(exp(X1)) - -62.30063), -43.720795)))))
49,744288,0.0004596070269672767,0.0005604763122676736,41.912,((X1 - ((1.0000753 * X1) - (X2 * 0.018636707))) + pdiv((X1 - (460.42032 - (X2 * 119.23523))), (-158.6439 + ((278.0053 - (X2 * 98.611664)) * pdiv((log(abs(exp(X1)) - -62.323406), -43.81221)))))
50,760125,0.00045935909090341924,0.000551203693780904,42.302,((X1 - ((1.0000775 * X1) - (X2 * 0.018746542))) + pdiv((X1 - (460.46365 - (X2 * 119.194916))), (-158.4787 + ((278.06442 - (X2 * 98.48431)) * pdiv((log(abs(exp(X1)) - -62.374058), -43.723656)))))
51,777923,0.00045915246539846754,0.0005552847177230328,43.03,((X1 - ((1.0000753 * X1) - (X2 * 0.01866895))) + pdiv((X1 - (460.54538 - (X2 * 119.28822))), (-158.1741 + ((278.0554 - (X2 * 98.53765)) * pdiv((log(abs(exp(X1)) - -62.15802), -43.661293)))))
52,794949,0.00045895139671965526,0.0005476831051325657,42.42,((X1 - ((1.0000772 * X1) - (X2 * 0.018787868))) + pdiv((X1 - (460.58942 - (X2 * 119.245255))), (-158.018 + ((278.11395 - (X2 * 98.41269)) * pdiv((log(abs(exp(X1)) - -62.20292), -43.57033)))))
53,812890,0.0004588673656564818,0.000542499923507406,42.784,((X1 - ((1.0000768 * X1) - (X2 * 0.01883579))) + pdiv((X1 - (460.595 - (X2 * 119.32695))), (-157.94891 + ((278.0992 - (X2 * 98.47149)) * pdiv((log(abs(exp(X1)) - -62.138615), -43.531624)))))
54,829843,0.00045881865913607986,0.0005494080932677037,42.204,((X1 - ((1.0000763 * X1) - (X2 * 0.018760357))) + pdiv((X1 - (460.62567 - (X2 * 119.28412))), (-157.89099 + ((278.1113 - (X2 * 98.43385)) * pdiv((log(abs(exp(X1)) - -62.106907), -43.539597)))))
55,848843,0.000458781198903429,0.0005421280150553771,41.748,((X1 - ((1.000077 * X1) - (X2 * 0.018849958))) + pdiv((X1 - (460.62418 - (X2 * 119.31394))), (-157.85855 + ((278.11914 - (X2 * 98.43035)) * pdiv((log(abs(exp(X1)) - -62.121243), -43.4975)))))
56,867808,0.00045599635739770666,0.0004978345278226107,41.702,((X1 - ((1.0000741 * X1) - (X2 * 0.019743115))) + pdiv((X1 - (462.12622 - (X2 * 119.972466))), (-152.5999 + ((278.7375 - (X2 * 97.58678)) * pdiv((log(abs(exp(X1)) - -59.984932), -41.45327)))))
57,885825,0.00045526099273049907,0.0005080373138379649,41.506,((X1 - ((1.0000756 * X1) - (X2 * 0.019639505))) + pdiv((X1 - (462.1677 - (X2 * 119.89333))), (-152.582 + ((278.73926 - (X2 * 97.55456)) * pdiv((log(abs(exp(X1)) - -59.91358), -41.51716)))))
58,901738,0.000455100014179309,0.0005166097196216915,41.566,((X1 - ((1.0000752 * X1) - (X2 * 0.01975455))) + pdiv((X1 - (462.45807 - (X2 * 119.85622))), (-152.23624 + ((278.849 - (X2 * 97.36884)) * pdiv((log(abs(exp(X1)) - -59.56611), -41.21704)))))
59,918933,0.0004549955148460855,0.0005057980013696854,42.042,((X1 - ((1.0000763 * X1) - (X2 * 0.019902807))) + pdiv((X1 - (462.44467 - (X2 * 119.91094))), (-152.22919 + ((278.85303 - (X2 * 97.380356)) * pdiv((log(abs(exp(X1)) - -59.598206), -41.16263)))))
60,933918,0.000454957735240242,0.0005031853456489181,41.82,((X1 - ((1.000076 * X1) - (X2 * 0.019955007))) + pdiv((X1 - (462.49747 - (X2 * 119.97931))), (-152.14166 + ((278.85223 - (X2 * 97.40685)) * pdiv((log(abs(exp(X1)) - -59.526432), -41.105328)))))
61,951765,0.0004549202857436453,0.0005049654589208511,42.262,((X1 - ((1.0000763 * X1) - (X2 * 0.019941524))) + pdiv((X1 - (462.54333 - (X2 * 119.940056))), (-152.08664 + ((278.87482 - (X2 * 97.349434)) * pdiv((log(abs(exp(X1)) - -59.523125), -41.08811)))))
62,968161,0.00045490417569066363,0.000506183844332104,42.222,((X1 - ((1.0000758 * X1) - (X2 * 0.019921796))) + pdiv((X1 - (462.5585 - (X2 * 119.95858))), (-152.06589 + ((278.86935 - (X2 * 97.366486)) * pdiv((log(abs(exp(X1)) - -59.48962), -41.08476)))))
63,984373,0.00045458396574016795,0.0005008528652608391,42.132,((X1 - ((1.0000769 * X1) - (X2 * 0.02021876))) + pdiv((X1 - (463.42862 - (X2 * 120.095116))), (-150.85568 + ((279.09018 - (X2 * 96.98869)) * pdiv((log(abs(exp(X1)) - -58.959175), -40.48151)))))
64,999787,0.0004543558455914653,0.0004984029953743271,42.352,((X1 - ((1.0000758 * X1) - (X2 * 0.020240935))) + pdiv((X1 - (463.42722 - (X2 * 120.2128))), (-150.84499 + ((279.05273 - (X2 * 97.101295)) * pdiv((log(abs(exp(X1)) - -58.88326), -40.469925)))))
65,1017960,0.000454350230169188,0.0004964473232042181,42.394,((X1 - ((1.0000762 * X1) - (X2 * 0.020272229))) + pdiv((X1 - (463.43964 - (X2 * 120.22236))), (-150.82797 + ((279.0574 - (X2 * 97.09461)) * pdiv((log(abs(exp(X1)) - -58.890068), -40.453835)))))
66,1034646,0.000453507098853795,0.00047324522448274615,41.928,((X1 - ((1.0000715 * X1) - (X2 * 0.020555392))) + pdiv((X1 - (467.5575 - (X2 * 121.62749))), (-146.36423 + ((279.50342 - (X2 * 96.44514)) * pdiv((log(abs(exp(X1)) - -57.426468), -38.936485)))))
67,1052209,0.0004534492125067445,0.0004735335655533309,41.184,((X1 - ((1.0000721 * X1) - (X2 * 0.02057472))) + pdiv((X1 - (467.59286 - (X2 * 121.56677))), (-146.39003 + ((279.52762 - (X2 * 96.38063)) * pdiv((log(abs(exp(X1)) - -57.44257), -38.922592)))))
68,1071729,0.00044716582219954393,0.00045726984609428226,42.406,((X1 - (((0.9999675 - (X2 * -2.1233585e-5)) * X1) - (X2 * 0.021429587))) + pdiv((X1 - (467.48886 - (X2 * 121.94927))), (-146.4875 + ((279.49252 - (X2 * 96.60416)) * pdiv((log(abs(exp(X1)) - -57.37959), -38.622032)))))
69,1090517,0.00044671344378961894,0.0004720048374495626,42.402,((X1 - (((0.99996233 - (X2 * -2.1690379e-5)) * X1) - (X2 * 0.021200724))) + pdiv((X1 - (467.51685 - (X2 * 121.91361))), (-146.5304 + ((279.47244 - (X2 * 96.6455)) * pdiv((log(abs(exp(X1)) - -57.19788), -38.663994)))))
70,1108006,0.00044634256336278065,0.0004559861192342184,41.616,((X1 - (((0.99995744 - (X2 * -2.3334103e-5)) * X1) - (X2 * 0.02172272))) + pdiv((X1 - (467.50183 - (X2 * 121.95832))), (-146.64566 + ((279.5351 - (X2 * 96.57705)) * pdiv((log(abs(exp(X1)) - -57.12486), -38.38231)))))
71,1125876,0.0004459945193687581,0.0004703763951396543,41.764,((X1 - (((0.999956 - (X2 * -2.3174569e-5)) * X1) - (X2 * 0.021533484))) + pdiv((X1 - (467.5336 - (X2 * 121.90361))), (-146.68361 + ((279.5218 - (X2 * 96.60045)) * pdiv((log(abs(exp(X1)) - -56.96161), -38.420403)))))
72,1141725,0.00044566734736900494,0.00045594014787039947,42.13,((X1 - (((0.9999536 - (X2 * -2.4317484e-5)) * X1) - (X2 * 0.022003155))) + pdiv((X1 - (467.5302 - (X2 * 121.90859))), (-146.78569 + ((279.59018 - (X2 * 96.50464)) * pdiv((log(abs(exp(X1)) - -56.902798), -38.16367)))))
73,1160776,0.00044535531681919564,0.00046978315909624,42.408,((X1 - (((0.9999523 - (X2 * -2.4154391e-5)) * X1) - (X2 * 0.021820782))) + pdiv((X1 - (467.56027 - (X2 * 121.858475))), (-146.82109 + ((279.5775 - (X2 * 96.527245)) * pdiv((log(abs(exp(X1)) - -56.74849), -38.19936)))))
74,1179513,0.0004450609715604023,0.00045591117152186445,42.68,((X1 - (((0.9999498 - (X2 * -2.527992e-5)) * X1) - (X2 * 0.022267872))) + pdiv((X1 - (467.5577 - (X2 * 121.86728))), (-146.91563 + ((279.64093 - (X2 * 96.43959)) * pdiv((log(abs(exp(X1)) - -56.691742), -37.956615)))))
75,1199523,0.0004447799353501554,0.00046927114826615527,42.402,((X1 - (((0.9999486 - (X2 * -2.5114605e-5)) * X1) - (X2 * 0.022093939))) + pdiv((X1 - (467.58664 - (X2 * 121.81973))), (-146.94849 + ((279.62915 - (X2 * 96.46047)) * pdiv((log(abs(exp(X1)) - -56.54608), -37.99032)))))
76,1218241,0.0004445147202769886,0.0004560320309912588,42.048,((X1 - (((0.9999462 - (X2 * -2.6195392e-5)) * X1) - (X2 * 0.022518849))) + pdiv((X1 - (467.58557 - (X2 * 121.829056))), (-147.03572 + ((279.68872 - (X2 * 96.37802)) * pdiv((log(abs(exp(X1)) - -56.492096), -37.761173)))))
77,1239020,0.00042610428502572195,0.00045774359796383197,41.664,((-0.057230014 - (((135.90576 - (135.90596 - (X2 * 5.3777603e-5))) * X1) - (X2 * 0.03290817))) + pdiv((X1 - (467.57693 - (X2 * 121.85663))), (-146.9553 + ((279.64023 - (X2 * 96.42036)) * pdiv((log(abs(exp(X1)) - -56.53175), -38.010765)))))
78,1258856,0.00042377478475724836,0.0004526739403405462,41.4,((-0.07043352 - (((135.90575 - (135.90598 - (X2 * 5.8555295e-5))) * X1) - (X2 * 0.03565023))) + pdiv((X1 - (467.6543 - (X2 * 121.5493))), (-146.90346 + ((279.73874 - (X2 * 96.13081)) * pdiv((log(abs(exp(X1)) - -56.70515), -38.020515)))))
79,1282209,0.00042200151487738327,0.00044695291833290557,41.584,((-0.06261759 - (((135.90576 - (135.90596 - (X2 * 5.332602e-5))) * X1) - (X2 * 0.03394528))) + pdiv((X1 - (467.653 - (X2 * 121.55445))), (-146.90436 + ((279.74124 - (X2 * 96.121254)) * pdiv((log(abs(exp(X1)) - -56.70265), -38.026188)))))
80,1300373,0.0004218128455871051,0.0004394822711456527,41.338,((-0.058966603 - (((135.90576 - (135.90596 - (X2 * 5.1351533e-5))) * X1) - (X2 * 0.033257578))) + pdiv((X1 - (467.6643 - (X2 * 121.51794))), (-146.89868 + ((279.74518 - (X2 * 96.10525)) * pdiv((log(abs(exp(X1)) - -56.706833), -38.037678)))))
81,1321617,0.0004216321752122047,0.00044882245873652216,41.504,((-0.06312075 - (((135.90576 - (135.90596 - (X2 * 5.3206553e-5))) * X1) - (X2 * 0.03400483))) + pdiv((X1 - (467.6637 - (X2 * 121.52056))), (-146.89917 + ((279.7468 - (X2 * 96.09905)) * pdiv((log(abs(exp(X1)) - -56.705338), -38.041363)))))
82,1340639,0.0004214560907294999,0.0004416226298615759,41.49,((-0.05959947 - (((135.90576 - (135.90596 - (X2 * 5.1304996e-5))) * X1) - (X2 * 0.033341505))) + pdiv((X1 - (467.67435 - (X2 * 121.48597))), (-146.89374 + ((279.75067 - (X2 * 96.083534)) * pdiv((log(abs(exp(X1)) - -56.709854), -38.051975)))))
83,1359764,0.00042128699565997243,0.00045067038302685315,41.796,((-0.0636107 - (((135.90576 - (135.90596 - (X2 * 5.3103267e-5))) * X1) - (X2 * 0.034064382))) + pdiv((X1 - (467.67377 - (X2 * 121.48844))), (-146.8942 + ((279.75223 - (X2 * 96.07765)) * pdiv((log(abs(exp(X1)) - -56.708473), -38.055447)))))
