-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=5
----------------------------------
gen,fevals,mse_train,mse_test,avg_len,best_expr
1,6670,0.0012376407245437875,0.0015004059205907764,7.498,(pdiv(((abs(0.941878) ^ X1) - X2), X2) - (abs((-0.17826642 * X1)) ^ -0.2686816))
2,12560,0.0012307171608535706,0.0014637534613512477,8.07,(pdiv((X2 + X2), -1.3726712) - log(abs((abs(pdiv(X1, (2.465718 * -2.2851822))) ^ -0.26693976)))
3,18833,0.0012128407523550229,0.0014341684355860351,10.392,((0.120035686 * pdiv(X2, X1)) + exp(((log(abs(X1) * -0.25087813) - -0.36878714)))
4,26944,0.001140326950831986,0.001399627870451712,12.29,(((-2.7612197e-7 * X1) * ((-0.55613023 * X2) + (1.2393063 + exp(X2)))) + exp(((log(abs(X1) * -0.25021064) - -0.41249004)))
5,35147,0.0011039218984009135,0.001439548029162983,14.846,(((-5.190391e-7 * X1) * ((-30.72336 * X2) + (-8.403714 + exp(X2)))) + exp(((log(abs(X1) * -0.2631457) - -0.45095867)))
6,45176,0.000977252270489466,0.0013299029061275133,16.414,((-0.000113618575 * ((X1 * X2) + ((-4.725635 * X1) + exp(-0.15548174)))) + exp(((log(abs(X1) * -0.24708934) - -0.40291062)))
7,57445,0.0009345155067156078,0.0013508036754745667,17.82,((-0.00013009159 * ((X1 * X2) + ((-5.1014266 * X1) + exp(-0.15556875)))) + exp(((log(abs(X1) * -0.26524347) - -0.4557561)))
8,73912,0.0006589969255780432,0.001448426446439511,20.374,(((1.1108815e-5 * X1) * ((-0.41261315 * X2) + (-8.47982 + exp((-0.017411496 * ((X1 * -0.5167763) + (1.2391865 + exp(X2)))))))) + exp(((log(abs(X1) * -0.25072515) - -0.41674405)))
9,92096,0.0006330673396084278,0.001499789765924098,21.636,(((8.203655e-6 * X1) * ((-0.415127 * X2) + (-8.480622 + exp((-0.023988167 * ((X1 * -0.442082) + (1.2393229 + exp(X2)))))))) + exp(((log(abs(X1) * -0.2605055) - -0.4481298)))
10,113731,0.0006230869737149714,0.001442735173524628,24.066,(((1.0188339e-5 * X1) * ((-0.41538098 * X2) + (-8.480737 + exp((-0.023961125 * ((X1 * -0.42540106) + (1.2393488 + exp(X2)))))))) + exp(((log(abs(X1) * -0.25109798) - -0.41800413)))
