-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=5
----------------------------------
gen,fevals,mse_train,mse_test,avg_len,best_expr
1,5879,0.001270495515702865,0.001479086442937162,7.504,(exp(X2) * (abs(0.791644) ^ log(abs(pdiv((X2 - X1), -3.3842514))))
2,11420,0.001230717160853571,0.0014637530813868007,7.386,(exp(0.44071907) * exp((log(abs(pdiv(X1, -1.0810394)) * (0.28657565 * -0.9314809))))
3,17499,0.0012307171608535688,0.0014637530813868007,9.204,(exp(0.44071907) * exp((log(abs(pdiv(X1, -1.0810394)) * (0.28657565 * -0.9314809))))
4,24786,0.001224187542997535,0.0014683262674080242,12.61,((((-1.1541201 * X1) - pdiv(pdiv((X1 - 0.68010134), (abs(X2) ^ -0.74704903)), (abs(X2) ^ X1))) * (log(abs((X2 * log(abs(0.6315177))) + (abs((X2 * 3.392963)) ^ (X1 * (abs((X1 - 19.331594)) ^ -0.18121327))))) * (abs(0.7572652) ^ log(abs(pdiv((-1.846629 - X1), -6.5355024))))
5,31853,0.0012239924359508996,0.0014674361402978572,17.314,(pdiv(X2, exp(log(abs(0.5276474))) + (-0.22430442 - (abs(0.75929004) ^ log(abs(pdiv((pdiv(-152.15552, ((X1 + X1) + 78.69419)) - X1), -6.2891583)))))
6,38896,0.0011598280407408284,0.0014467664686359893,22.266,(exp(0.7358655) * (abs(0.76603) ^ log(abs(pdiv(((X2 + pdiv(-64.36513, X1)) - X1), -5.3768306))))
7,47065,0.001159828038299167,0.001446781248742789,25.772,(exp(0.7358655) * (abs(0.7660289) ^ log(abs(pdiv(((X2 + pdiv(-64.36512, X1)) - X1), -5.3769293))))
8,54450,0.0011598280382980677,0.001446781248742789,28.216,(exp(0.7358655) * (abs(0.7660289) ^ log(abs(pdiv(((X2 + pdiv(-64.36512, X1)) - X1), -5.3769293))))
9,62481,0.0011598280382980677,0.001446781248742789,30.25,(exp(0.7358655) * (abs(0.7660289) ^ log(abs(pdiv(((X2 + pdiv(-64.36512, X1)) - X1), -5.3769293))))
10,72715,0.001122938267602366,0.0013404054594388663,29.602,(X1 * (abs(0.76143426) ^ log(abs(pdiv((log(abs(pdiv(X1, ((X2 * 7.2323365) + -28.21916))) + X1), -6.1673427))))
11,84409,0.0011135374478277958,0.0014372768726818397,29.288,(log(abs(pdiv((-1.846629 - X1), -6.5355024)) * (abs(0.76461226) ^ log(abs(pdiv((((X2 * -0.60183054) + log(abs(pdiv(-186.52823, ((X2 * X1) + -56.892235)))) + X1), -5.534351))))
12,97877,0.0011116122410349913,0.001447937741434756,30.79,(log(abs(pdiv((-1.846629 - X1), -6.5355024)) * (abs(0.7633241) ^ log(abs(pdiv((((X2 * -0.5642946) + log(abs(pdiv(-186.52753, ((X2 * X1) + -57.262978)))) + X1), -5.6564727))))
13,111537,0.0010857161550295474,0.23732743789597213,31.046,(log(abs(5.725298) * (abs(0.75803685) ^ log(abs(pdiv(pdiv((((X1 - X1) + (pdiv((X2 * 2.7102048), (-11.177932 * log(abs(pdiv(pdiv((-2.1849504 - X1), 2.193924), ((-6.109959 - X1) + 74.27778))))) + log(abs((7.067114 - X2)))) + X1), -2.5091543), -2.5091543))))
14,125764,0.001055037209179112,0.2523486174906616,31.378,(log(abs(5.725298) * (abs(0.7636677) ^ log(abs(pdiv(pdiv((((X1 - X1) + (pdiv((X2 * 2.4731162), (-11.235401 * log(abs(pdiv(pdiv((-2.1557496 - X1), 2.1978278), ((-6.0838094 - X1) + 74.30393))))) + log(abs((5.6564918 - X2)))) + X1), -2.3845177), -2.3845177))))
15,142270,0.0010544915039665268,0.20431546059394085,33.528,(log(abs(5.725298) * (abs(0.7636144) ^ log(abs(pdiv(pdiv((((X1 - X1) + (pdiv((X2 * 2.9379823), (-11.133072 * log(abs(pdiv(pdiv((-2.141028 - X1), 2.1994648), ((-6.0070815 - X1) + 74.38066))))) + log(abs((5.653365 - X2)))) + X1), -2.3863935), -2.3863935))))
16,160988,0.001054118217608699,0.19921810268037238,36.004,(log(abs(5.725298) * (abs(0.7630844) ^ log(abs(pdiv(pdiv((((X1 - X1) + (pdiv((X2 * 2.9432313), (-11.131686 * log(abs(pdiv(pdiv((-2.1403954 - X1), 2.1994746), ((-6.0053425 - X1) + 74.3824))))) + log(abs((5.656569 - X2)))) + X1), -2.3942635), -2.3942635))))
17,176754,0.0010537195530514578,0.19692657291192156,36.866,(log(abs(5.725298) * (abs(0.7623269) ^ log(abs(pdiv(pdiv((((X1 - X1) + (pdiv((X2 * 3.4571028), (-10.995805 * log(abs(pdiv(pdiv((-2.083658 - X1), 2.2061174), ((-5.845718 - X1) + 74.54202))))) + log(abs((5.656812 - X2)))) + X1), -2.4066894), -2.4066894))))
18,190623,0.0010532644425207732,0.20299732443656293,36.49,(log(abs(5.725298) * (abs(0.76310724) ^ log(abs(pdiv(pdiv((((X1 - X1) + (pdiv((X2 * 2.896576), (-11.172031 * log(abs(pdiv(pdiv((-1.4578354 - X1), 2.2705326), ((-4.9618816 - X1) + 75.42586))))) + log(abs((5.656244 - X2)))) + X1), -2.3902893), -2.3902893))))
19,203706,0.0010475214341202693,0.0012128797102296026,36.814,(pdiv(-10.060427, (exp(0.7572652) * -10.060427)) * (abs(0.7507147) ^ log(abs(pdiv(((-1.02335 + (pdiv((-2.4032934 * X1), X2) + exp((5.8277216 - X2)))) + X1), -3.7652025))))
20,215144,0.0010439667170516855,0.001198620017887214,35.592,(pdiv(-10.060427, (exp(0.7572652) * -10.060427)) * (abs(0.7537834) ^ log(abs(pdiv(((-1.3320408 + (pdiv((-2.221482 * X1), X2) + exp((5.827932 - X2)))) + X1), -3.8382046))))
21,226465,0.0010317397071760248,0.0010293385606014215,34.996,(pdiv(X2, (exp(0.7572652) * -10.060427)) * (abs(0.7466741) ^ log(abs(pdiv(((-1.4757773 + (pdiv((-2.4254997 * (log(abs(pdiv(-7.1722383, ((X2 * X1) + -58.20402))) + X1)), X2) + exp((6.1113534 - X2)))) + X1), -4.1221704))))
22,238063,0.001017374803508844,0.000937096833232896,35.932,(pdiv(X2, (exp(0.7572652) * -10.060427)) * (abs(0.74370545) ^ log(abs(pdiv(((-1.8415158 + (pdiv((-2.9960995 * (log(abs(pdiv(-7.206306, ((X2 * X1) + -58.140705))) + X1)), X2) + exp((6.1926517 - X2)))) + X1), -3.4293242))))
