-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=5
----------------------------------
gen,fevals,mse_train,mse_test,avg_len,best_expr
1,6245,0.001284895399694505,0.0017839759509134208,7.182,(pdiv(26.943916, (X1 - -39.415043)) - -0.26019216)
2,13310,0.001216740344461807,0.0019069400694638997,8.236,(pdiv(28.731205, (X1 - -40.678677)) - -0.25210634)
3,21696,0.0011643327232640742,0.0012881304103808274,9.83,(pdiv((log(abs(-0.7261969) - (X2 * -0.35131118)), X1) - (log(abs((log(abs(X1) - -4.871223)) - 2.702148))
4,32821,0.0009399790446187015,0.0013809090775234144,12.92,(pdiv(log(abs(pdiv((pdiv(((64.20159 - X1) + exp(-10.211785)), X2) + -47.56521), X1)), log(abs(126.21987)) + 0.5797259)
5,44984,0.0009081780451324087,0.0013123397966259762,14.696,(pdiv(log(abs(pdiv((pdiv(((102.614 - X1) + exp(-10.210374)), X2) + -53.830105), X1)), log(abs(111.17995)) + 0.5902039)
6,58385,0.0009081776038296427,0.0013119199669093817,16.824,(pdiv(log(abs(pdiv((pdiv(((102.61481 - X1) + exp(-10.210374)), X2) + -53.827164), X1)), log(abs(111.18062)) + 0.5902368)
7,74336,0.0009081775960154561,0.00131191648853138,18.904,(pdiv(log(abs(pdiv((pdiv(((102.614426 - X1) + exp(-4.5800114)), X2) + -53.829327), X1)), log(abs(111.180305)) + 0.5902363)
8,91941,0.0009043582107662899,0.0012991640324622866,21.22,(pdiv(log(abs(pdiv((pdiv(((136.66566 - (X1 + (log(abs(X1) - (-26.505268 - log(abs(-18.983423))))) + exp(-10.209121)), X2) + -55.111916), X1)), log(abs(114.47549)) + 0.58537346)
9,111628,0.0008628930185581087,0.0012676379363544725,23.85,(pdiv(log(abs(pdiv((pdiv(((86.57172 - X1) + pdiv((117.70237 - (-120.458405 - 127.34446)), X1)), X2) + -50.120876), X1)), log(abs(78.02207)) + 0.6088152)
10,133182,0.0007838204409310204,0.0009916580768039227,27.006,(pdiv(log(abs(pdiv((pdiv(((105.16918 - X1) + exp(-10.2066765)), X2) + -61.88218), X1)), 2.4126093) + (pdiv(-28.456596, (X1 - -36.860363)) - -0.8825942))
11,157114,0.0007597187282025033,0.0009407972205044548,28.708,(pdiv(log(abs(pdiv((pdiv(((95.05891 - X1) + exp(-10.207049)), X2) + -58.12133), X1)), 2.132418) + (pdiv(-34.428562, (X1 - -35.891945)) - -0.9697188))
12,180852,0.0007300879965221975,0.0010086187020267492,30.504,(pdiv(log(abs(pdiv((pdiv(pdiv(((121.43637 - (X1 + (log(abs(X1) - (-40.814327 - log(abs(X1))))) + exp(-10.209648)), X2), X2) + -9.926606), X1)), log(abs(-112.6316)) + 0.9254709)
13,203555,0.0007300412786747478,0.0010050165252686802,32.042,(pdiv(log(abs(pdiv((pdiv(pdiv(((121.32157 - (X1 + (log(abs(X1) - (-40.929127 - log(abs(X1))))) + exp(-10.209652)), X2), X2) + -9.884158), X1)), log(abs(-112.13836)) + 0.92667115)
14,226763,0.0007300412786733825,0.0010050166401235742,34.128,(pdiv(log(abs(pdiv((pdiv(pdiv(((121.32152 - (X1 + (log(abs(X1) - (-40.929184 - log(abs(X1))))) + exp(-10.209652)), X2), X2) + -9.884148), X1)), log(abs(-112.13822)) + (0.92663425 + exp(-10.201475)))
15,249196,0.0007135311980479576,0.0009734327053657187,33.178,(pdiv(log(abs(pdiv((pdiv(pdiv(((84.09941 - (X1 + (log(abs(X1) - (pdiv(((128.65526 - (X1 + ((14.153634 - -7.267578) - (-34.51567 - log(abs(X1))))) + exp(-10.209416)), X2) - log(abs(X1))))) + exp(-10.211056)), X2), X2) + -12.790118), X1)), log(abs(-127.3984)) + 0.8660039)
16,272272,0.0007001636387341941,0.0009453042034889172,33.818,(pdiv(log(abs(pdiv((pdiv(pdiv(((106.364265 - (X1 + (log(abs(X1) - (pdiv(((116.07636 - (X1 + (log(abs(X1) - (-46.174343 - X1)))) + exp(-10.209845)), X2) - log(abs(-40.67336))))) + exp(-10.210202)), X2), X2) + -14.830841), X1)), log(abs(-123.85074)) + (0.8400945 + exp(-10.201478)))
17,295690,0.0006966760925649577,0.000929085402692261,35.032,(pdiv(log(abs(pdiv((pdiv(pdiv(((128.42358 - (X1 + (log(abs(X1) - (pdiv(((71.16778 - (X1 + (log(abs(X1) - (-91.08293 - X1)))) + exp(-10.211497)), X2) - log(abs(-40.132244))))) + exp(-10.209391)), X2), X2) + -14.312473), X1)), log(abs(-112.08279)) + (0.85673463 + exp(-10.201477)))
18,318695,0.0006948905932358496,0.0009336545342030003,35.0,(pdiv(log(abs(pdiv((pdiv(pdiv(((132.88985 - (X1 + (log(abs(X1) - (pdiv(((70.71983 - (X1 + (log(abs(X1) - (-91.530876 - X1)))) + exp(-10.2115135)), X2) - log(abs(-40.020954))))) + exp(-10.209227)), X2), X2) + -15.137022), X1)), log(abs(-123.57079)) + (0.8412912 + exp(-10.201478)))
19,340642,0.0006857084462763609,0.0009091047977354067,34.502,(pdiv(log(abs(pdiv((pdiv(pdiv(((161.05412 - (X1 + (log(abs(X1) - (pdiv(((79.32833 - (X1 + ((log(abs(X1) - (-39.282627 - X1)) - (-82.92238 - X1)))) + exp(-10.211197)), X2) - log(abs(-39.317215))))) + exp(-10.208189)), X2), X2) + -17.505903), X1)), log(abs(-122.53198)) + (0.81470335 + exp(-10.201479)))
20,363438,0.000652807064353656,0.003735428976797173,35.974,(pdiv(log(abs(pdiv((pdiv(pdiv(((113.89564 - (X1 + (log(abs(-77.17094) - ((pdiv(58.580807, (X1 - (134.07222 - 7.7010236))) - ((35.716114 + pdiv((pdiv(((75.11331 - X1) + exp(-11.609058)), X2) + -52.641323), X1)) + -2.9116125)) - log(abs(X1))))) + 0.9436392), X2), X2) + -9.7987175), X1)), log(abs(-107.1177)) + 0.9336092)
21,386204,0.0006495944361513558,0.0008206947807783418,37.146,(pdiv(log(abs(pdiv((pdiv(pdiv(((64.65699 - ((log(abs(-128.75432) + -18.66902) + (log(abs(-10.065994) - (pdiv(((41.864384 - (X1 + (log(abs(X1) - (-120.38632 - X1)))) + exp(-27.343302)), X2) - log(abs(-41.72431))))) + exp(-10.21174)), X2), X2) + -6.0954022), X1)), log(abs(-182.14793)) + (4.866366 + -3.8436074))
22,408148,0.0006404180658269317,0.0007827168842912981,37.346,(pdiv(log(abs(pdiv((pdiv(pdiv(((66.416985 - ((log(abs(-128.74065) + -20.429016) + (log(abs(-9.897845) - (pdiv(((35.603024 - (X1 + (log(abs(X1) - (-126.64768 - X1)))) + exp(-27.343302)), X2) - log(abs(-41.682224))))) + exp(-10.211675)), X2), X2) + -5.6989684), X1)), log(abs(-151.21248)) + (4.8840933 + -3.8258803))
23,431350,0.0006235220328953412,0.0007704719809038761,38.208,(pdiv(log(abs(pdiv((pdiv(pdiv(((117.21911 - ((log(abs(-128.3461) + -71.23114) + (log(abs(-4.9455075) - (pdiv(((-119.6279 - (X1 + (log(abs(X1) - (-281.8786 - X1)))) + exp(-27.343302)), X2) - log(abs(-40.46511))))) + exp(-10.209808)), X2), X2) + -7.5336356), X1)), log(abs(-169.43123)) + (4.872942 + -3.8370316))
24,455051,0.0006196768791518272,0.0007485952318660845,38.742,(pdiv(log(abs(pdiv((pdiv(pdiv(((117.49322 - ((log(abs(-128.34396) + -71.50525) + (log(abs(-4.918366) - (pdiv(((-121.456924 - (X1 + (log(abs(X1) - (-283.7076 - X1)))) + exp(-27.343302)), X2) - log(abs(-40.45839))))) + exp(-10.209798)), X2), X2) + -7.245285), X1)), log(abs(-149.29312)) + (4.884861 + -3.8251126))
25,479942,0.0006179679833890222,0.0007563111036729529,38.966,(pdiv(log(abs(pdiv((pdiv(pdiv(((122.92355 - ((log(abs(-128.30215) + -76.93558) + (log(abs(-3.3004522) - (pdiv(((-183.43568 - (X1 + (X2 - (-267.95517 - X1)))) + exp(-27.343302)), X2) - log(abs(log(abs(-78.27431)))))) + log(abs(-10.076069)), X2), X2) + -7.6260204), X1)), log(abs(-159.87926)) + (4.878661 + -3.8313124))
26,504189,0.0006170207334570538,0.0007482562794230085,38.266,(pdiv(log(abs(pdiv((pdiv(pdiv(((122.93679 - ((log(abs(-128.30205) + -76.948814) + (log(abs(-3.3077228) - (pdiv(((-184.5785 - (X1 + (X2 - (-269.098 - X1)))) + exp(-27.343302)), X2) - log(abs(log(abs(-78.27427)))))) + log(abs(-10.077794)), X2), X2) + -7.4667296), X1)), log(abs(-150.17023)) + (4.8846717 + -3.8253021))
27,529419,0.0006164331428338737,0.0007483296226651064,37.53,(pdiv(log(abs(pdiv((pdiv(pdiv(((130.01701 - ((log(abs(-128.24686) + -84.029045) + (log(abs(-1.2321045) - (pdiv(((-208.28133 - (X1 + (log(abs(log(abs(-200.69952)) - (-292.8008 - X1)))) + exp(-27.343302)), X2) - log(abs(log(abs(-78.253525)))))) + log(abs(-10.782466)), X2), X2) + -7.7494946), X1)), log(abs(-152.49457)) + (4.883105 + -3.8268688))
28,555361,0.000616294150021381,0.0007474247693101891,38.452,(pdiv(log(abs(pdiv((pdiv(pdiv(((116.055954 - (X1 + (log(abs((7.6406083 + -192.45308)) - (pdiv(((-10.990687 - (31.224989 + (log(abs(log(abs(-10.232385)) - (-173.2414 - X1)))) + -45.162262), X2) - log(abs(13.6747055))))) + X1), X2), X2) + -3.9170282), X1)), log(abs(-151.10823)) + 1.1959528)
29,581760,0.0006088140888011324,0.0007275299109707244,38.466,(pdiv(log(abs(pdiv((pdiv(pdiv(((136.39604 - (16.280985 + (2.920474 - (pdiv(((-58.015324 - (X2 + (log(abs(X1) - (-220.266 - X1)))) + exp(-10.211211)), X2) - pdiv(73.01159, (X1 - -8.248259)))))) + log(abs(X2)), X2), X2) + -3.8958676), X1)), log(abs(-137.55182)) + (-1.0070596 + log(abs(-9.297576)))
30,608490,0.0005979969879668121,0.0007367613231176248,38.902,(pdiv(log(abs(pdiv((pdiv(pdiv(((136.97101 - (15.7060175 + (2.3455062 - (pdiv(((-57.269497 - (X1 + (log(abs(X1) - (-219.52017 - X2)))) + exp(-10.211184)), X2) - pdiv(74.49722, (X1 - -1.5496461)))))) + log(abs(X2)), X2), X2) + -4.1181865), X1)), log(abs(-171.21785)) + (-1.1973574 + log(abs(-10.771604)))
31,636694,0.0005967603050952213,0.0007401593418136076,40.092,(pdiv(log(abs(pdiv((pdiv(pdiv(((137.17099 - (15.506039 + (2.1455274 - (pdiv(((-57.281677 - (X1 + (log(abs(X1) - (-219.53235 - (3.1078694 + log(abs(X1)))))) + exp(-10.211184)), X2) - pdiv(74.759254, (X1 - -0.13899718)))))) + log(abs(X2)), X2), X2) + -4.1319165), X1)), log(abs(-171.18018)) + (-1.1985031 + log(abs(-10.77151)))
32,663607,0.0005965040663276959,0.0007450972586371707,38.546,(pdiv(log(abs(pdiv((pdiv(pdiv(((138.0556 - (14.6214285 + (1.2609171 - (pdiv(((-60.060707 - (X1 + (log(abs(X1) - (-222.31139 - (5.8869 + log(abs(X1)))))) + exp(-10.211286)), X2) - pdiv(75.53192, (X1 - -0.2592789)))))) + log(abs(X2)), X2), X2) + -4.203017), X1)), log(abs(-176.45685)) + (-1.2047944 + log(abs(-10.770926)))
33,691239,0.0005957685624193062,0.0007418821351224217,39.692,(pdiv(log(abs(pdiv((pdiv(pdiv(((142.25034 - (10.42669 + (-2.9338212 - (pdiv(((-72.45587 - (X1 + (log(abs(X1) - (-234.70654 - (18.282063 + log(abs(X1)))))) + exp(-10.211741)), X2) - pdiv(79.84708, (X1 - -0.15483268)))))) + log(abs(X2)), X2), X2) + -4.386963), X1)), log(abs(-175.88434)) + (-1.2037444 + log(abs(-10.771376)))
