-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=5
----------------------------------
gen,fevals,mse_train,mse_test,avg_len,best_expr
1,6672,0.0012307171608535758,0.0014637531530245322,7.628,(abs(pdiv(exp(1.7289288), X1)) ^ exp((0.31187224 - 1.6326046)))
2,13121,0.00121335770470659,0.001483896984377725,7.098,(abs(pdiv(exp(1.7215583), X1)) ^ exp(((X2 * log(abs(1.0227815)) - 1.4377153)))
3,22068,0.0011178297227797125,0.0012079630579295347,9.068,(abs(pdiv(X2, X1)) ^ exp((-2.175512 - (log(abs((-0.6126678 - X2)) * -0.4691706))))
4,32241,0.0009886830861093121,0.0012004783333976134,10.882,(abs(pdiv((1.5328747 * (X2 + -1.2722975)), X1)) ^ exp(((X2 * log(abs(1.1493082)) - 2.021728)))
5,43672,0.000986416442366288,0.001182039218210221,12.488,(abs(pdiv((1.6936564 * (X2 + -1.625761)), X1)) ^ exp(((X2 * log(abs(1.1644658)) - 2.0886598)))
6,55146,0.000986416424857549,0.0011820511206880855,14.742,(abs(pdiv((1.6939437 * (X2 + -1.6262114)), X1)) ^ exp(((X2 * log(abs(1.1644945)) - 2.0887656)))
7,68117,0.0009386018812506391,0.001112555259749892,18.506,(abs(pdiv(X2, X1)) ^ exp(((-2.0209153 - (pdiv(log(abs((X2 + (-1.7387675 + -1.2920287))), X1) * 2.2001495)) - (log(abs((0.9485771 - X2)) * -0.48385006))))
8,81919,0.0009060734102164029,0.0010259424173420708,21.604,(abs(pdiv(X2, X1)) ^ exp(((-2.0218432 - (pdiv(log(abs((X2 + (-1.8594314 + -1.4126925))), X1) * 3.726055)) - (log(abs((1.4889446 - X2)) * -0.5400522))))
9,96423,0.0008800017909304565,0.0009362189448015827,22.308,(abs(pdiv(X2, X1)) ^ exp(((-1.614545 - (pdiv(log(abs((X2 + (-1.8603683 + -1.4136294))), X1) * 4.5336404)) - (log(abs((2.7454135 - X2)) * -0.34583384))))
10,111199,0.000830222588330123,0.0007528203199992132,24.792,(abs(pdiv(X2, X1)) ^ exp(((-1.4130685 - (pdiv(log(abs((X2 + (-1.9367187 + -1.4899799))), X1) * 4.2530656)) - (log(abs((3.5079484 - X2)) * -0.20040144))))
11,127069,0.000825022953867362,0.0007488441576598057,25.648,(abs(pdiv(X2, X1)) ^ exp(((-1.3944504 - (pdiv(log(abs((X2 + (-1.9029169 + -1.4561781))), X1) * 4.115932)) - (log(abs((3.5637832 - X2)) * -0.17187716))))
12,143817,0.000825022188261811,0.0007490336721186555,28.866,(abs(pdiv(X2, X1)) ^ exp(((-1.3944972 - (pdiv(log(abs((X2 + (-1.9029502 + -1.4562113))), X1) * 4.1193285)) - (log(abs((3.563379 - X2)) * -0.17209893))))
13,162005,0.0007708073849013758,0.0008698368843079018,31.236,(abs(pdiv(X2, X1)) ^ exp(((-1.6212292 - (log(abs((exp((3.4832458 - pdiv(7.719074, ((X2 + -5.1359944) - -11.469812)))) - X1)) * (log(abs((3.418855 - X2)) * -0.03977736))) - (-0.73989093 * 0.24163684))))
14,179770,0.0007304042852724177,0.0010547022460301097,33.492,(abs(pdiv(X2, X1)) ^ exp(((-1.6043345 - (log(abs((exp((3.4237928 - -0.5944564)) - X1)) * (log(abs((3.5945282 - X2)) * -0.03849276))) - (-0.7438245 * 0.2540873))))
15,197897,0.0007224370718345523,0.0010571875868862813,34.066,(abs(pdiv(X2, X1)) ^ exp(((-1.6001769 - (log(abs((exp((2.9699006 - pdiv(-10.001997, ((-2.0021987 - (pdiv(log(abs((X2 + (-2.659354 + (log(abs((pdiv(X1, X1) - X2)) * -1.0226442)))), X1) * 3.8521807)) - -11.363181)))) - X1)) * (log(abs((3.604391 - X2)) * -0.038335986))) - (-0.7442835 * 0.25697213))))
16,215321,0.0006110834044110522,0.0006515066486657976,33.47,(abs(pdiv(X2, X1)) ^ exp(((-1.6024774 - (log(abs((exp(X1) - X1)) * (log(abs((3.6543367 - X2)) * -0.0006693477))) - (-0.7439477 * 0.2553585))))
17,233461,0.0006109864733436683,0.0006469432154522229,33.404,(abs(pdiv(X2, X1)) ^ exp(((-1.6021931 - (log(abs((exp(X1) - X1)) * (log(abs((3.6543157 - X2)) * -0.0006740302))) - (-0.7440203 * 0.25557005))))
18,252594,0.000608061971374111,0.0006173785835448273,33.548,(abs(pdiv(X2, X1)) ^ exp(((-1.3648376 - (log(abs((exp((X1 - log(abs((3.5130522 - X2)))) - X1)) * (log(abs((3.6554236 - X2)) * -0.00072398846))) - ((X2 * 0.06101069) * 0.15831883))))
19,272567,0.000593903539324349,0.0006111818670246875,33.996,(abs(pdiv(X2, X1)) ^ exp(((-0.88784486 - (log(abs((exp((X1 - pdiv(6.897087, (0.14407153 - -12.585138)))) - X1)) * (log(abs((3.6970685 - X2)) * -0.0006415373))) - ((-2.2841659 - (pdiv(log(abs(-21.541988), X1) * 1.5668485)) * -0.21891084))))
20,293356,0.0005902341660693794,0.000690167494063032,34.858,(abs(pdiv(X2, X1)) ^ exp(((-1.3989481 - (X1 * (log(abs((3.6519148 - X2)) * -0.0006395336))) - (pdiv(exp((3.2014546 - pdiv(7.8457403, ((-2.11113 - (log(abs((3.4480577 - X2)) * 3.8561914)) - -11.286099)))), X1) * 0.07336666))))
21,313419,0.0005504750574376227,0.0005828649159417736,33.896,(abs(pdiv(X2, X1)) ^ exp(((-1.4060676 - (log(abs((18.130257 - X1)) * (log(abs((3.4781907 - X2)) * 0.011540702))) - ((-0.043841764 - (pdiv(log(abs((3.0915854 + (X2 + -6.802127))), (-0.00011076819 - (pdiv(X2, X1) * -3.4224234))) * 0.13709591)) * 0.11819474))))
22,334682,0.00051100817595102,0.0006048671225133349,34.134,(abs(pdiv(X2, X1)) ^ exp(((-1.4134935 - (log(abs((18.13047 - X1)) * (log(abs((3.4715614 - X2)) * -0.01332771))) - ((-0.043129228 - (pdiv(log(abs((3.0957465 + (X2 + -6.7979655))), (-0.019583037 - (pdiv(X2, X1) * -3.4247143))) * 0.08155508)) * 0.053013496))))
23,355684,0.0005000693988236997,0.00048323699153205384,34.672,(abs(pdiv(X2, X1)) ^ exp(((-1.3655915 - (X2 * ((3.095399 + (X2 + -6.798313)) * 0.006110152))) - ((-0.048128273 - (pdiv(log(abs((3.0908496 + (X2 + -6.8028626))), (0.0024148943 - (pdiv(X2, X1) * -3.422683))) * 0.13151321)) * 0.113814466))))
24,376709,0.00048463060581666864,0.0004650775661211723,35.654,(abs(pdiv(X2, X1)) ^ exp(((-0.97415274 - exp(((-1.6389755 - -0.024343781) - (((-1.422268 - (log(abs((exp(X1) - X2)) * (log(abs((3.5665908 - X2)) * -0.01737575))) - (-0.06737487 * 0.25991294)) * 0.20112857)))) - (2.235891 * 0.077776656))))
