-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=5
----------------------------------
gen,fevals,mse_train,mse_test,avg_len,best_expr
16,274415,0.0005914440452717346,0.0012916711503781553,32.96,(log(abs(X1) - (-1.4020698 + (log(abs(X1) * ((log(abs(X1) * (-0.016209545 - (X1 * (5.168906e-8 * X1)))) + (0.9704866 + (log(abs(X2) * ((log(abs(X2) * (-0.13797495 - (X1 * (-1.2097863e-7 * X1)))) + 0.41400474)))))))
17,302958,0.0003652522892519963,0.018729000512588884,34.236,(0.46416515 + (log(abs(X2) * ((log(abs(X1) * (-1.4383163 - ((log(abs(X1) * (-0.20493416 - (X1 * (2.4573662e-6 * X1)))) - (X1 * ((-1.4095725e-5 + (log(abs(X2) * ((1.5445184e-7 * X2) + -2.184033e-6))) * X1))))) + 2.5911963)))
18,331732,0.00036525228920372324,0.018728979050726107,34.72,(0.46416515 + (log(abs(X2) * ((log(abs(X1) * (-1.4383163 - ((log(abs(X1) * (-0.20493415 - (X1 * (2.4573656e-6 * X1)))) - (X1 * ((-1.409572e-5 + (log(abs(X2) * ((1.5445185e-7 * X2) + -2.184033e-6))) * X1))))) + 2.5911963)))
19,361789,0.000275225912172695,0.012485976423523214,36.216,(29.470034 - (28.6625 + (log(abs(X2) * ((0.49854594 + (log(abs(X1) * ((X1 * (-0.0076579284 - (X1 * 5.677404e-5))) + (-0.6109307 + (log(abs(X1) * ((X2 * (-0.0024733439 - (X1 * ((X2 * 4.325822e-6) + -4.9915045e-5)))) + 0.20523003)))))) + (X1 * (0.00042191244 * X1))))))
20,392378,0.0002751988253252661,0.012555161029574569,37.006,(29.469782 - (28.662752 + (log(abs(X2) * ((0.4984012 + (log(abs(X1) * ((X1 * (-0.007667596 - (X1 * 5.6864894e-5))) + (-0.6111239 + (log(abs(X1) * ((X2 * (-0.0024618267 - (X1 * ((X2 * 4.334192e-6) + -4.997804e-5)))) + 0.20527832)))))) + (X1 * (0.00042257723 * X1))))))
21,421340,0.00027517151509200784,0.012495005694862994,36.716,(29.469778 - (28.662756 + (log(abs(X2) * ((0.4983984 + (log(abs(X1) * ((X1 * (-0.0076607214 - (X1 * 5.6799825e-5))) + (-0.611128 + (log(abs(X1) * ((X2 * (-0.0024704938 - (X1 * ((X2 * 4.325784e-6) + -4.9911025e-5)))) + 0.20527762)))))) + (X1 * (0.00042210362 * X1))))))
22,449647,0.0002656236624748965,0.05456719171497923,37.726,(log(abs((-2.8290259e17 - X2)) - ((39.532463 - (X1 * 0.015081632)) + (log(abs(X2) * ((log(abs(X1) * (4.0747094 - (log(abs(X2) * (0.0004828495 * X1)))) + (-15.175064 + (log(abs(X1) * ((4.1175575 - (log(abs(X1) * ((log(abs(X1) * ((log(abs(X2) * 0.0052543283) + -0.32593772)) + 3.4080496))) + 4.3483706)))))))
23,478387,0.00025923048126231217,0.005896518177884952,38.978,((log(abs(X1) * ((X2 * (-0.27802476 - (X1 * ((X2 * -5.381219e-5) + 0.0006000511)))) + -0.42850155)) - (-3.9400241 + (log(abs(X1) * ((log(abs(X1) * (-0.29486147 - (X1 * (2.1390395e-7 * X1)))) + (0.73481417 + (log(abs(X2) * ((log(abs(X2) * (-0.6597968 - (X1 * (2.1863338e-8 * X1)))) + 0.6828431)))))))
24,508451,0.00023589190385688385,0.03475257894541898,39.746,(log(abs((-2.8290259e17 - X1)) - ((41.334656 - (X1 * 0.017037418)) + (log(abs(X2) * ((log(abs(log(abs(X2)) * (1.154289 - (log(abs(X2) * (0.0030922291 * X1)))) + (-14.106696 + (log(abs(X1) * ((5.024552 - (log(abs(X1) * ((log(abs(X1) * ((log(abs(X2) * 0.0036045094) + -0.2698476)) + 2.799113))) + 5.255365)))))))
25,537837,0.00023362711441794648,0.011525248706107136,39.676,(log(abs((X1 - X2)) + ((-3.3275893 - (X1 * -0.01255301)) + (log(abs(X2) * ((log(abs(X2) * (-0.51808614 - (log(abs(X2) * (-0.0002728684 * X1)))) + (13.200252 + (log(abs(X1) * ((-4.223925 - (log(abs(X1) * ((log(abs(X1) * ((log(abs(X2) * -0.013330817) + 0.20221058)) + -1.9732784))) + -3.993112)))))))
26,565883,0.0002239895455692775,0.01710745914215113,38.846,(log(abs((X1 - X2)) + ((0.41514874 - (X1 * -0.013423969)) + (log(abs(X2) * ((log(abs(X2) * (4.1575084 - (log(abs(X2) - (0.001119903 * X1)))) + (7.4629583 + (log(abs(X1) * ((-4.8661847 - (log(abs(X1) * ((log(abs(X1) * ((log(abs(X2) * -0.013549108) + 0.23603208)) + -2.327368))) + -4.6353717)))))))
27,594201,0.00022398954485566066,0.017107607240714213,40.094,(log(abs((X1 - X2)) + ((0.41514882 - (X1 * -0.013423963)) + (log(abs(X2) * ((log(abs(X2) * (4.157509 - (log(abs(X2) - (0.0011199021 * X1)))) + (7.4629583 + (log(abs(X1) * ((-4.8661847 - (log(abs(X1) * ((log(abs(X1) * ((log(abs(X2) * -0.013549097) + 0.23603201)) + -2.3273678))) + -4.6353717)))))))
28,621076,0.00020545680526418202,0.03142626144211002,39.602,(log(abs((X1 - X2)) + ((-3.2037423 - (X1 * -0.010731178)) + (log(abs(X2) * ((log(abs(X2) * (-0.5101677 - (log(abs(X2) * (-0.00038649235 * X1)))) + (13.092018 + (log(abs(log(abs(X1)) * ((-12.966244 - (log(abs(X1) * ((log(abs(X1) * ((log(abs(X2) * -0.038412303) + 0.6001034)) + -5.270346))) + -8.741756)))))))
29,646777,0.00020545680526425376,0.031426410199853476,40.286,(log(abs((X1 - X2)) + ((-3.2037423 - (X1 * -0.010731177)) + (log(abs(X2) * ((log(abs(X2) * (-0.5101676 - (log(abs(X2) * (-0.00038649247 * X1)))) + (13.092018 + (log(abs(log(abs(X1)) * ((-12.966244 - (log(abs(X1) * ((log(abs(X1) * ((log(abs(X2) * -0.0384123) + 0.6001033)) + -5.270346))) + -8.741756)))))))
30,672627,0.0002006620489441635,0.000390882246993576,40.58,(log(abs((-2.8290259e17 - X2)) + ((-50.281727 - (X1 * -0.001494222)) + (log(abs(X2) * ((log(abs(X2) * (-4.557833 - (log(abs(X2) * (0.00026137996 * X1)))) + (14.433907 + (log(abs(X1) * ((4.0817294 - (log(abs(X2) * ((log(abs(log(abs(X2)) * ((log(abs(X2) * 0.7803861) + -7.2843304)) + 8.140785))) + 4.2782545)))))))
31,696302,0.00019298639688356328,0.00038545329795024305,40.822,(log(abs((-2.8290259e17 - X2)) + ((-49.876785 - (X1 * -0.0015401791)) + (log(abs(X2) * ((log(abs(X2) * (-4.423272 - (log(abs(X2) * (0.00027152413 * X1)))) + (13.960957 + (log(abs(X1) * ((4.3151536 - (log(abs(X2) * ((log(abs(log(abs(X2)) * ((log(abs(X2) * 0.88177615) + -7.8239555)) + 8.609307))) + 4.5116787)))))))
32,719859,0.0001890375658897222,0.0009062527976543517,41.418,(log(abs((X1 - X2)) + ((-4.8118954 - (X1 * -0.0014855701)) + (log(abs(X2) * ((log(abs(X2) * (-7.2421703 - (log(abs(X1) * -7.189191))) + (6.982705 + (log(abs(log(abs(X1)) * ((-3.3581452 - (log(abs(X2) * ((log(abs(X1) * ((log(abs(X2) * -0.14394248) + 2.4840062)) + 7.7130194))) + 0.86634135)))))))
33,742268,0.0001524304118879246,0.00022762550402942924,41.44,(log(abs(log(abs(X1)) + ((1.280312 - -1.7558166) + (log(abs(X2) * ((log(abs(X2) * (-0.21556419 - (log(abs(-2.8290259e17) * (log(abs(X1) * -0.07375816)))) + (-0.5394486 + (log(abs(X1) * ((-3.1128836 - (log(abs(X1) * ((log(abs(X2) * ((log(abs(X2) * -0.20941138) + 0.75987464)) + -0.7095415))) + (X2 * -0.43076086))))))))
34,764703,0.0001524304118878855,0.00022763949208133777,41.214,(log(abs(log(abs(X1)) + ((1.280312 - -1.7558166) + (log(abs(X2) * ((log(abs(X2) * (-0.2155642 - (log(abs(-2.8290259e17) * (log(abs(X1) * -0.073758155)))) + (-0.5394486 + (log(abs(X1) * ((-3.1128836 - (log(abs(X1) * ((log(abs(X2) * ((log(abs(X2) * -0.20941138) + 0.75987464)) + -0.7095415))) + (X2 * -0.43076086))))))))
35,786866,0.0001426779491958426,0.00021507477181600964,41.368,(log(abs(log(abs(X1)) + (log(abs(X1) + (log(abs(X2) * ((log(abs(X2) * (-1.4506586 - (log(abs(-2.8290259e17) * (log(abs(X1) * -0.07779345)))) + (3.3468294 + (log(abs(X1) * ((-4.2519097 - (log(abs(X1) * ((log(abs(X2) * ((log(abs(X2) * -0.16668332) + 0.62485635)) + -0.6035893))) + (X2 * -0.3806053))))))))
36,809229,0.00014189883451969494,0.00020514480951453013,42.066,(log(abs(log(abs(X1)) + ((-1.3959355 - 0.92043096) + (log(abs(X2) * ((log(abs(X2) * (-2.3878973 - (log(abs(X2) * (log(abs(X1) * -1.4017229)))) + (6.303808 + (log(abs(X1) * ((-0.48236468 - (log(abs(X1) * ((log(abs(X2) * ((log(abs(X2) * -0.13462105) + 0.52335185)) + -0.52379364))) + (X2 * -0.73111373))))))))
37,831792,0.0001418988345198676,0.00020515312249429213,41.082,(log(abs(log(abs(X1)) + ((-1.3959355 - 0.920431) + (log(abs(X2) * ((log(abs(X2) * (-2.3878973 - (log(abs(X2) * (log(abs(X1) * -1.4017229)))) + (6.303808 + (log(abs(X1) * ((-0.48236474 - (log(abs(X1) * ((log(abs(X2) * ((log(abs(X2) * -0.13462104) + 0.52335185)) + -0.52379364))) + (X2 * -0.73111373))))))))
38,853670,0.000141898834519684,0.00020514490734943388,41.898,(log(abs(log(abs(X1)) + ((-1.3959355 - 0.920431) + (log(abs(X2) * ((log(abs(X2) * (-2.3878973 - (log(abs(X2) * (log(abs(X1) * -1.4017229)))) + (6.303808 + (log(abs(X1) * ((-0.48236468 - (log(abs(X1) * ((log(abs(X2) * ((log(abs(X2) * -0.13462105) + 0.52335185)) + -0.52379364))) + (X2 * -0.73111373))))))))
39,876039,0.00014189883451986237,0.00020515241615446641,42.398,(log(abs(log(abs(X1)) + ((-1.3959355 - 0.9204311) + (log(abs(X2) * ((log(abs(X2) * (-2.3878973 - (log(abs(X2) * (log(abs(X1) * -1.4017229)))) + (6.303808 + (log(abs(X1) * ((-0.4823647 - (log(abs(X1) * ((log(abs(X2) * ((log(abs(X2) * -0.13462104) + 0.52335185)) + -0.52379364))) + (X2 * -0.73111373))))))))
40,897445,0.00014189883451969182,0.0002051370557300602,41.21,(log(abs(log(abs(X1)) + ((-1.3959355 - 0.92043114) + (log(abs(X2) * ((log(abs(X2) * (-2.3878973 - (log(abs(X2) * (log(abs(X1) * -1.4017229)))) + (6.303808 + (log(abs(X1) * ((-0.48236468 - (log(abs(X1) * ((log(abs(X2) * ((log(abs(X2) * -0.13462105) + 0.52335185)) + -0.52379364))) + (X2 * -0.7311137))))))))
41,917612,0.00014089676743338176,0.00019806710049418625,42.518,(log(abs(log(abs(X1)) + ((-1.8192477 - 1.3437433) + (log(abs(X2) * ((log(abs(X2) * (-2.7343416 - (log(abs(X2) * (log(abs(X1) * -1.2208619)))) + (7.3907156 + (log(abs(X1) * ((-0.60282624 - (log(abs(X1) * ((log(abs(X2) * ((log(abs(log(abs(X2)) * -0.3882695) + 0.6632197)) + -0.8004325))) + (X2 * -0.61366844))))))))
42,937553,0.00014089676743345378,0.00019806710049418625,42.386,(log(abs(log(abs(X1)) + ((-1.8192477 - 1.3437433) + (log(abs(X2) * ((log(abs(X2) * (-2.7343416 - (log(abs(X2) * (log(abs(X1) * -1.2208619)))) + (7.3907156 + (log(abs(X1) * ((-0.60282624 - (log(abs(X1) * ((log(abs(X2) * ((log(abs(log(abs(X2)) * -0.3882695) + 0.6632197)) + -0.8004325))) + (X2 * -0.61366844))))))))
43,956026,0.00014083699943136886,0.00015857204264688407,41.202,(-2.8334234 + (log(abs(X1) + (log(abs(X2) * ((log(abs(X2) * ((log(abs(X1) * ((log(abs(X2) * 1.0234519) + 0.79712653)) + -2.5339282)) + (6.7892137 + (log(abs(X1) * ((-1.7179188 - (log(abs(X1) * ((log(abs(X2) * ((log(abs(X2) * -0.121416144) + 0.4694283)) + -0.45376477))) + (X2 * -0.60845333))))))))
44,974847,0.00014060714362757615,0.000158141158318964,42.46,(-3.0576136 + (log(abs(X1) + (log(abs(X2) * ((log(abs(X2) * ((log(abs(X1) * ((log(abs(X2) * 1.0567483) + 0.70045197)) + -2.6235182)) + (7.073389 + (log(abs(X1) * ((-1.6393352 - (log(abs(X1) * ((log(abs(X2) * ((log(abs(X2) * -0.11816207) + 0.45902702)) + -0.44550228))) + (X2 * -0.6103688))))))))
45,993220,0.00013988642287316312,0.00015764543928057783,42.816,(-2.265818 + ((log(abs(X1) - 1.202515) + (log(abs(X2) * ((log(abs(X2) * (-2.7925465 - (log(abs(log(abs(X2)) * (log(abs(X1) * -2.2221422)))) + (7.6023235 + (log(abs(X1) * ((-0.30430344 - (log(abs(X1) * ((log(abs(X2) * ((log(abs(X2) * -0.112292245) + 0.44057631)) + -0.4311074))) + (X2 * -0.44500822))))))))
46,1010734,0.00013988281908283126,0.0001528040999124341,41.926,(-2.6025293 + (log(abs(X1) + (log(abs(X2) * ((log(abs(X2) * ((log(abs(X1) * ((log(abs(X2) * 0.58503944) + 1.3776214)) + -2.4487722)) + (6.508032 + (log(abs(X1) * ((-2.3458457 - (log(abs(X1) * ((log(abs(X2) * ((log(abs(log(abs(X2)) * -0.39720255) + 0.6644427)) + -0.7778911))) + (X2 * -0.44253778))))))))
47,1029313,0.00013985029340958286,0.0001434206823713272,42.108,(X2 + (-4.9053125 + (log(abs(X2) * ((log(abs(X2) * ((log(abs(X1) * (log(abs(X2) * 1.1925181)) + -4.5202765)) + (8.16274 + (log(abs(X1) * ((-0.11437612 - (log(abs(X1) * ((log(abs(log(abs(X2)) * ((log(abs(X2) * -0.14541906) + 0.47030064)) + -0.12499813))) + (X2 * -0.63553107))))))))
48,1047815,0.0001398502934095822,0.0001434206823713272,42.428,(X2 + (-4.9053125 + (log(abs(X2) * ((log(abs(X2) * ((log(abs(X1) * (log(abs(X2) * 1.1925181)) + -4.5202765)) + (8.16274 + (log(abs(X1) * ((-0.11437612 - (log(abs(X1) * ((log(abs(log(abs(X2)) * ((log(abs(X2) * -0.14541906) + 0.47030064)) + -0.12499813))) + (X2 * -0.63553107))))))))
49,1066290,0.00013984857325014118,0.0001438217974815507,41.968,(X2 + (-5.112686 + (log(abs(X2) * ((log(abs(X2) * ((log(abs(X1) * (log(abs(X2) * 1.2542819)) + -4.6029954)) + (8.425459 + (log(abs(X1) * (((log(abs(X2) * -0.12642522) - (log(abs(X1) * ((log(abs(log(abs(X2)) * ((log(abs(X2) * -0.1414378) + 0.46101373)) + -0.12367081))) + (X2 * -0.64978397))))))))
50,1084066,0.00013984857325016008,0.00014382344504236256,41.638,(X2 + (-5.112686 + (log(abs(X2) * ((log(abs(X2) * ((log(abs(X1) * (log(abs(X2) * 1.2542819)) + -4.6029954)) + (8.425459 + (log(abs(X1) * (((log(abs(X2) * -0.12642527) - (log(abs(X1) * ((log(abs(log(abs(X2)) * ((log(abs(X2) * -0.14143778) + 0.46101373)) + -0.12367082))) + (X2 * -0.64978397))))))))
51,1102368,0.00013984857325019512,0.00014382489908789642,41.908,(X2 + (-5.112686 + (log(abs(X2) * ((log(abs(X2) * ((log(abs(X1) * (log(abs(X2) * 1.2542819)) + -4.6029954)) + (8.425459 + (log(abs(X1) * (((log(abs(X2) * -0.12642531) - (log(abs(X1) * ((log(abs(log(abs(X2)) * ((log(abs(X2) * -0.14143778) + 0.46101373)) + -0.12367082))) + (X2 * -0.64978397))))))))
52,1120736,0.00013984857325025448,0.00014382586871854362,42.654,(X2 + (-5.112686 + (log(abs(X2) * ((log(abs(X2) * ((log(abs(X1) * (log(abs(X2) * 1.2542819)) + -4.6029954)) + (8.425459 + (log(abs(X1) * (((log(abs(X2) * -0.12642534) - (log(abs(X1) * ((log(abs(log(abs(X2)) * ((log(abs(X2) * -0.14143778) + 0.46101373)) + -0.12367082))) + (X2 * -0.64978397))))))))
53,1138508,0.00013922733495256334,0.00014235530962361322,42.548,(X2 + (-5.7907057 + (log(abs(X2) * ((log(abs(X2) * ((log(abs(X1) * (log(abs(X2) * 0.99905115)) + -4.882578)) + (9.299286 + (log(abs(X1) * ((-0.24293247 - (log(abs(X1) * ((log(abs(log(abs(X2)) * ((log(abs(log(abs(X2)) * -0.24923646) + 0.36243546)) + -0.12881136))) + (X2 * -0.5099452))))))))
54,1156680,0.0001369829465715798,0.00014260879958493536,43.15,(X2 + (-19.274343 + (log(abs(X2) * ((log(abs(log(abs(X2)) * ((log(abs(X1) * (log(abs(X2) * 1.2095478)) + -16.328888)) + (17.591995 + (log(abs(X1) * ((-0.027477512 - (log(abs(X1) * ((log(abs(log(abs(log(abs(X2))) * ((log(abs(X2) * -0.043164656) + 0.10505092)) + 0.013408423))) + (X2 * -0.22107503))))))))
55,1174625,0.0001369829465716386,0.00014260876256896431,41.692,(X2 + (-19.274343 + (log(abs(X2) * ((log(abs(log(abs(X2)) * ((log(abs(X1) * (log(abs(X2) * 1.2095476)) + -16.328888)) + (17.591995 + (log(abs(X1) * ((-0.027477361 - (log(abs(X1) * ((log(abs(log(abs(log(abs(X2))) * ((log(abs(X2) * -0.043164726) + 0.10505098)) + 0.0134083815))) + (X2 * -0.22107504))))))))
56,1192523,0.0001369829465758467,0.00014261272714678007,42.356,(X2 + (-19.274343 + (log(abs(X2) * ((log(abs(log(abs(X2)) * ((log(abs(X1) * (log(abs(X2) * 1.2095478)) + -16.328888)) + (17.591995 + (log(abs(X1) * ((-0.02747759 - (log(abs(X1) * ((log(abs(log(abs(log(abs(X2))) * ((log(abs(X2) * -0.043164797) + 0.10505107)) + 0.013408334))) + (X2 * -0.22107507))))))))
57,1210204,0.00013564663184580613,0.0001447325273387881,41.25,(X2 + (-6.156718 + (log(abs(X2) * ((log(abs(X2) * ((log(abs(X1) * 1.084197) + -5.060899)) + (9.815471 + (log(abs(X1) * ((-1.5403112 - (log(abs(X1) * ((log(abs(log(abs(log(abs(X2))) * ((log(abs(X2) * -0.050792783) + 0.112825714)) + 0.010136852))) + (X2 * -0.08210948))))))))
58,1228936,0.0001356466318459734,0.00014473086511566864,42.534,(X2 + (-6.156718 + (log(abs(X2) * ((log(abs(X2) * ((log(abs(X1) * 1.084197) + -5.060899)) + (9.815471 + (log(abs(X1) * ((-1.5403112 - (log(abs(X1) * ((log(abs(log(abs(log(abs(X2))) * ((log(abs(X2) * -0.05079279) + 0.11282572)) + 0.010136848))) + (X2 * -0.082109466))))))))
59,1246850,0.00013564663184599147,0.0001447306379936438,41.6,(X2 + (-6.156718 + (log(abs(X2) * ((log(abs(X2) * ((log(abs(X1) * 1.084197) + -5.060899)) + (9.815471 + (log(abs(X1) * ((-1.5403112 - (log(abs(X1) * ((log(abs(log(abs(log(abs(X2))) * ((log(abs(X2) * -0.050792795) + 0.11282573)) + 0.010136847))) + (X2 * -0.082109466))))))))
60,1265054,0.00013454226923293472,0.0001435059171826469,41.944,(log(abs(log(abs(X2)) + (-7.7450027 + (log(abs(X2) * ((log(abs(log(abs(X2)) * ((log(abs(X1) * (log(abs(X2) * 1.3420308)) + -7.52084)) + (9.047491 + (log(abs(X1) * ((0.07852604 - (log(abs(X1) * ((log(abs(log(abs(log(abs(X2))) * ((exp(X2) * 2.7449138e-5) + 0.0675806)) + 0.040305544))) + (X2 * -0.2624197))))))))
61,1283113,0.00013454212362433405,0.00014354878273165498,42.218,(log(abs(log(abs(X2)) + (-7.745933 + (log(abs(X2) * ((log(abs(log(abs(X2)) * ((log(abs(X1) * (log(abs(X2) * 1.3419219)) + -7.521426)) + (9.048411 + (log(abs(X1) * ((0.07840063 - (log(abs(X1) * ((log(abs(log(abs(log(abs(X2))) * ((exp(X2) * 2.7448019e-5) + 0.06758287)) + 0.04030281))) + (X2 * -0.26238504))))))))
62,1300880,0.00013451932879347911,0.00014453644112839443,41.874,(log(abs(log(abs(X2)) + (-7.890187 + (log(abs(X2) * ((log(abs(log(abs(X2)) * ((log(abs(X1) * (log(abs(X2) * 1.3203624)) + -7.6253953)) + (9.187722 + (log(abs(X1) * ((0.05893961 - (log(abs(X1) * ((log(abs(log(abs(log(abs(X2))) * ((exp(X2) * 2.6005408e-5) + 0.06750181)) + 0.04006356))) + (X2 * -0.25522143))))))))
63,1318553,0.00013421402577251792,0.00013698906651264762,42.278,(X2 + (-15.459448 + (log(abs(X2) * ((log(abs(log(abs(X2)) * ((log(abs(X1) * (log(abs(X2) * 1.8256991)) + -13.898546)) + (14.058459 + (log(abs(X1) * ((0.42082518 - (log(abs(X1) * ((log(abs(log(abs(log(abs(X2))) * ((X2 * -0.054961983) + 0.17863227)) + -0.0839868))) + (X2 * -0.40438664))))))))
64,1336301,0.0001342140257726737,0.0001369859422303264,41.974,(X2 + (-15.459448 + (log(abs(X2) * ((log(abs(log(abs(X2)) * ((log(abs(X1) * (log(abs(X2) * 1.8256991)) + -13.898546)) + (14.058459 + (log(abs(X1) * ((0.42082518 - (log(abs(X1) * ((log(abs(log(abs(log(abs(X2))) * ((X2 * -0.054961983) + 0.17863227)) + -0.0839868))) + (X2 * -0.4043866))))))))
65,1354284,0.00013421402577270194,0.0001369859422303264,42.28,(X2 + (-15.459448 + (log(abs(X2) * ((log(abs(log(abs(X2)) * ((log(abs(X1) * (log(abs(X2) * 1.8256991)) + -13.898546)) + (14.058459 + (log(abs(X1) * ((0.42082518 - (log(abs(X1) * ((log(abs(log(abs(log(abs(X2))) * ((X2 * -0.054961983) + 0.17863227)) + -0.0839868))) + (X2 * -0.4043866))))))))
66,1372796,0.00013421402577270194,0.0001369859422303264,42.578,(X2 + (-15.459448 + (log(abs(X2) * ((log(abs(log(abs(X2)) * ((log(abs(X1) * (log(abs(X2) * 1.8256991)) + -13.898546)) + (14.058459 + (log(abs(X1) * ((0.42082518 - (log(abs(X1) * ((log(abs(log(abs(log(abs(X2))) * ((X2 * -0.054961983) + 0.17863227)) + -0.0839868))) + (X2 * -0.4043866))))))))
67,1391066,0.00013421402577251792,0.00013698997592361564,41.854,(-3.0465853 + (X2 + (-12.412863 + (log(abs(X2) * ((log(abs(log(abs(X2)) * ((log(abs(X1) * (log(abs(X2) * 1.8256991)) + -13.898546)) + (14.058459 + (log(abs(X1) * ((0.42082518 - (log(abs(X1) * ((log(abs(log(abs(log(abs(X2))) * ((X2 * -0.054961983) + 0.17863227)) + -0.0839868))) + (X2 * -0.40438664)))))))))
68,1410068,0.0001342140257725367,0.00013698994647178797,42.774,(-3.0465853 + (X2 + (-12.412863 + (log(abs(X2) * ((log(abs(log(abs(X2)) * ((log(abs(X1) * (log(abs(X2) * 1.8256991)) + -13.898546)) + (14.058459 + (log(abs(X1) * ((0.4208252 - (log(abs(X1) * ((log(abs(log(abs(log(abs(X2))) * ((X2 * -0.05496199) + 0.17863227)) + -0.08398682))) + (X2 * -0.40438664)))))))))
