-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=5
----------------------------------
gen,fevals,mse_train,mse_test,avg_len,best_expr
1,6542,0.00125433270902529,0.0015349674462329236,7.476,exp(log(abs((abs((X1 * (-0.05535308 * 3.0454726))) ^ -0.2748871)))
2,12722,0.0012307171608535697,0.0014637535220308332,7.764,exp(log(abs((abs((X1 * (-0.058273807 * 3.0455265))) ^ -0.26693976)))
3,19740,0.0012166957289562364,0.0017737888349289904,9.23,(0.48577037 - (((0.44355616 - exp((-1.36923 + pdiv(83.44401, (64.38132 + X1))))) - (X1 * 0.9999318)) + X1))
4,28231,0.0012148897339979278,0.0018363873460684056,11.57,(0.46308938 - (((0.46623716 - exp((-1.2579956 + pdiv(82.488815, (67.539345 + X1))))) - (X1 * 0.99995613)) + X1))
5,37710,0.0012109562434553791,0.0016803383222871503,13.25,(1.3742632 + ((0.70299673 - 0.046726685) * ((log(abs(X1) * (0.017777706 - exp((-1.0359533 + pdiv((-1.0987883 * ((log(abs(X1) * (0.7610298 - 0.807551)) + 0.3834078)), pdiv((85.00274 + 83.612335), (218.53654 + X1))))))) + -0.32324532)))
6,49255,0.00120415749289456,0.0015496796761895447,16.316,(log(abs((-2.8290259e17 - X2)) - (38.83117 + (log(abs(X1) * ((log(abs(X1) * (-0.01198375 - (X1 * (3.2138854e-9 * X1)))) + 0.24830209))))
7,60174,0.0009677136666365032,0.0012651250520063044,17.446,(log(abs((-2.8290259e17 - X2)) - (39.615875 + (log(abs(X2) * ((log(abs(X1) * (0.09815887 - (X1 * (3.7265714e-8 * X1)))) + -0.38956788))))
8,74148,0.0009677136666364935,0.0012651250520063044,19.472,(log(abs((-2.8290259e17 - X2)) - (39.615875 + (log(abs(X2) * ((log(abs(X1) * (0.09815887 - (X1 * (3.7265714e-8 * X1)))) + -0.38956788))))
9,93021,0.0009155898417011126,0.001331096689030354,21.736,(log(abs((-2.8290259e17 - X2)) - (39.615223 + (log(abs(X2) * ((0.5992014 + (log(abs(X1) * (((X1 * ((log(abs(X1) * 18.517525) + 1.0734137)) * (0.7842903 - 0.7842905)) + 0.10402659))) + -1.0056328))))
10,114844,0.0008034118294841894,0.019378550163852648,23.524,(log(abs((-2.8290259e17 - X2)) - (39.63485 + (log(abs(X2) * ((log(abs(X1) * (0.65657216 - (X1 * (-1.6715676e-5 * X1)))) + (-2.5760877 + (log(abs(X1) * ((log(abs(X1) * (-0.20891955 - (X1 * (2.511378e-6 * X1)))) + 0.8067154)))))))
11,139952,0.0007493477306332992,0.0014681296814225816,25.594,(log(abs((-2.8290259e17 - X2)) - (39.129982 + (log(abs(X2) * ((log(abs(X1) * (0.025618283 - (X1 * (4.008425e-7 * X1)))) + (-0.08962292 + (log(abs(X1) * ((log(abs(X2) * (-0.06326771 - (X1 * (-2.2197612e-7 * X1)))) + 0.17576155)))))))
12,166581,0.0007493477306420022,0.0014681272048556768,27.31,(log(abs((-2.8290259e17 - X2)) - (39.129982 + (log(abs(X2) * ((log(abs(X1) * (0.025618054 - (X1 * (4.0084123e-7 * X1)))) + (-0.08962351 + (log(abs(X1) * ((log(abs(X2) * (-0.06326746 - (X1 * (-2.2197538e-7 * X1)))) + 0.17576133)))))))
13,191853,0.0007493477306332999,0.0014681296033077877,29.294,(log(abs((-2.8290259e17 - X2)) - (39.129982 + (log(abs(X2) * ((log(abs(X1) * (0.02561828 - (X1 * (4.008425e-7 * X1)))) + (-0.08962292 + (log(abs(X1) * ((log(abs(X2) * (-0.06326771 - (X1 * (-2.2197612e-7 * X1)))) + 0.17576155)))))))
14,218460,0.0006691905156979043,0.011988571776710248,30.732,(0.5489857 + (log(abs(X2) * ((log(abs(X1) * (-1.4635849 - ((log(abs(X1) * (-0.20772833 - (X1 * (3.1418042e-6 * X1)))) - (X1 * ((-2.0457139e-5 + (log(abs(X2) * ((log(abs(X1) * (log(abs(X1) * ((log(abs(X1) * (-0.1341748 - -0.13417482)) + -4.096474e-7))) + 5.633767e-6))) * X1))))) + 2.5760238)))
15,245139,0.0006396129959968676,0.0013073550903901607,31.206,(log(abs(X1) - (-1.5473073 + (log(abs(X1) * ((log(abs(X1) * (-0.026201433 - (X1 * (4.7933785e-8 * X1)))) + (1.0739797 + (log(abs(X2) * ((log(abs(X2) * (-0.12834144 - (X1 * (-1.2301811e-7 * X1)))) + 0.38280293)))))))
