-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=5
----------------------------------
gen,fevals,mse_train,mse_test,avg_len,best_expr
1,6734,0.0012307171615569532,0.001463759739629589,7.474,log(abs((abs(pdiv(log(abs(exp(X1)), (-2.1224284 + (-1.6848851 * 2.0845103)))) ^ -0.26693988))
2,13194,0.0012307171608535814,0.001463753134287178,7.602,log(abs((abs(pdiv(log(abs(exp(X1)), (-2.1224315 + (-1.6848917 * 2.0845156)))) ^ -0.26693973))
3,21263,0.0010190200394062333,0.001835783267969889,9.422,(abs((abs(exp(-1.8071847)) ^ 1.290305)) ^ log(abs(((exp(0.7231749) + pdiv(1.0666997, ((0.69940424 * 0.99011135) + pdiv(X2, 1.503232)))) + (-1.0180455 * exp(((-1.4946624 - X2) * pdiv(4.4287744, X1)))))))
4,31045,0.000986073505907055,0.0018272680794250032,12.446,(abs((abs(exp(-1.8071847)) ^ 1.290305)) ^ log(abs(((exp(0.6856827) + pdiv(1.1253053, ((0.47849974 * 0.83516234) + pdiv(X2, 1.4384894)))) + (-0.97269905 * exp(((-1.0782224 - X2) * pdiv(5.256234, X1)))))))
5,43337,0.0009415354802313617,0.0017616871000805166,16.094,(abs((abs(exp(-1.8071847)) ^ 1.290305)) ^ log(abs(((exp(0.6997761) + pdiv(1.2630898, ((0.43686038 * 0.79282695) + pdiv(X2, 1.1264338)))) + (-0.97920096 * exp(((-0.16469957 - X2) * pdiv(6.1845737, X1)))))))
6,57027,0.0008104581006811411,0.00148958240939197,18.974,(abs((abs(exp(X1)) ^ 1.290305)) ^ log(abs(((exp(0.7195116) + pdiv(1.1039287, (((pdiv(2.9147663, X1) * 4.4424295) * 1.2282772) + pdiv(X2, 1.648533)))) + (-1.1075178 * exp(((-0.15340586 - X2) * pdiv(5.5585194, X1)))))))
7,72041,0.0007083683412543522,0.0012772224448671416,21.822,(abs((abs(exp(X1)) ^ 1.290305)) ^ log(abs(((exp(0.75095147) + pdiv(1.157415, (((pdiv(3.255954, X1) * 4.667265) * 2.019081) + pdiv(X2, 2.2909694)))) + (-1.3364333 * exp(((0.28309438 - X2) * pdiv(5.7975235, X1)))))))
8,89812,0.0005816632131058545,0.001812835054089652,26.686,(abs((abs((-1.0033693 - (abs((log(abs(pdiv(log(abs(-1.9297538), X1)) - (X1 - (-5.383837 * -4.177445)))) ^ -0.18035622))) ^ 1.290305)) ^ log(abs(((exp(0.7733903) + pdiv(0.48781338, ((log(abs(pdiv(X1, X2)) * -1.1797177) + pdiv(X2, 0.6010897)))) + (-1.0547727 * exp(((-0.95038 - X2) * pdiv(6.5912056, X1)))))))
9,109865,0.0004327701582702617,0.0007100714329103284,30.588,(abs((abs((pdiv(pdiv(X2, -0.020778697), X2) - (abs(((1.2140071 - X2) * pdiv(8.20331, X1))) ^ (X2 * -0.27592614)))) ^ 1.290305)) ^ log(abs(((exp(0.7568512) + pdiv(0.50925505, ((-1.6645558 * 1.767068) + pdiv(X2, 0.9644463)))) + (-1.0575709 * exp(((3.150497 - X2) * pdiv(14.535628, X1)))))))
10,132448,0.0004269428746291231,0.0006828564734436593,34.32,(abs((abs((pdiv(pdiv(X2, -0.020778697), X2) - (abs(((1.2140071 - X2) * pdiv(8.20331, X1))) ^ (X2 * -0.27592614)))) ^ 1.290305)) ^ log(abs(((exp(0.76494485) + pdiv(0.42619002, ((-1.6964535 * 1.7971593) + pdiv(X2, 0.9697098)))) + (-1.0513346 * exp(((3.1540685 - X2) * pdiv(14.841387, X1)))))))
11,156263,0.0004210242143738267,0.0006941032552697245,37.902,(abs((abs((pdiv(pdiv(X2, -0.020778697), X2) - (abs(((1.2140071 - (-3.110396 + (X1 * 2.3618555))) * pdiv(8.20331, 3.1540685))) ^ (X2 * -0.27592614)))) ^ 1.290305)) ^ log(abs(((exp(0.74706286) + pdiv(0.542142, ((-1.6569927 * 1.7598072) + pdiv(X2, 0.9588867)))) + (-1.0460324 * exp(((3.1625154 - X2) * pdiv(15.04445, X1)))))))
12,183237,0.00038126031471404743,0.0008102476260163535,40.362,((exp(-0.2303859) + pdiv(0.252409, ((-1.839586 * 1.9309162) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(X2), 1.5524622) + 10.251448))), ((-0.4817638 * 0.41765112) + (X1 * 1.0607435))) - X2) * pdiv(5.325959, X1))))))) + (-0.70083845 * exp(((1.8423195 - X2) * pdiv(14.65433, X1)))))
13,209167,0.000356490724720293,0.0007708922378758948,40.834,((exp(-0.23574942) + pdiv(0.21748476, ((-1.848948 * 1.9397469) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(X2), 1.5335304) + 10.285693))), ((-0.48589078 * 0.42241105) + (X1 * 0.694474))) - X2) * pdiv(4.4317403, X1))))))) + (-0.6819 * exp(((1.8093344 - X2) * pdiv(14.2997265, X1)))))
14,235701,0.00034555634419200574,0.000733915091248211,40.95,((0.80040425 + pdiv(0.2213278, ((-1.8213907 * 1.9067801) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(X2), 1.5413288) + 10.270924))), ((-0.48446962 * 0.42077154) + (X1 * 0.8509068))) - X2) * pdiv(X2, X1))))))) + (-0.6783768 * exp(((1.9987967 - X2) * pdiv(14.46975, X1)))))
15,262963,0.0003419198432233951,0.00073609035647865,41.424,((0.80023605 + pdiv(0.24413198, ((-1.8117875 * 1.8975779) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(X2), 1.5638573) + 10.222579))), ((-0.4608894 * 0.39362088) + (X1 * 1.4879122))) - X2) * pdiv(X2, X1))))))) + (-0.69104534 * exp(((2.1023736 - X2) * pdiv(15.226004, X1)))))
16,283986,0.00033985057721813694,0.0007414097435615355,40.894,((0.7985923 + pdiv(0.2517194, ((-1.8080372 * 1.8939822) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(X2), 1.5103457) + 10.308197))), ((-0.4737736 * 0.40870652) + (X1 * 0.8386103))) - X2) * pdiv(X2, X1))))))) + (-0.69264525 * exp(((2.1884284 - X2) * pdiv(15.667222, X1)))))
17,305158,0.0003387125117207609,0.0007202412493458613,40.75,((0.79652286 + pdiv(0.24685249, ((-1.8104352 * 1.8962706) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(((3.4489396 - X2) * pdiv(19.869144, X1))), 1.5047106) + 10.322168))), ((-0.47715107 * 0.41262144) + (X1 * 0.653663))) - X2) * pdiv(X2, X1))))))) + (-0.68778104 * exp(((2.1962962 - X2) * pdiv(15.713866, X1)))))
18,324651,0.0003344994918120274,0.0006912356921878864,39.826,((0.7903123 + pdiv(0.254304, ((-1.809086 * 1.8949721) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(((3.771488 - X2) * pdiv(19.869314, X1))), 1.4121921) + 10.32725))), ((-0.45689756 * 0.38919574) + (X1 * 0.37665477))) - X2) * pdiv(X2, X1))))))) + (-0.684365 * exp(((2.3388386 - X2) * pdiv(16.468864, X1)))))
19,346629,0.00033120892153006395,0.0007006027518913217,39.086,((0.79043657 + pdiv(0.26951328, ((-1.7981173 * 1.8845007) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(((3.769991 - X2) * pdiv(1.2906119, X1))), 1.4132179) + 10.327808))), ((-0.45710018 * 0.3894336) + (X1 * 0.36488315))) - X2) * pdiv(X2, X1))))))) + (-0.6907018 * exp(((2.3159516 - X2) * pdiv(16.47147, X1)))))
20,370028,0.000330855072489018,0.0006917809469075652,39.328,((0.7885007 + pdiv(0.26076463, ((-1.801166 * 1.8874091) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(((3.769994 - X2) * 0.6927436)), 1.4120986) + 10.327359))), ((-0.45684108 * 0.38912946) + (X1 * 0.37355348))) - X2) * pdiv(X2, X1))))))) + (-0.68416053 * exp(((2.3230312 - X2) * pdiv(16.471498, X1)))))
21,392313,0.00033081668298800876,0.0006877680315446664,39.406,((0.78827304 + pdiv(0.2604735, ((-1.8015239 * 1.8877506) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(((3.7699897 - X2) * 0.69270957)), 1.4120154) + 10.327326))), ((-0.45681882 * 0.38910332) + (X1 * 0.37418643))) - X2) * pdiv(X2, X1))))))) + (-0.68373954 * exp(((2.3233368 - X2) * pdiv(16.471544, X1)))))
22,415604,0.00032256103839046715,0.000733958718592858,38.992,((0.79311126 + pdiv(0.2642913, ((-1.8165079 * 1.9020275) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(((3.6299987 - X2) * 10.305928)), pdiv(19.86867, X1)) + 10.317998))), ((-0.44912395 * 0.38005155) + (X1 * 0.57648826))) - X2) * pdiv(X2, X1))))))) + (-0.6982258 * exp(((2.3260608 - X2) * pdiv(16.494247, X1)))))
23,439658,0.0003115925996837494,0.0007916420840206106,39.764,((0.7975824 + pdiv(0.21619882, ((-1.856961 * 1.9406619) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(((3.6300004 - X2) * 10.305972)), pdiv(19.868748, X1)) + 10.31795))), ((-0.4490441 * 0.3799572) + (X1 * 0.580061))) - X2) * pdiv(X2, X1))))))) + (-0.68758196 * exp(((2.3340955 - X2) * pdiv(16.49491, X1)))))
24,467450,0.00030839431664580634,0.0007920225734269238,40.548,((0.79803365 + pdiv(0.21641283, ((-1.8570582 * 1.9407549) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(((3.63 - X2) * 10.305972)), pdiv(19.868748, X1)) + 10.317951))), ((-0.44904426 * 0.37995735) + (X1 * 0.58004963))) - X2) * pdiv(X2, X1))))))) + (-0.68724036 * exp(((2.3340428 - X2) * pdiv(16.494917, X1)))))
25,492569,0.0003082396083726519,0.000790176566160544,39.904,((0.7973453 + pdiv(0.21636805, ((-1.8575838 * 1.9412577) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(((3.6299999 - X2) * 10.305974)), pdiv(19.868748, X1)) + 10.317958))), ((-0.44904494 * 0.37995815) + (X1 * 0.57996935))) - X2) * pdiv(X2, X1))))))) + (-0.6866216 * exp(((2.3337054 - X2) * pdiv(16.494957, X1)))))
26,516697,0.00030823826139122584,0.0007901762960524659,39.3,((0.79734534 + pdiv(0.21636805, ((-1.8575838 * 1.9412577) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(((3.63 - X2) * 10.305974)), pdiv(19.868748, X1)) + 10.317958))), ((-0.44904494 * 0.37995815) + (X1 * 0.57996935))) - X2) * pdiv(X2, X1))))))) + (-0.68662155 * exp(((2.3337054 - X2) * pdiv(16.494957, X1)))))
27,539349,0.0003081894559962406,0.0007905475356344477,38.714,((0.79750377 + pdiv(0.21638285, ((-1.8576207 * 1.941293) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(((3.63 - X2) * 10.305974)), pdiv(19.868748, X1)) + 10.317959))), ((-0.4490451 * 0.37995833) + (X1 * 0.5799587))) - X2) * pdiv(X2, X1))))))) + (-0.6865324 * exp(((2.333664 - X2) * pdiv(16.494963, X1)))))
28,564327,0.0003081524332705468,0.000790666517588133,38.654,((0.79744995 + pdiv(0.21606895, ((-1.8577281 * 1.9413958) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(((3.63 - X2) * 10.305975)), pdiv(19.868748, X1)) + 10.317963))), ((-0.44904578 * 0.37995914) + (X1 * 0.5799082))) - X2) * pdiv(X2, X1))))))) + (-0.6865674 * exp(((2.3334792 - X2) * pdiv(16.494986, X1)))))
29,591424,0.00030811613674740153,0.0007909753308536433,39.274,((0.7975701 + pdiv(0.21607475, ((-1.8577671 * 1.9414331) + pdiv(X2, exp(((pdiv(log(abs(exp((pdiv(log(abs(((3.63 - X2) * 10.305975)), pdiv(19.868748, X1)) + 10.317964))), ((-0.44904593 * 0.37995932) + (X1 * 0.5798974))) - X2) * pdiv(X2, X1))))))) + (-0.6864888 * exp(((2.3334374 - X2) * pdiv(16.494991, X1)))))
