-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=5
----------------------------------
gen,fevals,mse_train,mse_test,avg_len,best_expr
1,6823,0.0015135245536449322,0.001719465021416186,7.456,(abs(X1) ^ (-0.028698845 * (pdiv(X2, log(abs(X1)) + log(abs((X1 + -9.901624)))))
2,13093,0.0012121021482244376,0.0014317266183615112,8.04,(abs(pdiv(-2.6826274, (pdiv((-0.51897043 * X1), X2) - pdiv(log(abs(0.4292622), pdiv(-2.3164062, X1))))) ^ 0.26827884)
3,21463,0.0012121021441107859,0.0014317055235955622,9.998,(abs(pdiv(-2.6826012, (pdiv((-0.51913375 * X1), X2) - pdiv(log(abs(0.42930174), pdiv(-2.3164124, X1))))) ^ 0.26827833)
4,32401,0.001212102144110789,0.0014317055235955622,12.888,(abs(pdiv(-2.6826012, (pdiv((-0.51913375 * X1), X2) - pdiv(log(abs(0.42930174), pdiv(-2.3164124, X1))))) ^ 0.26827833)
5,45889,0.001173133920041287,0.03598287581130453,15.894,(abs(-218.53783) ^ (-0.036180053 * (pdiv(X2, (((X1 * 1.1652086) * pdiv(-0.8593504, -2.8016613)) * -0.79674053)) + log(abs((X1 + -27.68562)))))
6,60803,0.0010346671683029837,0.001272100189309111,17.818,(abs(pdiv(-2.6786666, (pdiv((-2.6049197 * (pdiv(pdiv(X1, (0.55104977 - pdiv(((pdiv((-1.3680123 * X1), -4.2450747) - pdiv(log(abs(X2), pdiv(-2.767621, -5.5604105))) + -12.849431), (X1 + 40.541996)))), X2) - X1)), X2) - pdiv(log(abs(-6.7197433), pdiv(-3.3071969, (X2 + ((-1.5959282 * 2.0776732) - 1.9936771))))))) ^ 0.34039837)
7,76233,0.0008462389465540978,0.001041494754187319,19.516,(abs(pdiv(-3.254252, (pdiv((-2.4823596 * (pdiv(pdiv(X1, (0.38697296 - pdiv(((pdiv((-0.673264 * X1), -4.466269) - pdiv(log(abs(X2), pdiv(-2.8475463, -5.520603))) + -12.772553), (X1 + 40.517296)))), X2) - X1)), X2) - pdiv(log(abs(-6.6244946), pdiv(-3.6752043, (X2 + ((-0.75589955 * 1.4323308) - 1.5894449))))))) ^ 0.38083923)
8,91108,0.0006050866346145529,0.0007406205757315985,22.462,(abs(pdiv(-3.3843353, (pdiv((-2.251284 * (pdiv(pdiv(X1, (0.38165584 - pdiv(((pdiv((-0.83656394 * X1), -4.4160542) - pdiv(log(abs(X2), log(abs(-2.3591013))) + -12.781627), (X1 + pdiv(X1, pdiv(-2.4544728, -0.8548807)))))), X2) - X1)), X2) - pdiv(log(abs(-6.6340537), pdiv(-3.6340008, (X2 + ((-1.1045973 * 1.6815228) - 1.7740188))))))) ^ 0.43669033)
9,108693,0.0005561037602791331,0.0005735913316839858,29.35,(abs(pdiv(-3.501003, (pdiv((-2.0604067 * (pdiv(pdiv(X1, (0.4478166 - pdiv(((pdiv((-0.9127241 * X1), -4.393343) - pdiv(log(abs(X2), pdiv((8.455407 * X1), -5.560027))) + -12.783135), (X1 + -5.6344514)))), X2) - X1)), X2) - pdiv(log(abs(-6.6354704), (-3.6443272 + (X2 + ((-1.2393107 * 1.7849194) - 1.8395954))))))) ^ 0.45083502)
10,128391,0.0005300290236428995,0.0006074990665663559,31.96,(abs(pdiv(-3.9120848, (pdiv((-2.0430696 * (pdiv(pdiv(X1, (0.41634113 - pdiv(((pdiv((-0.78886336 * X1), -4.448728) - pdiv(log(abs(X2), pdiv(-29.666452, 0.2651101))) + -12.773623), (X1 + (-4.5450907 * log(abs(-4.1401896)))))), X2) - X1)), X2) - pdiv(log(abs(-6.5253706), pdiv(-4.0045185, (X2 + ((-0.62250644 * 1.3417102) - 1.5072359))))))) ^ 0.47933033)
11,150551,0.0005234396418555917,0.0006037473745228408,36.098,(abs(pdiv(-3.9421458, (pdiv((-1.8942455 * (pdiv(pdiv(X1, (0.44238007 - pdiv(((pdiv((-0.8995536 * X1), -4.429644) - pdiv(log(abs(X2), pdiv(-29.666393, 0.2717592))) + -12.693175), (X1 + (-4.6452246 * log(abs(-4.217558)))))), X2) - X1)), X2) - pdiv(log(abs(-6.540538), pdiv(-3.9582415, (X2 + ((-0.32133567 * 1.2017288) - 1.2828773))))))) ^ 0.49752954)
12,175558,0.0004993241811034529,0.0004108186873765466,38.004,(abs(pdiv(-4.0416884, (pdiv((-2.8937263 * (pdiv(pdiv(X1, (-0.4628484 - pdiv(((pdiv((X2 * X1), -6.0513177) - pdiv(log(abs(X2), 0.2596192)) + -13.847326), (X1 + (-5.544642 * log(abs(-4.425754)))))), X2) - X1)), X2) - pdiv(log(abs(-6.3280272), pdiv(-4.608773, (X2 + ((-1.4097096 * 1.715394) - 2.0970283))))))) ^ 0.33869782)
13,202707,0.0004758688136946585,0.0004802699736762879,40.11,(abs(pdiv(-3.9230223, (pdiv((-2.0116305 * (pdiv(pdiv(X1, (0.46853054 - pdiv(((pdiv((-0.8635023 * X1), -4.4363) - pdiv(log(abs(X2), pdiv(-29.6664, 0.27082336))) + -12.714488), (X1 + -6.597205)))), X2) - X1)), X2) - pdiv(log(abs(-6.530795), pdiv(-3.9886951, (X2 + ((0.024440318 * (-5.5246735 * X1)) - 1.28166))))))) ^ 0.5602684)
14,229817,0.00045823917125486266,0.00045765619737269184,39.714,(abs(pdiv(-3.8484344, (pdiv((-2.0904248 * (pdiv(pdiv(X1, (0.4867409 - pdiv(((pdiv((-0.8540584 * X1), -4.4381347) - pdiv(log(abs(X2), pdiv(-29.666403, 0.2706827))) + -12.718079), (X1 + -6.599863)))), X2) - X1)), X2) - pdiv(log(abs(-6.541746), pdiv(-3.955041, (X2 + ((0.03635899 * (-5.5246716 * X1)) - 1.2509727))))))) ^ 0.5930514)
15,255827,0.00044490394658444886,0.0004355914534354586,39.67,(abs(pdiv(-3.7621417, (pdiv((-1.9675162 * (pdiv(pdiv(X1, (0.50200534 - pdiv(((pdiv((-0.89278793 * X1), -4.4306784) - pdiv(log(abs(log(abs(-6.493116)), pdiv(-29.666397, 0.2712814))) + -12.689721), (X1 + -6.5881577)))), X2) - X1)), X2) - pdiv(log(abs(-6.5896573), pdiv(-3.8060858, (X2 + ((0.036657304 * (-5.524637 * X1)) - 1.1892864))))))) ^ 0.6339086)
16,281896,0.0004354898066975724,0.0004401682875562642,39.224,(abs(pdiv(-3.7160978, (pdiv((-1.9686723 * (pdiv(pdiv(X1, (0.51406693 - pdiv(((pdiv((-0.8943244 * X1), -4.430366) - pdiv(log(abs(log(abs(-6.4931183)), pdiv(-29.666397, 0.27134186))) + -12.686857), (X1 + -6.586062)))), X2) - X1)), X2) - pdiv(log(abs(-6.603417), pdiv(-3.7611177, (X2 + ((0.040743526 * (-5.524621 * X1)) - 1.166855))))))) ^ 0.6593397)
