-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=5
----------------------------------
gen,fevals,mse_train,mse_test,avg_len,best_expr
1,6457,0.0012695584794895005,0.0026599453471276464,7.136,(exp(exp((0.011056011 * (X2 - X1)))) * 0.31363046)
2,12021,0.0012362845084593207,0.001449363857663066,7.124,(abs((X1 * log(abs(log(abs(-2.299667)))) ^ -0.2636926)
3,18709,0.0012170549709299143,0.0019008486597119417,7.484,(pdiv(28.471823, (X1 - -40.278954)) + 0.2534981)
4,26878,0.00121674034446178,0.0019069403273234017,10.146,(pdiv(28.731207, (X1 - -40.678677)) + 0.25210634)
5,35660,0.0012167403444618328,0.0019069403273234017,11.326,(pdiv(28.731207, (X1 - -40.678677)) + 0.25210634)
6,46249,0.0012167403444618328,0.0019069403273234017,12.398,(pdiv(28.731207, (X1 - -40.678677)) + 0.25210634)
7,56771,0.0012167403444618328,0.0019069403273234017,13.288,(pdiv(28.731207, (X1 - -40.678677)) + 0.25210634)
8,67106,0.001212251388086083,0.0017351047984644887,13.204,(pdiv(pdiv(313.84534, log(abs((44.953354 * X1))), (X1 - -77.9259)) + 0.24945217)
9,79189,0.0010912268363401708,0.0016273531963407483,14.556,((log(abs((pdiv((X1 * log(abs(log(abs(-5.539186))), (X1 - -40.4378)) + 1.2288615)) * (-2.54966 + pdiv(pdiv(-5768.8784, X1), (pdiv(-8163.07, X1) + (exp(exp((6.331867 * -0.37500402))) - (-1.5095711 + X2)))))) + 1.3520823)
10,90562,0.0010476160067478986,0.0017029588547278224,15.736,((log(abs((pdiv((X1 * log(abs(log(abs(-5.6565366))), (X1 - -40.38153)) + 1.231394)) * (-2.6024432 + pdiv(pdiv(-5768.8784, X1), (pdiv(-8163.07, X1) + (exp(exp((6.313505 * -0.06585958))) - (-1.986557 + X2)))))) + 1.3808275)
11,101784,0.0010072737925359812,0.0016770895103933269,18.388,((log(abs((pdiv((X1 * log(abs(log(abs(-5.899494))), (X1 - -40.4133)) + 1.5485607)) * (-2.8942819 + pdiv(pdiv(-5768.8784, X1), (pdiv(-8163.0693, X1) + (exp(exp((6.311222 * -0.054559335))) - (-2.0027127 + X2)))))) + 1.9352375)
12,113067,0.0009861433073539217,0.0017362244062902419,21.642,((log(abs((pdiv((X1 * log(abs(log(abs(-6.062009))), (X1 - -40.432903)) + 1.7006592)) * (-3.068922 + pdiv(pdiv(-5768.8784, X1), (pdiv(-8163.069, X1) + (exp(exp((6.307477 * -0.016272414))) - (-2.028866 + X2)))))) + 2.233807)
13,124710,0.0009674846821468297,0.0016621637753009364,25.74,((log(abs((pdiv(((X1 + -1.4700772) * log(abs(log(abs(-6.2411003))), (X1 - -40.46378)) + 1.9823647)) * (-3.1769698 + pdiv(pdiv(-5768.879, X1), (pdiv(-8163.0684, X1) + (exp(exp((6.3069263 * -0.033717677))) - (-2.0305035 + X2)))))) + 2.6363156)
14,135846,0.0009445610824112153,0.0016318548734862545,27.342,((log(abs((pdiv(((X1 + -1.5500368) * log(abs(log(abs(-6.7736244))), (X1 - -40.54501)) + 2.5513096)) * (-3.5684817 + pdiv(pdiv(-5768.88, X1), (pdiv(-8163.067, X1) + (exp(exp((6.303743 * -0.023050416))) - (-2.0488732 + X2)))))) + 3.6197045)
15,149573,0.0009212006278266631,0.0016893789630048803,27.176,((log(abs((pdiv(((X1 + -1.609184) * log(abs(log(abs(-7.0876665))), (X1 - -40.59797)) + 2.8038692)) * (-3.8015776 + pdiv(pdiv(-5768.881, X1), (pdiv(-8163.0654, X1) + (exp(exp((6.3033657 * -0.00069804274))) - (-2.052024 + X2)))))) + 4.130852)
16,166323,0.0009134193749451156,0.0016829550591128848,29.722,((log(abs((pdiv(((X1 + -1.6778405) * log(abs(log(abs(-7.420705))), (X1 - -40.66086)) + 3.1210208)) * (-3.9986742 + pdiv(pdiv(-5768.8823, X1), (pdiv(-8163.0635, X1) + (exp(exp((6.3033514 * -0.00082127366))) - (-2.052084 + X2)))))) + 4.6848073)
17,183959,0.0009092885711042582,0.0017164991046090918,31.444,((log(abs((pdiv(((X1 + -1.7355016) * log(abs(log(abs(-7.6701))), (X1 - -40.707832)) + 3.3246076)) * (-4.150375 + pdiv(pdiv(-5768.8833, X1), (pdiv(-8163.062, X1) + (exp(exp((6.303414 * 0.004021736))) - (-2.052081 + X2)))))) + 5.0766306)
18,203108,0.0009068340392861216,0.0016902198406990917,34.57,((log(abs((pdiv(((X1 + -1.8300167) * log(abs(log(abs(-8.053634))), (X1 - -40.78092)) + 3.6819658)) * (-4.3390875 + pdiv(pdiv(-5768.8853, X1), (pdiv(-8163.059, X1) + (exp(exp((6.303247 * 0.0038759606))) - (-2.0528145 + X2)))))) + 5.6690907)
19,221339,0.0009057746379132236,0.001709908429868235,34.326,((log(abs((pdiv(((X1 + -1.9181553) * log(abs(log(abs(-8.370239))), (X1 - -40.82029)) + 3.9052355)) * (-4.4701567 + pdiv(pdiv(-5768.8867, X1), (pdiv(-8163.056, X1) + (exp(exp((6.3000927 * 0.005967343))) - (-2.0668962 + X2)))))) + 6.0615654)
20,239710,0.0009057162645223396,0.0017052522120408623,34.634,((log(abs((pdiv(((X1 + -2.010794) * log(abs(log(abs(-8.668391))), (X1 - -40.756474)) + 3.954133)) * (-4.426615 + pdiv(pdiv(-5768.8887, X1), (pdiv(-8163.0513, X1) + (exp(exp((6.3000927 * 0.005549875))) - (-2.0668728 + X2)))))) + 6.0470285)
21,263315,0.0009055910030687859,0.0016618098698052784,34.606,((log(abs((pdiv(((X1 + -1.9144819) * log(abs(log(abs(-8.361457))), (X1 - -40.81653)) + 3.9541042)) * (-4.4360824 + pdiv(pdiv(-5768.8867, X1), (pdiv(-8163.056, X1) + (exp(exp((-0.64299446 * pdiv(-17.076216, X1)))) - (-2.111539 + X2)))))) + 6.0484905)
22,291133,0.0007000044438171347,0.0012926307348688118,36.538,((log(abs((pdiv(((X1 + -1.7934514) * log(abs(log(abs(X1))), (X1 - -40.6561)) + X1)) * (-0.88103557 + pdiv(pdiv(-5768.885, X1), (pdiv(-8163.0596, X1) + pdiv(exp(exp((6.291859 * -0.7372231))), (-3.1250606 + X2)))))) + 1.2406464)
23,321751,0.0006979634028425769,0.001284309265106423,37.546,((log(abs((pdiv(((X1 + log(abs((pdiv(((X1 + -1.964191) * log(abs(log(abs(-8.605907))), (X1 - -40.269394)) + 3.8500829))) * log(abs(log(abs(X1))), (X1 - -40.65516)) + X1)) * (-0.88113916 + pdiv(pdiv(-5768.883, X1), (pdiv(-8163.0625, X1) + pdiv(exp(exp((6.3764715 * -1.4542841))), (-3.1383636 + X2)))))) + 1.2414151)
24,351628,0.0006880473241345436,0.0012292565521232618,38.416,((log(abs((pdiv(((X1 + log(abs((pdiv(((X1 + -2.278243) * log(abs(X1)), (X1 - -40.01482)) + -0.6205813))) * log(abs(log(abs(X1))), (X1 - -4.1241765)) + X1)) * (-0.8602888 + pdiv(pdiv(-5682.983, X1), (pdiv(-8285.933, X1) + pdiv(exp(exp((75.654594 * -305.20065))), (-3.1865833 + X2)))))) + 1.2434314)
25,379812,0.0005893634892488557,0.0011403758168609304,36.634,((log(abs((pdiv(((X1 + log(abs((pdiv(((X1 + -1.6824602) * log(abs(log(abs(-9.307744))), (X1 - -40.12566)) + 32.25651))) * log(abs(log(abs(X1))), X2) + X1)) * (-0.8625309 + pdiv(pdiv(-5699.9663, X1), (pdiv(-8261.6, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.214946 + X2)))))) + 1.2745693)
26,408057,0.0005467289354493984,0.000992201584276245,37.27,((log(abs((pdiv(((X1 + log(abs((pdiv(((X1 + 7.3564787) * log(abs(log(abs(-17.320484))), (X1 - -37.608818)) + 669.60864))) * log(abs(log(abs(X1))), X2) + X1)) * (-0.78828144 + pdiv(pdiv(-5386.543, X1), (pdiv(-8702.92, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.3172681 + X2)))))) + 1.2662458)
27,434935,0.0005329738043933629,0.00093678367661429,37.97,((log(abs((pdiv(((X1 + log(abs((pdiv(((X1 + 7.5185337) * log(abs(log(abs(-17.500935))), (X1 - -37.496666)) + 683.2003))) * log(abs(log(abs(X1))), X2) + X1)) * (-0.7543078 + pdiv(pdiv(-5218.754, X1), (pdiv(-8914.319, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.3863885 + X2)))))) + 1.2657619)
28,463038,0.0005222102940477666,0.0008476202202371702,38.662,((((log(abs(pdiv((pdiv(-6.1739507, X1) * X2), X1)) * -0.5809717) + 0.05820346) * (-0.8279647 + pdiv(pdiv(-5678.4995, X1), (pdiv(-8291.238, X1) + pdiv(exp(exp((pdiv(-8163.044, X1) + -5420.776))), (-3.325933 + X2)))))) + 0.9314765)
29,487731,0.000369829602003812,0.00043738569952378367,38.706,((log(abs((pdiv(((X1 + (log(abs(X1) * 94.040276)) * log(abs(log(abs(X1))), X2) + X1)) * (-0.8463324 + pdiv(pdiv(-5301.6465, X1), (pdiv(-8805.105, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.4154665 + X2)))))) + 1.8010674)
30,513190,0.0003551145989789108,0.0006196514459977427,38.92,((((log(abs(pdiv((1.3478981 * X2), X1)) * -1.032817) + 0.15153418) * (-0.8518266 + pdiv(pdiv(-5678.4995, X1), (pdiv(-8291.238, X1) + pdiv(exp((X1 - X1)), (-3.4795182 + X2)))))) + 0.93339926)
31,535440,0.0003457782091476981,0.0006159751869554439,39.17,((((log(abs(pdiv((1.1728262 * X2), X1)) * -1.0463711) + 0.3770038) * (-0.8529818 + pdiv(pdiv(-5678.4995, X1), (pdiv(-8291.238, X1) + pdiv(exp(exp((pdiv(-8163.044, X1) + -5420.776))), (-3.4678743 + X2)))))) + exp(exp((60.455307 * -238.56017))))
32,557682,0.00034504304898426706,0.0005971456546129167,38.996,((((log(abs(pdiv((1.0307645 * X2), X1)) * -0.9655258) + 0.5338487) * (-0.8662981 + pdiv(pdiv(-5678.4995, X1), (pdiv(-8291.238, X1) + pdiv(exp((X1 - X1)), (-3.4705498 + X2)))))) + 1.0541333)
33,580798,0.0003440807970267464,0.0006071635240429286,38.612,((((log(abs(pdiv((1.0145222 * X2), X1)) * -0.99084413) + 0.55084956) * (-0.8628062 + pdiv(pdiv(-5678.4995, X1), (pdiv(-8291.238, X1) + pdiv(exp((X1 - X1)), (-3.4643996 + X2)))))) + 1.060177)
34,602328,0.0003374685953664265,0.0005576818838453049,38.908,((log(abs((pdiv((-226.13718 * X1), X2) + X1)) * (-0.6225326 + pdiv(pdiv(-4377.1265, X1), (pdiv(-9843.338, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.4404724 + X2)))))) + 1.9244223)
35,624064,0.0003365530494134329,0.0005649146384979561,39.282,((log(abs((pdiv((-278.5116 * X1), X2) + X1)) * (-0.6274283 + pdiv(pdiv(-4404.1626, X1), (pdiv(-9818.692, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.4323328 + X2)))))) + 1.9694817)
36,645354,0.0003365485043737341,0.0005653492284389434,38.302,((log(abs((pdiv((-278.5116 * X1), X2) + X1)) * (-0.62747365 + pdiv(pdiv(-4404.1626, X1), (pdiv(-9818.692, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.432507 + X2)))))) + 1.9698142)
37,666544,0.0003356432611220533,0.0005705383669837878,38.488,((log(abs((pdiv((-278.47427 * X1), X2) + log(abs((pdiv(((X1 + log(abs(((-3.450978 + X2) + 58.848763))) * log(abs(X2)), -2.253208) + X1)))) * (-0.6275394 + pdiv(pdiv(-4404.125, X1), (pdiv(-9818.729, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.4311128 + X2)))))) + 1.9735955)
38,687786,0.00033509618164317105,0.0005700579798731386,38.412,((log(abs((pdiv((-278.47427 * X1), X2) + log(abs((pdiv(((X1 + log(abs(((-3.4509768 + X2) + 58.848763))) * log(abs(X2)), -2.2525644) + X1)))) * (-0.62749976 + pdiv(pdiv(-4404.125, X1), (pdiv(-9818.729, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.4310942 + X2)))))) + 1.9732327)
39,708149,0.00033461218538720957,0.0005700579798731386,39.192,((log(abs((pdiv((-278.47427 * X1), X2) + log(abs((pdiv(((X1 + log(abs(((-3.4509768 + X2) + 58.848763))) * log(abs(X2)), -2.2525644) + X1)))) * (-0.62749976 + pdiv(pdiv(-4404.125, X1), (pdiv(-9818.729, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.4310942 + X2)))))) + 1.9732327)
40,729332,0.00033461218538720957,0.0005700579798731386,39.694,((log(abs((pdiv((-278.47427 * X1), X2) + log(abs((pdiv(((X1 + log(abs(((-3.4509768 + X2) + 58.848763))) * log(abs(X2)), -2.2525644) + X1)))) * (-0.62749976 + pdiv(pdiv(-4404.125, X1), (pdiv(-9818.729, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.4310942 + X2)))))) + 1.9732327)
41,749808,0.00033461218538720957,0.0005700579798731386,39.494,((log(abs((pdiv((-278.47427 * X1), X2) + log(abs((pdiv(((X1 + log(abs(((-3.4509768 + X2) + 58.848763))) * log(abs(X2)), -2.2525644) + X1)))) * (-0.62749976 + pdiv(pdiv(-4404.125, X1), (pdiv(-9818.729, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.4310942 + X2)))))) + 1.9732327)
42,769593,0.0003339588698818926,0.0005769258026890302,38.57,((log(abs((pdiv((-270.54352 * X1), X2) + pdiv((pdiv((-79.47682 - X1), X2) * -2.8863268), pdiv(X1, X1)))) * (-0.6230731 + pdiv(pdiv(-4395.989, X1), (pdiv(-9826.468, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.4309025 + X2)))))) + 1.9354467)
43,790739,0.00033207412046648295,0.0005691366578222866,37.82,((log(abs((pdiv((-197.1274 * X1), X2) + pdiv((pdiv((-76.83019 - X1), X2) * -3.4257703), pdiv(X1, X1)))) * (-0.612041 + pdiv(pdiv(-4343.1963, X1), (pdiv(-9875.087, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.4430308 + X2)))))) + 1.8506862)
44,810152,0.0003320720814517184,0.0005686803082503353,37.59,((log(abs((pdiv((-197.12383 * X1), X2) + pdiv((pdiv((-76.82921 - X1), X2) * -3.4073045), pdiv(X1, X1)))) * (-0.6120406 + pdiv(pdiv(-4343.194, X1), (pdiv(-9875.089, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.4430819 + X2)))))) + 1.850714)
45,830401,0.0003320720816532367,0.0005686803082503353,38.194,((log(abs((pdiv((-197.12383 * X1), X2) + pdiv((pdiv((-76.82921 - X1), X2) * -3.4073045), pdiv(X1, X1)))) * (-0.6120406 + pdiv(pdiv(-4343.194, X1), (pdiv(-9875.089, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.4430819 + X2)))))) + 1.850714)
46,851569,0.0003299764667793637,0.0006569506822858533,39.07,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp((60.455307 * -238.56017))), (-3.433349 + X2))))) * log(abs(X1)), X2) + 1.099811)) * (-0.69275516 + pdiv(pdiv(-5030.2275, X1), (pdiv(-9124.779, X1) + pdiv(exp(exp((60.455307 * pdiv(-4396.1875, X1)))), (-3.4695177 + X2)))))) + 1.0763593)
47,874852,0.0003270315870833266,0.0006549897753224831,39.506,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv((pdiv((-9929.012 - X1), X1) * -238.56451), pdiv(((-8107.218 + X1) + -8044.9185), 1.6496984))))) * log(abs(X1)), X2) + -0.073117815)) * (-0.6935826 + pdiv(pdiv(-5030.1025, X1), (pdiv(-9124.931, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.4726903 + X2)))))) + 1.0783298)
48,896694,0.0003253012773436956,0.0006549897766142988,40.162,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv((pdiv((-9929.012 - X1), X1) * -238.56451), pdiv(((-8107.218 + X1) + -8044.9185), 1.6496986))))) * log(abs(X1)), X2) + -0.073117815)) * (-0.6935826 + pdiv(pdiv(-5030.1025, X1), (pdiv(-9124.931, X1) + pdiv(exp(exp((60.455307 * -238.56017))), (-3.4726903 + X2)))))) + 1.0783298)
49,919394,0.00032265785738726536,0.00044052140937170486,40.586,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp((X2 * -238.56017))), (-3.405164 + X2))))) * log(abs(X1)), X2) + -2.0944386)) * (-0.6664216 + pdiv(pdiv(-5030.231, X1), (pdiv(-9124.775, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.155573 + X2)), (-3.2722569 + X2)))))) + 0.96847206)
50,941722,0.0003171353353708233,0.00042792814299222743,40.918,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp((X2 * -238.56017))), (-3.3994498 + X2))))) * log(abs(X1)), X2) + -2.0947204)) * (-0.6667238 + pdiv(pdiv(-5030.231, X1), (pdiv(-9124.775, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.2261245 + X2)), (-3.2320447 + X2)))))) + 0.96862656)
51,961879,0.0003170945533407423,0.00042990641472968454,41.42,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp((X2 * -238.56017))), (-3.3995187 + X2))))) * log(abs(X1)), X2) + -2.085056)) * (-0.6667482 + pdiv(pdiv(-5030.232, X1), (pdiv(-9124.774, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.2276132 + X2)), (-3.2276123 + X2)))))) + 0.9688185)
52,984401,0.0003094488713434727,0.00042666687189867514,40.556,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp((X2 * -238.56017))), (-3.399799 + X2))))) * log(abs(X1)), X2) + -1.8945075)) * (-0.7034028 + pdiv(pdiv(-5225.446, X1), (pdiv(-8907.772, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.20803 + X2)), (-3.1997254 + X2)))))) + 0.97547317)
53,1006467,0.00030767553997964583,0.0004298943675885524,40.116,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp((X2 * -238.56017))), (-3.3996227 + X2))))) * log(abs(X1)), X2) + -1.8963317)) * (-0.7037487 + pdiv(pdiv(-5225.4473, X1), (pdiv(-8907.7705, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.2071872 + X2)), (-3.2071846 + X2)))))) + 0.9755338)
54,1027451,0.00030157081282637617,0.0004251544271098787,40.674,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp((X2 * -238.56017))), (-3.3996272 + X2))))) * log(abs(X1)), X2) + -1.6781936)) * (-0.74475586 + pdiv(pdiv(-5426.761, X1), (pdiv(-8669.954, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1857767 + X2)), (-3.1865933 + X2)))))) + 0.98298395)
55,1048219,0.0003009368032547919,0.0004334785714216778,40.812,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp((X2 * -238.56017))), (-3.399734 + X2))))) * log(abs(X1)), X2) + -1.6815505)) * (-0.74489325 + pdiv(pdiv(-5426.7617, X1), (pdiv(-8669.954, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1832845 + X2)), (-3.1830878 + X2)))))) + 0.98304987)
56,1069022,0.0003009001804277594,0.00043519377794780877,40.496,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp((X2 * -238.56017))), (-3.4000108 + X2))))) * log(abs(X1)), X2) + -1.6859169)) * (-0.7454732 + pdiv(pdiv(-5429.8315, X1), (pdiv(-8666.102, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1946063 + X2)), (-3.1688037 + X2)))))) + 0.98276293)
57,1090985,0.00030085755327264354,0.0004336255770789587,40.898,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp((X2 * -238.56017))), (-3.399743 + X2))))) * log(abs(X1)), X2) + -1.6787368)) * (-0.7455505 + pdiv(pdiv(-5429.832, X1), (pdiv(-8666.101, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1827164 + X2)), (-3.1827695 + X2)))))) + 0.9831492)
58,1113883,0.00030084855065922876,0.0004341577459149694,40.116,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp((X2 * -238.56017))), (-3.3999298 + X2))))) * log(abs(X1)), X2) + -1.6985168)) * (-0.7456327 + pdiv(pdiv(-5430.6323, X1), (pdiv(-8665.096, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1785479 + X2)), (-3.1862218 + X2)))))) + 0.98268795)
59,1135244,0.0003008370160702835,0.0004336525418644672,40.006,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp((X2 * -238.56017))), (-3.399734 + X2))))) * log(abs(X1)), X2) + -1.6778351)) * (-0.74572265 + pdiv(pdiv(-5430.633, X1), (pdiv(-8665.096, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.182643 + X2)), (-3.1826184 + X2)))))) + 0.98317957)
60,1158237,0.0003003097511383812,0.00043110849452903657,40.296,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp((X2 * -238.56017))), (-3.3996825 + X2))))) * log(abs(X1)), X2) + -1.6627264)) * (-0.7526672 + pdiv(pdiv(-5463.2017, X1), (pdiv(-8624.176, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1425447 + X2)), (-3.2156026 + X2)))))) + 0.98394316)
61,1180197,0.00030005494949176566,0.000434988739560948,40.328,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp((X2 * -238.56017))), (-3.3997436 + X2))))) * log(abs(X1)), X2) + -1.6582481)) * (-0.75270766 + pdiv(pdiv(-5463.2017, X1), (pdiv(-8624.176, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1786804 + X2)), (-3.1778204 + X2)))))) + 0.98403484)
62,1201517,0.000292911031660424,0.00037500652779531835,40.224,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp(pdiv((-32.764656 * X1), X2))), (-3.4030976 + X2))))) * log(abs(-9833.459)), X2) + -6.81319)) * (-0.7774643 + pdiv(pdiv(-5463.214, X1), (pdiv(-8624.16, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1176732 + X2)), (-3.2101307 + X2)))))) + 1.1915709)
63,1224483,0.0002882480206439671,0.0003648435550473013,39.626,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp(pdiv((-32.764656 * X1), X2))), (-3.3990421 + X2))))) * log(abs(-9833.459)), X2) + -6.8341594)) * (-0.77779365 + pdiv(pdiv(-5463.214, X1), (pdiv(-8624.16, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1710756 + X2)), (-3.1673777 + X2)))))) + 1.1944387)
64,1249130,0.00028605091651893956,0.0003681063376660243,40.534,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp(pdiv((-32.764656 * X1), X2))), (-3.3988802 + X2))))) * log(abs(-10238.552)), X2) + -7.9434857)) * (-0.77563816 + pdiv(pdiv(-5463.219, X1), (pdiv(-8624.153, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1568077 + X2)), (-3.1784403 + X2)))))) + 1.1816845)
65,1271002,0.0002860286622447576,0.0003681821411554532,40.898,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp(pdiv((-32.764656 * X1), X2))), (-3.3988106 + X2))))) * log(abs(-10238.552)), X2) + -7.9164042)) * (-0.7756949 + pdiv(pdiv(-5463.2227, X1), (pdiv(-8624.148, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1676304 + X2)), (-3.1676285 + X2)))))) + 1.1820277)
66,1294059,0.0002847721568448079,0.00037388664119125247,40.992,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp(pdiv((-32.764656 * X1), X2))), (-3.3988678 + X2))))) * log(abs(-10238.837)), X2) + -7.830416)) * (-0.78568405 + pdiv(pdiv(-5509.369, X1), (pdiv(-8565.616, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1775734 + X2)), (-3.135764 + X2)))))) + 1.1836689)
67,1318830,0.00028444341982974166,0.00036938959117254253,41.808,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp(pdiv((-32.764656 * X1), X2))), (-3.3988152 + X2))))) * log(abs(-10238.837)), X2) + -7.8287735)) * (-0.7858573 + pdiv(pdiv(-5509.369, X1), (pdiv(-8565.616, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.16116 + X2)), (-3.1614814 + X2)))))) + 1.1840662)
68,1343693,0.00028443605541921826,0.00036912173083975393,40.558,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp(pdiv((-32.764656 * X1), X2))), (-3.398835 + X2))))) * log(abs(-10238.837)), X2) + -7.770011)) * (-0.7859783 + pdiv(pdiv(-5509.3745, X1), (pdiv(-8565.609, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1611774 + X2)), (-3.1615615 + X2)))))) + 1.1848078)
69,1368915,0.0002844336171064474,0.0003688728013281273,41.372,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp(pdiv((-32.764656 * X1), X2))), (-3.398835 + X2))))) * log(abs(-10238.838)), X2) + -7.735093)) * (-0.78608143 + pdiv(pdiv(-5509.519, X1), (pdiv(-8565.424, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.161447 + X2)), (-3.161445 + X2)))))) + 1.1852512)
70,1392859,0.0002832815293795979,0.00036883182114097105,41.6,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp(pdiv((-32.764656 * X1), X2))), (-3.3988051 + X2))))) * log(abs(-10239.079)), X2) + -7.632478)) * (-0.7949618 + pdiv(pdiv(-5549.1475, X1), (pdiv(-8514.479, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1615248 + X2)), (-3.1497884 + X2)))))) + 1.1872971)
71,1417279,0.00028321247858478657,0.0003700018190077433,41.248,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp(pdiv((-32.764656 * X1), X2))), (-3.3988428 + X2))))) * log(abs(-10239.079)), X2) + -7.6420274)) * (-0.79500765 + pdiv(pdiv(-5549.1514, X1), (pdiv(-8514.473, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.155887 + X2)), (-3.155888 + X2)))))) + 1.1872376)
72,1441236,0.0002822232462672219,0.0003689643713685954,39.79,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp(pdiv((-32.764656 * X1), X2))), (-3.3988428 + X2))))) * log(abs(-10239.33)), X2) + -7.4878426)) * (-0.80466074 + pdiv(pdiv(-5591.129, X1), (pdiv(-8459.905, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1711674 + X2)), (-3.1285524 + X2)))))) + 1.1899639)
73,1466595,0.0002820750638601896,0.0003712036292490702,40.486,((log(abs((pdiv(((X1 + log(abs(log(abs(pdiv(exp(exp(pdiv((-32.764656 * X1), X2))), (-3.398855 + X2))))) * log(abs(-10239.33)), X2) + -7.4996634)) * (-0.8047107 + pdiv(pdiv(-5591.1313, X1), (pdiv(-8459.901, X1) + pdiv(pdiv(exp(exp((X1 * -235.73817))), (-3.1497447 + X2)), (-3.1499863 + X2)))))) + 1.189894)
