Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,1663.2274,1,143012.2627496918,80326.13427229301,143012.2627496918,80326.13427229301,-2.518005204343865e-08,-0.04998381765269633
1,powabs((7.453756; x4),3,33897.5880344802,29831.423707409354,33897.5880344802,29831.423707409354,0.7629742496463208,0.6100582651700577
2,1065.4626 + powabs((x3; -5.79601),5,11301.914746654884,10678.648267454506,11301.914746654884,10678.648267454506,0.9209724060445157,0.8604139489991648
3,(powabs((x3; -5.7943845) + x1) + 1065.4626,7,11296.01225070696,10791.918912396979,11296.01225070696,10791.918912396979,0.9210136787017205,0.8589333307012454
4,(1072.3127 + powabs((x3; -5.79601)) - sqrtabs(x0),8,11108.010915245382,10172.144659109099,11108.010915245382,10172.144659109099,0.9223282606584056,0.8670347156669915
5,powabs((x3; (0.31810856 - x2) - x1) + 1066.596,9,8913.054811008578,11548.625093628927,8913.054811008578,11548.625093628927,0.9376762882841739,0.8490420387548662
6,(powabs((x3; (0.31810856 - x2) - x1) + x1) + 1065.4626,11,8911.41000047543,11542.990373318635,8911.41000047543,11542.990373318635,0.9376877894697572,0.8491156930542596
7,1078.0352 + (powabs((x3; (0.31810856 - x2) - x1) - sqrtabs(x0)),12,8756.864524855162,11005.935674159724,8756.864524855162,11005.935674159724,0.9387684344196398,0.8561358085922446
8,(1072.3127 + powabs((x3; (0.31810856 - x2) - x1)) - sqrtabs(x0 + x0),14,8742.0341581766,10881.609161158156,8742.0341581766,10881.609161158156,0.9388721343875086,0.8577609437732097
9,(1072.3127 + (x2 + powabs((x3; (0.31810856 - x2) - x1))) - sqrtabs(x0 + x0),16,8699.424377930816,10819.859146361785,8699.424377930816,10819.859146361785,0.9391700793364203,0.8585681096708766
