Id,Expression,size,MSE_train,MSE_test,nll_train,nll_test,R2_train,R2_test
0,1663.2836,1,143012.25916314262,80333.08796443549,143012.25916314262,80333.08796443549,-1.0143841322474145e-10,-0.05007471290476673
1,powabs(-7.453682, x4),3,33897.59439768109,29821.654179079163,33897.59439768109,29821.654179079163,0.7629742051522269,0.6101859676512704
2,(191.57515 / x3) / x3,5,13463.67196077517,15925.911505866337,13463.67196077517,15925.911505866337,0.9058565185885072,0.7918242983554549
3,((173.40793 / x3) / x3) + 166.03264,7,11940.76742964123,19421.812485956172,11940.76742964123,19421.812485956172,0.9165052877234047,0.7461275959003407
4,powabs(x4, sqrtabs(x1 + x1) + x4),8,11743.71867292552,12064.636276160089,11743.71867292552,12064.636276160089,0.9178831329367364,0.8422969937418829
5,(powabs(x4, x4) / (0.10487697 / x1)) - 650.9354,9,7076.236315677164,7024.40939949359,7076.236315677164,7024.40939949359,0.9505200717910296,0.9081803666409002
6,((powabs(x4, x4) / (0.13229251 / x1)) - x0) - x0,11,2806.9294204745283,5263.600027729477,2806.9294204745283,5263.600027729477,0.9803728055399976,0.9311968028614747
7,(powabs(x4, x4) / ((0.118335284 / x1) / powabs(x0, -0.038932387))) - x0,13,2252.572863672953,3422.8300800538987,2252.572863672953,3422.8300800538987,0.984249092510791,0.9552584445001591
8,(powabs(x4, x4) / ((sqrtabs(powabs(x0, 0.08754168)) / x1) / 8.597496)) - x0,14,2163.21468837042,3009.933163971064,2163.21468837042,3009.933163971064,0.9848739212900472,0.9606556304119828
9,((powabs(x4, x4) / (sqrtabs(powabs(-0.6892453, powabs(-0.986052, x0))) / x1)) / 0.14979997) - x0,16,1509.6707243130024,3439.782268167304,1509.6707243130024,3439.782268167304,0.9894437670357757,0.9550368538142119
10,(((powabs(x4, x4) / (sqrtabs(powabs(-0.6892453, powabs(-0.986052, x0))) / x1)) / 0.14979997) - x4) - x0,18,1499.89805769955,3087.627856812812,1499.89805769955,3087.627856812812,0.9895121015035454,0.9596400435056741
11,(((powabs(x4, x4) / (sqrtabs(powabs(-0.6892453, powabs(-0.986052, x0))) / x1)) / 0.14979997) - powabs(x1, x1)) - x0,20,1498.5481437062858,3137.9956468677556,1498.5481437062858,3137.9956468677556,0.989521540652338,0.9589816604654876
12,((powabs(x4, x4) / ((sqrtabs(sqrtabs(powabs(x0, 0.09237537))) / x1) / 8.211656)) - (x0 / (x1 / x4))) + 8.211656,21,1489.8890174953328,2886.513651920793,1489.8890174953328,2886.513651920793,0.9895820887917947,0.9622689097215047
13,((powabs(x4, x4) / (sqrtabs(powabs(-0.6732341, powabs(powabs(-0.83965755, x0), powabs(-0.4692885, x4)))) / x1)) / 0.1538083) - (x0 - 9.199757),22,1451.5975288311251,3611.109898525829,1451.5975288311251,3611.109898525829,0.9898498384860668,0.9527973430868136
14,(((powabs(x4, x4) / ((sqrtabs(sqrtabs(powabs(x0, 0.10718056))) / (x1 / x1)) / 17.926817)) - x0) - -1911.4713) + (-4224.551 / x1),23,1112.0256273659002,953.2661171649161,1112.0256273659002,953.2661171649161,0.9922242636121834,0.9875393730072103
15,((((powabs(x4, x4) / (sqrtabs(powabs(x0, powabs(0.39676774, x4))) / x1)) / 0.14161068) - x4) - powabs(x0, sqrtabs(x4) / x1)) + sqrtabs(sqrtabs(powabs(1.1615359, powabs(x4, x4)))),31,852.6831811153387,1033.852601229138,852.6831811153387,1033.852601229138,0.9940376916902688,0.9864859860248102
16,(((powabs(x4, x4) / (sqrtabs(powabs(x0, powabs(0.41674486, x4))) / x1)) / 0.13907589) - powabs(x0, powabs(sqrtabs(sqrtabs(x4)) / sqrtabs(x1), x4))) + sqrtabs(sqrtabs(powabs(1.1595916, powabs(x4, x4)))),33,652.0091443431353,794.8566710507828,652.0091443431353,794.8566710507828,0.9954408863392229,0.9896100235680769
17,(((powabs(x4, x4) / (sqrtabs(powabs(x0 - 1.1595916, powabs(0.41674486, x4))) / x1)) / 0.13907589) - powabs(x0, powabs(sqrtabs(sqrtabs(x4)) / sqrtabs(x1), x4))) + sqrtabs(sqrtabs(powabs(1.1595916, powabs(x4, x4)))),35,621.2793867283302,639.160227791419,621.2793867283302,639.160227791419,0.9956557613282465,0.9916452110866776
18,(((powabs(x4, x4) / (sqrtabs(powabs(x0 - 1.12152, powabs(0.39676774, x4))) / x1)) / 0.14161068) - (powabs(x0, powabs(sqrtabs(sqrtabs(x4)) / sqrtabs(x1), x4)) - x1)) + sqrtabs(sqrtabs(powabs(1.1615359, powabs(x4, x4)))),37,601.1989143969529,730.5847489107688,601.1989143969529,730.5847489107688,0.9957961721744979,0.9904501546012434
19,((((powabs(x4, x4) / (sqrtabs(powabs(x0 - 1.12152, powabs(0.39676774, x4))) / x1)) / 0.14161068) - 0.13907589) - (powabs(x0, powabs(sqrtabs(sqrtabs(x4)) / sqrtabs(x1), x4)) - x4)) + sqrtabs(sqrtabs(powabs(1.1615359, powabs(x4, x4)))),39,598.4390029740161,741.5990737279238,598.4390029740161,741.5990737279238,0.9958154705999571,0.9903061807510742
20,((((powabs(x4, x4) / (sqrtabs(powabs(x0 - 1.12152, powabs(0.39676774, x4))) / x1)) / 0.14161068) - sin(0.14161068)) - (powabs(x0, powabs(sqrtabs(sqrtabs(x4)) / sqrtabs(x1), x4)) - x4)) + sqrtabs(sqrtabs(powabs(1.1615359, powabs(x4, x4)))),40,598.4388940109983,741.5817737803847,598.4388940109983,741.5817737803847,0.995815471361871,0.9903064068875008
21,((((powabs(x4, x4) / (sqrtabs(powabs(x0 - 1.12152, powabs(0.39676774, x4))) / x1)) / 0.14161068) - sin(powabs(x4, x4))) - (powabs(x0, powabs(sqrtabs(sqrtabs(x4)) / sqrtabs(x1), x4)) - x4)) + sqrtabs(sqrtabs(powabs(1.1615359, powabs(x4, x4)))),42,596.0595064321487,743.9263725116981,596.0595064321487,743.9263725116981,0.9958321090095315,0.9902757594431906
22,((((powabs(x4, x4) / (sqrtabs(powabs(x0 - 1.12152, powabs(0.39676774, x4))) / x1)) / 0.14161068) - sin(sqrtabs(x0 - x4))) - (powabs(x0, powabs(sqrtabs(sqrtabs(x4)) / sqrtabs(x1), x4)) - x4)) + sqrtabs(sqrtabs(powabs(1.1615359, powabs(x4, x4)))),43,595.07852496496,752.7976857412123,595.07852496496,752.7976857412123,0.9958389684317448,0.9901597979890921
23,((((powabs(x4, x4) / (sqrtabs(powabs(x0 - 1.12152, powabs(0.39676774, x4))) / x1)) / 0.14161068) - sin(powabs(1.1615359, powabs(x1, x4)) / 0.39676774)) - (powabs(x0, powabs(sqrtabs(sqrtabs(x4)) / sqrtabs(x1), x4)) - x4)) + sqrtabs(sqrtabs(powabs(1.1615359, powabs(x4, x4)))),46,591.0422845206514,752.3155030665821,591.0422845206514,752.3155030665821,0.9958671914698839,0.9901661008444468
24,sqrtabs(sqrtabs(powabs(1.1604631, powabs(x4, x4)))) + ((((powabs(x4, x4) / (sqrtabs(powabs(x0 - 1.12152, powabs(0.39676774, x4))) / x1)) / 0.14084555) - powabs(sqrtabs(sqrtabs(x0 - 1.12152)) / x4, x0 - 1.12152)) - (powabs(x0, powabs(sqrtabs(sqrtabs(x4)) / sqrtabs(x1), x4)) - 1.12152)),49,534.7647194480779,780.3224174650477,534.7647194480779,780.3224174650477,0.9962607071405516,0.9898000082001638
