-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=100
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=200
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,avg_fitness,size,Expression
18,197842,2634.439,2915.4204,1680.0887,5731.5347,0.98825216,0.9250802,2634.439,968.2191,31.03,Inf,75,"((abs((X3 + (sqrt(abs(8.643185e6)) - (660.1219 - (-7.345715 * X1))))) ^ -3.0699148) - ((-9795.731 / sqrt(abs(sin(X5)))) + (X5 * ((((3.2964622e6 * ((1783.7122 / log(abs((log(abs(-1.0554608e7)) - ((-527683.4 + -527772.75) * X6))))) + -4240.227)) / (163694.94 - ((sqrt(abs(939118.0)) - (4911.088 - ((X2 - 57802.26) * X2))) - -1.7277172e6))) - (sin(((X5 - (sqrt(abs(3.8800175e6)) - -339.04584)) + X5)) * (log(abs((log(abs(7.0729905e6)) - ((65732.06 + 67289.695) * X6)))) - 5666.693))) + 193.37021)))) [likelihood params: Float32[]]"
19,211940,2621.9524,2926.4426,1632.4717,5591.5063,0.9885851,0.9269106,2621.9524,958.6022,35.558,Inf,83,"((abs((X3 + (sqrt(abs(8.643185e6)) - (660.1219 - (-7.345715 * X1))))) ^ -3.0699148) - ((-10488.838 / sqrt(abs(sin(X5)))) + (X5 * ((((3.3232525e6 * ((142.94867 / log(abs((log(abs(-1.0554608e7)) - ((-545990.94 + -546144.1) * X6))))) + -4275.2026)) / (174207.33 - ((sqrt(abs(937402.94)) - (log(abs((log(abs(7.0729905e6)) - ((65750.07 + 67338.23) * X6)))) - ((X2 - 54438.7) * X2))) - -1.7172049e6))) - (sin(((X5 - (sqrt(abs(3.880045e6)) - -339.05246)) + X5)) * (log(abs((log(abs(7.0729905e6)) - ((48782.074 + 50339.863) * X6)))) - 5963.429))) + 283.1925)))) [likelihood params: Float32[]]"
20,225272,2621.9004,2924.43,1632.2731,5554.618,0.9885865,0.9273927,2621.9004,956.06885,38.42,Inf,83,"((abs((X3 + (sqrt(abs(8.643185e6)) - (660.1219 - (-7.345715 * X1))))) ^ -3.0699148) - ((-10488.803 / sqrt(abs(sin(X5)))) + (X5 * ((((3.3232558e6 * ((142.86722 / log(abs((log(abs(-1.0554608e7)) - ((-545991.0 + -546144.2) * X6))))) + -4275.207)) / (174208.77 - ((sqrt(abs(937402.7)) - (log(abs((log(abs(7.0729905e6)) - ((65750.07 + 67338.23) * X6)))) - ((X2 - 54439.46) * X2))) - -1.7172034e6))) - (sin(((X5 - (sqrt(abs(3.880045e6)) - -339.0525)) + X5)) * (log(abs((log(abs(7.0729905e6)) - ((48782.297 + 50340.086) * X6)))) - 5963.426))) + 283.20227)))) [likelihood params: Float32[]]"
21,238477,2605.727,3192.9934,1570.5962,5181.4478,0.9890177,0.93227065,2605.727,930.44006,39.872,Inf,91,"((abs((X3 + (sqrt(abs(8.643185e6)) - (660.1219 - (-7.345715 * X1))))) ^ -3.0699148) - ((-11599.3545 / sqrt(abs(sin(X5)))) + (X5 * ((((3.3628762e6 * ((-2161.1255 / log(abs((log(abs(-1.0554608e7)) - ((-524363.75 + -524509.6) * X6))))) + -4326.7954)) / (191496.47 - ((sqrt(abs(934878.06)) - (log(abs((log(abs(7.0729905e6)) - ((65788.12 + 67376.27) * X6)))) - (((10571.864 + (sqrt(abs(-750340.75)) + sqrt(abs((-101035.6 * 2631.7676))))) - 76948.77) * X2))) - -1.6999025e6))) - (sin(((X5 - (sqrt(abs(3.8800862e6)) - -339.06174)) + X5)) * (log(abs((log(abs(7.0729905e6)) - ((-1073.4121 + 201.28711) * X6)))) - 6440.093))) + 405.7581)))) [likelihood params: Float32[]]"
22,252151,2605.4578,3191.4824,1569.5696,5274.6455,0.98902494,0.93105245,2605.4578,936.8407,44.836,Inf,91,"((abs((X3 + (sqrt(abs(8.643185e6)) - (660.1219 - (-7.345715 * X1))))) ^ -3.0699148) - ((-11599.427 / sqrt(abs(sin(X5)))) + (X5 * ((((3.3628712e6 * ((-2161.0083 / log(abs((log(abs(-1.0554608e7)) - ((-524365.6 + -524511.5) * X6))))) + -4326.788)) / (191494.25 - ((sqrt(abs(934878.5)) - (log(abs((log(abs(7.0729905e6)) - ((65788.12 + 67376.27) * X6)))) - (((10573.164 + (sqrt(abs(-750341.9)) + sqrt(abs((-101051.7 * 2632.187))))) - 76947.48) * X2))) - -1.6999048e6))) - (sin(((X5 - (sqrt(abs(3.8800862e6)) - -339.06174)) + X5)) * (log(abs((log(abs(7.0729905e6)) - ((-1062.8809 + 211.81828) * X6)))) - 6440.1045))) + 405.7418)))) [likelihood params: Float32[]]"
23,266215,2418.085,2951.5557,855.0247,1652.8866,0.9940213,0.97839427,2418.085,688.1039,48.628,Inf,85,"((abs((X3 + (sqrt(abs(8.643185e6)) - (660.1219 - (-7.345715 * X1))))) ^ -3.0699148) - ((-11830.341 / sqrt(abs(sin(X5)))) + (X5 * ((((3.3814508e6 * ((3280.9258 / (20328.232 / X1)) + -4350.7964)) / (198369.6 - ((sqrt(abs(933492.44)) - (log(abs((log(abs(7.0729905e6)) - ((65808.6 + 67396.76) * X6)))) - (((13198.696 + (sqrt(abs(-752516.1)) + sqrt(abs((-132852.12 * 3481.964))))) - 74334.625) * X2))) - -1.6930141e6))) - (sin(((X5 - (sqrt(abs(3.880167e6)) - -339.08316)) + X5)) * (log(abs((log(abs(7.0729905e6)) - ((-41364.36 + -40087.902) * X6)))) - 6219.2407))) + 469.98965)))) [likelihood params: Float32[]]"
24,280247,2418.085,2951.5557,855.0247,1652.8866,0.9940213,0.97839427,2418.085,688.1039,51.04,Inf,85,"((abs((X3 + (sqrt(abs(8.643185e6)) - (660.1219 - (-7.345715 * X1))))) ^ -3.0699148) - ((-11830.341 / sqrt(abs(sin(X5)))) + (X5 * ((((3.3814508e6 * ((3280.9258 / (20328.232 / X1)) + -4350.7964)) / (198369.6 - ((sqrt(abs(933492.44)) - (log(abs((log(abs(7.0729905e6)) - ((65808.6 + 67396.76) * X6)))) - (((13198.696 + (sqrt(abs(-752516.1)) + sqrt(abs((-132852.12 * 3481.964))))) - 74334.625) * X2))) - -1.6930141e6))) - (sin(((X5 - (sqrt(abs(3.880167e6)) - -339.08316)) + X5)) * (log(abs((log(abs(7.0729905e6)) - ((-41364.36 + -40087.902) * X6)))) - 6219.2407))) + 469.98965)))) [likelihood params: Float32[]]"
25,294856,2418.085,2951.5557,855.0247,1652.8866,0.9940213,0.97839427,2418.085,688.1039,53.448,6.805647e35,85,"((abs((X3 + (sqrt(abs(8.643185e6)) - (660.1219 - (-7.345715 * X1))))) ^ -3.0699148) - ((-11830.341 / sqrt(abs(sin(X5)))) + (X5 * ((((3.3814508e6 * ((3280.9258 / (20328.232 / X1)) + -4350.7964)) / (198369.6 - ((sqrt(abs(933492.44)) - (log(abs((log(abs(7.0729905e6)) - ((65808.6 + 67396.76) * X6)))) - (((13198.696 + (sqrt(abs(-752516.1)) + sqrt(abs((-132852.12 * 3481.964))))) - 74334.625) * X2))) - -1.6930141e6))) - (sin(((X5 - (sqrt(abs(3.880167e6)) - -339.08316)) + X5)) * (log(abs((log(abs(7.0729905e6)) - ((-41364.36 + -40087.902) * X6)))) - 6219.2407))) + 469.98965)))) [likelihood params: Float32[]]"
26,309683,2417.9888,3001.3142,854.65814,1656.7668,0.99402386,0.97834355,2417.9888,688.37036,54.518,Inf,89,"((abs((X3 + (sqrt(abs(8.643185e6)) - (660.1219 - (-7.345715 * X1))))) ^ -3.0699148) - ((-11830.154 / sqrt(abs(sin(X5)))) + (X5 * ((((3.3814772e6 * ((3278.9966 / (20340.182 / X1)) + -4350.83)) / (198380.64 - ((sqrt(abs(933490.3)) - (log(abs((log(abs(7.0729905e6)) - ((65808.63 + 67396.79) * X6)))) - (((13193.161 + (sqrt(abs(-752511.56)) + sqrt(abs((-132783.73 * 3480.172))))) - 74340.164) * X2))) - -1.6930031e6))) - (sin(((X5 - (sqrt(abs(3.880167e6)) - -339.0832)) + X5)) * (log(abs((log(abs(7.0729905e6)) - ((-41371.6 + -40095.145) * log(abs((log(abs(-1.0554573e7)) - -102587.13))))))) - 6219.1494))) + 470.07)))) [likelihood params: Float32[]]"
27,324472,2417.9888,3001.3142,854.65814,1656.7668,0.99402386,0.97834355,2417.9888,688.37036,55.64,Inf,89,"((abs((X3 + (sqrt(abs(8.643185e6)) - (660.1219 - (-7.345715 * X1))))) ^ -3.0699148) - ((-11830.154 / sqrt(abs(sin(X5)))) + (X5 * ((((3.3814772e6 * ((3278.9966 / (20340.182 / X1)) + -4350.83)) / (198380.64 - ((sqrt(abs(933490.3)) - (log(abs((log(abs(7.0729905e6)) - ((65808.63 + 67396.79) * X6)))) - (((13193.161 + (sqrt(abs(-752511.56)) + sqrt(abs((-132783.73 * 3480.172))))) - 74340.164) * X2))) - -1.6930031e6))) - (sin(((X5 - (sqrt(abs(3.880167e6)) - -339.0832)) + X5)) * (log(abs((log(abs(7.0729905e6)) - ((-41371.6 + -40095.145) * log(abs((log(abs(-1.0554573e7)) - -102587.13))))))) - 6219.1494))) + 470.07)))) [likelihood params: Float32[]]"
