gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
11,4013.3289,2178.3877,2462.8188,7315.585,8156.12,15862.062,4042.4219,5470.081,35908.867,52576.59,3246.277,2765.1062,2839.692,4112.2173,4332.628,3301.9165,2835.0322,2933.1567,4163.719,4380.876,19,9,10,31,35,12.902,10.006,10.402,16.404,17.468
12,3833.6655,1781.7212,2108.333,6079.724,8156.12,12931.145,3614.711,5425.764,35908.867,44620.34,3199.1646,2661.0896,2746.736,3788.1416,4332.628,3272.5383,2789.7354,2823.1548,3833.316,4380.876,21,10,13,35,40,14.216,11.014,11.506,17.91,19.908
13,3655.5808,1639.0819,1861.2759,5501.276,7499.9995,11068.259,3566.3079,4934.0703,41383.96,50098.008,3152.4658,2623.6858,2681.951,3636.4565,4160.5757,3215.662,2727.7769,2793.8083,3723.904,4223.08,22,12,13,35,42,16.108,12.256,12.694,19.928,21.68
14,3436.671,1551.2714,1654.1068,4847.6226,5960.0493,11068.259,3396.7356,4020.2913,41383.96,50046.387,3095.062,2600.6594,2627.6257,3465.0513,3756.7593,3173.2632,2696.6768,2727.8162,3559.7983,3831.9683,24,12,13,35,41,17.804,13.678,13.97,22.386,24.492
15,2990.238,1354.9121,1605.4746,4551.7456,4935.701,9657.741,2260.2605,3405.238,41100.695,45207.68,2977.995,2549.169,2614.873,3387.4644,3488.148,3088.777,2650.6895,2712.283,3477.672,3551.0703,24,13,14,41,48,19.47,15.078,15.61,24.852,27.28
16,2359.9434,1328.218,1559.8805,4377.2515,4817.903,8723.64,2152.5454,3098.5576,33899.45,44112.7,2812.715,2542.169,2602.917,3341.7075,3457.2578,2942.5579,2632.433,2703.6978,3436.1077,3552.3823,26,14,15,46,55,21.148,15.926,17.028,27.926,29.628
17,2293.658,1328.218,1446.3751,4054.3345,4551.727,8744.549,2024.2142,3005.7673,26144.926,41091.086,2795.3333,2542.169,2573.1528,3257.0298,3387.4595,2895.9858,2639.1208,2712.936,3354.088,3489.148,29,14,15,58,72,23.894,17.492,18.944,31.236,32.102
18,2100.297,1256.9639,1354.9121,4020.675,4551.727,8299.468,1938.1984,2458.2039,24112.594,33899.45,2744.629,2523.4841,2549.169,3248.2036,3387.4595,2881.2605,2629.4138,2689.4463,3303.0002,3489.148,31,16,18,63,72,26.424,19.298,20.492,34.25,36.038
19,2065.7502,1073.5089,1163.3325,3643.88,4255.7007,7708.431,1632.5181,1781.4514,24149.865,31138.309,2735.5696,2475.3774,2498.9316,3149.3977,3309.8335,2850.763,2617.1829,2639.1208,3291.1863,3420.4106,36,17,19,76,83,28.858,21.01,22.802,38.092,40.306
20,1954.5546,992.755,1110.474,3643.88,4167.981,6701.9517,1597.7885,1844.041,18406.055,33260.746,2706.4111,2454.2017,2485.0706,3149.3977,3286.831,2840.6082,2607.0913,2635.8696,3297.0317,3370.884,37,19,21,73,82,31.328,22.598,24.354,41.038,44.888
21,1840.2866,952.9511,1030.4945,3477.9226,3991.592,6075.3545,1484.513,1776.6365,18406.055,25522.527,2676.447,2443.764,2464.098,3105.8792,3240.5771,2817.261,2599.3193,2637.4253,3199.386,3358.837,39,19,22,73,85,34.786,25.228,26.114,43.71,47.8
22,1747.8112,887.35974,964.5469,3477.9226,3946.731,5536.7563,1509.2416,1775.9501,17991.67,25431.742,2652.1975,2426.564,2446.8047,3105.8792,3228.8135,2797.5098,2599.3193,2646.974,3224.177,3330.8784,40,20,22,74,87,37.812,26.276,28.194,48.058,51.756
23,1567.4299,830.93384,946.9751,3337.654,3946.731,4468.991,1481.3951,1652.8866,18040.47,25522.527,2604.8967,2411.7676,2442.1968,3069.097,3228.8135,2783.554,2590.9941,2629.5393,3237.423,3341.0757,44,20,24,81,87,40.244,27.306,31.024,50.632,54.074
24,1506.0975,776.4598,912.98553,3324.2505,3946.731,4212.5913,1381.2478,1652.8866,14818.43,25522.527,2588.8137,2397.4832,2433.284,3065.5823,3228.8135,2777.0706,2590.9941,2630.394,3224.177,3341.0757,48,20,23,83,90,42.74,29.734,34.212,52.686,56.056
25,1444.9036,771.14984,874.26996,3324.135,3946.731,4125.631,1210.3947,1564.3499,14818.43,23411.016,2572.767,2396.0908,2423.1316,3065.552,3228.8135,2775.732,2582.0732,2611.761,3298.448,3448.7402,52,20,23,92,95,46.246,31.852,35.184,56.316,58.566
26,1357.1108,723.3863,837.8332,3324.135,3946.731,3773.9138,1067.373,1563.527,14818.43,23410.02,2549.7454,2383.566,2413.577,3065.552,3228.8135,2763.8254,2570.7913,2602.7305,3293.8386,3427.9868,56,22,24,91,95,48.968,34.624,36.486,58.778,61.308
27,1295.0566,722.96185,835.8522,3120.5981,3862.2637,3768.1262,1067.373,1563.527,12872.134,23405.232,2533.4731,2383.4546,2413.0574,3012.1792,3206.6638,2749.923,2577.2268,2601.9956,3224.177,3385.53,55,22,24,92,96,51.48,38.574,40.43,61.566,63.028
28,1232.0571,702.9234,756.9806,3120.5981,3824.5613,3676.2566,1042.5204,1524.3031,12048.192,24638.54,2516.953,2378.2,2392.3752,3012.1792,3196.777,2751.8628,2567.2065,2602.9202,3224.177,3360.312,57,22,24,93,97,53.676,40.998,43.186,62.54,64.906
29,1191.7767,675.5258,749.24396,3040.5862,3675.5913,3552.784,897.4703,1207.5839,10814.412,24976.855,2506.3904,2371.0156,2390.3464,2991.1978,3157.7131,2737.4385,2568.6284,2605.4521,3218.2593,3304.4495,58,22,24,95,98,55.76,43.942,45.03,63.642,65.796
30,1153.356,652.2198,727.68756,2882.3125,3675.5913,3186.5945,878.8808,1174.6667,10467.695,23405.232,2496.3154,2364.904,2384.6938,2949.6943,3157.7131,2722.9697,2571.5903,2593.6313,3111.1548,3291.973,64,22,24,95,97,57.718,45.994,47.24,64.716,67.318
31,1138.855,603.98987,667.17163,2866.793,3675.5913,3072.6938,900.9332,1137.5718,10998.048,23405.232,2492.513,2352.2568,2368.8247,2945.6245,3157.7131,2722.9697,2569.2385,2597.734,3196.232,3360.312,67,24,29,96,98,59.838,48.044,49.968,66.342,67.864
32,1112.1838,577.1227,665.41003,2614.183,3587.1504,2554.7202,861.5953,1064.1532,11284.045,21134.95,2485.519,2345.2117,2368.3628,2879.3835,3134.5215,2718.6885,2561.0046,2580.0442,3136.4038,3315.5542,68,24,24,96,98,60.91,49.952,52.12,68.078,69.304
33,1064.8685,576.4996,610.89233,2083.2183,3585.0076,2179.5708,876.3834,958.54254,11170.82,21069.861,2473.1116,2345.048,2354.067,2740.1504,3133.9597,2714.6902,2535.494,2582.0042,3094.5984,3301.2354,69,24,33,97,98,62.678,52.664,53.896,68.832,70.696
34,1039.322,511.67712,591.95917,1999.7317,3504.7085,2152.5664,853.9794,958.5513,11017.992,21133.375,2466.4126,2328.05,2349.102,2718.2578,3112.9033,2711.7122,2535.494,2578.6497,3008.7917,3268.4937,71,24,35,96,98,63.736,54.466,55.62,69.842,70.718
35,1027.4099,511.29172,578.8984,1836.6294,3502.1555,2029.7479,859.13464,958.17676,10827.45,21139.209,2463.289,2327.949,2345.6772,2675.488,3112.2336,2703.1316,2535.494,2568.5566,3023.3254,3260.0747,67,24,35,97,99,64.9,55.836,56.9,70.918,71.794
36,962.70734,481.15637,541.35004,1836.6294,3502.1555,1895.259,911.9393,995.6341,10198.12,21139.209,2446.3223,2320.0466,2335.831,2675.488,3112.2336,2688.614,2551.1707,2568.659,3089.654,3296.653,71,24,37,97,99,65.632,57.684,58.682,70.914,73.298
37,945.6944,476.15155,529.1868,1836.6294,3498.2212,1890.4453,856.90826,944.89685,9372.064,21142.64,2441.8608,2318.7341,2332.6416,2675.488,3111.2021,2683.3088,2547.4114,2568.9934,3217.8884,3330.0146,71,24,37,98,99,66.254,57.862,60.538,72.274,73.636
38,887.0161,421.6595,517.6808,1792.8704,3498.2212,1806.351,846.8958,944.3012,6033.8657,21142.64,2426.4739,2304.4448,2329.6243,2664.0132,3111.2021,2677.2573,2551.0056,2574.5164,3217.8884,3358.8362,77,24,44,97,99,67.39,59.782,61.442,73.27,74.73
39,861.81226,421.6595,491.86365,1690.4209,3275.2297,1806.344,847.95807,976.65497,6043.2915,23470.03,2419.8647,2304.4448,2322.8545,2637.1482,3052.7275,2669.4875,2567.7292,2579.0688,3161.8293,3296.653,80,24,45,97,99,68.322,60.424,61.384,73.536,74.898
40,825.0503,421.6595,486.1333,1627.848,3272.9238,1831.2338,852.7944,904.3141,6043.2915,23128.39,2410.2249,2304.4448,2321.3518,2620.74,3052.123,2663.0654,2566.4324,2576.2097,3123.0007,3285.7988,81,32,45,98,99,68.894,61.12,62.73,74.162,76.716
