gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
83,403.62766,304.35797,321.9303,631.0194,785.3098,1371.27,615.706,746.3903,2823.698,3922.8115,2299.7166,2273.6853,2278.2932,2359.3447,2399.8037,2588.9573,2519.572,2533.945,2796.3127,2933.2131,89,67,73,99,100,74.714,68.71,69.806,79.35,80.02
84,398.61743,304.35797,321.84644,631.0194,785.3098,1395.7849,586.8147,735.81396,3236.4492,3922.2986,2298.4026,2273.6853,2278.2712,2359.3447,2399.8037,2581.5012,2513.0312,2530.5388,2787.5237,2940.0308,90,67,72,100,100,74.71,68.942,70.31,79.204,79.79
85,391.86652,303.94516,321.75064,631.0194,785.3098,1395.7896,586.8147,682.4084,2923.013,3782.0427,2296.6323,2273.5771,2278.246,2359.3447,2399.8037,2588.9573,2513.0312,2528.833,2787.816,2967.8765,91,68,73,99,100,74.666,68.464,69.968,78.604,80.406
86,391.86267,302.00183,321.75064,631.0194,785.3098,1363.6709,586.8147,682.4084,2922.9739,3509.1353,2296.6313,2273.0674,2278.246,2359.3447,2399.8037,2588.9573,2520.311,2529.128,2787.5237,2967.8765,91,68,73,99,100,74.546,69.468,70.442,78.992,80.656
87,390.87137,301.3254,320.22824,631.0194,785.3098,1355.893,586.8147,732.9192,2859.4575,3509.1353,2296.3716,2272.8901,2277.847,2359.3447,2399.8037,2586.3816,2520.311,2531.3743,2782.202,2967.8765,91,69,73,99,100,75.25,69.572,70.266,79.332,80.46
88,390.87137,282.03107,305.31635,631.0029,785.3098,1355.7616,655.32666,746.3903,2922.9648,3509.1353,2296.3716,2267.8306,2273.9368,2359.3403,2399.8037,2589.5947,2520.311,2529.7568,2740.9358,2940.0308,91,69,72,99,100,74.936,68.716,70.28,79.068,80.202
89,378.4467,274.66632,303.66476,628.1192,785.3098,1355.7616,613.0551,732.5005,2823.698,3347.849,2293.1133,2265.8994,2273.5037,2358.5842,2399.8037,2592.0308,2520.8228,2532.561,2741.282,2940.0308,92,69,73,99,100,75.008,68.92,70.768,79.376,80.218
90,378.4467,274.66632,303.66476,603.0733,785.3098,1287.377,613.0551,686.4964,2823.698,3347.849,2293.1133,2265.8994,2273.5037,2352.0166,2399.8037,2591.7407,2520.311,2532.561,2735.8682,2940.0308,92,69,73,99,100,74.96,68.496,69.93,78.942,80.222
91,378.4467,274.6191,303.66476,584.3234,785.3085,1355.7616,613.0551,686.4964,2712.7925,3195.0437,2293.1133,2265.887,2273.5037,2347.0999,2399.8035,2594.127,2503.2014,2531.3743,2784.8835,2967.8765,92,69,73,99,100,75.098,69.052,70.484,79.43,80.462
92,378.4467,271.81677,294.5723,584.3234,782.52826,1289.2563,597.03577,686.4964,2882.0508,3494.5352,2293.1133,2265.152,2271.1194,2347.0999,2399.0745,2599.7395,2503.2014,2520.311,2786.6519,3011.1912,91,69,74,98,100,75.462,69.12,70.456,79.55,80.14
93,378.4467,271.81677,294.45294,584.3234,773.9455,1283.6294,597.03577,672.4545,2972.904,3973.1118,2293.1133,2265.152,2271.088,2347.0999,2396.8237,2593.6677,2501.439,2514.5674,2786.6519,3011.51,92,70,75,98,100,75.276,69.51,70.062,79.1,79.996
94,376.84146,269.93954,294.45294,584.3234,773.9389,1260.818,597.03577,672.4545,2972.904,3948.5437,2292.6924,2264.66,2271.088,2347.0999,2396.822,2599.1462,2502.551,2518.109,2787.8445,3011.51,92,70,76,98,99,75.242,69.938,70.548,79.302,80.0
95,373.47855,269.93954,294.45294,576.86975,773.9387,1265.3174,597.03577,672.4545,2947.69,3948.5442,2291.8105,2264.66,2271.088,2345.1453,2396.822,2592.1057,2502.551,2518.109,2750.3306,2940.0308,92,68,74,98,100,75.224,69.822,71.298,78.932,80.308
96,371.67508,269.93954,294.45294,573.8044,770.51074,1289.1396,600.9103,672.4545,2947.69,3513.9646,2291.3376,2264.66,2271.088,2344.3413,2395.923,2592.89,2502.551,2519.3257,2742.5703,2940.0308,92,71,76,98,100,75.644,70.47,71.122,79.786,81.066
97,369.59384,269.93954,294.45294,573.678,770.51074,1289.1396,600.9103,672.4545,2892.9192,3499.78,2290.792,2264.66,2271.088,2344.3083,2395.923,2592.221,2508.74,2518.109,2781.2725,2940.0308,92,73,76,98,100,75.748,70.344,71.17,79.438,80.264
98,368.9164,269.93954,292.35892,573.65375,770.51074,1351.7478,600.9103,672.37524,2947.69,3499.78,2290.6143,2264.66,2270.5388,2344.302,2395.923,2592.071,2505.1963,2514.093,2787.8445,2940.0308,92,72,76,99,100,75.628,69.586,70.818,79.598,80.368
99,368.9164,269.81638,290.73117,569.46967,767.2545,1328.2297,620.16394,709.2086,2968.2395,3499.78,2290.6143,2264.6277,2270.112,2343.2048,2395.0693,2590.2837,2508.74,2518.109,2784.8835,2919.9553,92,72,76,99,100,75.37,69.5,71.026,79.416,80.828
100,368.16574,266.76236,290.73117,569.408,757.335,1362.7106,620.1776,709.2086,2737.931,3347.5664,2290.4175,2263.8267,2270.112,2343.1885,2392.468,2590.2837,2505.766,2515.746,2767.2935,2905.2703,92,73,75,99,100,75.462,70.078,71.246,80.016,80.736
101,368.13135,266.76236,289.44348,567.13007,757.335,1362.7106,600.9103,672.37524,2737.931,3347.5664,2290.4084,2263.8267,2269.7744,2342.5913,2392.468,2584.1287,2505.766,2519.7883,2807.346,3022.595,92,73,76,99,100,75.294,69.074,71.542,79.652,81.198
102,366.73956,266.61594,289.44348,528.8517,757.335,1362.7106,600.9103,672.37524,2736.9204,3347.5664,2290.0435,2263.7883,2269.7744,2332.5537,2392.468,2585.4683,2507.0286,2521.5762,2834.65,3022.595,92,73,76,99,100,75.496,69.404,71.408,78.86,80.268
103,366.73618,266.4671,289.44348,528.8517,757.335,1328.2297,600.9103,672.37524,2736.9204,3347.5664,2290.0425,2263.7493,2269.7744,2332.5537,2392.468,2584.1287,2507.0286,2521.5762,2835.0872,3022.595,91,73,76,99,100,75.774,70.37,71.826,79.508,80.348
104,357.95233,266.46704,289.44348,528.8517,757.335,1328.2297,619.03296,697.5676,2736.9204,3585.527,2287.7393,2263.7493,2269.7744,2332.5537,2392.468,2584.1287,2509.8738,2524.0063,2831.5386,3022.595,92,73,75,99,100,75.842,70.594,71.628,79.634,80.348
105,353.53793,266.03766,289.44348,528.8517,757.335,1351.0408,619.10596,697.5676,2736.9204,3585.538,2286.5815,2263.6367,2269.7744,2332.5537,2392.468,2589.3108,2511.4783,2526.629,2820.0461,3022.595,92,73,75,99,100,75.608,71.402,72.454,79.964,81.214
106,353.53793,266.03766,289.44348,528.8517,757.335,1328.8525,620.11676,687.75055,2693.025,3347.5664,2286.5815,2263.6367,2269.7744,2332.5537,2392.468,2586.049,2505.766,2519.7883,2828.4016,3022.595,91,72,74,99,100,75.576,71.104,71.59,79.636,80.858
107,353.53793,265.48004,289.44348,528.8517,757.335,1328.8525,620.13873,713.0565,2693.3735,3347.5664,2286.5815,2263.4905,2269.7744,2332.5537,2392.468,2580.7595,2505.766,2525.4255,2837.504,3045.2334,91,72,74,99,100,75.448,69.944,71.496,79.056,81.794
108,353.53793,265.40814,286.32062,528.849,743.0205,1321.9777,620.13873,693.7981,2539.7205,3347.5664,2286.5815,2263.4717,2268.9556,2332.553,2388.7144,2583.4614,2514.3135,2525.4255,2828.4016,3058.2385,92,72,77,99,100,75.332,70.49,71.572,79.438,80.228
109,349.0857,265.40814,286.31534,521.73413,684.82733,1321.9777,620.13873,675.0752,2857.1504,3927.7527,2285.414,2263.4717,2268.954,2330.6873,2373.4546,2583.6646,2514.3135,2525.4255,2850.3315,3056.932,93,71,76,99,100,75.866,70.648,71.578,79.574,80.476
110,343.44278,265.40814,286.31534,521.73413,673.7486,1278.3334,620.13873,713.06396,2739.488,3347.5664,2283.9343,2263.4717,2268.954,2330.6873,2370.5496,2586.049,2515.4111,2526.5876,2819.3765,3022.595,93,72,78,100,100,76.0,70.018,71.234,79.896,80.398
111,343.44278,265.40814,286.31534,521.73413,673.2109,1277.2183,620.13873,713.06396,2488.466,3009.445,2283.9343,2263.4717,2268.954,2330.6873,2370.4084,2582.7876,2511.4783,2526.5876,2753.6506,2905.0706,93,72,78,100,100,75.794,70.156,71.552,79.78,80.842
112,341.21957,248.85571,284.37473,520.81726,673.2109,1266.0503,605.2507,713.06396,2491.0073,3027.151,2283.3516,2259.131,2268.4453,2330.4468,2370.4084,2582.7876,2510.4648,2524.3838,2753.6506,2905.0706,93,72,77,100,100,75.648,69.42,70.978,79.536,81.72
113,340.83072,248.85567,282.74954,514.76886,673.2109,1277.179,620.13873,740.95874,2491.0073,3090.9326,2283.2495,2259.131,2268.019,2328.8608,2370.4084,2582.7876,2514.3135,2531.8367,2753.6506,2916.7834,93,72,78,100,100,75.59,70.716,71.248,79.862,81.242
114,339.9212,248.85443,277.6982,514.76886,663.93854,1250.6125,620.2643,743.22614,2738.467,3090.0269,2283.011,2259.1309,2266.6943,2328.8608,2367.977,2582.7876,2516.0173,2533.7495,2753.6506,3001.2595,93,75,79,100,100,75.43,69.354,71.85,79.676,80.928
115,337.72815,247.0804,277.6982,514.76886,573.8391,1250.6125,620.2643,732.1365,2824.9563,3090.0269,2282.4358,2258.6655,2266.6943,2328.8608,2344.3506,2582.7876,2522.656,2531.002,2819.3765,3001.2595,94,75,79,100,100,75.53,70.022,71.108,79.928,81.304
116,337.33798,245.7118,277.6982,514.76886,573.8105,1258.1958,620.2451,727.3842,2824.9563,3225.4375,2282.3335,2258.3066,2266.6943,2328.8608,2344.343,2584.074,2522.0142,2537.258,2840.3901,3001.2595,94,76,79,100,100,75.792,70.134,71.316,80.078,80.94
117,334.34012,245.70242,277.3782,510.55927,569.2738,1248.5753,620.24316,732.3644,2824.9563,3710.4849,2281.5474,2258.3042,2266.6106,2327.7568,2343.1533,2579.8855,2510.4648,2531.9436,2840.3901,3001.2595,94,75,77,100,100,75.466,71.098,71.882,79.89,80.118
118,334.3345,245.70207,274.5837,495.41455,569.2738,1258.3131,620.24316,732.454,2821.006,3316.8237,2281.546,2258.3042,2265.8777,2323.7854,2343.1533,2582.7876,2520.2715,2537.258,2860.125,3022.595,95,75,79,100,100,75.518,69.07,72.468,79.696,80.026
119,332.16348,245.70207,274.5837,495.41455,541.102,1253.1788,620.24316,727.3842,2855.4258,3316.3005,2280.9768,2258.3042,2265.8777,2323.7854,2335.7659,2583.4385,2527.7788,2537.5562,2865.8735,3022.595,95,76,81,100,100,75.7,69.582,71.742,79.934,80.962
120,329.90018,240.89023,266.03766,495.41455,541.102,1258.3131,600.9103,712.899,2858.26,3316.3005,2280.3833,2257.0425,2263.6367,2323.7854,2335.7659,2583.4385,2530.0835,2537.258,2860.4712,3022.595,95,76,81,100,100,75.834,68.98,71.07,79.776,80.846
121,327.08817,240.88776,264.45386,495.41455,541.102,1257.8011,600.9103,712.899,2858.26,3316.3005,2279.6458,2257.0417,2263.2214,2323.7854,2335.7659,2583.4385,2530.0835,2538.8777,2819.3765,3001.2595,95,76,79,100,100,75.666,68.972,70.7,79.758,80.29
122,327.08713,239.92703,264.45386,495.41455,541.102,1248.5753,600.9103,712.899,2858.26,3736.5942,2279.6455,2256.7898,2263.2214,2323.7854,2335.7659,2581.4927,2530.0835,2538.8777,2770.246,3001.2595,94,76,79,100,100,75.392,68.856,70.51,79.798,80.936
123,326.40134,239.92474,264.45386,495.41455,541.10114,1248.571,600.9103,708.2061,2718.3818,3775.9016,2279.4658,2256.7893,2263.2214,2323.7854,2335.7656,2582.8975,2521.1707,2538.95,2750.4897,2980.6797,95,76,79,100,100,75.908,69.412,71.12,79.662,80.912
124,326.40134,239.92474,263.8354,495.41455,540.92474,1248.571,611.3631,712.899,2718.3818,3224.8118,2279.4658,2256.7893,2263.0593,2323.7854,2335.7195,2582.8975,2521.1707,2538.8777,2753.049,2980.6797,95,76,79,100,100,75.584,69.792,70.548,79.686,81.244
125,326.40134,239.92474,263.8354,495.41455,540.92474,1247.1918,611.35406,712.899,2664.904,3224.8118,2279.4658,2256.7893,2263.0593,2323.7854,2335.7195,2579.8855,2521.1707,2534.6904,2728.6682,2980.6797,95,76,79,100,100,76.142,69.292,71.146,79.752,80.988
126,326.20068,237.87373,263.8354,473.7338,540.9241,1249.353,611.35406,712.899,2667.3618,3224.8118,2279.413,2256.2515,2263.0593,2318.1003,2335.7192,2582.7515,2521.1707,2540.7717,2737.5696,2980.6797,95,76,79,100,100,75.576,69.79,71.132,80.012,82.332
127,324.42453,237.87373,255.17062,473.7083,540.9241,1248.571,600.9103,673.8056,2667.3618,3224.8118,2278.9473,2256.2515,2260.787,2318.0935,2335.7192,2582.637,2517.663,2534.6904,2748.485,2980.6797,95,76,79,100,100,75.784,69.836,70.808,79.882,81.33
128,322.84927,237.87373,251.7045,473.64337,540.9241,1248.571,600.9103,655.1133,2650.607,3224.8118,2278.5342,2256.2515,2259.8782,2318.0764,2335.7192,2575.2622,2510.0269,2528.26,2816.7202,2980.6797,94,76,79,100,100,75.926,70.118,71.202,80.308,81.128
129,322.84897,235.28763,247.8187,473.64337,540.9241,1248.571,600.9103,655.1133,2667.3618,3224.8118,2278.5342,2255.5732,2258.8591,2318.0764,2335.7192,2575.3364,2521.1707,2533.188,2750.6052,2980.6797,95,76,80,100,100,75.79,70.084,71.394,80.944,81.684
130,322.8488,235.28763,247.0804,473.56708,540.5352,1250.1326,600.9103,655.1133,2650.607,3224.8118,2278.5342,2255.5732,2258.6655,2318.0566,2335.6174,2575.3364,2521.1707,2531.8591,2750.6052,3022.595,95,76,80,100,100,75.812,70.232,70.71,80.548,80.966
131,322.8488,235.28763,246.1495,473.56708,539.8975,1250.1316,610.81067,671.80634,2650.607,3226.4333,2278.5342,2255.5732,2258.4216,2318.0566,2335.4502,2579.8855,2519.816,2531.8591,2816.7202,3022.595,94,76,82,99,100,76.084,70.724,71.636,80.188,82.322
132,321.68082,235.28763,245.14285,473.56708,539.8975,1250.1316,551.8011,673.8208,2529.8865,3226.4333,2278.2278,2255.5732,2258.1575,2318.0566,2335.4502,2581.8708,2522.679,2533.188,2837.1328,3022.595,95,76,82,99,100,76.086,71.3,71.842,80.246,81.424
133,320.75403,235.28763,245.12663,470.10547,539.8975,1242.8336,551.899,673.8208,2471.9219,3381.8179,2277.9849,2255.5732,2258.1533,2317.1487,2335.4502,2580.7598,2510.0269,2528.7798,2861.6985,3022.595,95,76,81,99,100,76.294,70.942,71.63,80.176,81.464
134,320.75403,235.28763,245.12663,464.01935,539.8975,1239.3481,551.9791,639.324,2471.9219,3398.1414,2277.9849,2255.5732,2258.1533,2315.5527,2335.4502,2574.937,2509.7334,2528.3044,2825.8022,3022.595,94,75,79,99,100,76.364,70.936,71.92,80.124,81.602
135,320.75403,235.28763,245.12663,464.01935,539.8975,1239.3481,551.9791,639.324,2471.9219,3398.2095,2277.9849,2255.5732,2258.1533,2315.5527,2335.4502,2579.8855,2509.7334,2528.5813,2829.9119,3022.595,94,76,80,99,100,76.724,69.31,71.988,80.038,81.222
136,318.9582,235.28763,245.12663,464.01935,539.8975,1250.1316,593.15735,657.6542,2440.084,3398.2095,2277.514,2255.5732,2258.1533,2315.5527,2335.4502,2574.937,2510.0427,2528.5813,2842.5422,3022.595,94,77,80,99,99,76.424,68.826,71.016,80.56,81.62
137,318.9582,235.28763,245.12663,464.01935,539.8975,1275.9818,593.15735,656.1074,2440.084,3398.2095,2277.514,2255.5732,2258.1533,2315.5527,2335.4502,2574.937,2518.1812,2528.3044,2842.5422,3022.595,94,77,81,99,99,76.23,68.536,71.214,80.074,81.34
138,318.9582,232.92198,245.12663,464.01935,539.8975,1250.1316,609.7325,656.1074,2436.3347,3398.2095,2277.514,2254.953,2258.1533,2315.5527,2335.4502,2574.937,2520.5256,2529.387,2843.3232,3022.595,95,77,81,99,100,76.228,69.016,71.606,80.052,82.338
139,318.6917,232.47371,245.12663,463.70523,539.8975,1250.1316,609.7325,676.42065,2436.3347,3398.2095,2277.444,2254.8354,2258.1533,2315.4705,2335.4502,2571.5056,2520.5256,2531.4995,2842.477,3014.3293,95,77,81,99,100,76.264,69.498,70.356,81.032,82.404
140,317.8293,232.47371,245.12663,463.70523,539.8975,1250.1316,609.7325,676.42065,2419.1255,3100.6433,2277.2178,2254.8354,2258.1533,2315.4705,2335.4502,2575.8013,2520.5256,2531.35,2845.9385,3014.3293,95,77,81,99,100,76.032,69.332,71.034,79.74,82.076
141,317.8293,232.47371,244.91177,463.70523,539.8975,1269.0842,593.15735,656.1074,2419.1255,3100.6433,2277.2178,2254.8354,2258.097,2315.4705,2335.4502,2573.8232,2520.5256,2529.387,2875.1558,3022.595,95,79,81,99,100,75.824,69.564,71.528,80.136,81.032
142,317.8293,232.47371,244.91177,463.70523,539.8975,1250.1316,593.15735,676.42065,2419.1255,3098.789,2277.2178,2254.8354,2258.097,2315.4705,2335.4502,2580.7598,2520.63,2531.4995,2875.1558,3022.595,95,79,82,99,100,76.128,70.028,71.232,80.502,81.336
143,317.32126,232.47371,244.91177,442.93143,539.8975,1279.4148,596.8171,676.42065,2285.79,3002.7004,2277.0847,2254.8354,2258.097,2310.023,2335.4502,2580.0474,2520.63,2531.4995,2833.0073,2987.252,94,79,82,99,100,75.868,69.686,70.748,80.588,81.66
144,316.88412,232.47371,244.91177,442.93143,539.8975,1285.531,596.8171,676.42065,2295.567,3014.4258,2276.97,2254.8354,2258.097,2310.023,2335.4502,2573.7952,2525.0122,2532.2493,2833.0073,2987.252,94,79,82,99,100,76.35,69.518,71.41,80.494,81.468
145,316.8716,232.47371,244.91177,442.5026,539.8975,1298.5375,609.7325,713.0314,2295.567,3012.582,2276.9668,2254.8354,2258.097,2309.9106,2335.4502,2577.7886,2520.63,2531.8591,2833.0073,2987.252,94,80,82,99,100,76.494,69.87,70.676,79.8,80.816
146,316.8716,232.47371,244.91177,442.5026,539.8975,1290.921,597.11346,713.0314,2286.6704,3016.9805,2276.9668,2254.8354,2258.097,2309.9106,2335.4502,2575.9688,2525.0122,2531.8591,2831.2756,2997.163,94,80,83,99,100,76.372,70.278,71.13,80.084,81.108
147,316.20374,232.47371,244.91177,442.5026,539.8975,1298.5375,597.11346,713.0314,2286.6704,3016.9805,2276.7915,2254.8354,2258.097,2309.9106,2335.4502,2573.8232,2525.0122,2531.4995,2831.2756,3076.391,94,80,83,99,100,76.388,69.824,71.456,80.072,80.912
148,314.7081,232.47371,244.91177,442.5026,539.8975,1266.9967,597.11346,713.0314,2286.6704,2985.161,2276.3994,2254.8354,2258.097,2309.9106,2335.4502,2571.8267,2526.3645,2531.4995,2831.2756,3037.7693,94,80,83,100,100,75.89,70.128,70.712,80.584,81.114
149,314.7081,232.47371,244.91177,442.5026,539.8975,1252.8348,597.11346,713.0314,2286.6704,2985.161,2276.3994,2254.8354,2258.097,2309.9106,2335.4502,2571.8267,2526.8625,2531.4995,2833.0073,3037.7693,94,80,85,99,100,76.048,70.528,71.188,80.38,81.59
150,314.7081,232.47371,244.91177,442.5026,539.8975,1239.948,597.11346,713.0314,2273.3088,2985.161,2276.3994,2254.8354,2258.097,2309.9106,2335.4502,2571.5056,2526.3645,2531.4995,2831.2756,2996.762,95,80,84,99,100,76.372,70.326,71.056,80.386,80.952
151,314.7081,232.47371,244.91177,442.5026,539.8975,1252.8348,597.11346,713.0314,2273.3088,2985.161,2276.3994,2254.8354,2258.097,2309.9106,2335.4502,2571.5056,2519.7563,2529.387,2831.2756,2996.762,94,81,84,99,100,76.062,69.352,70.672,80.144,80.954
152,314.7081,232.47308,244.91177,442.5026,539.8975,1252.8348,597.11346,681.0934,2273.3088,2984.2869,2276.3994,2254.8352,2258.097,2309.9106,2335.4502,2573.5425,2522.441,2529.387,2831.2756,2996.762,95,81,84,99,100,76.652,68.714,70.746,80.388,81.774
153,314.7081,232.47308,244.91177,442.5026,539.8975,1232.669,597.11346,681.0934,2392.4546,2984.2869,2276.3994,2254.8352,2258.097,2309.9106,2335.4502,2573.7952,2523.0608,2529.1865,2843.0405,2996.762,95,81,84,99,100,76.596,69.47,70.322,79.928,81.224
154,314.1301,232.47308,244.91177,441.74637,538.4157,1252.8348,597.11346,681.0934,2336.1973,2904.8293,2276.2478,2254.8352,2258.097,2309.7122,2335.0615,2577.1511,2521.3323,2528.1865,2843.0405,3028.275,95,81,85,99,100,76.614,69.318,70.578,80.06,80.776
155,314.11252,232.47308,244.91177,441.74637,538.40796,1252.8348,597.11346,681.0934,2336.2156,2902.7197,2276.2432,2254.8352,2258.097,2309.7122,2335.0596,2577.7788,2515.8076,2524.969,2815.0007,3028.275,94,80,84,99,100,76.82,68.434,70.702,80.04,80.542
156,314.11252,232.47308,244.91177,441.74637,536.8863,1252.8348,597.11346,681.0934,2336.2156,2902.7034,2276.2432,2254.8352,2258.097,2309.7122,2334.6604,2574.7083,2515.3901,2524.8108,2815.0007,3028.275,94,80,83,99,100,77.1,69.386,71.154,79.96,80.728
157,314.11166,232.47308,237.53783,427.68787,536.8863,1270.9318,597.11346,704.40216,2336.2156,2924.0613,2276.243,2254.8352,2256.1633,2306.026,2334.6604,2575.1724,2514.69,2524.2844,2843.6638,3039.7568,95,80,82,99,100,77.082,68.7,71.414,80.54,81.004
158,314.11166,232.47308,237.53783,420.76437,536.8863,1252.8348,597.11346,699.6496,2336.2156,2902.7034,2276.243,2254.8352,2256.1633,2304.2102,2334.6604,2574.7083,2515.3901,2523.9832,2837.164,3037.7693,94,78,82,99,100,77.098,68.054,70.708,80.202,81.79
159,314.11166,232.47308,237.53783,419.81006,536.8863,1252.8348,597.11346,700.0296,2336.2156,2902.7034,2276.243,2254.8352,2256.1633,2303.96,2334.6604,2573.7952,2515.3901,2523.8037,2836.3618,3037.7693,94,78,82,99,100,76.852,68.466,71.262,80.472,81.386
160,309.57043,232.47308,237.53783,419.81006,536.8863,1223.5918,597.11346,700.16675,2242.034,2837.8906,2275.0522,2254.8352,2256.1633,2303.96,2334.6604,2573.7952,2514.6892,2523.5515,2828.2815,3031.084,94,78,82,99,100,77.15,69.358,71.666,80.178,81.03
161,306.4602,232.47308,237.53783,419.62903,536.8863,1252.8348,614.3675,700.2087,2242.034,2837.8906,2274.2366,2254.8352,2256.1633,2303.9126,2334.6604,2573.7952,2515.1797,2523.0413,2828.2815,3031.084,94,78,84,99,100,77.028,69.74,70.734,80.358,81.782
162,306.4602,232.47308,237.53783,405.5887,536.8863,1252.8348,623.8905,700.2087,2336.2156,2837.8906,2274.2366,2254.8352,2256.1633,2300.2307,2334.6604,2576.986,2514.8923,2523.0413,2840.1377,3074.7952,95,78,84,99,100,76.87,68.936,70.446,80.884,81.534
163,306.4602,232.47308,236.43152,405.5887,536.8863,1268.045,623.8905,735.2003,2242.034,2837.8906,2274.2366,2254.8352,2255.8733,2300.2307,2334.6604,2579.487,2514.8926,2522.2986,2825.8052,3031.084,95,76,83,99,100,76.934,69.398,70.972,80.638,81.376
164,306.4602,232.47308,236.43152,405.5887,536.8863,1268.045,623.8905,735.5049,2336.2156,2837.8906,2274.2366,2254.8352,2255.8733,2300.2307,2334.6604,2573.0486,2513.0215,2517.0396,2826.1714,3031.084,95,73,82,99,100,76.924,69.908,71.014,80.558,80.932
165,304.87985,222.54964,236.43152,405.5887,536.8863,1267.2338,623.8905,745.1489,2336.2156,2874.9338,2273.8223,2252.233,2255.8733,2300.2307,2334.6604,2567.572,2507.6196,2514.8926,2828.4502,3031.084,94,72,80,99,100,77.052,70.21,71.438,80.044,81.254
166,304.22327,222.54964,236.43152,405.58328,536.8863,1252.8348,623.8905,753.9551,2379.7285,2874.9338,2273.65,2252.233,2255.8733,2300.2292,2334.6604,2569.4746,2507.4487,2514.8926,2883.7144,3074.7952,95,74,82,100,100,76.706,69.482,72.372,80.724,81.428
167,304.21558,222.54964,236.43152,405.58328,536.8863,1270.8243,623.8905,759.32587,2379.7285,2850.8237,2273.648,2252.233,2255.8733,2300.2292,2334.6604,2567.572,2505.1147,2513.0215,2825.8052,3031.084,94,74,82,100,100,76.352,69.298,72.108,80.348,81.514
168,301.4366,222.54964,236.38539,404.88666,536.8863,1284.3242,623.8905,759.32587,2222.1057,2850.8237,2272.9192,2252.233,2255.861,2300.0466,2334.6604,2567.572,2505.1147,2514.9053,2825.8052,3031.084,94,74,82,100,100,76.724,69.3,71.986,80.49,81.716
169,301.4366,222.54964,236.38423,404.88666,536.8863,1292.3666,623.8905,759.32587,2222.1057,2850.8237,2272.9192,2252.233,2255.8608,2300.0466,2334.6604,2567.572,2505.1147,2517.0396,2821.3875,2996.762,94,74,82,100,100,76.594,70.29,71.626,80.264,81.21
170,299.89868,222.54964,236.38034,404.88666,536.8863,1297.115,623.8905,759.32587,2229.7695,2850.8237,2272.516,2252.233,2255.8599,2300.0466,2334.6604,2566.9336,2504.905,2514.9053,2811.5085,2996.762,94,71,80,100,100,76.436,69.79,71.51,79.858,81.338
171,299.89868,222.54964,236.37679,404.88666,536.8863,1297.115,606.21796,754.2355,2379.7285,2850.8237,2272.516,2252.233,2255.859,2300.0466,2334.6604,2569.4746,2504.905,2514.9053,2811.5085,2996.762,94,74,82,100,100,75.942,70.604,71.694,80.07,81.168
172,299.89868,222.54964,234.6635,404.88666,536.8863,1297.115,606.1143,754.2069,2549.2222,3116.9617,2272.516,2252.233,2255.4097,2300.0466,2334.6604,2566.6912,2504.905,2514.9053,2801.0977,2906.8162,94,74,80,100,100,76.03,70.898,72.782,79.972,81.748
173,299.89868,221.06003,234.6635,404.88666,536.8863,1297.115,606.0386,754.2069,2549.2222,3116.9617,2272.516,2251.8423,2255.4097,2300.0466,2334.6604,2569.4746,2505.1147,2516.3855,2832.2993,3073.364,95,76,82,100,100,76.48,70.762,72.306,79.46,81.806
174,299.67706,220.72667,234.6635,404.88666,536.8863,1297.115,605.9843,754.2069,2549.2222,3223.035,2272.4578,2251.755,2255.4097,2300.0466,2334.6604,2567.572,2503.3904,2517.0396,2811.5085,3073.364,94,74,82,100,100,76.248,69.73,71.66,80.39,81.416
175,299.67706,220.72667,234.1592,404.88666,536.8863,1292.3666,593.15735,728.9464,2549.2222,3222.2888,2272.4578,2251.755,2255.2773,2300.0466,2334.6604,2566.6711,2504.905,2518.244,2840.1301,3054.3477,95,74,82,100,100,76.588,70.576,72.7,79.702,80.902
176,299.67706,220.72667,234.14682,404.88666,536.8863,1294.7264,593.15735,728.9464,2549.2222,3129.294,2272.4578,2251.755,2255.2742,2300.0466,2334.6604,2567.572,2505.1147,2521.3523,2811.5085,3054.3477,95,74,83,100,100,76.366,70.434,72.534,80.484,81.482
177,299.67706,220.3087,234.14682,404.87756,533.0087,1303.7324,593.15735,733.83453,2471.8853,3132.3418,2272.4578,2251.6453,2255.2742,2300.0442,2333.6438,2567.6165,2505.1147,2521.3523,2811.5085,3054.3477,95,71,80,100,100,76.436,70.064,72.262,80.608,81.364
178,299.32837,219.3626,234.13799,404.87756,531.1226,1303.7324,593.15735,733.83453,2471.8853,3132.3418,2272.3665,2251.3972,2255.2717,2300.0442,2333.1492,2567.6165,2505.1147,2521.3523,2811.5085,3074.7952,95,71,80,100,100,76.282,70.56,72.538,80.548,81.742
179,299.31668,219.3626,234.13799,404.87756,528.401,1303.7324,593.15735,733.83453,2471.8853,3132.3418,2272.3633,2251.3972,2255.2717,2300.0442,2332.4355,2570.9402,2514.2864,2522.667,2825.384,3074.7952,95,76,83,100,100,76.124,70.65,72.346,80.732,81.898
