id,view,Expression,Numpy,Math,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,859.9873417721437,"t[0]","$$\theta_{0}$$",859.9873417721437,1,1.09135959808524e7,1.09135959808524e7,8597666.713718057,1.09135959808524e7,2.220446049250313e-16,2.220446049250313e-16,-4.614799658393398e-4,1.09135959808524e7,1.09135959808524e7,8597666.713718057
1,0,(x1 * 368.1751709626505),"(x[:, 1] * t[0])","$$\left(x_{1} \cdot \theta_{0}\right)$$",368.1751709626505,3,1.0837711644519214e7,1.0837711644519214e7,8542249.065397568,1.0837711644519214e7,6.953192739251768e-3,6.953192739251768e-3,5.987155960752055e-3,1.083771494035608e7,1.083771494035608e7,8542252.361234434
2,0,(Sqrt(x1) * 642.7164385047234),"(np.sqrt(x[:, 1]) * t[0])","$$\left(\operatorname{sqrt}(x_{1}) \cdot \theta_{0}\right)$$",642.7164385047234,4,1.0828312597390579e7,1.0828312597390579e7,8523795.786462108,1.0828312597390579e7,7.814416404222091e-3,7.814416404222091e-3,8.134458870800554e-3,1.0828318142568024e7,1.0828318142568024e7,8523801.331639552
3,0,(1668.83468257448 ^ Sin(Sqrt(x1))),"t[0] ** np.sin(np.sqrt(x[:, 1]))","$$\theta_{0}^{\operatorname{sin}(\operatorname{sqrt}(x_{1}))}$$",1668.83468257448,5,1.0570510389122786e7,1.0570510389122786e7,8331533.79151446,1.0570510389122786e7,3.143653039122507e-2,3.143653039122507e-2,3.050689157973563e-2,1.0570518436312348e7,1.0570518436312348e7,8331541.838704023
4,0,(5268.5396509556795 ^ Sin((x0 ^ x1))),"t[0] ** np.sin(x[:, 0] ** x[:, 1])","$$\theta_{0}^{\operatorname{sin}(x_{0}^{x_{1}})}$$",5268.5396509556795,6,9218859.752086384,9218859.752086384,7338022.203069893,9218859.752086384,0.15528669301478515,0.15528669301478515,0.1461161734041322,9218869.408713859,9218869.408713859,7338031.859697367
5,0,Exp((((-2.3147437860368565 ^ x1) + -0.706169253160404) * -0.6236754955938948)),"np.exp(((t[0] ** x[:, 1] + t[1]) * t[2]))","$$\operatorname{exp}(\left(\left(\theta_{0}^{x_{1}} + \theta_{1}\right) \cdot \theta_{2}\right))$$",-2.3147437860368565;-0.706169253160404;-0.6236754955938948,8,9037383.129768923,9037383.129768923,7470983.950855806,9037383.129768923,0.17191518307762577,0.17191518307762577,0.1306441725231846,9037397.463844677,9037397.463844677,7470998.284931559
6,0,Exp((Sin((x1 * 424.0086267131195)) * (23.057904659374202 + x1))),"np.exp((np.sin((x[:, 1] * t[0])) * (t[1] + x[:, 1])))","$$\operatorname{exp}(\left(\operatorname{sin}(\left(x_{1} \cdot \theta_{0}\right)) \cdot \left(\theta_{1} + x_{1}\right)\right))$$",424.0086267131195;23.057904659374202,9,9037019.004746923,9037019.004746923,7470568.945160295,9037019.004746923,0.17194854742633714,0.17194854742633714,0.13069246437097892,9037035.130582146,9037035.130582146,7470585.070995518
7,0,((x2 - (x0 * -2028.2456480123567)) ^ Sin((x1 ^ x1))),"(x[:, 2] - (x[:, 0] * t[0])) ** np.sin(x[:, 1] ** x[:, 1])","$$\left(x_{2} - \left(x_{0} \cdot \theta_{0}\right)\right)^{\operatorname{sin}(x_{1}^{x_{1}})}$$",-2028.2456480123567,10,8979570.620583335,8979570.620583335,7224669.708695117,8979570.620583335,0.1772124754904124,0.1772124754904124,0.15930635721284658,8979591.414998751,8979591.414998751,7224690.5031105345
8,0,((Log(x2) ^ (x1 * x0)) ^ Sin(Exp((Sqrt(Sqrt(x0)) * Sqrt((x1 * 0.7830992392551082)))))),"np.log(x[:, 2]) ** (x[:, 1] * x[:, 0]) ** np.sin(np.exp((np.sqrt(np.sqrt(x[:, 0])) * np.sqrt((x[:, 1] * t[0])))))","$$\operatorname{log}(x_{2})^{\left(x_{1} \cdot x_{0}\right)}^{\operatorname{sin}(\operatorname{exp}(\left(\operatorname{sqrt}(\operatorname{sqrt}(x_{0})) \cdot \operatorname{sqrt}(\left(x_{1} \cdot \theta_{0}\right))\right)))}$$",0.7830992392551082,17,8220354.35379813,8220354.35379813,Infinity,8220354.35379813,0.24677857158900618,0.24677857158900618,-Infinity,8220393.49774471,8220393.49774471,Infinity
9,0,(Sqrt(((Log(x2) + x0) * 0.5)) * (((x2 ^ 3.115935149580233) - (x0 * -6.727351179357655)) / (-26.37915787410702 + (x0 ^ x1)))),"(np.sqrt(((np.log(x[:, 2]) + x[:, 0]) * 0.5)) * ((x[:, 2] ** t[0] - (x[:, 0] * t[1])) / (t[2] + x[:, 0] ** x[:, 1])))","$$\left(\operatorname{sqrt}(\left(\left(\operatorname{log}(x_{2}) + x_{0}\right) \cdot 0.5\right)) \cdot \frac{\left(x_{2}^{\theta_{0}} - \left(x_{0} \cdot \theta_{1}\right)\right)}{\left(\theta_{2} + x_{0}^{x_{1}}\right)}\right)$$",3.115935149580233;-6.727351179357655;-26.37915787410702,21,6177322.356891751,6177322.356891751,8763620.39878712,6177322.356891751,0.4339791973489133,0.4339791973489133,-1.9772564577327012e-2,6177372.71269248,6177372.71269248,8763670.75458785
