gen,fevals_median,fevals_p5,fevals_p10,fevals_p90,fevals_p95,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,2159,1911,1949,2364,2453,0.0021466142,0.0012235236,0.0012307166,0.008924475,0.015635187,0.0022956552,0.0014509419,0.001463751,0.0099689225,0.016330173,-380.18841552734375,-444.8364562988281,-444.16241455078125,-216.3242950439453,-151.84072875976562,-342.3616027832031,-420.80682373046875,-414.3666687011719,-190.04312133789062,-113.44477081298828,17.917595,3.295837,6.931472,35.155594,40.864113,9.510056,5.3017716,6.0781527,15.061738,17.083557,10,3,5,16,20,9.04878,8.0,8.264706,9.756757,10.05
2,4560,4114,4192,4989,5057,0.0013305354,0.001169942,0.0012235236,0.0045221034,0.0070869047,0.0016194837,0.0013864088,0.0014450286,0.004715577,0.008360627,-435.19415283203125,-449.9862060546875,-444.8364562988281,-294.50360107421875,-242.83741760253906,-399.37579345703125,-427.9058532714844,-424.7766418457031,-257.3557434082031,-233.39666748046875,17.513191,6.931472,6.931472,33.271065,35.155594,10.262684,6.3948383,6.7972436,16.693846,19.589407,9,5,5,16,17,10.295082,9.041667,9.298245,11.369231,11.553846
3,7132,6489,6548,7723,8192,0.0012307168,0.0011634105,0.0012167405,0.0017646976,0.0026389954,0.0014637609,0.0013864087,0.0014113041,0.0038997065,0.010938364,-444.1623840332031,-450.630126953125,-445.4757995605469,-402.7183837890625,-356.440185546875,-413.966796875,-429.6125183105469,-427.90496826171875,-361.07269287109375,-314.0477600097656,16.125835,6.931472,6.931472,33.271065,35.026382,10.306048,6.309848,7.271857,15.718209,18.07815,9,5,5,16,16,11.828571,10.4,10.515152,13.12987,13.759036
4,9881,8918,9083,10839,11283,0.0012307164,0.0010309347,0.0012107083,0.0013413588,0.0017078106,0.001463754,0.001255566,0.0013984672,0.0025706654,0.008611931,-444.16241455078125,-464.53240966796875,-446.04736328125,-434.2624206542969,-406.486572265625,-418.6914978027344,-429.6127014160156,-429.6125183105469,-395.83843994140625,-380.5455017089844,12.875504,6.931472,6.931472,33.271065,35.155594,10.163223,6.8269997,7.275333,15.168471,17.39688,8,5,5,16,17,13.314607,11.35443,11.705129,15.263737,15.780952
5,12803,11515,11682,14056,14641,0.0012307165,0.0010162994,0.001209497,0.0012628471,0.0013675513,0.0014637525,0.0012447984,0.0014354177,0.0019103517,0.002354384,-444.16241455078125,-466.1766662597656,-446.1624755859375,-441.19854736328125,-432.0385437011719,-421.99212646484375,-429.9771423339844,-429.6126403808594,-402.7684326171875,-395.8402404785156,11.266066,6.931472,6.931472,29.188652,35.026382,9.3314905,6.3948383,7.2325945,15.354743,18.562284,7,5,5,15,16,14.846847,12.655914,13.032258,17.195122,17.664
6,15879,14080,14411,17479,18249,0.0012307165,0.00095683034,0.0010917367,0.001243354,0.0013143102,0.0014637521,0.0011050261,0.0014112995,0.001914978,0.0031196317,-444.16241455078125,-473.1108093261719,-457.9425048828125,-442.987548828125,-436.6051330566406,-423.51544189453125,-429.99908447265625,-429.9771423339844,-407.6191711425781,-402.7684326171875,11.266066,6.931472,6.931472,29.188652,35.026382,9.371909,6.3948383,7.2324395,14.363972,18.562284,7,5,5,15,17,16.361538,13.803922,14.394495,18.835714,19.302013
7,19043,17018,17384,20893,21657,0.0012307164,0.00095683034,0.0010917367,0.0012307179,0.0012838336,0.0014637515,0.0011050261,0.0014283971,0.0016601597,0.0020514266,-444.16241455078125,-473.1108093261719,-457.9425048828125,-444.1622619628906,-439.3031921386719,-424.68731689453125,-429.99908447265625,-429.99822998046875,-413.5041198730469,-407.6191711425781,11.266066,6.931472,6.931472,29.11218,34.538776,9.32733,7.2318335,7.2325945,13.151428,18.332447,7,5,5,14,15,17.818792,15.227642,15.893129,20.538961,20.81761
8,22348,19862,20145,24253,25375,0.0012307165,0.0008546666,0.0009546744,0.0012329253,0.0013404558,0.0014637513,0.001105034,0.0013864089,0.0016365533,0.0019486474,-444.16241455078125,-486.0960388183594,-473.3702697753906,-443.9562072753906,-434.3398742675781,-425.1783752441406,-434.7291564941406,-429.99908447265625,-416.68756103515625,-409.3426818847656,11.266066,6.931472,6.931472,29.188652,35.155594,9.327338,6.276864,7.2324395,15.020668,17.46014,7,5,5,15,17,19.355421,16.6,17.367348,22.239765,22.93
9,25816,22497,23246,27874,29091,0.0012307164,0.0007605648,0.00089515414,0.001230718,0.0012838332,0.0014637513,0.00106948,0.001209076,0.0015115007,0.0019069393,-444.16241455078125,-499.51080322265625,-480.7733154296875,-444.1622619628906,-439.30322265625,-425.67431640625,-436.038330078125,-432.1863098144531,-417.7225036621094,-412.8664855957031,11.266066,6.931472,6.931472,35.155594,46.701843,9.327864,6.276864,7.2324395,15.064671,18.059671,7,5,5,17,24,20.917526,17.928057,18.51634,23.934673,24.233334
10,29307,25347,26314,31352,32750,0.0012307165,0.0006326323,0.0007951494,0.001230718,0.0012838332,0.001463751,0.000995455,0.0011050261,0.001511412,0.0019069237,-444.1623840332031,-520.6905517578125,-494.3968811035156,-444.1622619628906,-439.30322265625,-427.4164123535156,-439.44305419921875,-434.31353759765625,-417.7955017089844,-413.966796875,9.704061,6.931472,6.931472,43.749115,63.719513,9.326008,6.2486973,7.231744,18.059671,27.767258,7,5,5,19,29,22.291458,18.961538,19.694445,25.502222,26.113636
