gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,0.03317199,0.014153484,0.01934845,0.046102434,0.050774716,0.042436644,0.014954801,0.023280323,0.058131237,0.06997643,911.5206,150.78061,358.57925,1428.7384,1615.6298,938.01544,180.27383,411.29718,1488.3206,1638.2845,19.4591,9.656628,11.266066,37.352818,39.509388,8.984114,4.8723755,5.4655643,14.943972,17.50109,10,6,7,18,20,6.002,5.64,5.718,6.29,6.378
2,0.028012538,0.011371471,0.0130481515,0.03747598,0.03780276,0.03325931,0.012940861,0.0138916895,0.049577024,0.05103073,705.1427,39.50006,106.56729,1083.6804,1096.7516,753.291,79.715675,143.62396,1102.6725,1130.4009,19.4591,9.656628,10.750557,37.352818,39.509388,9.483115,5.054653,5.366578,16.22283,21.778387,10,6,7,18,20,5.782,5.246,5.376,6.234,6.286
3,0.023025231,0.0072914422,0.0106275715,0.03544179,0.037379414,0.028961085,0.008377501,0.0118593,0.045879792,0.049677756,505.65048,-123.70108,9.74408,1002.31274,1079.8176,570.027,-64.97098,78.90595,1033.6754,1123.2577,23.350922,9.656628,11.266066,39.509388,52.959457,10.996212,5.054653,5.3995285,18.298296,24.686676,12,6,7,19,23,5.722,5.114,5.244,6.454,6.536
4,0.02102169,0.006099927,0.008242432,0.033854254,0.036746155,0.024179442,0.0062956153,0.008996516,0.043177735,0.048852567,425.50882,-171.36168,-85.66147,938.8113,1054.4873,463.27582,-127.80585,-23.477755,969.45355,1079.1122,25.084633,9.656628,14.334076,41.446533,50.3558,11.033442,5.0546536,5.5754075,16.786766,26.567242,13,6,8,19,23,5.808,5.06,5.166,6.754,7.072
5,0.020660253,0.0060999244,0.007291438,0.033778075,0.035873797,0.023383858,0.0062956153,0.008377468,0.043177247,0.04953559,411.0513,-171.36177,-123.70123,935.76416,1019.593,458.06284,-127.80585,-66.87054,963.6864,1035.9191,25.296831,10.750557,14.4849415,45.747715,55.151592,11.742043,5.054653,5.5754075,17.761623,25.567852,13,6,9,21,24,6.13,4.902,5.156,7.304,7.488
6,0.019915672,0.0047669276,0.006444388,0.03254729,0.03384412,0.023178486,0.0050097425,0.008006529,0.042384926,0.04740371,381.2681,-224.68164,-157.58322,886.5327,938.406,425.70407,-161.31151,-114.70633,926.8367,970.06244,27.242743,12.542316,16.09438,48.354286,55.262043,12.445877,5.054653,6.6633167,19.621265,25.926022,14,7,9,21,24,6.71,4.954,5.344,8.182,8.488
7,0.017116161,0.004445536,0.005239809,0.032278422,0.032556206,0.019058838,0.004362111,0.006005664,0.041878454,0.043177262,269.2877,-237.53731,-205.76639,875.7781,886.8893,316.6656,-188.18835,-140.288,904.8859,928.3306,29.188652,12.542316,16.09438,50.536167,57.56463,12.902116,5.7985287,7.87601,23.109552,27.047888,15,8,9,23,27,7.586,5.158,5.58,9.208,9.98
8,0.015367701,0.0029337825,0.0052251746,0.03194351,0.032556206,0.016935905,0.003089248,0.005670076,0.041696243,0.043177012,199.34927,-298.00745,-206.35178,862.3816,886.8893,256.29306,-223.7824,-156.95706,902.124,928.3306,31.134562,12.542316,16.09438,52.959457,62.383247,13.916382,7.203369,8.005805,23.56102,27.274689,15,8,9,24,28,8.568,5.822,6.198,10.916,11.772
9,0.014467112,0.0028208704,0.0045804963,0.030416386,0.032278422,0.016375713,0.0029841636,0.0050097974,0.04113311,0.04209267,163.32571,-302.52393,-232.1389,801.29663,875.7781,217.10703,-233.5564,-158.25377,846.4976,928.3306,31.134562,14.4849415,16.125835,54.930614,62.383247,14.517554,7.876012,8.352548,24.333418,32.312668,16,9,10,26,28,9.636,6.112,6.968,12.48,13.686
10,0.011932583,0.0021770904,0.0028208704,0.030416386,0.03194351,0.012940861,0.0024366856,0.0029841636,0.040776953,0.04209267,61.94455,-328.27512,-302.52393,801.29663,862.3816,127.45175,-246.52414,-233.5564,846.4976,928.3306,38.9182,16.09438,17.703817,57.12784,67.14107,15.063704,7.542881,8.515032,23.717405,33.099224,18,9,10,28,30,11.164,6.572,7.904,14.464,15.708
