gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
1,9.748359e-5,6.840545e-5,9.281381e-5,0.00018488066,0.00018488066,0.00014284173,8.05515e-5,0.00013073158,0.00014923316,0.00014923316,6951.7866,3284.3062,6362.81,17974.74,17974.74,6971.0127,3319.6853,6383.8525,18019.748,18019.748,8,5,5,14,14
2,9.558682e-5,6.840547e-5,7.395122e-5,0.000114962306,0.000114962306,0.00014215543,8.0552156e-5,0.000115984774,0.00014923316,0.00014923316,6712.556,3284.308,3983.766,9156.289,9156.289,6762.084,3315.801,4015.9084,9186.827,9186.827,8,5,5,14,14
3,9.551873e-5,6.840547e-5,7.243341e-5,0.00011495694,0.00011495694,0.00014208369,8.0552156e-5,9.3331764e-5,0.0001492378,0.0001492378,6703.9673,3284.308,3792.3315,9155.611,9155.611,6750.2515,3315.801,3829.8562,9174.567,9174.567,9,5,5,14,14
4,9.281381e-5,6.8405425e-5,7.243341e-5,0.00011449576,0.00011449576,0.00013401343,8.055212e-5,9.3331764e-5,0.00014535949,0.00014535949,6362.81,3284.3032,3792.3315,9097.445,9097.445,6383.8525,3315.7961,3829.8562,9135.766,9135.766,9,6,8,17,17
5,9.2479124e-5,6.732604e-5,6.840548e-5,0.00011134235,0.00011134235,0.00013160348,7.2733805e-5,8.0552105e-5,0.00014211838,0.00014211838,6320.598,3148.1655,3284.31,8699.721,8699.721,6340.685,3204.0347,3305.6602,8730.098,8730.098,9,5,6,17,17
6,6.9522706e-5,6.3217936e-5,6.6208835e-5,0.00011134235,0.00011134235,0.00010604318,7.877933e-5,7.977908e-5,0.00014211838,0.00014211838,3425.2192,2630.0303,3007.2583,8699.721,8699.721,3469.393,2693.049,3063.2446,8730.098,8730.098,16,6,9,34,34
7,6.751269e-5,5.769137e-5,6.0826922e-5,9.1665126e-5,9.1665126e-5,8.7099834e-5,6.318964e-5,7.877933e-5,0.00012015913,0.00012015913,3171.7065,1932.9927,2328.4639,6217.932,6217.932,3246.5898,2001.12,2426.7805,6260.589,6260.589,25,12,14,32,32
8,6.620887e-5,2.6880916e-5,5.8430196e-5,9.1665126e-5,9.1665126e-5,8.7099834e-5,2.890206e-5,6.713922e-5,0.00012015913,0.00012015913,3007.2622,-1952.9753,2026.1772,6217.932,6217.932,3102.9717,-1840.19,2073.577,6260.589,6260.589,21,12,13,45,45
9,6.0244376e-5,2.6880916e-5,5.4453834e-5,6.902001e-5,6.902001e-5,7.7893026e-5,2.890206e-5,6.4240245e-5,0.00010676987,0.00010676987,2254.9902,-1952.9753,1524.6587,3361.817,3361.817,2314.2507,-1840.19,1742.6522,3408.583,3408.583,20,13,13,61,61
10,6.0234484e-5,2.5062967e-5,3.7340804e-5,6.7742236e-5,6.7742236e-5,7.3649026e-5,2.8721148e-5,4.5507313e-5,0.00010504704,0.00010504704,2253.7432,-2182.2642,-633.72217,3200.6577,3200.6577,2312.674,-2079.832,-485.9144,3233.423,3233.423,30,11,15,59,59
