gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,5202.0625,4354.887,4432.6045,6074.786,6642.1255,4194.272,3382.221,3457.7502,4857.2183,5371.055,17866.87109375,17588.1484375,17615.884765625,18110.052734375,18250.05078125,17911.857421875,17614.318359375,17635.205078125,18134.74609375,18275.8046875,12.542316,3.295837,3.295837,30.761145,38.366325,10.659157,8.489515,8.613078,16.510756,17.95295,7,3,3,14,17,8.928572,7.935484,8.242424,9.674418,9.95122
2,4841.584,4219.9204,4335.856,5552.4966,6047.9883,3834.956,3278.153,3376.6865,4382.277,4760.8047,17754.267578125,17538.783203125,17581.279296875,17969.091796875,18103.12109375,17797.255859375,17586.197265625,17613.310546875,18043.677734375,18126.203125,18.714973,3.295837,5.4930615,39.758507,44.72832,11.510519,8.489515,8.783123,17.720608,21.020603,10,3,4,17,19,10.17742,9.019608,9.240741,11.216666,11.411765
3,4566.4214,4013.5571,4207.1216,5145.463,5315.4624,3545.149,3172.5542,3264.3633,4139.9863,4311.25,17662.51953125,17460.166015625,17534.021484375,17849.71484375,17900.68359375,17713.791015625,17547.228515625,17569.525390625,17886.333984375,17958.447265625,20.794415,5.5451775,8.04719,46.16909,52.753696,12.404791,7.9801235,8.283081,24.236109,29.550503,10,4,5,19,22,11.7625,10.38806,10.528571,12.786667,13.204545
4,4449.338,3824.2512,4067.7788,5121.8975,5145.465,3481.3647,2900.307,3195.4944,4086.1545,4141.3184,17621.79296875,17384.41015625,17481.20703125,17842.517578125,17849.716796875,17670.4140625,17433.5,17560.076171875,17879.626953125,17925.4765625,26.366695,6.931472,9.656628,50.65687,60.996952,13.087042,8.158239,8.802933,28.273098,36.40404,12,5,6,22,24,13.247191,11.5,11.753246,14.67742,15.132744
5,4364.996,3233.899,3629.525,4806.0005,5122.286,3382.3105,2600.8992,2883.7632,3891.6052,4141.3486,17591.783203125,17121.49609375,17302.462890625,17742.701171875,17842.638671875,17633.646484375,17225.369140625,17414.24609375,17862.013671875,17925.4765625,35.155594,9.656628,11.266066,76.73265,100.28418,16.488747,8.943321,10.502282,42.80847,76.7993,16,6,7,31,38,14.716981,12.644444,13.066038,16.705883,17.147287
6,4240.1055,3019.857,3453.3508,4669.051,4806.0005,3348.4863,2557.1958,2643.7427,3702.5054,3888.9443,17546.265625,17014.119140625,17224.4453125,17697.37109375,17742.701171875,17613.796875,17135.552734375,17317.376953125,17820.205078125,17877.3125,46.0517,11.266066,14.334076,105.61396,109.83413,18.163095,10.466721,10.743292,47.851112,88.34206,20,7,8,38,40,16.330578,14.247525,14.449541,18.653334,19.37324
7,4117.4253,2995.1887,3233.899,4612.1436,4805.0625,3210.6653,2453.9614,2600.8992,3649.3826,3831.6968,17500.23046875,17001.259765625,17121.49609375,17678.140625,17742.39453125,17579.966796875,17073.509765625,17225.369140625,17803.4140625,17896.9921875,48.354286,11.266066,18.714973,107.66211,112.724495,19.951004,10.743292,11.1898,58.210876,112.35398,21,7,10,39,41,17.915033,15.691057,15.87395,20.4,21.120806
8,3970.502,2943.328,3188.045,4526.8145,4649.0117,3077.423,2352.3484,2557.1309,3523.5305,3707.3696,17443.25390625,16973.87109375,17099.103515625,17648.861328125,17690.625,17524.513671875,17057.904296875,17159.97265625,17745.24609375,17796.98046875,50.65687,16.125835,21.405012,108.20135,135.84747,21.99515,10.990017,11.560257,61.65545,81.295944,22,9,11,40,49,19.6,16.848484,17.4,22.157635,22.954287
9,3905.019,2780.058,3017.6426,4422.801,4594.561,3056.2834,2287.8171,2435.126,3581.0574,3831.6968,17417.1796875,16884.388671875,17012.970703125,17612.412109375,17672.154296875,17509.98046875,17035.185546875,17143.724609375,17771.62890625,17902.197265625,52.959457,16.125835,24.16947,116.44616,161.86082,22.892614,11.1898,12.883096,74.13764,112.35398,23,9,12,45,60,21.139038,18.246666,18.569767,24.014635,24.52193
10,3815.0542,2666.4329,2995.1887,4386.6753,4535.163,2991.2288,2197.3184,2352.3484,3499.2788,3583.121,17380.6328125,16818.955078125,17001.259765625,17599.55078125,17651.75,17487.19921875,16991.44921875,17068.09375,17764.515625,17790.951171875,62.169796,22.873857,25.296831,121.993904,161.59181,24.360725,11.005356,12.1192665,84.90865,137.31203,25,11,13,46,60,22.403141,19.51111,20.01087,25.497675,26.423964
11,3743.5522,2638.6064,2707.9507,4353.087,4432.1714,2960.3804,2029.2883,2139.744,3441.3694,3529.6055,17350.966796875,16802.505859375,16843.181640625,17587.5,17615.73046875,17468.3203125,16915.94140625,16995.65234375,17691.990234375,17790.951171875,71.93686,25.296831,29.11218,133.16103,161.59181,26.278759,12.559518,14.490976,74.13764,132.50755,29,13,14,49,60,23.95283,20.516853,21.389473,27.42912,27.996016
12,3658.7385,2545.7327,2666.4116,4299.928,4377.9087,2812.2085,2029.0848,2139.744,3321.7305,3456.7295,17315.03125,16746.3203125,16818.94140625,17568.234375,17596.416015625,17409.416015625,16865.34765625,16995.65234375,17689.05859375,17788.435546875,76.94848,25.296831,29.188652,145.14815,162.48302,28.465155,13.671434,15.072524,80.909256,137.31203,31,13,14,54,60,25.596708,22.26291,22.629808,28.767273,29.887682
13,3479.946,2495.3354,2652.5576,4212.494,4371.4355,2732.9927,2016.0725,2058.4617,3321.7305,3456.7295,17236.47265625,16714.966796875,16810.7734375,17536.021484375,17594.095703125,17369.0625,16816.6875,16969.595703125,17700.462890625,3.4028234663852886e38,82.07838,29.11218,39.143948,146.23471,180.21826,30.974962,14.490976,16.459557,106.30485,3.4028235e38,32,14,17,55,65,27.036144,23.652174,24.213636,30.621723,31.614618
14,3394.7441,2495.3345,2638.6064,4194.7285,4297.0835,2732.9927,2016.0725,2058.4617,3285.586,3339.1196,17197.60546875,16714.966796875,16802.505859375,17529.39453125,17567.197265625,17369.0625,16808.677734375,16964.97265625,17689.677734375,17759.724609375,87.208275,29.188652,43.749115,177.44568,205.81181,35.475945,15.072524,16.636127,81.62338,137.31203,35,15,19,64,73,28.544483,25.055119,25.226278,32.583027,33.337704
15,3347.9268,2468.4272,2629.4417,4165.5933,4222.736,2659.4163,2016.0725,2045.3755,3288.062,3413.973,17175.830078125,16697.966796875,16797.048828125,17518.466796875,17539.830078125,17363.068359375,16816.900390625,16958.224609375,17751.404296875,3.4028234663852886e38,99.813194,46.0517,50.65687,191.30862,209.65779,41.618973,16.30122,18.394268,157.5142,3.4028235e38,39,19,22,67,76,29.96584,26.466135,26.639576,34.109245,35.12766
16,3322.9905,2434.5679,2604.7754,4113.901,4220.173,2631.173,2016.0725,2032.72,3282.5483,3321.7305,17164.107421875,16676.310546875,16782.271484375,17498.88671875,17538.87890625,17338.8046875,16816.900390625,16923.908203125,17643.666015625,17756.396484375,100.03303,46.0517,51.29899,179.20305,202.32602,40.398533,14.494067,17.40011,106.30485,191.14253,39,19,22,65,70,31.355684,27.460526,27.741379,35.51337,36.65602
17,3287.1628,2391.4048,2587.5432,4000.8457,4122.395,2614.3696,1985.5084,2032.72,3255.5388,3306.9944,17147.109375,16648.26171875,16771.86328125,17455.193359375,17502.12109375,17338.8046875,16816.900390625,16923.908203125,17669.015625,3.4028234663852886e38,107.727875,46.0517,57.549488,202.32602,222.25014,41.410717,16.636127,18.394268,157.5142,3.4028235e38,41,20,24,70,78,32.495575,28.523077,29.207119,36.488373,38.087208
18,3195.2969,2382.0208,2489.6477,3983.1252,4096.76,2514.5413,1898.2463,2018.4027,3199.965,3295.3484,17102.666015625,16642.095703125,16711.388671875,17448.232421875,17492.33984375,17320.380859375,16816.900390625,16867.39453125,17679.7890625,3.4028234663852886e38,110.49532,43.749115,59.867214,191.30862,216.77788,46.58988,16.75862,19.505903,178.77744,3.4028235e38,42,19,26,66,75,34.048782,29.503105,30.427244,37.74696,39.772182
19,3108.3228,2331.7563,2474.8486,3983.1252,4051.5764,2501.355,1898.2463,2021.0782,3277.5947,3338.649,17059.39453125,16608.654296875,16702.041015625,17448.232421875,17474.94921875,17303.84375,16800.5703125,16863.99609375,17687.4296875,3.4028234663852886e38,111.8208,43.749115,57.549488,194.33298,232.61067,46.58988,18.321617,20.199627,213.11479,3.4028235e38,43,19,24,70,80,35.382587,30.523943,31.475138,38.728928,41.04663
20,3083.7878,2105.5696,2391.4048,3945.6853,4045.8457,2426.8848,1796.8822,1918.6327,3265.9475,3306.9944,17046.96875,16448.662109375,16648.26171875,17433.423828125,17472.73046875,17218.078125,16701.79296875,16820.86328125,17686.47265625,3.4028234663852886e38,112.85777,41.446533,52.73339,205.17157,239.65858,44.441296,16.275515,18.946066,196.14276,3.4028235e38,42,18,22,71,82,36.55238,31.724234,32.80679,40.058823,42.36008
21,3007.2095,2105.5696,2358.8032,3904.1309,3992.5066,2393.7913,1749.38,1872.2048,3140.0967,3299.682,17007.5390625,16448.662109375,16626.73828125,17416.822265625,17451.921875,17229.896484375,16701.79296875,16808.662109375,17703.9296875,3.4028234663852886e38,116.44616,41.446533,52.73339,216.64401,276.77725,49.046158,16.275515,19.621338,341.88837,3.4028235e38,44,18,22,80,94,37.656643,32.792652,34.15777,41.077755,43.46744
22,2985.7732,2105.5696,2331.7563,3844.6826,3983.1252,2376.1406,1709.2458,1872.2048,3033.551,3277.5947,16996.322265625,16448.662109375,16608.654296875,17392.763671875,17448.232421875,17218.078125,16666.9375,16803.869140625,17703.9296875,3.4028234663852886e38,130.31168,51.29899,59.867214,235.15671,272.61163,51.460506,16.570768,21.49054,171.95996,3.4028235e38,49,22,24,82,94,38.512302,33.80105,35.104652,42.172543,44.92453
23,2958.4827,2105.5696,2268.4849,3743.176,3903.0159,2376.1406,1709.2458,1807.6991,3008.0605,3114.5503,16981.92578125,16448.662109375,16565.51953125,17350.80859375,17416.375,17213.083984375,16664.859375,16746.9921875,17692.064453125,3.4028234663852886e38,137.23099,57.15285,62.345276,235.97534,269.15527,48.060432,16.570768,21.49054,307.71765,3.4028235e38,50,22,26,83,94,39.549297,34.80645,36.15743,43.375496,45.6094
24,2851.7102,2105.5696,2258.6992,3719.8125,3893.605,2311.8015,1709.2458,1807.6991,3008.0605,3114.5503,16924.287109375,16448.662109375,16558.740234375,17340.9921875,17412.58984375,17187.11328125,16664.859375,16723.2265625,17649.7734375,3.4028234663852886e38,138.38863,59.577103,64.607574,251.46234,273.83282,54.68451,17.760294,23.078983,302.71243,3.4028235e38,51,23,26,89,95,40.564583,35.871853,37.16383,44.435608,46.747192
