run,algorithm,dataset,r2_test,r2_ideal,hypervolume,size
0,eggp_mo,chemical 1,0.8225037527169101,0.8247213555746151,19.519886156873184,30
1,eggp_mo,chemical 1,0.8433588867125261,0.8433588867125261,19.878852043099386,27
2,eggp_mo,chemical 1,0.8651702619879303,0.8651702619879303,19.379942595286344,26
3,eggp_mo,chemical 1,0.8607151124410211,0.8771646358631291,20.18143419973427,24
4,eggp_mo,chemical 1,0.868640383814816,0.868640383814816,20.054488082143735,29
5,eggp_mo,chemical 1,0.8823701754899648,0.8831189210323639,20.26968583545659,27
6,eggp_mo,chemical 1,0.8516184181648528,0.8516184181648528,19.31348494379108,29
7,eggp_mo,chemical 1,0.84072859333498,0.84072859333498,18.809063677881472,30
8,eggp_mo,chemical 1,0.8453931337976222,0.8453931337976222,19.696322238712437,29
9,eggp_mo,chemical 1,0.8417477065503927,0.8442122354705907,20.047299894553582,26
10,eggp_mo,chemical 1,0.8315796190673428,0.8315796190673428,19.297548585425584,24
11,eggp_mo,chemical 1,0.8541806142203983,0.8541806142203983,20.020986225232534,27
12,eggp_mo,chemical 1,0.853714889724057,0.8610943356430247,20.139278276040013,28
13,eggp_mo,chemical 1,0.8348699774578895,0.8348699774578895,19.18900262590576,31
14,eggp_mo,chemical 1,0.8443226640482269,0.8524571192561822,19.832144106542973,25
15,eggp_mo,chemical 1,0.714444338934355,0.8226678308911468,19.246020778247374,25
16,eggp_mo,chemical 1,0.8403946543624622,0.8403946543624622,19.75395288303109,26
17,eggp_mo,chemical 1,0.860931120710777,0.860931120710777,19.68609386849953,27
18,eggp_mo,chemical 1,0.8162122467774355,0.8283876882856849,19.134119352501113,19
19,eggp_mo,chemical 1,0.8561628951596191,0.8561628951596191,19.55009096163527,31
20,eggp_mo,chemical 1,0.8551433104462602,0.8564354259243921,19.98306807516189,30
21,eggp_mo,chemical 1,0.855189000596803,0.8580558542824209,19.363386587728076,25
22,eggp_mo,chemical 1,0.8177135075511444,0.8373964595057347,19.212000491368055,25
23,eggp_mo,chemical 1,0.8514644342325546,0.8514644342325546,18.792861885162747,27
24,eggp_mo,chemical 1,0.8428853082923082,0.8489879838428539,19.80644327996562,29
25,eggp_mo,chemical 1,0.8698474291646877,0.8698474291646877,19.652576501402933,27
26,eggp_mo,chemical 1,0.8529781619188573,0.8529781619188573,19.53450538408608,28
27,eggp_mo,chemical 1,0.8708939891172012,0.8708939891172012,20.448302225580463,25
28,eggp_mo,chemical 1,0.8589548822624264,0.8589548822624264,20.074962586816596,28
29,eggp_mo,chemical 1,0.8562542114758305,0.8573718013315342,20.44432419766618,29
0,eggp_so,chemical 1,0.8364991137924838,0.8364991137924838,19.050215404783565,23
1,eggp_so,chemical 1,0.8305815511748841,0.8305815511748841,19.58815885656106,29
