dataset,PySIPS,PySR,eggp_mo,gomea,gpzgd,operon,qlattice,random5k,symregg
chemical_1_tower,-2170.131284261576,-2027.124363539354,-1042.9571092730284,-1657.0118089970067,-735.909976875139,-565.1712150503407,-883.106791098012,-3163.8207846855094,-3116.026876232977
chemical_1_tower,-3085.84372465565,-1454.0294120606682,-1388.10903208103,-1556.8831199611254,-692.6912522849763,-598.6639640533973,-838.3637229633697,-3190.2738793672047,-2702.1718665811045
chemical_1_tower,-2067.4599676828025,-1284.0602007932082,-923.6610974509958,-1453.7284789008984,-623.5866815609685,-550.8919900671747,-882.7081216770148,-2710.956804458775,-2357.9485224413265
chemical_1_tower,-1879.9097460565545,-1240.3320027497746,-1130.2647734478207,-1548.3728079813418,-694.2902496667203,-550.2249169377712,-785.8958521089512,-2206.9986365019263,-950.2978539117206
chemical_1_tower,-1778.494488034096,-2088.8179938717376,-1075.6702120038988,-1592.817509500907,-731.9990073311951,-530.7183959145657,-791.1864484773888,-2806.0852761714145,-2632.6887810738863
chemical_1_tower,-2039.6876202617216,-1431.0066686221337,-1204.7948199735092,-1590.4945297725585,-736.9920645653549,-521.2213121912737,-933.7053845612604,,-1914.6726394603493
chemical_1_tower,-1412.0082594853654,-1298.7872999974925,-864.5417081589709,-1755.4186641829992,-733.9676680812834,-678.662935709874,-864.2384332714286,,-1187.1367764450251
chemical_1_tower,-2088.309652499732,-1738.3834464969843,-954.5840201383868,-1547.077731288973,-717.8116441791075,-565.5383405498255,-851.3654634792035,,-2090.42843229575
chemical_1_tower,-2114.0653649514584,-1625.1566742547795,-1321.738362955924,-1540.131896017337,-710.2247139868406,-577.9263325493956,-841.7244041321394,,-2704.2866794475176
chemical_1_tower,-2418.9478115627635,-1885.653553183537,-1084.5849360762477,-1828.6448782547848,-702.2889516528676,-697.5354730292164,-862.461050976801,,-1829.149989890274
chemical_1_tower,-2690.3873503362083,-1598.7960612327734,-1035.865332525143,-1881.9200787432787,-706.3131947157067,-589.3229920215938,-769.2014158202738,,-1032.1694061019416
chemical_1_tower,-2086.224713359413,-1612.344972816789,-1034.188072220379,-1351.3112315822816,-769.1413168739098,-576.1031889987291,-890.6513785046151,,-2733.596873847598
chemical_1_tower,-1743.6801134948869,-1506.9168995632056,-1268.5132977010298,-1617.3564479096046,-692.185573718326,-559.7980830977543,-764.9022101616636,-2382.231684601381,-2902.438169008213
chemical_1_tower,-2544.756422956264,-1419.6853523244372,-927.6291202124204,-1651.0678697758874,-617.2782649957113,-568.0425848034678,-806.4300163518245,,-2318.8738458890475
chemical_1_tower,-2866.6130426534105,-1232.4037544173816,-1183.5788189060563,-1585.7763731983212,-714.7195011673246,-558.166746061108,-885.4639201203137,,-2055.4722433204424
chemical_1_tower,-1296.9823459559975,-1336.1751615043856,-851.3267613078805,-1671.033084838584,-632.727154470806,-671.0191039957929,-811.5788849399903,,-1177.0495784435882
chemical_1_tower,-1905.239986063572,-1225.2332569676173,-1070.819808191514,-1443.6694029779617,-719.1831171661217,-564.9320397948405,-818.7828413664532,,-2019.3559364480543
chemical_1_tower,-2881.93648494343,-1363.198572080419,-957.2004594780336,-1580.1592724404632,-567.8079660536318,-569.6003935682909,-831.4102110599222,,-3088.606091875571
chemical_1_tower,-1895.0117837691705,-1160.698299492357,-976.9362242019396,-1648.5330507887866,-716.6349425570448,-596.2433562933655,-879.1986015338703,,-1669.159629551645
chemical_1_tower,-1513.334604895275,-1370.2864340874305,-1047.635132809834,-1880.6030649521963,-630.0933315996093,-548.5906122207783,-938.4601055977564,,-1351.434331010568
chemical_1_tower,-2712.563395044251,-1764.2475431868795,-953.4379209277016,-1439.0811629807415,-641.1738171918088,-545.4501737949754,-773.8780867942847,,-2328.8243835310595
chemical_1_tower,-2393.7888509841737,-1835.418880156027,-1009.071790303248,-1728.8835421181427,-625.2601822924792,-618.6911470140061,-878.4130974135579,,-1428.686267503339
