dataset,PySIPS,PySR,eggp_mo,gomea,gpzgd,operon,qlattice,random5k,symregg
chemical_1_tower,-1909.9901108051272,-1411.7524559456854,-1104.668854533797,-1489.4057634408578,-615.4987277661901,-589.9753339281173,-843.3971069134708,,-2050.3634615065007
chemical_1_tower,-2019.278705628097,-1365.8262244250373,-1365.407022008107,-1394.8470191148306,-651.043701296574,-598.5106285159028,-968.5445435075768,-2946.3631546591687,-1087.0656030640196
chemical_1_tower,-1901.107997836112,-1400.3424204865214,-1181.413197465809,-1644.4699717151616,-669.5199762882875,-558.2922334409119,-904.288188205326,-3003.2531920034803,-1413.0188461012383
chemical_1_tower,-1980.4102244985784,-1059.4666802986,-1190.202299033681,-1696.1467364580474,-705.1294398423788,-534.5685295512657,-820.9247528558217,-2978.330353297227,-1324.5236983811978
chemical_1_tower,-1173.5528530508427,-1429.880804761046,-1085.4221026823836,-1656.117580040307,-808.6211526129374,-580.5764898911256,-1021.4303246477768,,-1961.9496899621408
chemical_1_tower,-2851.344752862313,-1008.3761410563308,-1076.8431510713974,-1585.4290537766,-787.3624360226644,-554.5118020605953,-842.3305188184759,-2959.8933183906915,-2304.4065533539297
chemical_1_tower,-1578.043346983961,-2055.4807949598144,-1036.9900537922472,-1285.9201298036137,-797.4496875805196,-552.1050566947966,-836.707634415806,-2980.7198966203014,-1922.5803959628763
chemical_1_tower,-2479.242415810296,-1519.0291701707672,-1159.5714396910246,-1737.9812496031116,-898.4683697326599,-567.8456335880084,-912.0119976971548,-2954.670490345646,-1696.272716977089
chemical_2_competition,-0.0897193206795682,-0.0401783747017751,-0.0507487771858578,-0.157386726361107,-0.0220025151534685,-0.0216826875753092,-0.0349139054989623,-0.1361207447591994,-0.1403848233525093
chemical_2_competition,-0.1421847200564266,-0.1174839541735887,-0.0729574228688094,-0.1405383741297753,-0.022048163807226,-0.0315367925784308,-0.0330116204581605,-0.1349237576316253,-0.1322408661533132
chemical_2_competition,-0.1009441004608825,-0.123838270933533,-0.0309535999488886,-0.1369464080173537,-3.2491192632453982,-0.0293902419558545,-0.0349143427180944,,-0.0794477776742557
chemical_2_competition,-0.0826637790579355,-0.1312962528544814,-0.0712969102355912,-0.1431885299725231,-0.0230627598452598,-0.0688655929393249,-0.0365581641007314,-0.1356825165246744,-0.1392120744894593
chemical_2_competition,-0.083574571809442,-0.1363818897773829,-0.0294501948979631,-0.1428201048419945,-0.0239309550183892,-0.0302301851177422,-0.0384583277370643,-0.1287862399721795,-0.1071666888154338
chemical_2_competition,-0.0698621390399947,-0.1359861517891677,-0.0375355454289793,-0.1448202671493786,-0.080807842301148,-0.0259364458315231,-0.0309325930232699,-0.1377958190764069,-0.1320547154495323
chemical_2_competition,-0.0998604292190618,-0.0351909589155917,-0.0523770766594765,-0.1444090584134412,-0.0322221071900378,-0.0317830989456026,-0.0390125957008723,,-0.0814269914253505
chemical_2_competition,-0.0835050333378822,-0.0813341114816121,-0.042185374889322,-0.1546790442671308,-0.029381877360743,-0.0286670517612117,-0.0381915677798929,,-0.1354931335870741
chemical_2_competition,-0.0670145796884589,-0.0371397059102737,-0.0504866212309336,-0.1579233345149824,-0.1126303376844626,-0.022224381402471,-0.0366934643393621,,-0.0853348767269242
chemical_2_competition,-0.0559635577886064,-0.1371762217372717,-0.0792691800098332,-0.1582265900400478,-0.0563669360005497,-0.0316078598276092,-0.0426305097780637,,-0.1304815821340288
chemical_2_competition,-0.0722321249376432,-0.1103111816168138,-0.0314647787015847,-0.1563747420780496,-0.0407948719920661,-0.0331389486799905,-0.0292580510504181,,-0.1353685347256698
chemical_2_competition,-0.1075814110818051,-0.0685120556044312,-0.0364308298730481,-0.1444473563251703,-0.0649601432232816,-0.0260671528259548,-0.0384974346968729,,-0.1154653060168008
chemical_2_competition,-0.0766609848432242,-0.1061246003716884,-0.0465323116727665,-0.1459694179690871,-0.0613942276727422,-0.0225022372892892,-0.0317754390280852,-0.1319590193518229,-0.1093895863359202
chemical_2_competition,-0.0904475574788626,-0.1051240461061976,-0.0627308309144374,-0.164998056031003,-0.0363131292862579,-0.0262733854253953,-0.0348287289255515,,-0.1202838240929712
chemical_2_competition,-0.1075423409996971,-0.1186864690997992,-0.0910982963128943,-0.1609144257284728,-0.0861548245610793,-0.0251660082944939,-0.0348176017348839,,-0.1419083700059513
chemical_2_competition,-0.0805439290548295,-0.1360350497359851,-0.0396916005273667,-0.1352912429417228,-0.0711639793111672,-0.0181670163931106,-0.0337632144465951,,-0.14159992834755
chemical_2_competition,-0.086018076954842,-0.1320010724461364,-0.0532927968788634,-0.1549097533392024,-0.4161864932542986,-0.0265075877668839,-0.0299506453984536,,-0.1342715004987863
chemical_2_competition,-0.065658491807367,-0.1244116017543231,-0.0276382656088925,-0.1380957492747352,,-0.0245917892294109,-0.0358131924648144,,-0.1341273145860684
chemical_2_competition,-0.0862077467940006,-0.0390464232631836,-0.0393822872838491,-0.1508689157994495,-0.0655769216750407,-0.0248487622728539,-0.0322262925956387,,-0.1435815822178141
chemical_2_competition,-0.1342370029849782,-0.1295457459441449,-0.0444736101020803,-0.1521819434609723,-0.1583827797098703,-0.0228250998132174,-0.031844447304992,,-0.095605038569951
chemical_2_competition,-0.0787768341537415,-0.0403734737235354,-0.0809514285755678,-0.1563378306824808,-0.0343677783485879,-0.0241356381827054,-0.0292180998051248,,-0.1102547314825476
chemical_2_competition,-0.0460341839191906,-0.1184186567631755,-0.0872490484539567,-0.1413476286253236,-0.051565350632514,-0.0218394214307398,-0.0497127709521224,,-0.1363146758818444
chemical_2_competition,-0.0762590838660967,-0.1345348396279798,-0.0386199918467704,-0.1357633869278752,-0.0485478887251741,-0.0229071999075455,-0.0326976429994607,,-0.115443231195404
chemical_2_competition,-0.0893673857270869,-0.1390314336198185,-0.0845156754398302,-0.1379970472161058,-0.030118699011202,-0.0235246690018133,-0.0389416137201971,-0.1363115176750685,-0.1131878799700204
chemical_2_competition,-0.089868101287693,-0.0624227812665006,-0.0613461512386793,-0.1596229427548175,-0.0538940896943545,-0.024902196803031,-0.0320934766872093,-0.1378398342064064,-0.0519974981059498
chemical_2_competition,-0.0948212244513404,-0.0363756375913017,-0.0367681257743449,-0.1366921677951127,-0.0425464078007218,-0.0249269345633641,-0.0310377801565826,-0.1297746632901612,-0.1377609677297331
chemical_2_competition,-0.0521437633834346,-0.0956110530830959,-0.0337137290817757,-0.1451319409622462,-0.0528239395765478,-0.019173042941598,-0.0357809966614746,-0.1392579019999796,-0.1288051849024774
chemical_2_competition,-0.064570075700688,-0.1365603021282655,-0.0524686559980521,-0.1487706772253796,-0.0390776647233092,-0.0274135246512769,-0.0328850268155755,-0.1371055026173076,-0.0432833858202599
chemical_2_competition,-0.1038445204460207,-0.0279317905627171,-0.0286494175551636,-0.1487891057036149,-0.0269621144990194,-0.0298107376470301,-0.0286095300299596,-0.1344822104297327,-0.1263287004271503
chemical_2_competition,-0.0733041932109554,-0.0448396033021004,-0.0569539411980357,-0.1567386539197501,-0.0707601092082245,-0.0288174492756044,-0.0350571660725709,-0.1359568645270313,-0.0977510185806789
flow_stress_phip0.1,-2.7634865411652805,-1.2795174655319246,-4.438959363337962,-3.2518061991930294,-5.51028757990052,-2035.6934382949064,-3.237811086314232,-12.99246472735168,-4.296627403784874
flow_stress_phip0.1,-33.24613821617986,-3.011415854841686,-4.894107683180429,-3.1540414207052168,-1.0681968172464658,-135.7876684234556,-2.025548711404672,-41.44104907591773,-897.2382450476176
flow_stress_phip0.1,-7.559285528791004,-2.7308659384185607,-4.857826856359026,-3.3683019794321054,-1.161180675430044,-11.55267717225427,-2.277488852139236,-36.22724132995221,-2.263570602693088
flow_stress_phip0.1,-9.17493136760425,-1.80618865227019,-4.041123641738422,-2.205007757006222,-1.378740143334734,-0.8256733191028113,-2.249318278264837,-11.014474098819262,-2.3572136095090674
flow_stress_phip0.1,-38.37786158912216,-1.4994418571104142,-3.2371786279386803,-1.7010727294253725,-2.4630678359344307,-0.7741389869973634,-2.0474851474291254,-40.08675923904607,-1.3648331999328744
flow_stress_phip0.1,-16.268042029259245,-1.7129391501411393,-3.75430729958585,-3.4750924018624936,-1.657421615683624,-0.8660474374516273,-1.8791809599543907,-10.162669592616636,-3.4299077860671066
flow_stress_phip0.1,-19.41761071993765,-1.4381611702147086,-4.603243326723641,-1.5031471539848642,-1.3776113159640715,-0.6862549921501034,-3.3229220425651365,-34.011696774795546,-1.85003514487902
flow_stress_phip0.1,-55.57947622275481,-4.497201298350791,-3.97854434629304,-1.233019343848524,-3.4053130354243493,-0.7145546285471677,-2.5230590249028744,-13.548695128431332,-5.524362709324696
flow_stress_phip0.1,-6.034278351044586,-1.6238720642311844,-4.783939826832275,-3.0604727453269045,-1.626826606303939,-0.6412733227455548,-3.388746305212412,-35.819225543740586,-19.114420506176494
flow_stress_phip0.1,-35.58231285303536,-2.4861709385984443,-4.144611628470398,-3.548984165013067,-3.0057771936704683,-0.7776205736603107,-3.2332115967064787,-20.7458982468629,-2.33434885599403
flow_stress_phip0.1,-20.9630683288752,-0.8648564715620479,-2.733920790895483,-2.021908397183384,-1.6745320011959364,-0.5744463961394165,-2.354492115995728,-21.02114623991764,-2.172128741702737
flow_stress_phip0.1,-46.2975241544573,-1.5359782996743778,-2.7287099499204266,-3.3797261557551104,-1.6255713842248245,-0.6418968662913525,-3.8778480258392993,-26.420184767300203,-1.777796362312648
flow_stress_phip0.1,-9.935642974184836,-1.4494825463418264,-2.1705506196945024,-8.023375202791712,-1.51292719190213,-0.8112799160100356,-3.9103369960390735,-33.925315854384074,-2.3611376688877703
flow_stress_phip0.1,-36.6588101947175,-1.5059646968785112,-4.691886294369263,-1.8987700207120668,-2.095347505049821,-1.0754686457472258,-2.661368043597877,-39.809977253989295,-3.0035656226533467
flow_stress_phip0.1,-12.51993851875108,-1.825543738178928,-4.490634576863366,-2.6627563601938347,-4.371460358041618,-0.7431699731860143,-2.278581240417529,-11.331645217024787,-5.579533000465634
flow_stress_phip0.1,-29.65851795278612,-2.16266376200796,-3.43058486929195,-2.443181546644005,-1.332053712409097,-0.640515932319122,-2.750208919624084,-21.87033250516353,-1.3058836115635433
flow_stress_phip0.1,-38.09437061452897,-2.8549111116431702,-6.314936199726865,-2.703300452411453,-3.0785878779804974,-0.6328545545093478,-3.241359949876516,-38.543755834794574,-46.01293587873259
flow_stress_phip0.1,-28.988354575730384,-1.5017701644301775,-3.3888179998869745,-2.998212350587714,-2.346640661630223,-0.6494593553213048,-2.3407717599280566,-37.4716688792232,-48.35747262947106
flow_stress_phip0.1,-46.43281771458058,-1.273547970471003,-3.576920044433056,-2.913520500996861,-1.41770384429223,-2035.6934382949064,-2.852059373559375,-24.92620595066038,-3.691316498528698
flow_stress_phip0.1,-8.836069105630866,-1.7679531667816022,-3.930624720514275,-1.6186113967008042,-1.5430132462730448,-0.6951584198539718,-2.383755522721348,-36.60016479198932,-0.974184159882894
flow_stress_phip0.1,-35.29174484041852,-2.1752459718337582,-4.758102809050242,-3.183271540083848,-1.8007912306089284,-0.5274493544275354,-2.220730008792964,-18.60788141930032,-1.7582009991917642
flow_stress_phip0.1,-29.658484669425505,-2.3514424571189525,-2.511513506880628,-2.600989728676608,-2.117176112554297,-0.7039277395177246,-3.451057788357554,-23.095897535402607,-2.0569346491189746
flow_stress_phip0.1,-46.48076545099691,-3.248379776786208,-2.9879689277915884,-2.020429420989136,-1.4726109158114256,-0.789667466432133,-3.107923625039545,-24.31080387787401,-46.09833444413135
flow_stress_phip0.1,-22.52764741472919,-2.3710875946250947,-2.599858695567964,-1.8910172562532768,-2.248273684622279,-153.28621480184867,-3.3544913164854773,-37.22602533819111,-2.5887251770252613
flow_stress_phip0.1,-23.352004251111584,-2.43902681701187,-4.295310414020494,-3.0802463878679185,-2.685305325407019,-0.7487698613986475,-2.4463384659860243,-37.87824986200066,-1.3329184270559074
flow_stress_phip0.1,,-2.226497856833127,-4.590855387028527,-3.1012524803254915,-2.352187703654632,-1.8350320537570568,-2.320600061526106,-24.35842613485849,-6.76112377172797
flow_stress_phip0.1,-14.656085670365352,-2.374441621084187,-6.261505954261385,-2.711892747494036,-2.567999565859445,-0.8586963455723591,-2.77641005733692,-10.966031322977182,-2.444365636418404
flow_stress_phip0.1,-7.559297080349447,-2.853859326247168,-4.227857927193121,-2.41073071024125,-3.1061964389448304,-410.495020170111,-2.6072244310891075,-37.40016063601587,-4.196213336734355
flow_stress_phip0.1,-11.928525157811814,-2.054707553958872,-3.437254501168611,-2.043461313565897,-2.1751190046342725,-0.6002197374689747,-3.467624085787559,-37.81710983844639,-46.06029768192035
flow_stress_phip0.1,-2.7579634902994807,-2.066805479242961,-5.408507561575062,-1.7269906521780256,-3.462271952763535,-0.6169676195875934,-3.287246830457529,-33.06746619632146,-46.358776447058666
friction_stat_one-hot,-8.633555262073902e-05,-4.069872301116664e-05,-5.599797339348508e-05,-4.313428052701075e-05,-2.2262143312833858e-05,-1.5090373931347044e-05,-3.112790211534416e-05,-0.0001461827892352,-0.0001433780433682
friction_stat_one-hot,-9.566530079286756e-05,-3.8136076171033736e-05,-2.49746099077678e-05,-4.357175519086528e-05,-2.1341982204353703e-05,-1.853979306835741e-05,-3.1507400134929004e-05,-0.000153494379479,-0.0001427593326412
friction_stat_one-hot,-9.450399153507427e-05,-5.176925077630925e-05,-5.5239191109155184e-05,-4.451264796311937e-05,-2.333995731223305e-05,-1.6984670801738943e-05,-3.059806336612209e-05,,-0.0001405815743427
friction_stat_one-hot,-6.938048461402923e-05,-0.0001280058698025,-4.57570584542579e-05,-4.600624665792451e-05,-2.263615153724967e-05,-1.7322253157208746e-05,-3.110897914455999e-05,-0.0001442243138802,-0.0001300776946717
friction_stat_one-hot,-9.677343178751144e-05,-2.566021175365997e-05,-4.545489419351507e-05,-4.2978567913051046e-05,-5.248023494598808e-05,-1.882330229534525e-05,-3.092056041115866e-05,-0.0001466647697221,-0.0001269565587874
friction_stat_one-hot,-9.392072682323656e-05,-4.507399950886376e-05,-5.6823061702766975e-05,-4.977044605952792e-05,-2.859287467940237e-05,-1.7274955064967868e-05,-3.1044516732497106e-05,-0.0001355241347397,-8.006449839545544e-05
friction_stat_one-hot,-9.613681224337566e-05,-4.207691454148931e-05,-5.4555277994958754e-05,-4.45169576477329e-05,-2.892456620730548e-05,-1.521390986243563e-05,-3.0230837525077608e-05,,-0.0001416950158938
friction_stat_one-hot,-0.0001442537046731,-2.5561800328121248e-05,-6.937363525678214e-05,-5.025956015423674e-05,-2.0634386226960407e-05,-1.5112395543021404e-05,-3.049458103540083e-05,,-0.0001440143137553
friction_stat_one-hot,-0.0001446650589781,-0.0001190539110837,-4.503412676905016e-05,-4.805704180360624e-05,-2.78980421446398e-05,-2.205201392693921e-05,-3.1395073110735693e-05,,-6.035243150483116e-05
friction_stat_one-hot,-9.058471161211694e-05,-5.39730806753856e-05,-5.327694510342636e-05,-4.289697556938763e-05,-1.8453291442008216e-05,-1.754559642498325e-05,-2.998880247230527e-05,,-0.0001234732000796
friction_stat_one-hot,-9.28487065232134e-05,-5.1781576139702655e-05,-4.554596724853235e-05,-4.558688723877139e-05,-2.5716367547400127e-05,-1.6270888453970755e-05,-3.181403414590573e-05,,-4.457296819536846e-05
friction_stat_one-hot,-9.94564485488453e-05,-4.151908132794829e-05,-4.276825194098279e-05,-4.2875201191633725e-05,-1.9067917374234488e-05,-1.8168914177292303e-05,-3.0050563288040684e-05,,-0.0001366515605339
friction_stat_one-hot,-9.172259595267832e-05,-6.661206818903258e-05,-5.87776906455379e-05,-4.44901115944188e-05,-3.427986878518159e-05,-1.845851773241402e-05,-3.132386269599157e-05,-0.0001488802803088,-0.0001293808397388
friction_stat_one-hot,-0.0001491044900306,-5.136646178458904e-05,-5.3206629029817815e-05,-4.7085917506201e-05,-2.8117702955200287e-05,-1.640903476324191e-05,-3.11042953506126e-05,,-0.0001091135493644
friction_stat_one-hot,-9.152998139868696e-05,-4.035643190808529e-05,-4.464689181770977e-05,-4.486417861063147e-05,-2.65958079691818e-05,-1.8263360298767964e-05,-3.0663880911855133e-05,,-0.000100217628529
friction_stat_one-hot,-0.0001480764866522,-4.122497434968945e-05,-5.209076085515216e-05,-5.1157953793104296e-05,-2.4069898087428748e-05,-1.7613565493624843e-05,-3.025443673205443e-05,,-0.0001217170075059
friction_stat_one-hot,-8.938059754314253e-05,-5.229663556232274e-05,-3.344426798271052e-05,-4.277404865707389e-05,-2.031131712727076e-05,-1.9064939523889577e-05,-3.141142680563117e-05,,-0.0001499245421624
friction_stat_one-hot,-0.0001055988714123,-2.6140840416853995e-05,-5.313542920959725e-05,-5.388389012545724e-05,,-1.769153587509472e-05,-3.081155905174366e-05,,-0.0001409455320868
friction_stat_one-hot,-8.862351193699657e-05,-4.734018110937023e-05,-7.258527938070962e-05,-4.4405660734299263e-05,-2.1135981776166675e-05,-1.6853773085488966e-05,-3.084047620175847e-05,,-7.948385319002167e-05
friction_stat_one-hot,-8.930645092180778e-05,-2.7941304375906965e-05,-6.480581565800967e-05,-4.575493346417966e-05,-2.494974247385038e-05,-1.747666923352561e-05,-3.145231866390798e-05,,-0.0001227282076086
friction_stat_one-hot,-8.68000322670741e-05,-2.782791903501564e-05,-8.273035465282932e-05,-4.081695327625181e-05,-2.0240956329342583e-05,-1.984345282494788e-05,-3.033685150316794e-05,,-0.0001280324894879
friction_stat_one-hot,-8.784887789049396e-05,-3.098932155078536e-05,-2.492124886441097e-05,-4.683951573914139e-05,-2.0018657570299858e-05,-1.7505361283630026e-05,-3.1392632373555044e-05,,-0.0001436278548458
friction_stat_one-hot,-7.851568106985946e-05,-6.097386223913799e-05,-9.83944980786118e-05,-4.569237913235936e-05,-1.9768060215843103e-05,-1.4464430162162854e-05,-3.256727799496994e-05,,-0.0001209254995917
friction_stat_one-hot,-0.0001314880146353,-4.4261495092297815e-05,-5.809654282679451e-05,-4.885814354425456e-05,-2.2311192968325672e-05,-1.4900462405460032e-05,-3.138430991178317e-05,-0.0001461500006009,-8.931231964040048e-05
friction_stat_one-hot,-0.0001089741624349,-3.1873600113394373e-05,-4.559711462734536e-05,-4.43286751182602e-05,-2.786734673095377e-05,-1.799657332649224e-05,-3.198154092300063e-05,-0.0001484825729032,-0.0001288177449128
friction_stat_one-hot,-0.0001314880146352,-5.196797064493413e-05,-4.351878257868891e-05,-4.4533200671647744e-05,-2.363548651150065e-05,-2.042047013513883e-05,-3.05373851649571e-05,-0.0001518810600294,-0.0001454138064085
friction_stat_one-hot,-0.0001113144983044,-0.0001083647723701,-4.948668876970002e-05,-4.9156531403216944e-05,-2.3341355075751044e-05,-1.641748099348006e-05,-3.077121036760696e-05,-0.000148787806858,-5.343418132458745e-05
friction_stat_one-hot,-9.400411647652824e-05,-4.725466840598375e-05,-5.245464200540204e-05,-5.125421355891385e-05,-2.30437923986255e-05,-1.8669836178669542e-05,-3.057724440239854e-05,-0.0001514708770946,-9.454421625925448e-05
friction_stat_one-hot,-8.938059753224848e-05,-3.687940344340954e-05,-5.660078469812814e-05,-4.557321112657479e-05,-2.672478855473484e-05,-1.658484094613949e-05,-3.035327517361232e-05,-0.000151102422439,-9.259292743696505e-05
friction_stat_one-hot,-8.929552742413288e-05,-4.521403087947539e-05,-5.979330378587656e-05,-4.074415943289089e-05,-2.2315363654998623e-05,-1.9027285075046105e-05,-2.9865467073598835e-05,-0.0001030569731381,-0.0001480332306618
nasa_battery_1_10min,-3199.0678704999755,-852.2546248118382,-3151.931490478544,-4490.742959730273,-1740.8151303647232,-1265.940450813717,-1084.0174029286638,-21589.85541016545,-1271.2063385016831
nasa_battery_1_10min,-8386.247631939308,-639.160227791419,-1716.2778337320096,-3696.64733855151,-1565.2040916374672,-532.4558684532211,-989.766785711241,-9673.063146017268,-7084.012017188091
nasa_battery_1_10min,-39802.18052362302,-5679.465839399545,-736.5307890625438,-7655.889876129004,-2138.067977963248,-642.1093149930211,-1176.439378423649,-19558.5058184892,-2104.846504684695
nasa_battery_1_10min,-3348.913995617932,-5509.910469520732,-1152.7150451867542,-711.020870088941,-1535.4775007396026,-702.5731294846136,-1258.0267980899202,-3013.8374571346394,-3024.07109558784
nasa_battery_1_10min,-2020.179517478555,-2265.945406990948,-3552.663308252409,-1582.6168000783478,-903.6718932977146,-560.7267910836373,-1268.43340129914,-4993.215038821852,-10534.90542485284
nasa_battery_1_10min,-1541.3462421053928,-502.2356034748629,-616.8714109859051,-2596.60572059029,-1107.8012549264204,-783.025794806885,-882.0784158317606,-25039.845281392754,-2699.576736711943
nasa_battery_1_10min,-4087.939117390134,-1001.5389021464276,-843.0076385678566,-2604.023146764654,-1441.6105443173622,-892.1319173325239,-1067.841395045336,-19946.11951220534,-4528.346081105938
nasa_battery_1_10min,-1907.8945704956705,-6814.495842718788,-1022.4684737774083,-1502.2107577346983,-1724.5013576391295,-549.3180452665862,-905.9186522318628,-10671.416869160836,-638.2100676512028
nasa_battery_1_10min,-5223.52865340572,-708.8590520116315,-1108.277243616281,-5081.846005136542,-1644.9334779703609,-829.6358996979961,-604.4624300414125,-3523.0018149678663,-15770.446669884528
nasa_battery_1_10min,-22740.05093165093,-5857.598204800979,-962.744356456327,-2230.999244724508,-892.6991184365575,-630.6050241671701,-1613.6591158658068,-7382.197464965725,-15756.332780519053
nasa_battery_1_10min,-4241.177881562421,-865.136812195129,-955.4023797561748,-1852.9373163915257,-3114.034865504971,-736.7882152536837,-973.3864463057632,-11439.838441015125,-36300.41150928596
nasa_battery_1_10min,-1239.8097672381916,-893.3505890430524,-819.1000799802949,-2571.36134223352,-1523.6474019410898,-644.6509457510679,-1021.3173632108152,-11264.136865192071,-1221.9994169477782
nasa_battery_1_10min,-1961.1921482972705,-1571.8035521757258,-1339.429839929723,-836.7995355029191,-1007.7561878146172,-524.0188515926361,-1170.7980648993323,-21194.77329417437,-877.6530578695643
nasa_battery_1_10min,-4027.2771179402826,-552.6776846217177,-766.9822476625818,-2496.86001045445,-2057.769289174739,-777.8634912174986,-1217.106121949332,-11632.478569202693,-2111.696941802636
nasa_battery_1_10min,-1779.7563148071456,-1683.4072722292865,-1042.0513045402597,-1316.2357887808157,-1348.7769931735722,-942.8912824765335,-1137.971428453807,-22193.4905938847,-3771.263007549095
nasa_battery_1_10min,-2626.6318112143053,-1313.4654484557132,-918.247534392927,-2221.1049138024023,-2017.4933437890563,-627.5843704787733,-1375.2029763732232,-8570.328745409755,-1674.8891778005532
nasa_battery_1_10min,-2376.3293558397427,-3566.660296934497,-748.9772266948629,-848.8594870337164,-1367.4019908888135,-786.5574965240856,-1067.6762179765576,-18792.34320613523,-614.6316398958534
nasa_battery_1_10min,-2580.746187628476,,-987.4981816640188,-754.231653611385,-1716.8635826930526,-932.261764307736,-1029.762354489685,-23473.732667412605,-5263.663400483441
nasa_battery_1_10min,-2738.956458843428,-4399.981597186955,-739.8530108168454,-2475.70755007753,-1540.8346830532644,-1064.196193880509,-1194.334935193261,-7013.071675089318,-2896.9920889323407
nasa_battery_1_10min,-5112.527240582329,-779.4602776055551,-804.3794995786341,-748.5030189025996,-1341.0057335671274,-533.9518296743607,-1106.1122637528665,-5081.637942175859,-9639.656297919331
nasa_battery_1_10min,-1544.475369539646,-979.84569554721,-900.7375337071808,-2075.365886936405,-2786.424115440364,-632.7362133700775,-1201.8037347752336,-16700.011498851232,-7402.134811119315
nasa_battery_1_10min,-2117.662020414792,-15054.378177499882,-645.0194469512088,-1374.3838543499098,-2184.310486187483,-714.0396451132689,-1094.726110728675,-11169.199657859492,-11225.638363218311
nasa_battery_1_10min,-2994.5634344624377,-4486.929615137418,-1975.3078252874284,-1788.8166117344156,-571.8158085265076,-516.6651995916303,-575.0115959074589,-16178.879596448418,-4474.634647094107
