run,algorithm,dataset,r2_test,mse_test,hypervolume,size,size_mse
0,eggp_mo,chemical_1_tower,0.8490193346817829,1042.9571092730284,35.962361906625446,48,48
1,eggp_mo,chemical_1_tower,0.7990544162032684,1388.10903208103,33.67244936380507,41,41
2,eggp_mo,chemical_1_tower,0.81636734631839,1268.5132977010298,35.52024712651326,49,49
3,eggp_mo,chemical_1_tower,0.8023408069420591,1365.407022008107,26.610373192338898,25,25
4,eggp_mo,chemical_1_tower,0.8289761400701899,1181.413197465809,35.51907676016749,30,30
5,eggp_mo,chemical_1_tower,0.8247557336242433,1210.5672808548609,37.041232517756605,36,36
6,eggp_mo,chemical_1_tower,0.8428126216160138,1085.8323708405812,36.52189560622834,32,32
7,eggp_mo,chemical_1_tower,0.8441139199813791,1076.8431510713974,35.64357148122993,44,44
8,eggp_mo,chemical_1_tower,0.8417577602331608,1093.1192322160114,37.17578488036761,46,46
9,eggp_mo,chemical_1_tower,0.8321379988764978,1159.5714396910246,16.560418289745712,31,31
10,eggp_mo,chemical_1_tower,0.8662888763288549,923.6610974509958,37.95988947206537,48,48
11,eggp_mo,chemical_1_tower,0.8324474427867368,1157.4338366712948,34.782092285052045,38,38
12,eggp_mo,chemical_1_tower,0.8442837171084269,1075.6702120038988,35.12603840221826,40,40
13,eggp_mo,chemical_1_tower,0.8212366971102798,1234.876381243933,31.95145091079003,31,31
14,eggp_mo,chemical_1_tower,0.8748471234985187,864.5417081589709,38.17501906061863,42,42
15,eggp_mo,chemical_1_tower,0.8618124089847852,954.5840201383868,37.633660958913715,42,42
16,eggp_mo,chemical_1_tower,0.8036713346548243,1356.215889261484,35.70092050383424,37,37
17,eggp_mo,chemical_1_tower,0.84299320289686,1084.5849360762477,15.354554495413778,48,48
18,eggp_mo,chemical_1_tower,0.8500459552035322,1035.865332525143,14.266785641950516,46,46
19,eggp_mo,chemical_1_tower,0.8502887589338809,1034.188072220379,37.11794887522282,29,29
20,eggp_mo,chemical_1_tower,0.863760115650874,941.1294860104948,36.695008289400896,38,38
21,eggp_mo,chemical_1_tower,0.8286626401544515,1183.5788189060563,36.156806584176685,47,47
22,eggp_mo,chemical_1_tower,0.8767601470063724,851.3267613078805,36.80666253623696,38,38
23,eggp_mo,chemical_1_tower,0.8439579154388989,1077.9208125475582,35.78755252324132,49,49
24,eggp_mo,chemical_1_tower,0.8614336477214961,957.2004594780336,36.2921813372478,48,48
25,eggp_mo,chemical_1_tower,0.8565537990607379,990.9098940085224,36.98911120720148,49,49
26,eggp_mo,chemical_1_tower,0.848342134152939,1047.635132809834,35.76776341546539,44,44
27,eggp_mo,chemical_1_tower,0.8619783207176949,953.4379209277016,35.98419307348442,46,46
28,eggp_mo,chemical_1_tower,0.8520985250014226,1021.6864159170008,37.666040057395236,43,43
29,eggp_mo,chemical_1_tower,0.8400858126082686,1104.668854533797,35.69889859594481,39,39
0,symregg,chemical_1_tower,0.5489173938791934,3116.026876232977,22.818262211499896,41,41
1,symregg,chemical_1_tower,0.6063237192179701,2719.470568820193,23.90887472671995,48,48
2,symregg,chemical_1_tower,0.5798369444863418,2902.438169008213,22.70216769187991,48,48
3,symregg,chemical_1_tower,0.842634096324867,1087.0656030640196,35.864840968266705,39,39
