id,view,Expression,Numpy,Math,theta,size,loss_train,loss_val,loss_test,maxloss,R2_train,R2_val,R2_test,mdl_train,mdl_val,mdl_test
0,0,18.85135135135135,"t[0]","$$\theta_{0}$$",18.85135135135135,1,20.57925493060628,20.57925493060628,16.92299732164597,20.57925493060628,0.0,0.0,-0.7105455513793095,20.57925493060628,20.57925493060628,16.92299732164597
1,0,(x1 * 1.8337683320904805),"(x[:, 1] * t[0])","$$\left(x_{1} \cdot \theta_{0}\right)$$",1.8337683320904805,3,10.326556002311037,10.326556002311037,12.526588873341119,10.326556002311037,0.49820554548099916,0.49820554548099916,-0.26616464353178415,13.622392868315366,13.622392868315366,15.822425739345448
2,0,Log((x1 ^ 8.328415067141998)),"np.log(x[:, 1] ** t[0])","$$\operatorname{log}(x_{1}^{\theta_{0}})$$",8.328415067141998,4,8.55212868166633,8.55212868166633,10.299666444517545,8.55212868166633,0.584429625343371,0.584429625343371,-4.107140611700233e-2,14.097306126145892,14.097306126145892,15.844843888997108
3,0,(13.911869984839184 * Sqrt(Sqrt(x0))),"(t[0] * np.sqrt(np.sqrt(x[:, 0])))","$$\left(\theta_{0} \cdot \operatorname{sqrt}(\operatorname{sqrt}(x_{0}))\right)$$",13.911869984839184,5,6.564273807899381,6.564273807899381,6.276635216900393,6.564273807899381,0.6810247100765181,0.6810247100765181,0.3655692166205802,13.495745613498833,13.495745613498833,13.208107022499846
4,0,(6.309018675537299 - (Sqrt(x0) * -6.571523260685514)),"(t[0] - (np.sqrt(x[:, 0]) * t[1]))","$$\left(\theta_{0} - \left(\operatorname{sqrt}(x_{0}) \cdot \theta_{1}\right)\right)$$",6.309018675537299;-6.571523260685514,6,5.149692007072732,5.149692007072732,9.465746139593966,5.149692007072732,0.7497629518445827,0.7497629518445827,4.321972982540778e-2,14.806319481677333,14.806319481677333,19.122373614198565
5,0,(20.817020047888875 * Exp((-2.027800967371101 / Exp(x0)))),"(t[0] * np.exp((t[1] / np.exp(x[:, 0]))))","$$\left(\theta_{0} \cdot \operatorname{exp}(\frac{\theta_{1}}{\operatorname{exp}(x_{0})})\right)$$",20.817020047888875;-2.027800967371101,7,4.790565139089674,4.790565139089674,19.770190121908893,4.790565139089674,0.7672138687603818,0.7672138687603818,-0.9983345810554809,16.056630526128377,16.056630526128377,31.036255508947598
6,0,(21.394571155564336 + (-14.901278194097213 / (x0 ^ Sqrt(x0)))),"(t[0] + (t[1] / x[:, 0] ** np.sqrt(x[:, 0])))","$$\left(\theta_{0} + \frac{\theta_{1}}{x_{0}^{\operatorname{sqrt}(x_{0})}}\right)$$",21.394571155564336;-14.901278194097213,8,4.498429956112308,4.498429956112308,56.5965532143475,4.498429956112308,0.7814094839059471,0.7814094839059471,-4.720675863983912,18.832505709936747,18.832505709936747,70.93062896817194
7,0,((-9.43847837678045 / (x0 ^ x0)) + (x0 + 15.947229507136278)),"((t[0] / x[:, 0] ** x[:, 0]) + (x[:, 0] + t[1]))","$$\left(\frac{\theta_{0}}{x_{0}^{x_{0}}} + \left(x_{0} + \theta_{1}\right)\right)$$",-9.43847837678045;15.947229507136278,9,4.485549973324895,4.485549973324895,34.899414715829565,4.485549973324895,0.782035356068513,0.782035356068513,-2.5275688728938235,18.970491185231797,18.970491185231797,49.384355927736465
8,0,(((-16.17225494294796 + (Sqrt(x0) * -30.275726813398162)) / (x0 + Exp(x0))) + 21.726733206087303),"(((t[0] + (np.sqrt(x[:, 0]) * t[1])) / (x[:, 0] + np.exp(x[:, 0]))) + t[2])","$$\left(\frac{\left(\theta_{0} + \left(\operatorname{sqrt}(x_{0}) \cdot \theta_{1}\right)\right)}{\left(x_{0} + \operatorname{exp}(x_{0})\right)} + \theta_{2}\right)$$",-16.17225494294796;-30.275726813398162;21.726733206087303,13,4.051286336334636,4.051286336334636,25.916572629624866,4.051286336334636,0.8031373657600498,0.8031373657600498,-1.6195996593286588,29.34811827405371,29.34811827405371,51.21340456734394
9,0,(((x1 + x0) * 1.4405041482717253) + ((x0 * 2.4770188153596786) * Sin(Sqrt(x1)))),"(((x[:, 1] + x[:, 0]) * t[0]) + ((x[:, 0] * t[1]) * np.sin(np.sqrt(x[:, 1]))))","$$\left(\left(\left(x_{1} + x_{0}\right) \cdot \theta_{0}\right) + \left(\left(x_{0} \cdot \theta_{1}\right) \cdot \operatorname{sin}(\operatorname{sqrt}(x_{1}))\right)\right)$$",1.4405041482717253;2.4770188153596786,13,3.5829471270394997,3.5829471270394997,7.3426760599806755,3.5776213939314614,0.8258951969290783,0.8258951969290783,0.2578157621313334,28.879779064758573,28.879779064758573,32.63950799769975
