gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
1,0.00022729834,0.0001080226,0.000110691,0.00022729851,0.00022729856,0.00015258638,0.00010204138,0.00011487846,0.00016200863,0.0001640968,-2800.666259765625,-3175.975341796875,-3163.664306640625,-2800.666015625,-2800.665771484375,-2795.3310546875,-3141.747802734375,-3132.597900390625,-2792.107177734375,-2792.107177734375,4.394449,1.3862944,1.3862944,23.292873,31.191624,7.172621,3.2556243,3.2556243,16.169048,18.160145,4,2,2,12,15,9.0,7.969697,8.268292,9.923077,10.25
2,0.00013489358,0.00010733906,0.00010789168,0.00022729846,0.00022729853,0.00015258629,0.00010164757,0.00010559876,0.00016325685,0.00016412469,-3063.90283203125,-3179.177734375,-3176.5869140625,-2800.666015625,-2800.665771484375,-3034.796142578125,-3150.972412109375,-3144.989013671875,-2795.33056640625,-2792.802978515625,9.704061,2.0794415,2.0794415,27.03274,41.446533,11.453955,3.2556243,3.2556248,17.489586,19.713154,7,3,3,13,18,10.207547,8.941176,9.226415,11.24138,11.560606
3,0.0001177089,0.000107034924,0.00010733907,0.00022729843,0.00022729851,0.0001524756,0.00010080797,0.00010287294,0.00016325685,0.00016412186,-3132.65185546875,-3180.609130859375,-3179.177734375,-2800.666015625,-2800.666015625,-3084.46875,-3153.294677734375,-3149.87451171875,-2795.3310546875,-2795.33056640625,14.334076,2.0794415,2.0794415,32.95837,42.243412,12.094425,3.2556248,3.2556252,18.36742,22.35952,8,3,3,15,19,11.3970585,9.96875,10.278688,12.797619,13.190476
4,0.0001112774,9.9414596e-5,0.00010535055,0.00021980787,0.00022729843,0.00014869471,0.00010081419,0.000101437734,0.00016325914,0.00016412429,-3160.9990234375,-3217.869873046875,-3188.611572265625,-2817.57177734375,-2800.666015625,-3122.943115234375,-3174.8310546875,-3155.883544921875,-2797.125,-2795.3310546875,17.917595,2.0794415,6.931472,39.55004,48.354286,12.828468,3.2556252,5.3460016,20.776814,23.461271,10,3,5,18,21,12.678572,11.1081085,11.223684,14.306931,15.264706
5,0.000110690984,8.9785804e-5,9.522671e-5,0.00021706236,0.00021980797,0.00014535147,9.331971e-5,0.00010060687,0.00016325309,0.00016412484,-3163.66455078125,-3269.26416015625,-3239.582763671875,-2823.912841796875,-2817.571533203125,-3130.586181640625,-3211.801025390625,-3186.724853515625,-2798.47509765625,-2795.69482421875,18.714973,6.931472,6.931472,46.141716,55.151592,12.828468,3.2556252,7.209691,20.119734,23.900408,10,5,5,21,23,14.064815,12.102273,12.326087,15.942623,17.866667
6,0.00010869366,8.7289896e-5,8.9275665e-5,0.00020911588,0.00021980783,0.00014313734,6.944131e-5,9.396278e-5,0.00016322105,0.00016412429,-3172.850830078125,-3283.487060546875,-3272.138671875,-2842.728759765625,-2817.57177734375,-3140.994140625,-3215.463134765625,-3208.66748046875,-2810.765625,-2795.95654296875,21.405012,6.931472,9.656628,55.151592,64.607574,13.373631,5.407212,7.8274474,23.973,27.471767,11,5,6,23,26,15.363636,13.202021,13.508772,17.705883,18.842106
7,0.00010796665,8.5780564e-5,8.858953e-5,0.00020911587,0.00021980783,0.00014332634,7.0551396e-5,9.331965e-5,0.00016325257,0.00016412429,-3176.23681640625,-3292.286865234375,-3276.03125,-2842.728759765625,-2817.57177734375,-3143.747314453125,-3227.262939453125,-3214.3212890625,-2822.4560546875,-2799.257080078125,21.501114,6.931472,9.656628,55.151592,62.122665,13.292423,3.7609987,7.209691,23.120224,28.704596,12,5,6,23,26,16.353384,14.401786,14.618182,19.6625,20.201342
8,0.000107719716,8.272456e-5,8.644121e-5,0.00020441526,0.00020911588,0.00013274251,6.453186e-5,7.187622e-5,0.00015831653,0.00016408702,-3177.391845703125,-3310.588134765625,-3288.416259765625,-2854.198486328125,-2842.728515625,-3152.56884765625,-3236.033203125,-3220.461669921875,-2827.676025390625,-2805.783203125,23.292873,6.931472,9.656628,64.74317,82.07838,13.531056,5.873208,9.107418,24.509907,30.543867,12,5,6,27,32,17.657534,15.532787,15.770492,21.435755,22.689266
9,0.00010669126,8.179582e-5,8.4364605e-5,0.00020362741,0.00020911591,0.00013235197,6.260662e-5,6.559634e-5,0.0001574369,0.00016325309,-3182.231689453125,-3316.283935546875,-3300.68408203125,-2856.14697265625,-2842.728759765625,-3156.7578125,-3240.195068359375,-3226.52001953125,-2828.90185546875,-2816.263671875,24.953299,9.656628,9.656628,67.14107,84.486824,14.613988,7.423785,9.107418,25.35955,28.308992,12,6,6,28,33,18.987097,16.464285,16.762962,22.794445,24.126904
10,9.766968e-5,8.179582e-5,8.4364605e-5,0.0001618967,0.00020911587,0.00013148793,5.785174e-5,6.442307e-5,0.00015741964,0.00016325309,-3226.803466796875,-3316.283935546875,-3300.68408203125,-2971.845458984375,-2842.728759765625,-3160.186279296875,-3246.074462890625,-3226.52001953125,-2886.091796875,-2820.70849609375,29.933607,9.656628,9.704061,69.53896,84.643326,14.213904,8.48643,9.721938,25.851856,30.543867,15,6,7,28,34,20.423077,17.648485,18.130136,24.704546,25.74089
11,9.5226664e-5,7.7080695e-5,8.305067e-5,0.00014715987,0.00020911587,0.00012989921,5.785174e-5,6.41522e-5,0.00015646934,0.00016091063,-3239.5830078125,-3346.23779296875,-3308.603271484375,-3019.994384765625,-2842.728759765625,-3174.163330078125,-3247.2119140625,-3236.19091796875,-2933.480224609375,-2822.0927734375,38.366325,9.656628,12.476649,76.94848,91.12002,15.229191,7.423785,9.107418,28.308992,31.585184,17,6,7,31,38,21.505102,18.625,19.09697,26.15652,27.636793
12,9.4046714e-5,6.15794e-5,8.179582e-5,0.00014715987,0.00020911587,0.00012875658,5.785174e-5,6.412599e-5,0.00015627132,0.00015831653,-3245.873046875,-3459.510986328125,-3316.283935546875,-3019.994384765625,-2842.728759765625,-3181.024658203125,-3278.92041015625,-3246.074462890625,-2933.480224609375,-2823.94775390625,39.509388,9.656628,12.875504,84.486824,124.661385,16.456476,7.786055,9.107418,29.888426,32.35822,18,6,8,34,44,22.618258,19.52381,19.98844,27.655678,29.17647
13,9.302251e-5,6.15794e-5,7.482252e-5,0.000121901605,0.00020911587,0.0001226841,5.946948e-5,6.38377e-5,0.00015627132,0.00016051535,-3251.3974609375,-3459.510986328125,-3361.23876953125,-3114.99462890625,-2842.728759765625,-3190.2509765625,-3309.80078125,-3258.71826171875,-3056.986328125,-2823.94775390625,41.446533,9.656628,12.875504,95.006065,124.661385,17.124205,7.8274474,9.468309,31.095295,34.99226,19,6,8,37,46,23.88412,20.482233,20.857924,29.125462,30.815094
