gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
1,63.34203,57.35422,59.204285,197.50732,197.50732,49.368008,46.3045,47.75664,161.48929,161.48929,64681.727,59093.105,60819.83,189902.67,189902.67,64708.535,59152.39,60877.387,189913.55,189913.55,9,3,7,18,18
2,59.293785,51.156536,57.35422,63.342075,63.342075,47.75664,43.05147,46.182354,49.36808,49.36808,60903.36,53308.598,59093.105,64681.766,64681.766,60954.676,53350.99,59152.39,64702.953,64702.953,15,5,5,18,18
3,57.729153,37.52978,41.63329,63.342075,63.342075,46.3045,26.923204,37.076855,49.36808,49.36808,59443.04,40590.293,44420.23,64681.766,64681.766,59469.832,40651.906,44488.883,64702.953,64702.953,13,5,6,19,19
4,51.15657,35.57268,37.52978,63.342075,63.342075,43.051388,26.740192,26.923204,49.36808,49.36808,53308.63,38763.668,40590.293,64681.766,64681.766,53347.473,38844.41,40651.906,64702.953,64702.953,13,5,6,24,24
5,51.15657,35.57268,36.347816,57.532604,57.532604,43.051388,26.627987,26.740192,47.359097,47.359097,53308.63,38763.668,39487.125,59259.594,59259.594,53347.473,38844.41,39572.766,59342.938,59342.938,18,11,11,34,34
6,43.683086,16.656513,22.324196,57.502476,57.502476,38.683025,14.598407,19.650583,47.391186,47.391186,46333.38,21108.574,26398.41,59231.473,59231.473,46382.57,21190.361,26464.188,59290.883,59290.883,18,11,11,24,24
7,37.529797,16.656513,22.324196,56.90162,56.90162,30.336224,14.598407,17.240276,45.673256,45.673256,40590.305,21108.574,26398.41,58670.67,58670.67,40654.035,21190.361,26464.188,58712.363,58712.363,21,11,15,25,25
8,34.597664,5.5122695,13.8704,56.901623,56.901623,26.923208,6.3162065,9.692513,45.676342,45.676342,37853.65,10707.279,18508.203,58670.676,58670.676,37946.332,10856.202,18659.406,58699.46,58699.46,21,9,15,49,49
9,19.920664,5.5122695,13.8704,56.439934,56.439934,20.70138,6.3162065,9.692513,45.4511,45.4511,24155.113,10707.279,18508.203,58239.766,58239.766,24216.398,10856.202,18659.406,58286.906,58286.906,23,12,15,49,49
10,18.16423,5.065135,5.5122695,53.10321,53.10321,17.689415,4.5619645,6.3162065,43.47422,43.47422,22515.777,10289.954,10707.279,55125.492,55125.492,22624.266,10386.823,10856.202,55174.418,55174.418,29,15,19,49,49
